explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0018320443201140912,0.018414378652552632,0.003332535119682237,0.0004641204066204476,0.2748873412535846,37.34330192544039,0.021776343315606038,0.04619008602987496,0.0016386726751331422,0.00044081992506061276,0.0010651372388365424,0.0014326647564469914,0.0011470708725931996,0.003085739475424289,0.0010651372388365424,0.014326647564469915,0.001048750512085211,0.028212475203879216,0.9654857226580081,7.627412821352917,0.0006539325151374575,0.0
random,predicted,0.001,0.0018109773086091073,0.01899350649350646,0.0033066726943380173,0.00045593870525842325,0.27390791027154665,38.138134592680046,0.023659182218667647,0.045011806375015374,0.0017709563164108619,0.000487012987012987,0.0009445100354191264,0.0012987012987012987,0.0010035419126328217,0.00275974025974026,0.0009799291617473436,0.013474025974025973,0.0010035419126328217,0.027597402597402596,0.96546313687516,7.636311421918254,0.0005498840245569887,0.0
random,not_predicted,0.001,0.0018833101058420272,0.017188037126160134,0.0033946635870583624,0.00048245323072840484,0.27710843373493976,35.54082998661312,0.017506558708127642,0.04886211512670515,0.0013386880856760374,0.00034317089910775565,0.0013386880856760374,0.0017158544955387784,0.0014725568942436412,0.0037748798901853123,0.0012583668005354753,0.016129032258064516,0.0011512717536813922,0.029512697323266987,0.9655369412873848,7.60723313011104,0.0008898871912329251,0.0
laat,all,0.046,0.38362293205701764,0.4065497849818057,0.3947537473183443,0.34680609263577994,0.20524375256042607,3.9373207701761572,0.5599914274195761,0.6348149665376897,0.48095043015157724,0.12938064800528984,0.30938140106513723,0.41613400925721844,0.21257681278164686,0.5718536477848799,0.06065546907005326,0.815847476305929,0.03257681278164687,0.8763500110204981,0.5101218570736338,2.38336899601887,0.3998755342964055,0.0
laat,predicted,0.046,0.3756633345674437,0.49415584415584335,0.4268386734859427,0.39164330509539197,0.09445100354191263,4.783353010625738,0.6678541561211897,0.7394234553255256,0.5306965761511216,0.14594155844155843,0.3338842975206612,0.4590909090909091,0.22916174734356554,0.6301948051948052,0.06301062573789847,0.8663961038961039,0.0334297520661157,0.9193181818181818,0.4279238252235359,1.9344022931258662,0.44937562689280547,0.0
laat,not_predicted,0.046,0.4263925729442943,0.2210381574424193,0.2911478378945282,0.2564165661956684,0.4564926372155288,2.0187416331994643,0.3153870600560773,0.3975903614418474,0.36813922356091033,0.09437199725463281,0.25381526104417673,0.32532601235415237,0.1749665327978581,0.44852436513383664,0.05531459170013387,0.7089910775566232,0.0306425702811245,0.7855181880576527,0.696525425954579,3.4015076770105015,0.2876223122638733,0.0
attention_rollout,all,0.003,0.017055784337767103,0.22240599845627942,0.031681955263818944,0.0033789138407691157,0.0,48.44694797214257,0.22931870338916235,0.30458828348739553,0.0077836952068824255,0.0020938946440379105,0.005489553461696026,0.007383733744765263,0.0047521507578861125,0.01278377782675777,0.010102417042195822,0.13588274189993388,0.01354362965997542,0.36433766806259643,0.7764484833057987,5.595893253713234,0.0032272757729126674,0.0
attention_rollout,predicted,0.003,0.018646642839186364,0.2769480519480515,0.03494075841399034,0.0036653665590010587,0.0,54.00885478158205,0.2831812056127967,0.35773317591150827,0.00885478158205431,0.002435064935064935,0.0060212514757969305,0.008279220779220779,0.005489964580873672,0.015097402597402597,0.011463990554899646,0.15762987012987012,0.014645808736717827,0.40275974025974026,0.7498563800145321,5.418141832208054,0.003698737078000597,0.0
attention_rollout,not_predicted,0.003,0.01161835026897788,0.10690959092471602,0.02095899181007253,0.0028157165555967507,0.0,35.83400267737617,0.10717268094359791,0.18406961177863118,0.00535475234270415,0.0013726835964310226,0.00428380187416332,0.00549073438572409,0.003078982597054886,0.007892930679478381,0.007014725568942436,0.08991077556623199,0.01104417670682731,0.2831159917638984,0.8367523962581492,5.99898683875979,0.0021581252363411093,0.0
deeplift,all,0.018000000000000002,0.313492841733673,0.35251957216892676,0.3318627705353189,0.2642005627452516,0.08029496108152397,4.1777959852519455,0.48784291227559023,0.643725249208609,0.4522736583367472,0.12166629931672912,0.2754608766898812,0.370509147013445,0.18656288406390822,0.5018734846815076,0.05822204014748054,0.7831165968701785,0.03235559197050389,0.8703989420321798,0.7356190716810245,3.317205413151811,0.3211132544616327,0.0
