explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004818503051718592,0.003307972213033407,0.003922850599945549,0.0004641204066204476,0.9319950839819746,2.550594018844736,0.004423928522634045,0.008193363375583776,0.0008193363375665711,0.00022040996253030638,0.0012290045063498567,0.0016530747189772979,0.0013109381401065136,0.003526559400484902,0.0011470708725931996,0.015428697377121445,0.0009995903318312167,0.026890015428697376,0.9654699560199721,7.670245263285075,0.0006231426605590261,0.0
random,predicted,0.002,0.005494505494505481,0.0039175608925225616,0.004573928602080787,0.0004563272087604868,0.9237445753254805,2.5951642901425913,0.004731644672722573,0.008059516428933664,0.0,0.0,0.0009919404835709857,0.0013626298756600238,0.0013019218846869187,0.0035769034236075624,0.0011035337879727217,0.015159257366717764,0.0009795412275263485,0.02691194004428547,0.9654462899364652,7.677166863056468,0.000583713051266638,0.0
random,not_predicted,0.002,0.003431372549019591,0.002188868042526572,0.0026727758638965217,0.0004791427569736382,0.9480676328502415,2.463768115942029,0.0038244766505412973,0.008454106280108696,0.0024154589371980675,0.0006244146113019045,0.0016908212560386474,0.0021854511395566654,0.0013285024154589373,0.0034342803621604744,0.0012318840579710144,0.015922572588198562,0.0010386473429951691,0.026849828285981894,0.9655160591512493,7.65676151880288,0.0006999542061974587,0.0
laat,all,0.05,0.37054839414463586,0.3740213915536439,0.37227679305871036,0.3166015191436409,0.2294141745186399,3.750102417042196,0.5262365466216314,0.6007442305008536,0.46497337156902907,0.12508265373594887,0.297009422367882,0.39949305708618027,0.2053256861941827,0.5523473661009478,0.05988529291274068,0.8054882080670046,0.03243342892257271,0.8724928366762178,0.5133771611982411,2.4855290632391993,0.37800407981642675,0.0
laat,predicted,0.05,0.36020998788531383,0.4557996934082772,0.402406015032662,0.35391656575247543,0.11717296962182269,4.605703657780533,0.6286678103073394,0.698801405242373,0.504649721016739,0.13864758984840742,0.32002479851208926,0.4396184636348152,0.22145071295722257,0.6084142394822006,0.06267823930564166,0.8610117526826776,0.0335895846249225,0.9228410832907511,0.43084434001685107,2.0547596813172273,0.42033064941622816,0.0
laat,not_predicted,0.05,0.4150724637681135,0.22388993120700368,0.29087954498833696,0.2534064935110571,0.44806763285024154,2.0833333333333335,0.32669351724355555,0.40972222221815896,0.38768115942028986,0.10021854511395567,0.25217391304347825,0.32594442709959415,0.17391304347826086,0.4495785201373712,0.05444444444444444,0.7037152669372463,0.030181159420289854,0.7802060568217296,0.674156678789524,3.324696953384297,0.2955490595694707,0.0
attention_rollout,all,0.003,0.017940401378471516,0.25372146873966234,0.033511254158545646,0.0035747386792875607,0.0,52.54321999180664,0.26011826843501407,0.31762938686019415,0.0077836952068824255,0.0020938946440379105,0.005571487095452683,0.007493938726030417,0.004137648504711184,0.011130703107780473,0.00987300286767718,0.1327970024245096,0.013596886521917246,0.3657703328190434,0.7722129940276876,5.551477854399512,0.0033342337463538835,0.0
attention_rollout,predicted,0.003,0.018324327787625737,0.29228410832907464,0.034486570132635695,0.0035412852331388953,0.0,58.057036577805334,0.30617556857275713,0.36257491216839516,0.008059516429014259,0.0022142735479475386,0.005703657780533168,0.007835121785045137,0.004525728456292622,0.012433997615397718,0.010774953502789833,0.1480156702435701,0.014432734035957842,0.3965252938170669,0.7442784513581387,5.380652429172125,0.003785377693436813,0.0
attention_rollout,not_predicted,0.003,0.016901652606032585,0.18292682926829212,0.030944194655949463,0.003649828233036607,0.0,41.80193236714976,0.17039553278020778,0.23007246376583637,0.007246376811594203,0.0018732438339057135,0.005314009661835749,0.006868560724320949,0.003381642512077295,0.008741804558226662,0.008115942028985508,0.10490165469871995,0.011968599033816425,0.30939743990009366,0.8266313724407097,5.8842573361528645,0.0024553748252853246,0.0
deeplift,all,0.022,0.3522533175666793,0.29562245010475213,0.32146282973124884,0.26520707653217446,0.12412945514133551,3.1179844326095862,0.43316168682886486,0.5867130957201315,0.44244162228594835,0.11902137976636544,0.26808684965178203,0.3605906986995812,0.1825071691929537,0.49096319153625745,0.05732077017615731,0.7709940489310116,0.0319705038918476,0.8600396737932554,0.7278644511142736,3.302502487341173,0.3136247063660974,0.0
deeplift,predicted,0.022,0.3423836389280671,0.3307784023164702,0.33648098414123667,0.28064530929848813,0.06199628022318661,3.5164290142591446,0.4849405687994549,0.6435730522773595,0.4680719156850589,0.12859819451541474,0.2848109113453193,0.3912451030488843,0.1926224426534408,0.5292113779594617,0.05864848109113453,0.8056549139839891,0.03218226906385617,0.884176460568898,0.707195181237238,3.133357741684876,0.3312279354062135,0.0
deeplift,not_predicted,0.022,0.38112429087158134,0.23108192620387671,0.28771656608445634,0.24001873274686614,0.24516908212560387,2.3417874396135265,0.3322929227967857,0.47594605474572504,0.392512077294686,0.10146737433655947,0.23550724637681159,0.30440212300967845,0.16280193236714977,0.4208554480174836,0.05473429951690821,0.7074617546050578,0.03155797101449275,0.8157976896659381,0.7681295867563727,3.632007891620891,0.2793324256393979,0.0
gradient_x_input,all,0.018000000000000002,0.3135391923990496,0.3493218656963278,0.330464716001899,0.2741634467752624,0.08930766079475624,4.139287177386317,0.48754656802230695,0.6403113478021154,0.45759934453092993,0.12309896407317611,0.2728390004096682,0.3669825876129601,0.18553871364195001,0.49911836014987876,0.0577058582548136,0.7761736830504739,0.03212208111429742,0.8641172581000661,0.7342017676799503,3.3223672701647797,0.3282332276355728,0.0
