explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0018678725914274476,0.01885544161429042,0.0033990279956167286,0.00046412035911626195,0.2757066775911512,37.50430151577223,0.020933196785308222,0.049501570394168776,0.00040966816878328555,0.00011020498126515319,0.0008193363375665711,0.001102049812651532,0.0010651372388365424,0.0028653295128939827,0.0009832036050798853,0.013224597751818383,0.0010815239655878738,0.02909411505400044,0.9654888915798671,7.651002717443072,0.0004901860189957545,0.0
random,predicted,0.001,0.001762359706891754,0.01892116182572611,0.0032243922429292084,0.0004472873525399381,0.2781731909845789,38.36654804270463,0.02140689367921238,0.04794385132417243,0.0005931198102016608,0.00016597510373443983,0.0009489916963226571,0.0013278008298755186,0.0011269276393831554,0.0031535269709543567,0.0009608540925266904,0.013443983402489626,0.0010320284697508896,0.028879668049792532,0.9654654331028341,7.694130918488405,0.0005264599958377206,0.0
random,not_predicted,0.001,0.002121956667411212,0.018725361366622804,0.00381194408965815,0.0005014742750616036,0.27019867549668874,35.57880794701987,0.019875378291106353,0.05298013244981621,0.0,0.0,0.0005298013245033113,0.0006559527714004591,0.0009271523178807947,0.0022958346999016072,0.0010331125827814569,0.012791079042308954,0.0011920529801324503,0.029517874713020663,0.9655412770001018,7.554692589016009,0.00040918214488243695,0.0
laat,all,0.052000000000000005,0.37322953832846756,0.3806373359797107,0.376897041156699,0.32440563769600445,0.2261368291683736,3.789020893076608,0.5404303268406185,0.6081182575388824,0.46866038508807867,0.12607449856733524,0.29963129864809507,0.4030196164866652,0.20958623514952887,0.5638086841525237,0.061229004506349854,0.8235618249944897,0.03275297009422368,0.8810888252148997,0.4983418293902445,2.386499126294202,0.3888153876317961,0.0
laat,predicted,0.052000000000000005,0.3611831862999476,0.46207468879667973,0.40544673413910715,0.3653296602827406,0.12277580071174377,4.571767497034401,0.6438220271093501,0.7039837880518144,0.5237247924080665,0.14655601659751039,0.3228944246737841,0.45178423236514526,0.2230723606168446,0.6242323651452282,0.06330960854092527,0.8858091286307054,0.033368920521945435,0.9337759336099585,0.4195810979868602,1.9414773078855032,0.43994787532173535,0.0
laat,not_predicted,0.052000000000000005,0.4334847501622295,0.21944809461235146,0.2913849509224717,0.2505047640980994,0.45695364238410596,2.0410596026490064,0.3095450200153452,0.3940397350954338,0.3456953642384106,0.08560183666775992,0.247682119205298,0.30665792062971464,0.17947019867549668,0.4444080026238111,0.05658278145695364,0.7005575598556903,0.03137748344370861,0.7769760577238439,0.6742234097162123,3.380282948594952,0.27463078598247487,0.0
attention_rollout,all,0.003,0.018490988229524274,0.26607123166832036,0.034578870059330094,0.0036858416434786398,0.0,53.46005735354363,0.2727085455506533,0.3336064454425839,0.0077836952068824255,0.0020938946440379105,0.005817287996722655,0.007824553669825877,0.004670217124129455,0.012563367864227463,0.010544858664481769,0.14183381088825214,0.014166325276526014,0.38108882521489973,0.7581111027245048,5.50654049304752,0.004124051423819043,0.0
attention_rollout,predicted,0.003,0.018725636263444697,0.30456431535269657,0.03528201578448628,0.00357479388376067,0.0,58.122182680901545,0.3155964596389575,0.3738631870267895,0.00830367734282325,0.002323651452282158,0.005931198102016607,0.008298755186721992,0.005100830367734282,0.014273858921161826,0.011613285883748518,0.1624896265560166,0.01473902728351127,0.41244813278008297,0.7311058127450939,5.348599394823942,0.00494442797509241,0.0
attention_rollout,not_predicted,0.003,0.017783521014091433,0.18988173455978913,0.032521240081706315,0.0039269290342555845,0.0,43.04900662251656,0.1769350049508112,0.24370860926911253,0.006622516556291391,0.0016398819285011479,0.005562913907284768,0.006887504099704822,0.003708609271523179,0.009183338799606429,0.008158940397350994,0.10101672679567071,0.012887417218543046,0.31912102328632336,0.8184169555791891,5.859240746828917,0.0022920582245516286,0.0
deeplift,all,0.018000000000000002,0.3063270185764206,0.3672951813871426,0.3340520483328033,0.27737214935070154,0.0680049160180254,4.454731667349447,0.5070765651188244,0.6811757476378706,0.4526833265055305,0.12177650429799428,0.27668988119623106,0.3721622217324223,0.1899631298648095,0.5110204981265153,0.05874641540352315,0.7901697156711484,0.032560426054895536,0.8759091910954375,0.724516479631336,3.2386098987547247,0.3255776073916222,0.0
deeplift,predicted,0.018000000000000002,0.3005766458433442,0.4152697095435678,0.3487351034866604,0.29705829276003587,0.02965599051008304,4.937129300118624,0.5620170592492584,0.7326018188937785,0.47568208778173193,0.13311203319502074,0.2896797153024911,0.4053112033195021,0.19899169632265717,0.5568464730290457,0.0593950177935943,0.8310373443983402,0.032491103202846976,0.9092116182572614,0.7061500567910368,3.066266753211125,0.34802912505812883,0.0
deeplift,not_predicted,0.018000000000000002,0.325098039215685,0.2723390275952685,0.2963889881966826,0.24114076995101336,0.15364238410596026,3.377483443708609,0.3843882563719213,0.566335540833287,0.4013245033112583,0.09937684486716956,0.247682119205298,0.30665792062971464,0.16980132450331126,0.4204657264676943,0.057298013245033114,0.7094129222695966,0.03271523178807947,0.8101016726795671,0.7655307695766927,3.623471545624272,0.2754408407880062,0.0
gradient_x_input,all,0.019,0.334042553191489,0.3462344249641633,0.3400292381779023,0.2877234912767046,0.0876689881196231,3.8508807865628842,0.4864583416698765,0.653386590188994,0.4682507169192954,0.1259642935860701,0.2811962310528472,0.37822349570200575,0.19307660794756248,0.519396076702667,0.05952478492421139,0.8006391888913379,0.03280622695616551,0.8825214899713467,0.7306238243216444,3.2484512329341593,0.33333353739334265,0.0
