explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0018943749110300798,0.019075973095159314,0.0034464897584967433,0.0004641204066204476,0.26833265055305205,37.41212617779598,0.020075049629551766,0.04793117574719002,0.0008193363375665711,0.00022040996253030638,0.0005735354362965998,0.0007714348688560723,0.0009012699713232282,0.00242450958783337,0.001220811142974191,0.016420542208507825,0.0010938140106513724,0.0294247299977959,0.9654751512329617,7.640519428163908,0.00022756459854595494,0.0
random,predicted,0.001,0.001829941631172109,0.019330111648058625,0.0033433730583268635,0.0004542975595265305,0.26586102719033233,38.30211480362538,0.021038564490126057,0.047280966766926114,0.0012084592145015106,0.000333000333000333,0.0007250755287009063,0.000999000999000999,0.001148036253776435,0.0031635031635031635,0.001244712990936556,0.017149517149517148,0.0010996978851963747,0.030303030303030304,0.9654565934113097,7.631957747724549,0.0002977686540015791,0.0
random,not_predicted,0.001,0.0020405971431639988,0.018578878748370213,0.00367730073045103,0.0004846161233742914,0.27353689567430023,35.538167938931295,0.01804627470047995,0.04930025445245309,0.0,0.0,0.0002544529262086514,0.0003259452411994785,0.0003816793893129771,0.0009778357235984355,0.0011704834605597964,0.01499348109517601,0.0010814249363867684,0.02770534550195567,0.9655142265444551,7.658546885068666,0.00007974308228761154,0.0
laat,all,0.046,0.37667837223714074,0.40213915536442785,0.3889925870570284,0.3387223088077509,0.19664072101597707,3.9664072101597707,0.5556970525734605,0.6340297692141942,0.4784924211388775,0.1287194181176989,0.3052027857435477,0.4105135552126956,0.20749692748873413,0.5581882301080009,0.06027038099139697,0.8106678421864668,0.03238426874231872,0.8711703769010359,0.5193132473189968,2.4261683178003963,0.39930025872537506,0.0
laat,predicted,0.046,0.36308851224105415,0.48191968005332364,0.41414864670854523,0.37741330757104297,0.08338368580060423,4.812688821752266,0.6577804959925743,0.7297079556829084,0.5141993957703928,0.1416916416916417,0.3255589123867069,0.4485514485514486,0.22126888217522658,0.6097236097236097,0.06282779456193353,0.8656343656343657,0.03350453172205438,0.9232434232434232,0.43785954711577574,1.9826567306762855,0.4424177776988113,0.0
laat,not_predicted,0.046,0.439720442632496,0.24608865710560546,0.31556948797867834,0.2711711257088519,0.4351145038167939,2.1844783715012723,0.34075036191362146,0.4325699745504262,0.4033078880407125,0.10332464146023468,0.2623409669211196,0.33604954367666234,0.17849872773536896,0.4573011734028683,0.05488549618320611,0.7030638852672751,0.030025445292620866,0.7692307692307693,0.6908219926578398,3.360025412826355,0.3085120985459387,0.0
attention_rollout,all,0.003,0.01680424030654445,0.2195390892049838,0.03121888499370068,0.0036800297828904105,0.0,48.53830397378124,0.21480056045136328,0.2750921753352776,0.0077836952068824255,0.0020938946440379105,0.006063088897992626,0.008155168613621335,0.00426054895534617,0.011461318051575931,0.00819336337566571,0.11020498126515318,0.012240884883244572,0.3292924840202777,0.7791348707913811,5.652548811801768,0.003657534729449881,0.0
attention_rollout,predicted,0.003,0.017259670777198522,0.25212464589235084,0.032307659455143696,0.003834104523606819,0.0,52.96737160120846,0.25177059148567477,0.312688821749207,0.00906344410876133,0.0024975024975024975,0.006404833836858006,0.008824508824508824,0.004773413897280967,0.013153513153513154,0.008966767371601209,0.12354312354312354,0.01293655589123867,0.35647685647685645,0.7546079994535223,5.485281854328797,0.004379448762150991,0.0
attention_rollout,not_predicted,0.003,0.015508906265208781,0.1558018252933502,0.028209743572964515,0.003400386860290325,0.0,39.212468193384225,0.13695653836257773,0.19592875317872138,0.005089058524173028,0.001303780964797914,0.0053435114503816794,0.006844850065189048,0.0031806615776081423,0.008148631029986962,0.006564885496183206,0.08409387222946545,0.010776081424936386,0.27607561929595825,0.8307786011529027,6.004745776964324,0.0021374740117395307,0.0
deeplift,all,0.019,0.3256615521458747,0.322968353732495,0.32430936167356916,0.2632805592203523,0.09545268332650553,3.68455551003687,0.46778418233980534,0.6188720469693159,0.4567800081933634,0.1228785541106458,0.268578451454322,0.36125192858717214,0.18168783285538714,0.4887590919109544,0.05657517410897173,0.7609653956358827,0.03161818926669398,0.8505620454044522,0.7384468579239624,3.369577851316522,0.32454752235076706,0.0
