explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005709754163362402,0.003969566655640089,0.004683231424848089,0.012964069182538077,0.9352724293322409,2.582957804178615,0.004793117574740498,0.008876143656884246,0.0012290045063498567,0.00033061494379545955,0.0009012699713232282,0.001212254793916685,0.0010651372388365424,0.0028653295128939827,0.0010569438754608766,0.014216442583204762,0.0010405571487095452,0.02799206524134891,0.9654979191021873,7.649903742267537,0.0005755001234716973,0.0
random,predicted,0.002,0.005775794171698594,0.003725656223539367,0.00452954498185003,0.01361141623447968,0.9331288343558283,2.3368098159509203,0.003803680981578728,0.0077709611451192906,0.001226993865030675,0.00033869602032176124,0.0008588957055214724,0.0011854360711261642,0.001165644171779141,0.0032176121930567315,0.0010552147239263803,0.014563928873835733,0.0010061349693251535,0.02777307366638442,0.9654844400107458,7.653404577407755,0.0006209744839184176,0.0
random,not_predicted,0.002,0.0056089743589743364,0.004424778761061933,0.0049469964615007226,0.0004851225010978105,0.9395807644882861,3.0776818742293464,0.006781750924745042,0.01109741060408138,0.0012330456226880395,0.0003155569580309246,0.0009864364981504315,0.0012622278321236984,0.0008631319358816276,0.002208898706216472,0.001060419235511714,0.013568949195329758,0.0011097410604192356,0.028400126222783213,0.9655250102477478,7.642867538471538,0.00048410282688951,0.0
laat,all,0.048,0.4127152630337339,0.38581982578012974,0.39881461217942427,0.3550318531526611,0.2068824252355592,3.473166734944695,0.5421298984819124,0.6216031680945512,0.4891437935272429,0.1315847476305929,0.3090536665301106,0.4156931893321578,0.2081933633756657,0.5600617147895085,0.060278574354772636,0.8107780471677319,0.0325686194182712,0.8761296010579678,0.5117482246375752,2.41310664560341,0.4141116934845269,0.0
laat,predicted,0.048,0.4062183658712937,0.47569856054191284,0.4382215288561848,0.40515920766389313,0.08895705521472393,4.242331288343558,0.6541614008252762,0.7324130879276046,0.5325153374233129,0.14699407281964436,0.3366871165644172,0.4646909398814564,0.22687116564417178,0.6262489415749365,0.06317791411042945,0.8719729043183743,0.03360736196319018,0.927688399661304,0.4257921955003368,1.9206557623457112,0.46382142018362854,0.0
laat,not_predicted,0.048,0.44145873320537143,0.21807838179519526,0.2919399196063191,0.2639682074942667,0.4438964241676942,1.9272503082614056,0.3169617741666438,0.3988902589356396,0.40197287299630086,0.10287156831808142,0.2535141800246609,0.3243925528557905,0.17065351418002467,0.4367308299147996,0.05445129469790382,0.6967497633322814,0.030480887792848334,0.7800568002524456,0.6845081845558224,3.402866127366725,0.3142018851990328,0.0
attention_rollout,all,0.002,0.015130748422001803,0.3700518248980038,0.029072764207519173,0.0034561427820356256,0.0,90.86439983613273,0.3759376049782694,0.4339068687654118,0.006964358869315854,0.0018734846815076042,0.0052437525604260545,0.007053118800969804,0.004588283490372798,0.012342957901697156,0.00830807046292503,0.11174785100286533,0.01202376075378943,0.3234516200132246,0.7654796857042682,5.688217329197864,0.0033124660703035907,0.0
attention_rollout,predicted,0.002,0.015309995782370307,0.4303132938187969,0.029567999999336476,0.0036531463441094557,0.0,101.82208588957056,0.4414573777504401,0.49427402862507536,0.008588957055214725,0.0023708721422523284,0.005398773006134969,0.007451312447078747,0.005276073619631902,0.014563928873835733,0.009533742331288344,0.13158340389500423,0.012993865030674847,0.3586790855207451,0.7389430752142088,5.509815599997051,0.003816420904336602,0.0
attention_rollout,not_predicted,0.002,0.014597886440981549,0.2575853350189625,0.02762992846628663,0.0031169740369217406,0.0,68.84093711467324,0.24425174848179818,0.31257706534833224,0.0036991368680641184,0.0009466708740927738,0.004932182490752158,0.006311139160618492,0.0032059186189889025,0.008204480908804039,0.005844636251541307,0.07478699905332913,0.010073982737361282,0.2578100347112654,0.818814673495633,6.046780607369658,0.0022995852078204725,0.0
deeplift,all,0.021,0.35096033923671693,0.3102877935825336,0.32937320769678013,0.2766995091522555,0.11593609176566981,3.2847193773043832,0.4571383037414545,0.6073671992294363,0.4739860712822614,0.12750716332378223,0.2735764031134781,0.36797443244434647,0.18324457189676363,0.4929468811990302,0.05752560426054896,0.7737491734626405,0.03212617779598525,0.8642274630813312,0.7304839138556254,3.281709614258124,0.33499648265480575,0.0
