explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.003,0.006334459459459433,0.0016539861065167035,0.0026230654859181347,0.0004641204066204476,0.9807455960671856,0.9700942236788201,0.0020473654435047067,0.004096681687791888,0.0012290045063498567,0.00033061494379545955,0.0012290045063498567,0.0016530747189772979,0.0010241704219582138,0.00275512453162883,0.000991396968455551,0.013334802733083535,0.0010036870135190497,0.02700022040996253,0.9654899326808414,7.633180415543444,0.0005149663463869872,0.0
random,predicted,0.003,0.006385696040868414,0.0016131634134537803,0.002575660009658259,0.0004605125529229131,0.981031416716064,0.9282750444576171,0.0020238800914444137,0.004149377593319502,0.0017783046828689982,0.00048394902403613486,0.0013040901007705986,0.0017744797547991611,0.0011262596324836988,0.0030650104855621876,0.001019561351511559,0.013873205355702533,0.001031416716064019,0.02806904339409582,0.9654700089268482,7.629196220184732,0.0004120304277096025,0.0
random,not_predicted,0.003,0.006234413965087204,0.0017421602787456385,0.0027233115434268066,0.00047210935829316674,0.980106100795756,1.063660477453581,0.00209991158266348,0.003978779840809019,0.0,0.0,0.0010610079575596816,0.001391304347826087,0.0007957559681697613,0.0020869565217391303,0.0009283819628647215,0.01217391304347826,0.0009416445623342175,0.024695652173913042,0.965534510098595,7.642094656352663,0.000745275225443682,0.0
laat,all,0.044,0.3586886453632928,0.4294850589921707,0.3909072661532094,0.33477790824487474,0.18639901679639492,4.448586644817698,0.5766621915995611,0.6444763075180585,0.4752150757886112,0.1278377782675777,0.30594018844735765,0.411505400044082,0.20983203605079886,0.5644699140401146,0.06113068414584187,0.822239365219308,0.03273658336747235,0.8806480052898391,0.5060508907991415,2.40376516588051,0.39542951038614477,0.0
laat,predicted,0.044,0.3477348066298339,0.5076625262139046,0.41274837693792465,0.3709216507420792,0.07468879668049792,5.364552459988144,0.6752808039917375,0.738984390429655,0.5115589804386484,0.13921600258106145,0.3275637225844695,0.4457170511372802,0.22513337285121518,0.6126794644297467,0.06413752222880853,0.8727214066784965,0.03396561944279786,0.9243426359090176,0.4283177488937319,1.9886049229417544,0.428957424614226,0.0
laat,not_predicted,0.044,0.41348811498065,0.26062717770034755,0.3197264372681773,0.2626283142969912,0.4363395225464191,2.3992042440318304,0.3560128559157396,0.43302387267473813,0.39389920424403185,0.10330434782608695,0.25755968169761273,0.3377391304347826,0.17559681697612733,0.46052173913043476,0.05440318302387268,0.713391304347826,0.029986737400530504,0.7864347826086957,0.6799710637360457,3.3326449136758436,0.32041413730554436,0.0
attention_rollout,all,0.003,0.01791963570434709,0.23431469842319969,0.03329312046494043,0.003279600520853867,0.0,48.58049979516591,0.23518559534013156,0.30352997405137805,0.007374027038099139,0.0019836896627727575,0.005571487095452683,0.007493938726030417,0.0047521507578861125,0.01278377782675777,0.010135190495698485,0.1363235618249945,0.013977877918885703,0.37601939607670265,0.7528744253808752,5.600104714812573,0.003568111375426615,0.0
attention_rollout,predicted,0.003,0.018592998696804922,0.2669785449266006,0.034764890610161546,0.003295342311347874,0.0,52.76348547717842,0.2767389427767426,0.3464236316899622,0.008298755186721992,0.002258428778835296,0.005453467694131594,0.0074205517018874016,0.0052163604030823945,0.014195838038393289,0.011381149970361588,0.15486368769156317,0.014973325429756965,0.40748507823842556,0.7271773846596631,5.415572615896373,0.003917286993974219,0.0
attention_rollout,not_predicted,0.003,0.015892875257836534,0.16376306620209002,0.028973892671691186,0.0032577363849407874,0.0,39.221485411140584,0.14221411374124182,0.2075596816955537,0.005305039787798408,0.001391304347826087,0.005835543766578249,0.0076521739130434785,0.003713527851458886,0.009739130434782608,0.007347480106100796,0.09634782608695652,0.011750663129973474,0.30817391304347824,0.8103689979228977,6.012976930822687,0.002786865661249149,0.0
deeplift,all,0.022,0.37114656571119475,0.30267945749255676,0.33343455814871054,0.2839142807338796,0.12658746415403524,3.0299057763211796,0.4412226722642447,0.6041581319073117,0.4702990577632118,0.12651531849239586,0.2780827529700942,0.3740357064139299,0.18717738631708317,0.5035265594004849,0.058099139696845555,0.7814635221512012,0.03238017206063089,0.8710601719197708,0.7295698334305579,3.2690548986856744,0.33243392879409295,0.0
deeplift,predicted,0.022,0.3652673750217726,0.3382803678012577,0.3512562814020419,0.3015500300371211,0.07409602845287493,3.4030823947836395,0.48957483836455873,0.6539715471188077,0.5050385299347955,0.1374415228262623,0.2963841138114997,0.4032908533634457,0.1994665085951393,0.5428294886271979,0.06022525192649674,0.8194870140345217,0.033070539419087136,0.8999838683658654,0.7108613507822392,3.083150332082057,0.35649128054376034,0.0
deeplift,not_predicted,0.022,0.39154078549848703,0.22578397212543475,0.2864088397743647,0.2480568396624791,0.2440318302387268,2.1949602122015914,0.33303951018038613,0.49270557028689543,0.3925729442970822,0.10295652173913043,0.23713527851458885,0.3109565217391304,0.1596816976127321,0.41878260869565215,0.053342175066312995,0.6994782608695652,0.03083554376657825,0.808695652173913,0.7714282024328314,3.684997874627721,0.27860799722686624,0.0
gradient_x_input,all,0.022,0.38736504231105867,0.29275554085345656,0.33347987187853545,0.2869420493518234,0.1466612044244162,2.807865628840639,0.4330547791837379,0.5901269971266018,0.48013109381401065,0.12916023804275953,0.2813600983203605,0.37844390566453606,0.18988119623105285,0.510800088163985,0.05836952068824253,0.7851002865329513,0.032630069643588694,0.8777826757769451,0.7361312399843648,3.3031280759465433,0.3383741226682527,0.0
gradient_x_input,predicted,0.022,0.378915775651847,0.3258590095176636,0.350390286204915,0.3037298349206774,0.09602845287492591,3.1600474214582097,0.47903780247643535,0.6372258446885927,0.5109662122110255,0.1390546862397161,0.2997036158861885,0.4078077109211163,0.2024896265560166,0.5510566220358122,0.06061647895672792,0.8248104532989192,0.03333135743924125,0.9070817873850621,0.7179756222927821,3.1271885413564338,0.36232272389751247,0.0
gradient_x_input,not_predicted,0.022,0.41694024950754816,0.2212543554006961,0.28909628954702804,0.25322950738535466,0.259946949602122,2.019893899204244,0.33017233847448013,0.4847480106052775,0.41114058355437666,0.10782608695652174,0.2403183023872679,0.3151304347826087,0.1616710875331565,0.424,0.053342175066312995,0.6994782608695652,0.031061007957559682,0.8146086956521739,0.7767526286391391,3.6967752839750787,0.28479150957307847,0.0
integrated_gradient,all,0.017,0.3882054025140407,0.32010144448119937,0.35087931346576556,0.2983261357327597,0.07005325686194183,3.0634985661614094,0.48711623913574076,0.6393554554082814,0.49938549774682506,0.13433987216222174,0.29266693977877917,0.3936521930791272,0.19405981155264235,0.5220409962530307,0.05904137648504711,0.7941370949966938,0.032400655469070054,0.8716111968260966,0.8065651151943528,3.3374218695302287,0.3846993049241749,0.0
integrated_gradient,predicted,0.017,0.3808777429467078,0.35279883852234173,0.3663009798124424,0.3076926702152877,0.015411973918197985,3.4036751630112625,0.5410736775710285,0.6853388658302345,0.5204505038529935,0.14163574770124213,0.3052756372258447,0.4153895789643491,0.2014819205690575,0.5483142442329408,0.0603556609365738,0.8212614937893209,0.0327267338470658,0.8906275205678336,0.7948315332504945,3.1747532250697588,0.40641955667302426,0.0
integrated_gradient,not_predicted,0.017,0.41244239631336166,0.24947735191637543,0.31089882761145454,0.28637998811681054,0.19230769230769232,2.302387267904509,0.3663918377559921,0.5364721485358213,0.45225464190981435,0.11860869565217391,0.2644562334217507,0.3467826086956522,0.17745358090185676,0.4653913043478261,0.05610079575596817,0.7356521739130435,0.0316710875331565,0.8306086956521739,0.8328178376602536,3.7013767809424465,0.3361024021386196,0.0
