explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004115226337448553,0.0028669092512956197,0.003379476176351736,0.00046412035911626195,0.9324047521507579,2.588283490372798,0.0034343848149517636,0.006554690700467021,0.0016386726751331422,0.00044081992506061276,0.0008193363375665711,0.001102049812651532,0.0006554690700532568,0.001763279700242451,0.0008111429741909054,0.010910293145250166,0.0009217533797623924,0.024796120784659467,0.965457858587858,7.6430422028493865,0.0005406294619338555,0.0
random,predicted,0.002,0.0038718003871800306,0.0030753459764223424,0.0034279184867815745,0.0004568700041307972,0.924317617866005,2.883995037220844,0.003546319272112281,0.007444168734416874,0.0006203473945409429,0.00017085255424568598,0.0007444168734491315,0.0010251153254741158,0.0007444168734491315,0.0020502306509482316,0.0007692307692307692,0.010592858363232531,0.0008870967741935484,0.024431915257133095,0.9654160586072061,7.639232811290942,0.0004430157016410272,0.0
random,not_predicted,0.002,0.004793289394847185,0.0024875621890547185,0.003275332646473794,0.000477923813356483,0.9481302774427021,2.0132689987937273,0.0032167269802801652,0.00482509047039807,0.0036188178528347406,0.0009313877677739833,0.0009650180940892642,0.0012418503570319776,0.0004825090470446321,0.0012418503570319776,0.0008926417370325693,0.011487115802545793,0.0009891435464414958,0.02545793231915554,0.9655391391292458,7.650449608388847,0.0007304405374369185,0.0
laat,all,0.051000000000000004,0.37621657903568595,0.37082368508104496,0.37350066636550194,0.32094569753942137,0.23433019254403933,3.6620237607537893,0.5261728560286222,0.5975351631787406,0.4559606718557968,0.12265814414811549,0.29676362146661206,0.39916244214238483,0.20405571487095453,0.548931011681728,0.06027038099139697,0.8106678421864668,0.0325809094633347,0.8764602160017633,0.5127662748721227,2.4603032774251643,0.3792305596292455,0.0
laat,predicted,0.051000000000000004,0.3654475982532746,0.45754314026994625,0.4063424626306738,0.361745601131993,0.11476426799007444,4.54590570719603,0.6418847186312525,0.7056968568998104,0.511166253101737,0.14078250469844525,0.3218362282878412,0.4431915257133094,0.21947890818858562,0.6044763369212369,0.06291563275434243,0.8663933025798736,0.03364143920595534,0.926533401674355,0.42870647355303554,1.9907878762497457,0.4348184480723678,0.0
laat,not_predicted,0.051000000000000004,0.42520173805089745,0.2129975124378103,0.28382017816004307,0.251831036736441,0.46682750301568154,1.9433051869722557,0.30116981318731917,0.38721351024947076,0.3486127864897467,0.08972368829556039,0.2480096501809409,0.3191555417572183,0.17406513872135101,0.4479975162992859,0.055126658624849216,0.7094070164545172,0.030518697225572978,0.7854703508227259,0.6762215218279352,3.3732813554646994,0.2711392735371909,0.0
attention_rollout,all,0.003,0.018342268300939154,0.2569191752122613,0.03424003291621262,0.003624560686343971,0.0,52.03973781237198,0.2600204672191243,0.32083845418230517,0.009012699713232281,0.00242450958783337,0.005899221630479312,0.00793475865109103,0.004506349856616141,0.012122547939166851,0.010356411306841458,0.13929909631915363,0.013785333879557559,0.37083976195724044,0.7632883251233529,5.573005799655843,0.004538668950390162,0.0
attention_rollout,predicted,0.003,0.01926903229238708,0.30941397573893675,0.03627877160890444,0.0035951702166641154,0.0,58.30334987593052,0.31746892667357846,0.3751033912287683,0.009305210918114143,0.0025627883136852894,0.005831265508684864,0.008030070049547242,0.004962779156327543,0.013668204339654879,0.011923076923076923,0.16418930463010423,0.01478908188585608,0.4073124893217154,0.7343603085414145,5.3924246052719695,0.005026142456340319,0.0
attention_rollout,not_predicted,0.003,0.015706330952669163,0.16138059701492488,0.02862658576782637,0.003686811628301492,0.0,39.86007237635706,0.14831127947415437,0.21531966224153495,0.008443908323281062,0.002173238124805961,0.006031363088057901,0.00776156473144986,0.0036188178528347406,0.009313877677739833,0.007310012062726176,0.09407016454517231,0.011833534378769602,0.3045638000620925,0.819539184870138,5.924148001521712,0.003590771131823629,0.0
deeplift,all,0.02,0.32651670074982925,0.3169037380086004,0.3216384085899311,0.2646121802625381,0.0991396968455551,3.6058992216304793,0.45860994212426304,0.6165847330269718,0.46661204424416225,0.12552347366100947,0.26431790249897585,0.3555212695613842,0.18041786153215894,0.4853427374917346,0.05709135600163867,0.7679083094555874,0.03186808684965178,0.8572845492616267,0.730993443677564,3.326227139770535,0.3223273650662235,0.0
deeplift,predicted,0.02,0.32381243317549974,0.3622074150008536,0.3419354838659829,0.285970301291669,0.04962779156327544,4.061414392059554,0.5267659020710342,0.6787117452375252,0.5086848635235732,0.1400990944814625,0.2817617866004963,0.3880061506919528,0.1890198511166253,0.5205877327866052,0.05811414392059553,0.8002733640867931,0.031916873449131515,0.8790363915940543,0.7115503916968088,3.1342718071338074,0.3575543764062796,0.0
deeplift,not_predicted,0.02,0.33436807095343535,0.23445273631840724,0.2756351672406294,0.22803078525282552,0.195416164053076,2.7201447527141136,0.3260798969684186,0.49577804583347107,0.3848009650180941,0.09903756597330021,0.23039806996381182,0.29649177274138466,0.16369119420989142,0.4212977336230984,0.055102533172496984,0.7090965538652593,0.031773220747889026,0.8177584601055573,0.7688006810635436,3.6994864838120356,0.25382803782838215,0.0
gradient_x_input,all,0.022,0.37545388525780626,0.2850369390230453,0.32405666290094765,0.2728553062189093,0.15157722244981564,2.820565342072921,0.42295356486356245,0.5753789430505694,0.4711183941007784,0.12673572845492617,0.27103646046702173,0.36455807802512674,0.1839000409668169,0.49471016089927267,0.0577550184350676,0.7768349129380648,0.031978697255223267,0.8602600837557858,0.7375763275742332,3.351345842579655,0.3333217481337412,0.0
gradient_x_input,predicted,0.022,0.3737058019144357,0.32684093627199673,0.3487057965681169,0.29496056207406934,0.09305210918114144,3.175558312655087,0.4863344341709044,0.6344602977606743,0.5099255583126551,0.14044079958995387,0.28957816377171214,0.39876986160943106,0.19323821339950373,0.5322057064753118,0.05859801488833747,0.8069366137023749,0.03202853598014888,0.8821117375704767,0.7185315192695084,3.1691453641996876,0.36824290280627037,0.0
gradient_x_input,not_predicted,0.022,0.3805209513023761,0.20895522388059637,0.2697711762298665,0.2349227984565906,0.26537997587454765,2.1302774427020505,0.2997087381766684,0.46049457176867686,0.3956574185765983,0.10183172927662217,0.23498190591073584,0.3023905619372866,0.16574185765983113,0.4265755976404843,0.05611580217129071,0.722135982614095,0.031881785283474066,0.8205526234088792,0.7746091755684629,3.7056367607322587,0.26541716269089793,0.0
integrated_gradient,all,0.012,0.33753839403247005,0.33928768331679315,0.3384107781088298,0.2795058116835043,0.06267922982384269,3.734535026628431,0.4973903436384566,0.6490850744167982,0.4555510036870135,0.12254793916685035,0.28029496108152396,0.377011240908089,0.19033183121671446,0.5120123429579017,0.05818107333060221,0.7825655719638528,0.03185170012290045,0.856843729336566,0.8585525458495,3.655288855459889,0.348922626793694,0.0
integrated_gradient,predicted,0.012,0.33885819521178584,0.37724243977447397,0.35702158621863733,0.2919200336339351,0.019230769230769232,4.042183622828784,0.5575257707411448,0.7016645988353137,0.48635235732009924,0.1339484025286178,0.29503722084367245,0.40628737399624126,0.19826302729528536,0.5460447633692124,0.058970223325062035,0.8120621903297455,0.0319106699751861,0.8788655390398087,0.854133105286515,3.5179139426524806,0.3793746301675457,0.0
integrated_gradient,not_predicted,0.012,0.33423076923076794,0.2702114427860688,0.29883081154938795,0.2572247230441246,0.1471652593486128,3.1363088057901085,0.38045631650994804,0.5468435866452093,0.3956574185765983,0.10183172927662217,0.25162846803377564,0.3238124805960882,0.17490952955367914,0.4501707544240919,0.056646562123039805,0.7289661595777709,0.031737032569360675,0.8168270723377833,0.8671461986692001,3.922415947674054,0.2897083572657701,0.0
grad_attention,all,0.061,0.4252178965717602,0.4034623442496412,0.4140545433920835,0.37648274603943305,0.039328144203195414,3.525194592380172,0.5739470928356781,0.7121056943807013,0.5354362965997542,0.14403791051355522,0.32576812781646863,0.43817500551024907,0.21986890618598934,0.5914701344500771,0.06267922982384269,0.8430681066784219,0.033752560426054894,0.9079788406435971,0.2942176520401781,2.224320201717934,0.43944179128333877,0.0
grad_attention,predicted,0.061,0.4346539536412947,0.4517341534255929,0.4430294906116231,0.41292288544376365,0.006823821339950372,3.7735732009925558,0.6411228601457397,0.7624069478835617,0.5719602977667494,0.15752605501452246,0.3445409429280397,0.47445754314026994,0.23120347394540944,0.6367674696736716,0.0639454094292804,0.8805740645822655,0.034100496277915636,0.9391764906885358,0.2503629079468148,1.931134973474032,0.4780112069086226,0.0
grad_attention,not_predicted,0.061,0.40245836637589055,0.3156094527363174,0.3537818055022173,0.30613026233129303,0.10253317249698432,3.0422195416164053,0.4433230434945211,0.6142943305126545,0.4644149577804584,0.11952809686432785,0.2892641737032569,0.3722446445203353,0.19782870928829915,0.5091586463831108,0.060217129071170085,0.7749146227879541,0.03307599517490953,0.8512884197454207,0.3794937044871042,2.7944222378206733,0.36444312061029016,0.0
atgrad_attention,all,0.037,0.36840984130365284,0.3814091961627519,0.37479683605524605,0.3233015840979421,0.16591560835723065,3.846374436706268,0.5484983785177645,0.6356343028752139,0.4948791478902089,0.13312761736830506,0.30585825481360096,0.41139519506281685,0.20434248258910281,0.5497024465505841,0.05892666939778779,0.7925942252589817,0.03190086030315444,0.8581661891117478,0.6057944885977966,2.6370607114650513,0.4018621148891098,0.0
