explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0049182928764080515,0.003418237953467854,0.0040333073071577175,0.012964069277535982,0.9324047521507579,2.5821384678410486,0.004690863099276702,0.008193363375583776,0.0024580090126997134,0.0006612298875909191,0.0013109381401065136,0.001763279700242451,0.0007783695206882425,0.0020938946440379105,0.0009176566980745596,0.012342957901697156,0.001015977058582548,0.02733083535375799,0.9654574340685913,7.6544205591969465,0.001138014329517804,0.0
random,predicted,0.002,0.00604621032174475,0.004581151832460726,0.005212696634767358,0.012960553873495345,0.9244604316546763,2.776378896882494,0.005965465722629304,0.010191846522679855,0.002997601918465228,0.0008180628272251309,0.0016786570743405275,0.0022905759162303663,0.0009592326139088729,0.002617801047120419,0.0010311750599520384,0.01407068062827225,0.0010491606714628297,0.028632198952879582,0.9654034326363887,7.6504305773029655,0.0015666096720987047,0.0
random,not_predicted,0.002,0.0017942583732057308,0.0010145417653026681,0.0012961762753593733,0.0004715070686196643,0.9495472186287193,2.1630012936610608,0.001940491591188551,0.0038809831823673996,0.00129366106080207,0.00033760972316002703,0.000517464424320828,0.0006752194463200541,0.00038809831824062095,0.001012829169480081,0.0006727037516170763,0.008777852802160702,0.000944372574385511,0.02464550979068197,0.9655739597981057,7.663030248458472,0.00021317987748036265,0.0
laat,all,0.049,0.36209136176661577,0.3688389017532249,0.36543398699450846,0.31737599842011854,0.22040147480540762,3.784514543219992,0.516322669769394,0.6055578314840219,0.48054076198279394,0.12927044302402468,0.29389594428512905,0.3953052677981045,0.19848422777550184,0.5339431342296672,0.05821384678410488,0.7830063918889134,0.03160999590331831,0.850341635441922,0.5157557461556369,2.583125431090532,0.3823104725339619,0.0
laat,predicted,0.049,0.35552959501557585,0.44813481675392597,0.39649681528169,0.35821695287076327,0.10311750599520383,4.618705035971223,0.6227654553343966,0.7117306155008228,0.5251798561151079,0.14332460732984292,0.3185851318944844,0.43471858638743455,0.2157074340527578,0.5886780104712042,0.061654676258992805,0.8412958115183246,0.033111510791366906,0.9036321989528796,0.4378967862448483,2.1160787892493103,0.4324476149895275,0.0
laat,not_predicted,0.049,0.39504563233376533,0.20493743659113897,0.26987307948781875,0.236594936204527,0.47347994825355755,1.9844760672703752,0.28663759043896136,0.37645536868968305,0.38421733505821476,0.10027008777852803,0.240620957309185,0.31397704253882514,0.16131953428201812,0.4209993247805537,0.050789133247089266,0.662727886563133,0.02836998706338939,0.7403781228899392,0.6837618847470924,3.590931121376636,0.2741232104176832,0.0
attention_rollout,all,0.003,0.0181613147435493,0.2539420002205312,0.03389830508349997,0.003528379138608366,0.0,51.94920114707087,0.25642126746788807,0.31489826573501206,0.008603031544448997,0.0023143046065682168,0.005407619827939369,0.00727352876350011,0.005079885292912741,0.013665417676878995,0.009356820975010241,0.12585408860480493,0.013023351085620647,0.350341635441922,0.7705803377983484,5.561048720715982,0.0038988420664569324,0.0
attention_rollout,predicted,0.003,0.01954112785510166,0.31102748691099424,0.03677195968707068,0.0035936018167646877,0.0,58.32254196642686,0.3159858859308193,0.3739008792929194,0.0077937649880095924,0.0021269633507853404,0.005515587529976019,0.007526178010471204,0.005695443645083933,0.015543193717277488,0.010815347721822542,0.1475785340314136,0.014124700239808153,0.3854712041884817,0.7433885722932599,5.370021741549725,0.003761011838836506,0.0
attention_rollout,not_predicted,0.003,0.013615118878276768,0.13594859655055755,0.02475140842736949,0.0034097998028710286,0.0,38.19663648124192,0.12789114638616828,0.18758085381445666,0.01034928848641656,0.0027008777852802163,0.00517464424320828,0.00675219446320054,0.0037516170763260024,0.009790681971640782,0.006209573091849935,0.08102633355840648,0.010646830530401035,0.27785280216070224,0.8292554540499493,5.973251827118718,0.004196255804711616,0.0
deeplift,all,0.021,0.34944472488642053,0.30532583526298346,0.32589889954189455,0.26230174356423586,0.1077427283900041,3.2462105694387544,0.43651595402414367,0.5953844052926237,0.44448996312986483,0.1195724046726912,0.27349446947972145,0.36786422746308134,0.1862351495288816,0.5009918448313864,0.05777959852519459,0.7771655278818602,0.03197460057353543,0.8601498787745206,0.7340480443306496,3.3298947729442823,0.31724507927164997,0.0
deeplift,predicted,0.021,0.3435562805872751,0.3445680628272246,0.3440614278662623,0.2827407804656574,0.06235011990407674,3.675059952038369,0.4928908712118306,0.6465827338067536,0.4784172661870504,0.13056282722513088,0.28872901678657076,0.39397905759162305,0.19676258992805756,0.536976439790576,0.059664268585131894,0.8141361256544503,0.03273980815347722,0.8934882198952879,0.7155759373579036,3.141613612469872,0.3438200297604157,0.0
deeplift,not_predicted,0.021,0.36956521739130227,0.22421373013188967,0.2790991370190829,0.22218750073591081,0.2056921086675291,2.320827943078913,0.31486865535782843,0.48490728761918467,0.37128072445019406,0.09689399054692775,0.240620957309185,0.31397704253882514,0.16351875808538163,0.4267386900742741,0.05371280724450194,0.700877785280216,0.030323415265200517,0.7913571910871033,0.7739076490273383,3.736172878599283,0.25990094290003124,0.0
gradient_x_input,all,0.019,0.3392937471884837,0.3326717388907263,0.3359501141311841,0.2694046085742641,0.09340434248258911,3.642769356820975,0.46642155046439443,0.6230028676711761,0.4530929946743138,0.12188670927925942,0.27709954936501435,0.37271324663874805,0.18828349037279804,0.5065020938946441,0.058295780417861535,0.7841084417015649,0.032183531339614914,0.8657703328190435,0.7395685215255965,3.340353434752174,0.3233033266577731,0.0
gradient_x_input,predicted,0.019,0.33221476510067066,0.372545811518324,0.35122628412273454,0.28841184549860577,0.050359712230215826,4.109112709832134,0.5228464245654537,0.6741107114244087,0.486810551558753,0.13285340314136126,0.2918465227817746,0.3982329842931937,0.19808153477218227,0.5405759162303665,0.06013189448441247,0.8205170157068062,0.032859712230215825,0.8967604712041884,0.7210645776228616,3.156803992625443,0.35397378752667685,0.0
gradient_x_input,not_predicted,0.019,0.363101079489694,0.25025363544132484,0.2962962962914644,0.2322821501270269,0.18628719275549807,2.6364812419146184,0.34466645343908175,0.5127210004261672,0.38033635187580855,0.09925725860904794,0.24527813712807245,0.3200540175557056,0.16714100905562743,0.4361917623227549,0.054333764553686936,0.7089804186360568,0.03072445019404916,0.8018230925050641,0.7794968247982506,3.7364213124590147,0.2571217888449253,0.0
integrated_gradient,all,0.011,0.3563658838071689,0.3178961296725104,0.33603356838478216,0.29237027113126346,0.0594018844735764,3.31421548545678,0.475815388532823,0.6145705311971287,0.46497337156902907,0.12508265373594887,0.2899631298648095,0.3900154286973771,0.19479721425645227,0.5240246859158034,0.05824662023760754,0.783447211813974,0.03209340434248259,0.86334582323121,0.8870040173239848,3.783702420793849,0.35812192657642095,0.0
integrated_gradient,predicted,0.011,0.3555366269165241,0.34145942408376906,0.3483558671290358,0.2999334611687569,0.023381294964028777,3.5191846522781773,0.5213838939476569,0.6493804955972988,0.49640287769784175,0.1354712041884817,0.3017985611510791,0.4118128272251309,0.20173860911270983,0.5505562827225131,0.059640287769784174,0.8138089005235603,0.03250599520383693,0.887107329842932,0.8850643873222966,3.6577256325216005,0.38827672706110455,0.0
integrated_gradient,not_predicted,0.011,0.35855855855855695,0.2691917483936413,0.3075140042446655,0.27766434648161137,0.1371280724450194,2.871927554980595,0.3774864531745528,0.5394566623491549,0.39715394566623546,0.10364618501012829,0.2644243208279431,0.3450371370695476,0.17981888745148772,0.46927751519243754,0.055239327296248385,0.7207967589466576,0.031203104786545924,0.8143146522619852,0.891189402631638,4.055538491735778,0.2930530944826922,0.0
grad_attention,all,0.046,0.39046994944766866,0.45991840335207806,0.42235836159697726,0.37991541183976435,0.016796394920114706,4.376075378943056,0.6234316664417162,0.7690837088551409,0.5432199918066366,0.14613180515759314,0.33379762392462103,0.44897509367423405,0.2208111429741909,0.5940048490191757,0.062146661204424414,0.8359047828961869,0.03344530929946743,0.8997134670487106,0.2881737116097317,2.2796781298026625,0.43995891632608936,0.0
grad_attention,predicted,0.046,0.40254564155309797,0.5122709424083761,0.45082793376037,0.41441409794309064,0.0005995203836930455,4.663069544364508,0.689431279569036,0.8189948041489226,0.5713429256594724,0.15592277486910994,0.35335731414868105,0.48216623036649214,0.23513189448441246,0.6416884816753927,0.06431654676258992,0.8776178010471204,0.03432254196642686,0.9366819371727748,0.24630076026961267,1.9697779332033523,0.4758702511354799,0.0
grad_attention,not_predicted,0.046,0.3581267217630842,0.3517078119715916,0.35488824432190585,0.3054275145166468,0.0517464424320828,3.7567917205692107,0.4810159423843174,0.6613842173285847,0.48253557567917205,0.12592842673869006,0.29159120310478653,0.38048615800135044,0.18990944372574387,0.49561107359891965,0.05746442432082794,0.74983119513842,0.031552393272962484,0.8234301147873059,0.37852828190121746,2.948389032684486,0.36246848105821955,0.0
atgrad_attention,all,0.037,0.3584926269797921,0.36189216010585473,0.360184372251365,0.3080739655827237,0.16591560835723065,3.7505120852109792,0.5233030075144002,0.6409599890693659,0.5010241704219582,0.13478069208728236,0.2945514133551823,0.3961869076482257,0.194264645637034,0.5225920211593564,0.05680458828349037,0.7640511351113071,0.030884883244571896,0.8308353537579899,0.6040973706312409,2.8029093314346443,0.38104770996549353,0.0
atgrad_attention,predicted,0.037,0.35108242570929094,0.42719240837696265,0.3854158978472873,0.34004486953226776,0.06774580335731414,4.4586330935251794,0.6097428490765311,0.7269684252528792,0.5347721822541966,0.14594240837696335,0.31402877697841725,0.42850130890052357,0.2065947242206235,0.5638089005235603,0.059448441247002395,0.8111910994764397,0.032128297362110314,0.8767997382198953,0.557562435445083,2.4457977761328737,0.42120676297070914,0.0
atgrad_attention,not_predicted,0.037,0.3905704307334087,0.22691917483936344,0.2870588235247617,0.24655046608243303,0.3777490297542044,2.222509702457956,0.3367808138201774,0.45536869339782665,0.4282018111254851,0.11174881836596894,0.25252263906856404,0.32950708980418636,0.16765847347994825,0.437542201215395,0.05109961190168176,0.6667792032410533,0.028201811125485123,0.7359891964888589,0.7045116939048651,3.573494162279862,0.29439143517545513,0.0
