explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.003969514131470302,0.002756643510861173,0.00325372551087807,0.00046412045412464294,0.9332240884883245,2.580090126997132,0.003377501236968112,0.007920251263065227,0.0008193363375665711,0.00022040996253030638,0.000737402703809914,0.0009918448313863788,0.0009422367882015567,0.002534714569098523,0.001106104055714871,0.01487767247079568,0.0010569438754608766,0.028432885166409523,0.9654811605501218,7.632791346917874,0.0005389429698877628,0.0
random,predicted,0.002,0.004659418682050134,0.003527633126154874,0.004015296362208355,0.0004497965677340884,0.9258142340168878,2.718335343787696,0.004118102444377468,0.009248090068264308,0.0012062726176115801,0.0003359650596337981,0.0009650180940892642,0.0013438602385351924,0.0010856453558504221,0.0030236855367041827,0.0012303980699638118,0.0171342180413237,0.001043425814234017,0.029060977658323533,0.9654687825551316,7.662896027804028,0.000692323804507158,0.0
random,not_predicted,0.002,0.0022333891680625224,0.0012836970474967865,0.0016303240222649,0.0004941863323539462,0.9489144316730523,2.2873563218390807,0.0018092805449058996,0.005108556832643678,0.0,0.0,0.0002554278416347382,0.0003204101249599487,0.0006385696040868455,0.0016020506247997437,0.000842911877394636,0.010573534123678308,0.0010855683269476372,0.027234860621595643,0.965507370914993,7.56904478126111,0.00021415954230288766,0.0
laat,all,0.047,0.39265630168706545,0.39265630168706545,0.39265630168206545,0.3413388888693869,0.22572716099959034,3.7152806226956168,0.5463480991489947,0.617369930350493,0.4956984842277755,0.13334802733083537,0.31265874641540353,0.42054220850782453,0.21151167554281033,0.5689883182719859,0.06081114297419091,0.8179413709499669,0.03265464973371569,0.878443905664536,0.5090852826195866,2.3928703164093723,0.4096535607406371,0.0
laat,predicted,0.047,0.38042313872522715,0.4772383672098094,0.4233663661376754,0.38333519758987816,0.10856453558504221,4.504221954161641,0.6516334825209579,0.7209489344523276,0.5331724969843185,0.14849655635813874,0.33498190591073584,0.4664874853015286,0.2247285886610374,0.6259029060977659,0.06322074788902292,0.8803964387703679,0.03342581423401689,0.9309591802452545,0.42329621214232854,1.9250057273085743,0.45704691232747424,0.0
laat,not_predicted,0.047,0.44971892567145255,0.2310654685494216,0.30527877888039895,0.2715317380079844,0.47381864623243936,2.044699872286079,0.32340663601909075,0.3980417198768768,0.4163473818646232,0.10445370073694328,0.265389527458493,0.33290611983338675,0.1835249042145594,0.46042934956744636,0.0557088122605364,0.6988144825376482,0.031021711366538952,0.7782761935277155,0.6907433654437171,3.383572090009783,0.3092982900752782,0.0
attention_rollout,all,0.003,0.018078178463867292,0.25283934281618675,0.033743662944739586,0.003475386145868365,0.0,51.96149119213437,0.2577397465345797,0.3151030998193917,0.0077836952068824255,0.0020938946440379105,0.005735354362965997,0.0077143486885607225,0.004547316673494469,0.012232752920432003,0.010241704219582138,0.1377562265814415,0.013646046702171242,0.3670927925942253,0.764075057815921,5.56458306555354,0.0035067184248788676,0.0
attention_rollout,predicted,0.003,0.01811616888944545,0.29161767176213627,0.034113127461341756,0.0036969586102170984,0.0,57.79613992762364,0.305443025592228,0.36650583031406675,0.008443908323281062,0.0023517554174365867,0.006151990349819059,0.00856710902066185,0.005006031363088058,0.01394254997480262,0.011652593486127865,0.16227112380312447,0.014270205066344995,0.39744666554678315,0.7361923697771674,5.386449543954936,0.003905555888568585,0.0
attention_rollout,not_predicted,0.003,0.01796078937185605,0.17875481386392753,0.03264181903256474,0.0030744782941814833,0.0,39.606641123882504,0.1567282054393295,0.20625798211802363,0.006385696040868455,0.0016020506247997437,0.004853128991060026,0.006087792374239026,0.0035759897828863347,0.008971483498878564,0.007254150702426565,0.09099647548862544,0.012324393358876118,0.3091957705863505,0.8231165607127963,5.941780228785322,0.0026621813689432965,0.0
deeplift,all,0.022,0.36740623349181145,0.30675928988863127,0.3343549065511365,0.2777225269030804,0.1269971323228185,3.102007374027038,0.4556129814207282,0.6167212890832269,0.4702990577632118,0.12651531849239586,0.2779188857025809,0.3738152964513996,0.18562064727570668,0.49933877011240907,0.0574190905366653,0.7723165087061935,0.03212208111429742,0.8641172581000661,0.7281588541132604,3.285666279099003,0.33144418256333164,0.0
deeplift,predicted,0.022,0.3580204187575699,0.3475558541911635,0.3527105352831014,0.29759272675948945,0.07478890229191798,3.4855247285886612,0.5119862304291507,0.6702352231540213,0.5012062726176115,0.1395934822778431,0.2942098914354644,0.4097093902234168,0.19535585042219542,0.544095414076936,0.05840772014475271,0.8133714093734251,0.032207478890229194,0.8970267092222409,0.7082010847493467,3.0916635303519233,0.3630414110438315,0.0
deeplift,not_predicted,0.022,0.3976575571667574,0.2288189987163022,0.2904868608631558,0.24444428353310402,0.23754789272030652,2.289910600255428,0.3362428066366102,0.5034057045501786,0.40485312899106,0.10157000961230375,0.2434227330779055,0.30535084908683113,0.16500638569604087,0.41396988144825375,0.05532567049808429,0.694008330663249,0.03194125159642401,0.8013457225248318,0.7704193670192232,3.696466480149653,0.26453715214102164,0.0
gradient_x_input,all,0.019,0.33968841921777937,0.34380857867460546,0.34173608066137423,0.2851239107620354,0.10077836952068825,3.760344121261778,0.49350591490578405,0.6484705721636309,0.48873412535845967,0.13147454264932776,0.2824252355591971,0.37987657042098305,0.18938959442851291,0.5094776283888032,0.058197460057353545,0.782785981926383,0.03224088488324457,0.8673132025567556,0.7334564961989207,3.293933692321282,0.34466490967329233,0.0
gradient_x_input,predicted,0.019,0.33008595988538636,0.3870317486981347,0.35629784272293635,0.3054054885600984,0.048854041013269,4.209891435464415,0.5528647657282486,0.7040108564468249,0.5186972255729795,0.1444649756425332,0.2995174909529554,0.4171006215353603,0.20048250904704462,0.5583739291113724,0.05896260554885404,0.8210986057450025,0.032285886610373946,0.8992104821098605,0.7136127993758471,3.1010298058394956,0.378171620207697,0.0
gradient_x_input,not_predicted,0.019,0.37016825829922523,0.26123234916559607,0.30630291626984196,0.25083143885299647,0.210727969348659,2.8084291187739465,0.36781373781300514,0.5308641975256544,0.42528735632183906,0.10669657161166293,0.24623243933588762,0.3088753604613906,0.16590038314176245,0.4162127523229734,0.056577266922094506,0.7097084267862864,0.0321455938697318,0.806472284524191,0.7754754608638713,3.702407056033674,0.2737145570985248,0.0
integrated_gradient,all,0.013000000000000001,0.3306118230673829,0.35274010364979563,0.3413176847109291,0.2826546131631001,0.047111839410077835,3.963949201147071,0.5183809421165098,0.6677932541243957,0.46661204424416225,0.12552347366100947,0.28586644817697665,0.38450517963411945,0.19246210569438754,0.5177430019836896,0.05813191315034822,0.7819043420762618,0.03192134371159361,0.8587172140180737,0.8285397123487367,3.536116435245455,0.3498868047535006,0.0
integrated_gradient,predicted,0.013000000000000001,0.32672714584787116,0.39324710230136,0.35691416373951534,0.29323780643978997,0.008443908323281062,4.321471652593486,0.5764464987921342,0.7182850824217643,0.4957780458383595,0.138081639509491,0.2983112183353438,0.41542079623719136,0.20018094089264174,0.557534016462288,0.05849215922798553,0.8145472870821434,0.03183956574185766,0.8867797749034101,0.8201945582378163,3.3791887975122754,0.37564720473271696,0.0
integrated_gradient,not_predicted,0.013000000000000001,0.341696535244921,0.2753530166880607,0.3049582370663203,0.26657361476532415,0.12899106002554278,3.206896551724138,0.39542731125037284,0.560876968917452,0.40485312899106,0.10157000961230375,0.259514687100894,0.32553668695930793,0.17611749680715197,0.4418455623197693,0.057369093231162197,0.7196411406600448,0.03209450830140485,0.8051906440243511,0.8462105495338024,3.8684102070993682,0.295339240046552,0.0
