explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005453087409783472,0.003749035174771195,0.004443282797053314,0.014352958118925178,0.9324047521507579,2.5542810323637855,0.003949396227134724,0.006418134644209113,0.0012290045063498567,0.00033061494379545955,0.0009012699713232282,0.001212254793916685,0.0010241704219582138,0.00275512453162883,0.000991396968455551,0.013334802733083535,0.0009709135600163867,0.026118580559841304,0.9654807626681713,7.677135212288552,0.0005291283873159869,0.0
random,predicted,0.002,0.0062766195920197125,0.004511035927178984,0.005249343827154922,0.014351544265349014,0.9240356083086053,2.6474777448071216,0.0048805991239008785,0.007517309594388394,0.0017804154302670622,0.0004833252779120348,0.0010682492581602374,0.0014499758337361043,0.0010682492581602374,0.0028999516674722086,0.000913946587537092,0.012405348799742227,0.000913946587537092,0.024810697599484455,0.9654409995386325,7.67406026574929,0.0006341675862353794,0.0
random,not_predicted,0.002,0.0033821871476888195,0.0020964360587002024,0.0025884383041623457,0.0004671649323998289,0.951058201058201,2.3465608465608465,0.0018738977072260345,0.003968253968214285,0.0,0.0,0.0005291005291005291,0.0006975933031042902,0.000925925925925926,0.002441576560865016,0.001164021164021164,0.015347052668294385,0.001097883597883598,0.028950122078828043,0.9655693881619187,7.683988763768254,0.0002950132415763357,0.0
laat,all,0.044,0.3975997333037,0.39453081927445105,0.39605933140965544,0.35684248430210774,0.1900860303154445,3.6866038508807866,0.5579586923421944,0.6458418680806634,0.507988529291274,0.13665417676878994,0.31511675542810325,0.42384835794577913,0.20786562884063908,0.5591800749393873,0.05923801720606309,0.7967820145470575,0.03197460057353543,0.8601498787745206,0.5186155268443545,2.4394357034032765,0.4182374172528661,0.0
laat,predicted,0.044,0.39156865336328744,0.47736426615111893,0.43023086974965824,0.40232908206934914,0.06765578635014836,4.49080118694362,0.6642108359311534,0.755984174077881,0.5602373887240356,0.1520863541163203,0.343026706231454,0.4656033510552602,0.22706231454005935,0.616400837763815,0.06300296735905045,0.8551635250523603,0.03340059347181009,0.9067182213629773,0.438852075525061,1.989794021377129,0.46506500506790543,0.0
laat,not_predicted,0.044,0.42946927374301375,0.21488469601677074,0.2864462040011424,0.25916556274177055,0.46296296296296297,1.8941798941798942,0.3211400918826762,0.4003527336821025,0.3915343915343915,0.10324380885943495,0.2529100529100529,0.33344959888385073,0.16507936507936508,0.43529822113707706,0.05084656084656085,0.6703871642832229,0.028796296296296296,0.7593303104290199,0.696395176940928,3.4416132618874795,0.31386640472860505,0.0
attention_rollout,all,0.003,0.016020827075197756,0.19406770316462654,0.029598237558081924,0.003324369283648089,0.0,45.0049160180254,0.18527894593937563,0.2508534753491836,0.007374027038099139,0.0019836896627727575,0.005489553461696026,0.007383733744765263,0.004629250307251127,0.01245316288296231,0.007980335927898402,0.10733965175225921,0.012130274477673085,0.32631694952611856,0.7663879519475114,5.717389313684406,0.0037638125647211,0.0
attention_rollout,predicted,0.003,0.01796984149925326,0.2403737715482516,0.033439793801585634,0.0034611828783462453,0.0,49.27477744807122,0.2289739470748594,0.29455984173798644,0.008902077151335312,0.002416626389560174,0.005816023738872403,0.007894312872563236,0.004985163204747774,0.013533107781536975,0.009412462908011869,0.12775898179474787,0.013281899109792284,0.36056065732237796,0.7411753232330294,5.5288271148351775,0.004566428992380569,0.0
attention_rollout,not_predicted,0.003,0.009989190800998915,0.09364081062194236,0.018052608532830725,0.003077268705651871,0.0,35.48809523809524,0.08788995531333046,0.15343915343763226,0.003968253968253968,0.0010463899546564353,0.004761904761904762,0.006278339727938612,0.003835978835978836,0.010115102895012208,0.004788359788359789,0.06313219393093826,0.009563492063492064,0.2521799790722009,0.8225827659473818,6.137663526727992,0.0019749121935488676,0.0
deeplift,all,0.019,0.30833781603012345,0.31602161208512486,0.3121324330161288,0.24477022900285555,0.0823433019254404,3.807865628840639,0.45092924943966395,0.606104055709021,0.42605489553461695,0.11461318051575932,0.2611224907824662,0.3512232752920432,0.17857435477263417,0.4803835133348027,0.056624334289225725,0.7616266255234737,0.0317083162638263,0.8529865549922857,0.7350473898568693,3.3929490306276255,0.2955937422893462,0.0
deeplift,predicted,0.019,0.3074465129202552,0.3565329466731104,0.33017530771602643,0.2653259649921936,0.042136498516320474,4.2718100890207715,0.5061212793906045,0.6601384767493699,0.457566765578635,0.12421459642339294,0.2781008902077151,0.37747704204929916,0.1918694362017804,0.5208635411632029,0.059133531157270026,0.8026421781859191,0.03258160237388724,0.8844852585790237,0.7177195271300583,3.1999525166097595,0.3203189193298426,0.0
deeplift,not_predicted,0.019,0.31139723414401377,0.2281621243885387,0.2633595482911454,0.20028901520924486,0.17195767195767195,2.7738095238095237,0.327915267340015,0.4856701939987195,0.3558201058201058,0.09382629926752703,0.22328042328042327,0.2943843739100105,0.14894179894179893,0.3927450296477154,0.05103174603174603,0.672828740844088,0.02976190476190476,0.7847924659923264,0.7736683537387173,3.823106604860568,0.24048537811839843,0.0
gradient_x_input,all,0.019,0.32424693620432904,0.3121623111699192,0.31808988763545093,0.2550523262534982,0.09832036050798854,3.5768127816468662,0.45387072872355116,0.6012904547258582,0.4362965997541991,0.11736830504738814,0.2651372388365424,0.3566233193740357,0.182916837361737,0.49206524134890894,0.057181482998770995,0.769120564249504,0.031954117165096274,0.8595988538681948,0.7408808108681451,3.3958494021407133,0.311646222891623,0.0
gradient_x_input,predicted,0.019,0.3217946813252112,0.34896085065248855,0.3348276395065241,0.2749188644273311,0.055786350148367955,3.994658753709199,0.5065438212237522,0.6504945598355075,0.4664688427299703,0.1266312228129531,0.2827299703264095,0.3837602706621556,0.19537091988130564,0.5303689382954728,0.05970326409495549,0.8103753826325116,0.032771513353115726,0.8896407282100854,0.7236493254562246,3.2062062501956428,0.33686135355878344,0.0
gradient_x_input,not_predicted,0.019,0.33249999999999835,0.23235499650593908,0.2735499794274884,0.21203293242974658,0.1931216931216931,2.6455026455026456,0.3364710450425478,0.4916225749510443,0.36904761904761907,0.09731426578304848,0.22592592592592592,0.2978723404255319,0.15515873015873016,0.4091384722706662,0.051560846560846564,0.6798046738751308,0.030132275132275132,0.7945587722357865,0.7792869655230203,3.8185328823357425,0.2554458324496054,0.0
integrated_gradient,all,0.013000000000000001,0.33873653824802896,0.33642077406549753,0.3375746846597486,0.27516687834614006,0.05161818926669398,3.689881196231053,0.49524494461626184,0.6374778096347228,0.4674313805817288,0.12574388362353978,0.27898402294141744,0.3752479612078466,0.18721835313396148,0.5036367643817501,0.057918885702580906,0.7790390125633678,0.03211798443260959,0.864007053118801,0.8442698001353204,3.5768247468265844,0.3529562014366179,0.0
integrated_gradient,predicted,0.013000000000000001,0.33753480873516,0.3710327050104715,0.3534919416680728,0.28546211866315696,0.013056379821958458,4.049258160237389,0.54574828594313,0.6799208704188309,0.49258160237388726,0.13371999355566297,0.2948367952522255,0.4001933301111648,0.19596439169139465,0.5319800225551796,0.0594540059347181,0.8069921056871274,0.032652818991097926,0.8864185596906718,0.8381573771501708,3.4230717932516908,0.3760713421537023,0.0
integrated_gradient,not_predicted,0.013000000000000001,0.34249084249084094,0.26135569531795855,0.2964724534235473,0.256077200016828,0.13756613756613756,2.888888888888889,0.38268128041550425,0.5428791887071799,0.4113756613756614,0.10847575863271712,0.24365079365079365,0.3212417160795256,0.16772486772486772,0.44227415416812,0.054497354497354496,0.7185211021974189,0.030925925925925926,0.8154865713289152,0.8578933884024865,3.9195148616066042,0.3014363441505237,0.0
grad_attention,all,0.048,0.40478136493665673,0.43687286360127864,0.42021530465640583,0.3754954400051869,0.02212208111429742,4.009832036050799,0.612086394368783,0.7468250716847796,0.540761982793937,0.1454705752700022,0.32757066775911514,0.44059951509808243,0.21831216714461285,0.5872823451620013,0.06162228594838181,0.8288516640952172,0.03323228185170012,0.8939828080229226,0.2819202515864067,2.2953053614464505,0.43876446140373,0.0
grad_attention,predicted,0.048,0.4150055370985598,0.48300306106009266,0.44642990097038354,0.40934462076236167,0.0005934718100890207,4.287240356083086,0.6720757939344647,0.7982195845621574,0.5738872403560831,0.1557918479136459,0.3505044510385757,0.4757531818914129,0.23459940652818992,0.6368616078620912,0.06413056379821959,0.8704688255195747,0.034178041543026706,0.9278234251651362,0.23850522958616002,2.021568107721544,0.47244613589221507,0.0
grad_attention,not_predicted,0.048,0.3759750390015586,0.33682739343116586,0.3553262071457694,0.2988274573362581,0.0701058201058201,3.3915343915343916,0.4783798622680241,0.6322751322689307,0.4669312169312169,0.12312521799790722,0.27645502645502645,0.36449250087199164,0.182010582010582,0.47994419253575166,0.05603174603174603,0.7387513079874434,0.031124338624338624,0.8207185211021975,0.37868521464251215,2.905420801296276,0.3636935334763525,0.0
atgrad_attention,all,0.037,0.4117436874702235,0.38118866468188295,0.39587746921916966,0.34407757641951897,0.15157722244981564,3.4395739451044656,0.5515172902473314,0.6584050252565536,0.5243752560426055,0.14106237601939609,0.3182302335108562,0.42803614723385497,0.20467021712412944,0.5505840864007053,0.057714051618189266,0.7762838880317391,0.031093814010651373,0.8364558078025127,0.6023697609593809,2.635393767920877,0.42702575293729983,0.0
atgrad_attention,predicted,0.037,0.4050486000290143,0.449814725310133,0.42625954197974586,0.3790993286351401,0.050445103857566766,4.0908011869436205,0.6371468048093964,0.7441147378762047,0.5572700296735905,0.1512808119864669,0.34124629080118696,0.4631867246657,0.21893175074183976,0.5943289834058322,0.060688427299703265,0.823747381988078,0.03240356083086053,0.8796520057999033,0.5559815362033299,2.295529718321543,0.4616210453160316,0.0
