explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.007470651013874026,0.00669536107125774,0.007061790663362986,0.00045765358315834597,0.9539249146757679,3.197952218430034,0.009202827888789216,0.015358361774590441,0.0,0.0,0.0006825938566552901,0.0009564801530368245,0.0008532423208191126,0.0023912003825920613,0.0012286689419795222,0.01721664275466284,0.0011092150170648465,0.031085604973696796,0.965437899357739,7.605520829516982,0.00012447832266591829,0.0
random,predicted,0.002,0.005479452054794445,0.002824858757062127,0.0037278657923422056,0.00045737231850942814,0.9528535980148883,1.8114143920595533,0.004755996691448683,0.007444168734416874,0.0,0.0,0.0009925558312655087,0.0014124293785310734,0.0009925558312655087,0.002824858757062147,0.001141439205955335,0.016242937853107344,0.0011166253101736973,0.03177966101694915,0.9654361092291381,7.618459052766923,0.00018100321856632287,0.0
random,not_predicted,0.002,0.008741258741258666,0.014814814814814595,0.010995052221830346,0.0004582447393503855,0.9562841530054644,6.251366120218579,0.01899557637255006,0.03278688524557377,0.0,0.0,0.0,0.0,0.000546448087431694,0.0014814814814814814,0.0014207650273224044,0.01925925925925926,0.001092896174863388,0.02962962962962963,0.9654418415535102,7.577028458097716,0.0,0.0
laat,all,0.046,0.38049792531120175,0.4385461501673819,0.40746500777107303,0.35559460766909334,0.17747440273037543,4.112627986348123,0.5892498499759774,0.6794653014723953,0.5068259385665529,0.14203730272596843,0.30921501706484644,0.4332855093256815,0.20409556313993174,0.5719751315160211,0.0574061433447099,0.8043998087039694,0.03126279863481229,0.8761358201817312,0.49577322479646246,2.316552446458159,0.4150151767094575,0.0
laat,predicted,0.046,0.383443372270186,0.5331920903954764,0.44608567207784866,0.4000647863559707,0.06947890818858561,4.8858560794044665,0.6980868077292038,0.7845326716219442,0.5483870967741935,0.1560734463276836,0.3379652605459057,0.4809322033898305,0.22431761786600496,0.6384180790960452,0.060794044665012405,0.8651129943502824,0.03248138957816377,0.9244350282485876,0.41749371372332916,1.8639021426851516,0.45720740391571024,0.0
laat,not_predicted,0.046,0.3673469387755019,0.23999999999999644,0.2903225806403759,0.26259901936113106,0.41530054644808745,2.4098360655737703,0.3495706479292547,0.4480874316895081,0.41530054644808745,0.11259259259259259,0.2459016393442623,0.3333333333333333,0.15956284153005465,0.4325925925925926,0.049945355191256834,0.677037037037037,0.028579234972677597,0.7748148148148148,0.6681592519137998,3.3133725143298647,0.3221000534082561,0.0
attention_rollout,all,0.003,0.016035236227246133,0.22285987565757903,0.02991782228945129,0.0026586619985450957,0.0,49.592150170648466,0.23310918319329355,0.2957906712143724,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.004436860068259386,0.012434241989478718,0.008498293515358362,0.11908177905308465,0.011843003412969283,0.3318986131037781,0.7626202025862524,5.638451463694317,0.0030264231263785082,0.0
attention_rollout,predicted,0.003,0.01745474695234576,0.266949152542371,0.03276699029010998,0.002966364798593509,0.0,53.73697270471464,0.28064593250545283,0.34077750206447205,0.0024813895781637717,0.0007062146892655367,0.005459057071960298,0.007768361581920904,0.005210918114143921,0.014830508474576272,0.009429280397022333,0.134180790960452,0.012382133995037221,0.3524011299435028,0.7381376473875337,5.488330616395736,0.0041832876040663975,0.0
attention_rollout,not_predicted,0.003,0.011883862255232934,0.13037037037036844,0.021782178216290513,0.002063925137864986,0.0,40.46448087431694,0.12842442924356554,0.1967213114734426,0.0,0.0,0.003278688524590164,0.0044444444444444444,0.00273224043715847,0.007407407407407408,0.0064480874316939895,0.0874074074074074,0.010655737704918032,0.28888888888888886,0.8165353378052884,5.969045460750754,0.000478792609940151,0.0
deeplift,all,0.018000000000000002,0.29407145661562506,0.35820181731228906,0.3229840448419637,0.25800771149156854,0.08703071672354949,4.34641638225256,0.49275632406737235,0.6665244596067291,0.44197952218430037,0.12386417981826878,0.2638225255972696,0.3696795791487327,0.17747440273037543,0.49736967957914874,0.05515358361774744,0.7728359636537542,0.030580204778156997,0.8570062171209948,0.7300718276102143,3.348084603037349,0.30959779850203484,0.0
