explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.003,0.0034285714285713894,0.0014347202295552299,0.0020229264961775574,0.00045765358315834597,0.9726962457337884,1.493174061433447,0.0021331058020381826,0.005119453924863481,0.0,0.0,0.0010238907849829352,0.0014347202295552368,0.0011945392491467576,0.003347680535628886,0.0010238907849829352,0.014347202295552367,0.0011604095563139932,0.032520325203252036,0.9654451649889917,7.671499294762912,0.0003447443720481263,0.0
random,predicted,0.003,0.002531645569620189,0.0006988120195667316,0.0010952902485262348,0.0004568907165936546,0.9731051344743277,0.9657701711491442,0.0012224938875244498,0.0024449877750366746,0.0,0.0,0.0009779951100244498,0.001397624039133473,0.001466992665036675,0.0041928721174004195,0.0012224938875305623,0.017470300489168415,0.001271393643031785,0.0363382250174703,0.9653967661434814,7.682628525192228,0.0002222716159146477,0.0
random,not_predicted,0.003,0.00416666666666658,0.0030303030303029843,0.0035087719249491537,0.0004593163980129624,0.9717514124293786,2.711864406779661,0.004237288135575564,0.011299435028135593,0.0,0.0,0.0011299435028248588,0.0015151515151515152,0.0005649717514124294,0.0015151515151515152,0.0005649717514124294,0.007575757575757576,0.000903954802259887,0.024242424242424242,0.9655570018692949,7.645782598460137,0.0006277463904582548,0.0
laat,all,0.042,0.36676760030279953,0.46341463414633927,0.40946545530882056,0.355392712665303,0.15187713310580206,4.508532423208191,0.6192321946125856,0.7039249146689862,0.5102389078498294,0.14299378287900527,0.315358361774744,0.4418938307030129,0.21092150170648463,0.5911047345767575,0.05822525597269625,0.8158775705404113,0.03126279863481229,0.8761358201817312,0.5000826384369061,2.316645638592648,0.4339493198257884,0.0
laat,predicted,0.042,0.3616170590848496,0.5688329839273196,0.4421510048838931,0.40801149128608594,0.04156479217603912,5.503667481662592,0.7329060439654754,0.8154034229750997,0.5721271393643031,0.16352201257861634,0.34425427872860637,0.4919636617749825,0.22493887530562348,0.6429070580013976,0.06156479217603912,0.8798043326345213,0.03234718826405868,0.9245283018867925,0.4128679410261704,1.8629722568468547,0.4797306758174059,0.0
laat,not_predicted,0.042,0.3964194373401433,0.23484848484848128,0.2949571836299556,0.24155666558689845,0.4067796610169492,2.209039548022599,0.3565621133395236,0.4463276836113559,0.3672316384180791,0.09848484848484848,0.24858757062146894,0.3333333333333333,0.17853107344632768,0.47878787878787876,0.05050847457627119,0.6772727272727272,0.028757062146892654,0.7712121212121212,0.7016126454481545,3.3649643568640006,0.3281607627604121,0.0
attention_rollout,all,0.003,0.016041673853796522,0.22238163558106064,0.029924705578254492,0.003062107373710014,0.0,49.465870307167236,0.23129902899410257,0.2980659840698796,0.0034129692832764505,0.0009564801530368245,0.005119453924914676,0.007173601147776184,0.00477815699658703,0.013390722142515544,0.008873720136518772,0.12434241989478718,0.012372013651877133,0.3467240554758489,0.7661523270944174,5.612177183498508,0.0054320920690742,0.0
attention_rollout,predicted,0.003,0.017560033364063383,0.27952480782669265,0.033044196611857535,0.0035106194786438706,0.0,55.69437652811736,0.29237278613655376,0.36593317033056094,0.0024449877750611247,0.0006988120195667365,0.0058679706601467,0.008385744234800839,0.005623471882640587,0.01607267645003494,0.009828850855745721,0.14046121593291405,0.013374083129584352,0.3822501747030049,0.7375847243553628,5.427647120686024,0.005066824183141675,0.0
attention_rollout,not_predicted,0.003,0.010470360824742252,0.098484848484847,0.018928363422840436,0.002152719908946142,0.0,35.07344632768361,0.09017379356324082,0.14124293785169492,0.005649717514124294,0.0015151515151515152,0.003389830508474576,0.004545454545454545,0.002824858757062147,0.007575757575757576,0.006666666666666667,0.0893939393939394,0.010056497175141243,0.2696969696969697,0.8321644712767524,6.038577159149952,0.0062761291614267575,0.0
deeplift,all,0.019,0.31093605189990586,0.3208990913438531,0.31583902094110466,0.24210977056211497,0.09897610921501707,3.68259385665529,0.46285557919239956,0.6177474402669931,0.4061433447098976,0.11382113821138211,0.26313993174061434,0.36872309899569583,0.17918088737201365,0.5021520803443329,0.05590443686006826,0.7833572453371592,0.030870307167235496,0.8651362984218077,0.7358156679447979,3.3910782140371043,0.2985220734012745,0.0
deeplift,predicted,0.019,0.31154299175500405,0.36967155835080107,0.3381271971826341,0.2633274786301988,0.05134474327628362,4.15158924205379,0.5284084293832726,0.6772616136853494,0.43031784841075793,0.12299091544374563,0.28312958435207825,0.40461215932914046,0.19144254278728606,0.5471698113207547,0.05833740831295844,0.8336827393431167,0.03171149144254279,0.9063591893780573,0.7165753515594353,3.1951737773733577,0.3186824896833318,0.0
deeplift,not_predicted,0.019,0.3086956521739063,0.2151515151515119,0.2535714285665835,0.1967869232644921,0.20903954802259886,2.598870056497175,0.3113803490903255,0.48022598869576266,0.3502824858757062,0.09393939393939393,0.21694915254237288,0.2909090909090909,0.15084745762711865,0.40454545454545454,0.05028248587570622,0.6742424242424242,0.028926553672316384,0.7757575757575758,0.7802749301008053,3.8437613473448593,0.25193670470431717,0.0
