explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005901287553648037,0.005260640841702509,0.005562579008922891,0.00045765358315834597,0.9505119453924915,3.1808873720136517,0.007536973833862937,0.012798634812162969,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0008532423208191126,0.0023912003825920613,0.0010580204778156996,0.01482544237207078,0.0011604095563139932,0.032520325203252036,0.9654046663522983,7.673895557412193,0.0004701567841499582,0.0
random,predicted,0.002,0.006147540983606494,0.004160887656033258,0.00496277915151321,0.00045793507484157735,0.9466019417475728,2.3689320388349513,0.006877022653679207,0.010922330096984222,0.0024271844660194173,0.0006934812760055479,0.000970873786407767,0.0013869625520110957,0.000970873786407767,0.0027739251040221915,0.0010679611650485437,0.015256588072122053,0.0012378640776699028,0.03536754507628294,0.9653618206134669,7.650339769922108,0.00044806501117180734,0.0
random,not_predicted,0.002,0.005630630630630567,0.007704160246533009,0.006506180866949049,0.00045702937945409284,0.9597701149425287,5.103448275862069,0.009099616858206018,0.017241379310172413,0.0,0.0,0.0011494252873563218,0.0015408320493066256,0.0005747126436781609,0.0015408320493066256,0.0010344827586206897,0.01386748844375963,0.0009770114942528735,0.026194144838212634,0.9655061171821752,7.729671330089867,0.0005224660397074191,0.0
laat,all,0.049,0.4082920234339774,0.43328550932567944,0.42041763340567534,0.37115695815535765,0.18771331058020477,3.7866894197952217,0.59653287080411,0.6908418657499029,0.5477815699658704,0.15351506456241032,0.3235494880546075,0.4533715925394548,0.21109215017064847,0.5915829746532759,0.05928327645051194,0.830703012912482,0.03168941979522184,0.8880918220946915,0.4872592412524637,2.250231540260118,0.45221848871767556,0.0
laat,predicted,0.049,0.41022908897176125,0.5339805825242682,0.4639951792659478,0.42327516832358447,0.07281553398058252,4.555825242718447,0.709762520377331,0.8054207119664394,0.5995145631067961,0.17128987517337033,0.3587378640776699,0.5124826629680999,0.23155339805825242,0.6615811373092927,0.062184466019417475,0.8883495145631068,0.032645631067961166,0.9327323162274619,0.40530386337509183,1.8131099005009972,0.5077144717025049,0.0
laat,not_predicted,0.049,0.39766081871343867,0.20955315870569785,0.2744702320842735,0.25422809741540314,0.45977011494252873,1.9655172413793103,0.32842588445832255,0.419540229880862,0.42528735632183906,0.1140215716486903,0.24022988505747125,0.3220338983050847,0.16264367816091954,0.43605546995377503,0.05241379310344828,0.7026194144838213,0.029425287356321838,0.7889060092449923,0.6813145038126774,3.2852551930230915,0.32081420716738945,0.0
attention_rollout,all,0.003,0.017729787375858154,0.2544237207077941,0.03314951552982844,0.0027906059992401505,0.0,51.20477815699659,0.26807463014661703,0.3282138794051915,0.0017064846416382253,0.00047824007651841227,0.004436860068259386,0.006217120994739359,0.004948805460750853,0.013868962219033954,0.010511945392491468,0.14729794356767098,0.013976109215017065,0.3916786226685796,0.7579554212047398,5.540072575077224,0.0029436753144458402,0.0
attention_rollout,predicted,0.003,0.01913502749036754,0.30651872399445,0.03602135202203879,0.0030626539840245834,0.0,56.06553398058252,0.31833422106312714,0.37459546925199566,0.0024271844660194173,0.0006934812760055479,0.0048543689320388345,0.006934812760055479,0.005825242718446602,0.016643550624133148,0.011796116504854369,0.16851595006934814,0.01516990291262136,0.4334257975034674,0.7303748567742191,5.371846781098885,0.0039177642541085595,0.0
attention_rollout,not_predicted,0.003,0.013030259157376555,0.13867488443759415,0.023822128108540813,0.0022300646919021145,0.0,39.695402298850574,0.14906916199947814,0.21839080459551724,0.0,0.0,0.0034482758620689655,0.004622496147919877,0.0028735632183908046,0.007704160246533128,0.007471264367816092,0.10015408320493066,0.011149425287356322,0.29892141756548535,0.8232611254885018,5.9384003171408795,0.0006372118481180229,0.0
deeplift,all,0.02,0.30871886120996306,0.3318986131037765,0.3198893754271323,0.2668278968150289,0.09385665529010238,3.83617747440273,0.4801789838876514,0.6515927189925387,0.4539249146757679,0.12721186035389764,0.27030716723549486,0.3787661406025825,0.18310580204778157,0.5131516021042564,0.05597269624573379,0.7843137254901961,0.031040955631399317,0.8699186991869918,0.7269417082563454,3.267226044979638,0.31289813325002885,0.0
