explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004721930745015715,0.004304160688665689,0.004503377528160551,0.00045765358315834597,0.9505119453924915,3.2525597269624575,0.005972696245702503,0.0068259385664846415,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0013651877133105802,0.003825920612147298,0.0014675767918088736,0.020564323290291727,0.0013822525597269625,0.03873744619799139,0.9654175840419116,7.656509277192533,0.0008063704696364104,0.0
random,predicted,0.002,0.0031847133757961447,0.0021352313167259636,0.0025564550441932836,0.0004520993498779139,0.9506172839506173,2.325925925925926,0.0024691358024609054,0.0024691358024444446,0.0024691358024691358,0.0007117437722419929,0.0009876543209876543,0.0014234875444839859,0.0004938271604938272,0.0014234875444839859,0.0013333333333333333,0.019217081850533807,0.0012839506172839506,0.03701067615658363,0.9653704283834347,7.677614636814969,0.0004855449439656287,0.0
random,not_predicted,0.002,0.006224066390041429,0.008746355685131067,0.007272727267869119,0.00046946621827851666,0.9502762430939227,5.3259668508287294,0.013812154696049723,0.01657458563519337,0.0,0.0,0.0011049723756906078,0.0014577259475218659,0.0033149171270718232,0.008746355685131196,0.0017679558011049724,0.023323615160349854,0.0016022099447513811,0.04227405247813411,0.9655230980843603,7.609284577484871,0.0015242397397837392,0.0
laat,all,0.052000000000000005,0.3960765997197553,0.40554758488761167,0.4007561436622956,0.3653884234129323,0.20136518771331058,3.65358361774744,0.5724576286402434,0.6527303754203001,0.5204778156996587,0.14586322333811574,0.30853242320819113,0.43232902917264465,0.20563139931740615,0.5762792922046868,0.05675767918088737,0.7953132472501195,0.030409556313993173,0.8522238163558106,0.4937013748077311,2.332310013160669,0.43111863508048537,0.0
laat,predicted,0.052000000000000005,0.3952967525195947,0.5024911032028434,0.44249451582082844,0.4177058976511582,0.07654320987654321,4.409876543209877,0.6931104629211716,0.7753086419678353,0.5728395061728395,0.16512455516014235,0.3377777777777778,0.48683274021352313,0.22197530864197532,0.6398576512455516,0.059604938271604936,0.8590747330960854,0.031530864197530865,0.908896797153025,0.40485345682704854,1.8487831592851787,0.48240593536424364,0.0
laat,not_predicted,0.052000000000000005,0.39999999999998875,0.20699708454810195,0.27281460134036095,0.2638802046243536,0.48066298342541436,1.9613259668508287,0.3024885795586084,0.37845303867029007,0.40331491712707185,0.10641399416909621,0.2430939226519337,0.3206997084548105,0.16906077348066298,0.446064139941691,0.050386740331491715,0.6647230320699709,0.027900552486187846,0.7361516034985423,0.692504727195446,3.4142347414456067,0.31635975875494887,0.0
attention_rollout,all,0.003,0.01621025039663378,0.2247728359636527,0.030239665432233952,0.0027060378793677983,0.0,49.477815699658706,0.2266976766112052,0.2846985210438391,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.004095563139931741,0.011477761836441894,0.009010238907849829,0.12625538020086083,0.012081911262798634,0.3385939741750359,0.7609655766765475,5.6410925213776935,0.0029816124304408668,0.0
attention_rollout,predicted,0.003,0.0176029457990929,0.27900355871885923,0.03311649911183438,0.0030257238565867405,0.0,54.98518518518519,0.2767958790166865,0.34526748970854254,0.0024691358024691358,0.0007117437722419929,0.005432098765432099,0.007829181494661922,0.0044444444444444444,0.012811387900355872,0.010123456790123457,0.14590747330960854,0.012814814814814815,0.3693950177935943,0.7325289025644982,5.4750788155390495,0.004040370426335338,0.0
attention_rollout,not_predicted,0.003,0.0115985130111524,0.11370262390670388,0.021049790849757066,0.002100230514618028,0.0,37.15469613259668,0.11459948890833266,0.14917127071674033,0.0,0.0,0.0033149171270718232,0.004373177842565598,0.0033149171270718232,0.008746355685131196,0.0065193370165745855,0.08600583090379009,0.010441988950276242,0.2755102040816326,0.8245945988609676,6.01255965322659,0.0006125682959808617,0.0
deeplift,all,0.018000000000000002,0.29113924050632795,0.3409851745576263,0.3140969162945892,0.24484902444540999,0.08873720136518772,4.179180887372014,0.48820879537307565,0.6460466439072498,0.4402730375426621,0.12338593974175036,0.2569965870307167,0.3601147776183644,0.17252559726962458,0.4835007173601148,0.05453924914675768,0.7642276422764228,0.03044368600682594,0.8531802965088474,0.7357189513194253,3.3981126448297427,0.29997917367464294,0.0
deeplift,predicted,0.018000000000000002,0.28459119496855195,0.38647686832739936,0.32779957741738913,0.2685803433226136,0.0345679012345679,4.711111111111111,0.5570524126045244,0.7113168724211006,0.48641975308641977,0.1402135231316726,0.277037037037037,0.399288256227758,0.18469135802469136,0.5323843416370106,0.05688888888888889,0.8199288256227758,0.03106172839506173,0.8953736654804271,0.7174718137285933,3.1941844374035986,0.328913941672681,0.0
deeplift,not_predicted,0.018000000000000002,0.3142329020332659,0.24781341107871357,0.27709861450199275,0.19835624563851384,0.20994475138121546,2.9889502762430937,0.33416644742425394,0.49999999999504136,0.3370165745856354,0.08892128279883382,0.2121546961325967,0.27988338192419826,0.1453038674033149,0.38338192419825073,0.0492817679558011,0.6501457725947521,0.029060773480662983,0.7667638483965015,0.776548181840348,3.854416092385479,0.23523563202157446,0.0
gradient_x_input,all,0.016,0.2743300423131161,0.37207077953132295,0.3158108382333919,0.25549034997984865,0.06655290102389079,4.839590443686006,0.5197138257047582,0.6631114903234783,0.4709897610921502,0.13199426111908177,0.2675767918088737,0.3749402199904352,0.17508532423208192,0.49067431850789095,0.05447098976109215,0.763271162123386,0.03030716723549488,0.8493543758967002,0.740745640690793,3.395986030830782,0.3254208916025561,0.0
gradient_x_input,predicted,0.016,0.26588553402433407,0.4199288256227728,0.32560706401291045,0.2790607451579516,0.03209876543209877,5.4790123456790125,0.5857803616101506,0.7248971193345636,0.528395061728395,0.15231316725978647,0.2839506172839506,0.4092526690391459,0.18641975308641975,0.5373665480427047,0.05688888888888889,0.8199288256227758,0.030938271604938273,0.8918149466192171,0.722337129422705,3.1979265960805217,0.3621871763450183,0.0
gradient_x_input,not_predicted,0.016,0.30470016207454936,0.27405247813410677,0.2885648503403665,0.21258979884892992,0.143646408839779,3.408839779005525,0.37188538901037205,0.5248618784478452,0.3425414364640884,0.09037900874635568,0.23093922651933702,0.30466472303207,0.14972375690607734,0.39504373177842567,0.049060773480662984,0.6472303206997084,0.028895027624309393,0.7623906705539358,0.7819359559591664,3.8391576942222474,0.24315379038323467,0.0
integrated_gradient,all,0.014,0.35963407661520663,0.3008130081300799,0.3276041666617046,0.2725971141231331,0.08703071672354949,2.984641638225256,0.4649470457461948,0.59982935153001,0.45733788395904434,0.12816834050693449,0.2665529010238908,0.37350549976088,0.17559726962457337,0.4921090387374462,0.054334470989761095,0.7613582018173123,0.030273037542662116,0.8483978957436633,0.8446982635373563,3.6360115412841076,0.3461907464559008,0.0
integrated_gradient,predicted,0.014,0.35840707964601504,0.3459074733096061,0.3520463600094865,0.2913366755281163,0.022222222222222223,3.348148148148148,0.5262648188541232,0.6555555555492365,0.5061728395061729,0.14590747330960854,0.28888888888888886,0.41637010676156583,0.18888888888888888,0.5444839857651246,0.05619753086419753,0.8099644128113879,0.030864197530864196,0.8896797153024911,0.8368075753812004,3.447077303291201,0.3783618169574775,0.0
integrated_gradient,not_predicted,0.014,0.36386768447836226,0.20845481049562378,0.26506024095921926,0.2343345324363318,0.23204419889502761,2.1712707182320443,0.3277442937643659,0.4751381215422375,0.34806629834254144,0.09183673469387756,0.2165745856353591,0.2857142857142857,0.14585635359116023,0.3848396501457726,0.05016574585635359,0.6618075801749271,0.028950276243093924,0.7638483965014577,0.8623542232237826,4.058764946737849,0.27420575444961043,0.0
grad_attention,all,0.056,0.4165129151291494,0.4318507890961242,0.42404320262472495,0.3848756952679423,0.030716723549488054,3.6996587030716723,0.6060775070551541,0.734499431164681,0.5563139931740614,0.1559062649450024,0.3218430034129693,0.45098039215686275,0.2112627986348123,0.5920612147297943,0.05976109215017065,0.8373983739837398,0.032030716723549485,0.8976566236250598,0.27792578533324874,2.1722456439884774,0.4470981573989152,0.0
grad_attention,predicted,0.056,0.4336670838548158,0.49323843416369756,0.4615384615334791,0.4357904086394566,0.0024691358024691358,3.945679012345679,0.6920248818355292,0.8109053497864518,0.6172839506172839,0.17793594306049823,0.3466666666666667,0.499644128113879,0.22493827160493826,0.6483985765124555,0.06172839506172839,0.8896797153024911,0.032469135802469136,0.9359430604982206,0.23208062873817734,1.837706793116797,0.49616110984000494,0.0
grad_attention,not_predicted,0.056,0.3684210526315725,0.30612244897958735,0.33439490445363607,0.27251538338798964,0.09392265193370165,3.149171270718232,0.41376432039188354,0.5635359115966297,0.4198895027624309,0.11078717201166181,0.2662983425414365,0.35131195335276966,0.18066298342541437,0.47667638483965014,0.05535911602209945,0.7303206997084548,0.031049723756906077,0.8192419825072886,0.3805074893166958,2.920799426325663,0.3373164129865321,0.0
atgrad_attention,all,0.036000000000000004,0.37704153056462725,0.38641798182687526,0.38167217760482425,0.3438670816143701,0.14846416382252559,3.656996587030717,0.5642083078055685,0.6751990898683125,0.5136518771331058,0.1439502630320421,0.30102389078498293,0.4218077474892396,0.20051194539249148,0.5619320899091343,0.05535836177474403,0.7757054041128647,0.029863481228668942,0.8369201339072214,0.6091339631877626,2.5741386389342833,0.42474205443637614,0.0
atgrad_attention,predicted,0.036000000000000004,0.3686926605504566,0.45765124555159814,0.4083836138407206,0.37738658791377283,0.044444444444444446,4.306172839506173,0.6572414279781665,0.7707818929966879,0.562962962962963,0.16227758007117438,0.3214814814814815,0.46334519572953736,0.21185185185185185,0.61067615658363,0.05728395061728395,0.8256227758007118,0.030765432098765432,0.8868327402135231,0.5598174088910366,2.223027603584009,0.4786933136501585,0.0
atgrad_attention,not_predicted,0.036000000000000004,0.4135338345864558,0.24052478134110436,0.30414746543313226,0.2859203204412427,0.3812154696132597,2.2044198895027622,0.35604027648014186,0.46132596684625676,0.40331491712707185,0.10641399416909621,0.25524861878453037,0.336734693877551,0.17513812154696132,0.4620991253644315,0.05104972375690608,0.673469387755102,0.027845303867403314,0.7346938775510204,0.7194831592660718,3.3597738285302015,0.3040223860298467,0.0
