explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.006663249615581719,0.0062171209947393296,0.006432459173630409,0.00045765358315834597,0.9505119453924915,3.3293515358361776,0.009101251422024318,0.015358361774590441,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0008532423208191126,0.0023912003825920613,0.0010238907849829352,0.014347202295552367,0.0010580204778156996,0.02965088474414156,0.9654674138151702,7.681080847643393,0.00032642141242140483,0.0
random,predicted,0.002,0.00568720379146914,0.004270462633451927,0.004878048775588978,0.0004549119154543744,0.9527363184079602,2.6243781094527363,0.006633499170772526,0.012437810945149255,0.0024875621890547263,0.0007117437722419929,0.0009950248756218905,0.0014234875444839859,0.0009950248756218905,0.0028469750889679717,0.0010945273631840797,0.015658362989323844,0.0010199004975124377,0.029181494661921707,0.9653972371332761,7.675284809224401,0.0003573728857211333,0.0
random,not_predicted,0.002,0.007812499999999912,0.010204081632652913,0.008849557517211885,0.0004633732491786203,0.9456521739130435,4.869565217391305,0.014492753623128773,0.021739130434565216,0.0,0.0,0.0010869565217391304,0.0014577259475218659,0.0005434782608695652,0.0014577259475218659,0.0008695652173913044,0.011661807580174927,0.001141304347826087,0.030612244897959183,0.9656207346093083,7.693743931580541,0.00025879917184265007,0.0
laat,all,0.044,0.3537680593518143,0.43328550932567944,0.3895098882151698,0.3370843340237102,0.18771331058020477,4.370307167235495,0.5877163649740348,0.6811717861140251,0.4863481228668942,0.13629842180774748,0.30477815699658706,0.42706838833094213,0.20324232081911262,0.569583931133429,0.05750853242320819,0.8058345289335246,0.03097269624573379,0.8680057388809183,0.5052864452614371,2.4334363006742876,0.40670943979015306,0.0
laat,predicted,0.044,0.34724857685009325,0.5209964412811351,0.41673783090894684,0.3749045323861203,0.06467661691542288,5.243781094527363,0.695344850005015,0.7939469319990512,0.5348258706467661,0.15302491103202848,0.32786069651741295,0.4690391459074733,0.21517412935323382,0.6156583629893239,0.05855721393034826,0.8377224199288256,0.03144278606965174,0.899644128113879,0.426316335109073,2.0444218104843905,0.4476120322761706,0.0
laat,not_predicted,0.044,0.3841059602648922,0.25364431486880096,0.3055311676861608,0.2680738291207798,0.45652173913043476,2.4619565217391304,0.352571522678089,0.43478260869130425,0.3804347826086957,0.10204081632653061,0.2543478260869565,0.34110787172011664,0.17717391304347826,0.4752186588921283,0.05521739130434783,0.7405247813411079,0.029945652173913043,0.8032069970845481,0.6778189685291023,3.28334839337178,0.3173461670761366,0.0
attention_rollout,all,0.003,0.016810330592159577,0.24342419894787068,0.031448872411519335,0.0030730804533218425,0.0,51.670648464163826,0.2491287059533497,0.3142775881652763,0.0017064846416382253,0.00047824007651841227,0.005119453924914676,0.007173601147776184,0.004948805460750853,0.013868962219033954,0.009044368600682594,0.12673362027737925,0.012593856655290102,0.35294117647058826,0.7557403591905737,5.582055054848152,0.003322940050381941,0.0
attention_rollout,predicted,0.003,0.01717683329663069,0.2775800711743752,0.03235172127638063,0.0038988340048169015,0.0,56.48009950248756,0.29281578703061945,0.35613598672949487,0.0024875621890547263,0.0007117437722419929,0.005970149253731343,0.008540925266903915,0.0057213930348258705,0.016370106761565837,0.00955223880597015,0.13665480427046264,0.01281094527363184,0.3665480427046263,0.7300300256197916,5.4422802312151415,0.004389019220563867,0.0
attention_rollout,not_predicted,0.003,0.015711645101663566,0.1734693877550995,0.02881355932051076,0.0015314887296444517,0.0,41.16304347826087,0.15368193099105373,0.22282608695432063,0.0,0.0,0.003260869565217391,0.004373177842565598,0.003260869565217391,0.008746355685131196,0.007934782608695653,0.10641399416909621,0.012119565217391305,0.3250728862973761,0.8119118488397826,5.887432658655057,0.0009937888198757764,0.0
deeplift,all,0.02,0.3145235892691937,0.32520325203251876,0.31977427697595445,0.25352203583943056,0.06825938566552901,3.689419795221843,0.4661593383835193,0.6284129692771775,0.42662116040955633,0.11956001912960305,0.27235494880546074,0.381635581061693,0.18003412969283278,0.5045432807269249,0.05477815699658703,0.7675753228120517,0.03081911262798635,0.8637015781922525,0.7265427055304833,3.3198734351183625,0.3132757271328155,0.0
deeplift,predicted,0.02,0.3113149847094782,0.3622775800711718,0.33486842104765796,0.2665935619223654,0.02736318407960199,4.067164179104478,0.5233742004232811,0.6822139303417066,0.4601990049751244,0.13167259786476868,0.2885572139303483,0.4128113879003559,0.18930348258706467,0.5416370106761565,0.05646766169154229,0.8078291814946619,0.031218905472636817,0.8932384341637011,0.709950180665553,3.154944282287598,0.3319732313955621,0.0
deeplift,not_predicted,0.02,0.32447817836811527,0.24927113702623543,0.28194558944273174,0.227541496333927,0.15760869565217392,2.864130434782609,0.34115730284012646,0.5108695652122826,0.3532608695652174,0.09475218658892129,0.23695652173913043,0.3177842565597668,0.15978260869565217,0.42857142857142855,0.051086956521739134,0.685131195335277,0.029945652173913043,0.8032069970845481,0.7627937652897331,3.6802077798899235,0.2724257449935536,0.0
gradient_x_input,all,0.022,0.3578459756803685,0.29555236728837736,0.32372970140939683,0.2623288258898442,0.11262798634812286,2.9470989761092152,0.4305079069558235,0.593430034123931,0.431740614334471,0.1209947393591583,0.27508532423208193,0.38546150167384025,0.1795221843003413,0.5031085604973696,0.05559726962457338,0.7790530846484935,0.030802047781569968,0.8632233381157342,0.7329782473471095,3.333410241322992,0.31999627381814094,0.0
