explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.004,0.0,0.0,0.0,0.00045765358315834597,0.9880546075085325,0.7764505119453925,0.0,0.0,0.0017064846416382253,0.00047824007651841227,0.0020477815699658703,0.0028694404591104736,0.0011945392491467576,0.003347680535628886,0.0012627986348122866,0.017694882831181254,0.0012286689419795222,0.03443328550932568,0.9654459190687171,7.680895458071701,0.0007660032755395133,0.0
random,predicted,0.004,0.0,0.0,0.0,0.00046181715802799683,0.9903846153846154,0.6442307692307693,0.0,0.0,0.002403846153846154,0.0006788866259334691,0.002403846153846154,0.0033944331296673455,0.0014423076923076924,0.004073319755600814,0.00125,0.017651052274270197,0.00125,0.035302104548540394,0.9653540344780063,7.665727568699785,0.0009376307453230529,0.0
random,not_predicted,0.004,0.0,0.0,0.0,0.00044802607540756596,0.9823529411764705,1.1,0.0,0.0,0.0,0.0,0.001176470588235294,0.0016181229773462784,0.000588235294117647,0.0016181229773462784,0.0012941176470588236,0.01779935275080906,0.001176470588235294,0.032362459546925564,0.9656707660671622,7.718012175593562,0.00034602076124567473,0.0
laat,all,0.042,0.33155270655270536,0.44524151123863964,0.3800775668454832,0.3245696260224421,0.1825938566552901,4.791808873720137,0.5932590257641209,0.6584186575590666,0.48293515358361777,0.13534194165471067,0.29897610921501705,0.41893830703012913,0.20614334470989762,0.577714012434242,0.058976109215017065,0.8263988522238164,0.03148464163822526,0.8823529411764706,0.5051165706718553,2.3723547689943216,0.4046170579400934,0.0
laat,predicted,0.042,0.3318219291014001,0.5465037338764389,0.4129263913777023,0.37068151629797425,0.06490384615384616,5.831730769230769,0.7089214738212696,0.7736378205054041,0.5408653846153846,0.15274949083503056,0.3278846153846154,0.46300067888662594,0.22235576923076922,0.6279701289884589,0.061875,0.8737270875763747,0.03262019230769231,0.9212491513917176,0.42203125381938583,1.9440002060513115,0.457595161986293,0.0
laat,not_predicted,0.042,0.32984293193716413,0.20388349514562776,0.2519999999952734,0.2149343228289978,0.47058823529411764,2.2470588235294118,0.3102262116948633,0.37647058823155877,0.3411764705882353,0.09385113268608414,0.22823529411764706,0.313915857605178,0.16647058823529412,0.45792880258899676,0.05188235294117647,0.7135922330097088,0.028705882352941175,0.7896440129449838,0.7084312283814281,3.4205635818430986,0.27497652097998115,0.0
attention_rollout,all,0.003,0.01701469450889404,0.2630320420851255,0.0319618781950465,0.0026911476963871485,0.0,55.16211604095563,0.2778966435522222,0.34328782707283606,0.0017064846416382253,0.00047824007651841227,0.0037542662116040954,0.0052606408417025345,0.004436860068259386,0.012434241989478718,0.00976109215017065,0.1367766618842659,0.012969283276450512,0.3634624581539933,0.7569039072198379,5.542661098870503,0.0028459674351679954,0.0
attention_rollout,predicted,0.003,0.01806491120636864,0.3204344874405952,0.03420165935915769,0.0031204573791164445,0.0,62.80769230769231,0.33952354402901985,0.40424679486780524,0.002403846153846154,0.0006788866259334691,0.004326923076923077,0.006109979633401222,0.005288461538461539,0.01493550577053632,0.010961538461538462,0.15478615071283094,0.013990384615384615,0.395112016293279,0.7257080212383039,5.3469219844646005,0.003838610710182474,0.0
attention_rollout,not_predicted,0.003,0.012586735517185714,0.12621359223300765,0.02289068231676601,0.001746631179608227,0.0,36.45294117647059,0.12709199297370546,0.19411764705691176,0.0,0.0,0.002352941176470588,0.003236245954692557,0.002352941176470588,0.006472491909385114,0.006823529411764706,0.09385113268608414,0.010470588235294117,0.28802588996763756,0.833242075268768,6.021646225887298,0.0004169109504266823,0.0
deeplift,all,0.021,0.332358674463936,0.3261597321855556,0.32923002654580746,0.26800863225653143,0.08532423208191127,3.5017064846416384,0.4786065257239071,0.6451934015864603,0.46245733788395904,0.12960306073648972,0.2692832764505119,0.37733142037302725,0.181740614334471,0.509325681492109,0.05511945392491468,0.7723577235772358,0.03083617747440273,0.8641798182687709,0.7217900748136883,3.2825822028698264,0.32310750770539015,0.0
deeplift,predicted,0.021,0.33739342265529637,0.37610319076713933,0.3556982343449322,0.29598518148094916,0.036057692307692304,3.9471153846153846,0.5541314688215819,0.7237580128135354,0.5048076923076923,0.1425661914460285,0.2966346153846154,0.41887304820095045,0.19591346153846154,0.5532926001357773,0.057692307692307696,0.814663951120163,0.03177884615384615,0.8974881194840462,0.7025978426057684,3.085493190589461,0.3560685987760192,0.0
deeplift,not_predicted,0.021,0.3121951219512119,0.20711974110032028,0.24902723734928545,0.19963409127026316,0.20588235294117646,2.411764705882353,0.2937925473201853,0.45294117646608817,0.3588235294117647,0.09870550161812297,0.2023529411764706,0.2783171521035599,0.14705882352941177,0.4045307443365696,0.0488235294117647,0.6715210355987055,0.028529411764705883,0.7847896440129449,0.7687545959813042,3.76487060939119,0.24244977896785067,0.0
gradient_x_input,all,0.021,0.3531578947368402,0.3208990913438531,0.3362565772939323,0.2773045048013562,0.10921501706484642,3.242320819112628,0.471054358039525,0.6392207053407905,0.47440273037542663,0.13295074127211862,0.27474402730375425,0.3849832615973219,0.18242320819112628,0.5112386417981827,0.055426621160409556,0.7766618842659014,0.031040955631399317,0.8699186991869918,0.7275215859908342,3.2885351652270667,0.3393679428388289,0.0
gradient_x_input,predicted,0.021,0.3560105680317017,0.36591989137813735,0.36089722128726504,0.30702799586810225,0.055288461538461536,3.639423076923077,0.540897583983191,0.7129407051213419,0.5192307692307693,0.14663951120162932,0.3014423076923077,0.4256619144602851,0.196875,0.5560081466395111,0.05826923076923077,0.8228105906313645,0.031947115384615386,0.9022403258655805,0.7086833701466773,3.0975018826569576,0.3727853202032697,0.0
gradient_x_input,not_predicted,0.021,0.34196891191708956,0.21359223300970528,0.26294820716657646,0.20449270937640213,0.2411764705882353,2.2705882352941176,0.3001438757303191,0.4588235294072058,0.36470588235294116,0.10032362459546926,0.20941176470588235,0.28802588996763756,0.14705882352941177,0.4045307443365696,0.04847058823529412,0.6666666666666666,0.028823529411764706,0.7928802588996764,0.7736198082918294,3.7560048449280403,0.2575936546999617,0.0
integrated_gradient,all,0.013000000000000001,0.301467671558904,0.3634624581539916,0.3295750216776093,0.2601863604268535,0.023890784982935155,4.302047781569966,0.5271391459286027,0.6875711035200776,0.4334470989761092,0.12147297943567671,0.27542662116040956,0.38593974175035867,0.18327645051194538,0.5136298421807748,0.05511945392491468,0.7723577235772358,0.030887372013651878,0.8656145384983261,0.805550085136044,3.474421389923278,0.33901844685322835,0.0
integrated_gradient,predicted,0.013000000000000001,0.30681227249089804,0.40054310930074405,0.3474676089467936,0.2755571888492478,0.002403846153846154,4.622596153846154,0.5803243731393728,0.7353766025570445,0.45913461538461536,0.1296673455532926,0.2923076923076923,0.41276306856754924,0.19302884615384616,0.5451459606245757,0.057115384615384616,0.8065173116089613,0.03170673076923077,0.8954514596062457,0.7962359289568168,3.3296146711331556,0.3685115847870505,0.0
integrated_gradient,not_predicted,0.013000000000000001,0.28428093645484476,0.2750809061488629,0.27960526315289147,0.2214546816895066,0.07647058823529412,3.5176470588235293,0.39699176640107114,0.570588235288441,0.37058823529411766,0.10194174757281553,0.23411764705882354,0.3220064724919094,0.15941176470588236,0.43851132686084143,0.05023529411764706,0.6909385113268608,0.02888235294117647,0.7944983818770227,0.8283423731981527,3.82877194884499,0.26684700343869894,0.0
grad_attention,all,0.049,0.39250814332247397,0.4610234337637472,0.42401583461126086,0.39197883428669394,0.027303754266211604,4.191126279863481,0.6266253844715648,0.7694823663179189,0.5563139931740614,0.1559062649450024,0.33003412969283275,0.46245815399330464,0.21843003412969283,0.6121472979435677,0.061092150170648465,0.8560497369679579,0.032781569965870304,0.9186991869918699,0.29313453427904196,2.0782886140997534,0.43997052768084594,0.0
grad_attention,predicted,0.049,0.41017316017315797,0.5145960624575661,0.4564890093295988,0.4348591873155935,0.002403846153846154,4.4423076923076925,0.6991521165759214,0.8315304487099652,0.6057692307692307,0.1710794297352342,0.35528846153846155,0.5016972165648337,0.2326923076923077,0.6571622539035981,0.06322115384615384,0.8927359131025119,0.03365384615384615,0.9504412763068567,0.24982412763718953,1.8243360811787461,0.47906431970631497,0.0
grad_attention,not_predicted,0.049,0.33881578947367863,0.33333333333332793,0.33605220227884475,0.28360114051184304,0.08823529411764706,3.5764705882352943,0.4491482047338454,0.6176470588173822,0.43529411764705883,0.11974110032362459,0.26823529411764707,0.36893203883495146,0.18352941176470589,0.5048543689320388,0.05588235294117647,0.7686084142394822,0.030647058823529413,0.843042071197411,0.39911764700263364,2.6997254005417477,0.34430571895969825,0.0
