explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0036649214659685674,0.00334768053562887,0.003499125213705541,0.00045765358315834597,0.947098976109215,3.25938566552901,0.005830489192229214,0.008532423208105802,0.0034129692832764505,0.0009564801530368245,0.0020477815699658703,0.0028694404591104736,0.0013651877133105802,0.003825920612147298,0.0013310580204778156,0.018651362984218076,0.0011945392491467576,0.03347680535628886,0.9653880902732153,7.693496783829612,0.0012635373727523898,0.0
random,predicted,0.002,0.003645200486026687,0.0021723388848660236,0.0027223230443222807,0.00044978966389214625,0.9475,2.0575,0.00416666666663611,0.00499999999995,0.005,0.001448225923244026,0.002,0.002896451846488052,0.0015,0.004344677769732078,0.0013,0.01882693700217234,0.001275,0.036929761042722664,0.9653983730164823,7.720747401160022,0.0015238095238095239,0.0
random,not_predicted,0.002,0.0036798528058877306,0.005633802816901329,0.004451864213361364,0.000473764775121871,0.946236559139785,5.844086021505376,0.009408602150493951,0.016129032257903225,0.0,0.0,0.002150537634408602,0.0028169014084507044,0.001075268817204301,0.0028169014084507044,0.0013978494623655914,0.018309859154929577,0.0010215053763440861,0.02676056338028169,0.9653659768468348,7.634893305699699,0.0007038123167155426,0.0
laat,all,0.045,0.1815487217487952,0.23433763749402087,0.20459290187399412,0.12471331098045912,0.20648464163822525,4.6058020477815695,0.3211824556728876,0.4758248009054887,0.2508532423208191,0.0703012912482066,0.1590443686006826,0.22285987565758011,0.11774744027303755,0.3299856527977044,0.04573378839590444,0.6408417025346724,0.027218430034129694,0.7627929220468675,0.5025926553642814,3.9723823351779846,0.18246649694210396,0.0
laat,predicted,0.045,0.17127564674397783,0.278059377262851,0.2119790229044725,0.13332460555977282,0.0775,5.605,0.36616875138539645,0.5420833333280909,0.2675,0.0774800868935554,0.165,0.2389572773352643,0.119,0.3446777697320782,0.0474,0.6864590876176684,0.027925,0.8088341781317886,0.4211804675722755,3.771681975227024,0.1966243972708167,0.0
laat,not_predicted,0.045,0.23194748358861636,0.1492957746478852,0.18166238217175287,0.11685991876491432,0.4838709677419355,2.456989247311828,0.22443773371050302,0.3333333333299999,0.21505376344086022,0.056338028169014086,0.14623655913978495,0.19154929577464788,0.11505376344086021,0.30140845070422534,0.042150537634408604,0.5521126760563381,0.025698924731182796,0.6732394366197183,0.6776726291105309,4.403996012491877,0.15201939946100124,0.0
attention_rollout,all,0.003,0.017693155381412997,0.27642276422764095,0.03325757357693533,0.002649095170075106,0.0,55.74744027303754,0.29844767481129986,0.35523321956418413,0.0034129692832764505,0.0009564801530368245,0.00477815699658703,0.006695361071257772,0.00477815699658703,0.013390722142515544,0.01061433447098976,0.14873266379722622,0.013412969283276451,0.37589670014347204,0.7547646077247894,5.4979780065446695,0.003388581520983087,0.0
attention_rollout,predicted,0.003,0.01732663152302725,0.3070238957277313,0.03280210428492398,0.0028543987865899227,0.0,61.1775,0.33967873792687153,0.3916666666628111,0.0025,0.000724112961622013,0.005,0.00724112961622013,0.005,0.01448225923244026,0.0112,0.16220130340333092,0.013575,0.3931933381607531,0.7256217646100717,5.313789115318316,0.004251478713702822,0.0
attention_rollout,not_predicted,0.003,0.018787361229718167,0.21690140845070116,0.03457954417726858,0.002245662992878865,0.0,44.06989247311828,0.2097787218745867,0.2768817204273521,0.005376344086021506,0.0014084507042253522,0.004301075268817204,0.005633802816901409,0.004301075268817204,0.011267605633802818,0.00935483870967742,0.12253521126760564,0.013064516129032259,0.34225352112676055,0.8174373886166552,5.894083148966934,0.0015328886334137646,0.0
deeplift,all,0.021,0.3374444992599885,0.3271162123385924,0.3322000971295309,0.2660400464000832,0.09556313993174062,3.4590443686006824,0.4758226841389028,0.6407849829289256,0.4863481228668942,0.13629842180774748,0.27474402730375425,0.3849832615973219,0.18293515358361775,0.5126733620277379,0.055733788395904434,0.7809660449545672,0.031177474402730377,0.8737446197991392,0.7259185884374664,3.2777395261976356,0.33181054949336025,0.0
deeplift,predicted,0.021,0.329057087876842,0.37146994931209,0.3489795918317506,0.2810130675339415,0.0475,3.8975,0.5325924075891614,0.6937499999933135,0.525,0.15206372194062273,0.2895,0.41926140477914553,0.193,0.559015206372194,0.05685,0.8233164373642288,0.0311,0.9007965242577842,0.7049209375561263,3.0814646074529555,0.35654963364612785,0.0
deeplift,not_predicted,0.021,0.3653846153846076,0.2408450704225318,0.29032258064036737,0.23979195727968244,0.1989247311827957,2.5161290322580645,0.3537372573641532,0.5268817204248655,0.4032258064516129,0.1056338028169014,0.24301075268817204,0.3183098591549296,0.16129032258064516,0.4225352112676056,0.05333333333333334,0.6985915492957746,0.031344086021505374,0.8211267605633803,0.7710748268919615,3.6998361256485612,0.27860821798203206,0.0
