explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004199475065616776,0.0038259206121472795,0.004004003999014816,0.00045765358315834597,0.9436860068259386,3.250853242320819,0.00668373151304406,0.011945392491348123,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0008532423208191126,0.0023912003825920613,0.0009897610921501705,0.013868962219033954,0.0009556313993174062,0.026781444285031087,0.9654600624142721,7.693791998481258,0.00045793061251804475,0.0
random,predicted,0.002,0.004024144869215251,0.0028510334996436006,0.003337505209997443,0.00044838979166972624,0.9459459459459459,2.442260442260442,0.005733005732966148,0.007371007370933661,0.0,0.0,0.0009828009828009828,0.0014255167498218105,0.0009828009828009828,0.002851033499643621,0.0009828009828009828,0.014255167498218105,0.0008845208845208846,0.02565930149679259,0.9654258480347819,7.700257131694158,0.00030832972009442596,0.0
random,not_predicted,0.002,0.004390779363336944,0.005813953488372009,0.005003126949443652,0.0004777830864787317,0.9385474860335196,5.089385474860335,0.008845437616349705,0.022346368714860336,0.00558659217877095,0.0014534883720930232,0.0011173184357541898,0.0014534883720930232,0.0005586592178770949,0.0014534883720930232,0.001005586592178771,0.01308139534883721,0.0011173184357541898,0.029069767441860465,0.9655378571207107,7.679091946986,0.0007980845969672785,0.0
laat,all,0.049,0.3822701688555329,0.3897656623625041,0.38598152971320837,0.3396953667496553,0.19283276450511946,3.638225255972696,0.5563194484662524,0.6555745164896905,0.5255972696245734,0.14729794356767098,0.29897610921501705,0.41893830703012913,0.19658703071672354,0.5509325681492109,0.05610921501706485,0.7862266857962698,0.03039249146757679,0.8517455762792921,0.49618958836324845,2.39536169796989,0.4322260701643838,0.0
laat,predicted,0.049,0.37911781127861316,0.4839629365645012,0.42517219786607924,0.3905626198963377,0.08353808353808354,4.400491400491401,0.6612594544373475,0.7559377559305186,0.5601965601965602,0.16250890947968638,0.32137592137592136,0.466143977191732,0.20687960687960688,0.6001425516749822,0.058673218673218674,0.8510334996436208,0.03135135135135135,0.909479686386315,0.4132945513729477,1.939020679653545,0.46770740101553937,0.0
laat,not_predicted,0.049,0.3988269794721291,0.1976744186046483,0.26433430514619516,0.23900414734168185,0.441340782122905,1.905027932960894,0.3177128427107456,0.4273743016717178,0.44692737430167595,0.11627906976744186,0.24804469273743016,0.3226744186046512,0.17318435754189945,0.45058139534883723,0.05027932960893855,0.6540697674418605,0.028212290502793298,0.7340116279069767,0.6846715998439882,3.432963901627725,0.35155064191622565,0.0
attention_rollout,all,0.003,0.014514786259818288,0.1917742706838824,0.026987011237671513,0.0026440966728304943,0.0,47.14505119453925,0.19484638891535302,0.25995449374032803,0.0017064846416382253,0.00047824007651841227,0.004436860068259386,0.006217120994739359,0.004095563139931741,0.011477761836441894,0.0066552901023890785,0.09325681492109039,0.010170648464163823,0.2850310856049737,0.7666386699255555,5.7158645153342515,0.002595002075526509,0.0
attention_rollout,predicted,0.003,0.015871502788236968,0.23734853884532975,0.029753395281169503,0.002941086484407402,0.0,51.55036855036855,0.23611636111511713,0.29811629811335927,0.002457002457002457,0.0007127583749109052,0.004914004914004914,0.007127583749109052,0.004422604422604423,0.012829650748396294,0.006928746928746929,0.10049893086243764,0.010393120393120393,0.3014967925873129,0.7401546906538164,5.547321787220344,0.0033655930090565065,0.0
attention_rollout,not_predicted,0.003,0.010231718326813105,0.09883720930232415,0.018543768746595368,0.0020736787673388607,0.0,37.12849162011173,0.10100907782426931,0.17318435754019554,0.0,0.0,0.0033519553072625698,0.00436046511627907,0.0033519553072625698,0.00872093023255814,0.006033519553072626,0.07848837209302326,0.009664804469273742,0.251453488372093,0.8268564328506831,6.099087366408894,0.0008428763216342793,0.0
deeplift,all,0.02,0.3257009345794377,0.33333333333333176,0.32947293783475334,0.2659082209386108,0.07508532423208192,3.651877133105802,0.48331830048685404,0.6514505119390589,0.4522184300341297,0.12673362027737925,0.2692832764505119,0.37733142037302725,0.17832764505119453,0.4997608799617408,0.05392491467576792,0.7556193208990913,0.030170648464163823,0.8455284552845529,0.7325995345476978,3.320148140944609,0.3273430776254018,0.0
deeplift,predicted,0.02,0.31939393939393745,0.3756236635780444,0.34523419586794235,0.2829845147067383,0.02702702702702703,4.054054054054054,0.5367531765226192,0.6971744471677359,0.4864864864864865,0.14112615823235922,0.28255528255528256,0.4098360655737705,0.18697788697788698,0.5424091233071988,0.05528255528255528,0.8018531717747683,0.03068796068796069,0.8902352102637205,0.7150144973033877,3.153002982897314,0.35529375607264474,0.0
deeplift,not_predicted,0.02,0.346938775510197,0.24709302325581037,0.2886247877710277,0.2334437474051971,0.18435754189944134,2.7374301675977653,0.3618211242491085,0.5474860335140781,0.3743016759776536,0.09738372093023256,0.23910614525139665,0.311046511627907,0.15865921787709497,0.4127906976744186,0.050837988826815644,0.6613372093023255,0.02899441340782123,0.7543604651162791,0.7725833901814083,3.700193276839855,0.2637904176922852,0.0
gradient_x_input,all,0.02,0.3359762140733383,0.324246771879482,0.3300073010414833,0.2730680923522825,0.08873720136518772,3.4436860068259385,0.4771863138727903,0.6434869169448222,0.4812286689419795,0.13486370157819225,0.27542662116040956,0.38593974175035867,0.18071672354948806,0.5064562410329986,0.05460750853242321,0.7651841224294595,0.030324232081911262,0.8498326159732186,0.7380693890905289,3.332180759475353,0.3426202414666347,0.0
gradient_x_input,predicted,0.02,0.3250319284802023,0.3627940128296482,0.34287638935169856,0.29047707701968695,0.0343980343980344,3.847665847665848,0.527945327942062,0.6857084357018324,0.5184275184275184,0.150392017106201,0.2864864864864865,0.4155381325730577,0.18673218673218672,0.5416963649322879,0.05611793611793612,0.8139700641482538,0.030786240786240787,0.8930862437633642,0.7203996658763338,3.168543161765232,0.3744275689402255,0.0
