explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0025394138186435283,0.022955523672883678,0.004572952887264581,0.00045765398382211555,0.18600682593856654,32.255972696245735,0.030055929565148853,0.06313993173999999,0.0,0.0,0.0010238907849829352,0.0014347202295552368,0.0011945392491467576,0.003347680535628886,0.0009556313993174062,0.013390722142515544,0.0010921501706484642,0.030607364897178385,0.9654699107095445,7.666781490892251,0.00028257917721751256,0.0
random,predicted,0.001,0.0018877897757305733,0.018288222384784066,0.003422313482218893,0.00045527058126096625,0.16030534351145037,33.69720101781171,0.023550527080928085,0.05597964376535623,0.0,0.0,0.0015267175572519084,0.0021945866861741038,0.001272264631043257,0.0036576444769568397,0.0009669211195928754,0.013899049012435992,0.0010178117048346056,0.029261155815654718,0.9653923079032228,7.664050056064897,0.00042135215737776685,0.0
random,not_predicted,0.001,0.004064322318430811,0.03176795580110453,0.00720664264251328,0.00046222285781411367,0.23834196891191708,29.321243523316063,0.04330268177395074,0.07772020725313472,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0027624309392265192,0.0009326424870466321,0.012430939226519336,0.001243523316062176,0.03314917127071823,0.9656279309317434,7.672343428131368,0.0,0.0
laat,all,0.055,0.39745472344591093,0.3883309421329489,0.39283986453297653,0.33827146956429066,0.22184300341296928,3.486348122866894,0.5467849272423704,0.6285551763306921,0.48976109215017066,0.13725490196078433,0.3030716723549488,0.4246771879483501,0.2015358361774744,0.5648015303682449,0.05747440273037543,0.8053562888570062,0.031006825938566553,0.8689622190339551,0.49447677291132053,2.3889706323490283,0.4100751371740802,0.0
laat,predicted,0.055,0.39495798319327496,0.4813460131675166,0.433893834482352,0.39084326175731987,0.09923664122137404,4.239185750636132,0.6553844162583822,0.7400339270497661,0.544529262086514,0.15654718361375275,0.3287531806615776,0.4725676664228237,0.216793893129771,0.6232626188734455,0.05959287531806616,0.8566203365032918,0.03178117048346056,0.9136795903438186,0.4094940011317851,1.9210459578869288,0.45558290127441453,0.0
laat,not_predicted,0.055,0.40848806366046664,0.21270718232043906,0.2797456857357277,0.23868376914196734,0.47150259067357514,1.9533678756476685,0.3256471076398178,0.40155440414107507,0.37823834196891193,0.10082872928176796,0.25077720207253884,0.3342541436464088,0.17046632124352332,0.4544198895027624,0.05316062176165803,0.7085635359116023,0.029430051813471504,0.7845303867403315,0.6675245931670585,3.3417913425231482,0.31740906830655985,0.0
attention_rollout,all,0.003,0.01743925113803936,0.260162601626015,0.0326873967240741,0.003416467831414157,0.0,53.232081911262796,0.2719683331444286,0.3393060295757162,0.0017064846416382253,0.00047824007651841227,0.005802047781569966,0.008130081300813009,0.004948805460750853,0.013868962219033954,0.010170648464163823,0.14251554280248685,0.012764505119453925,0.35772357723577236,0.7613048834708143,5.527523099476131,0.0033261445706352336,0.0
attention_rollout,predicted,0.003,0.018907294638674778,0.324798829553765,0.035734406437592084,0.0040738946826081235,0.0,59.75318066157761,0.3319644590619956,0.387616624254026,0.002544529262086514,0.000731528895391368,0.0071246819338422395,0.010241404535479151,0.0053435114503816794,0.015362106803218726,0.011552162849872774,0.16605705925384054,0.013511450381679389,0.3884418434528164,0.731771857230416,5.3369397664933835,0.0045756892031035895,0.0
attention_rollout,not_predicted,0.003,0.012968486577616376,0.13812154696132406,0.023710729103350613,0.0021739349630361016,0.0,39.95336787564767,0.14980005601694746,0.24093264248465024,0.0,0.0,0.0031088082901554403,0.004143646408839779,0.004145077720207254,0.011049723756906077,0.007357512953367876,0.09806629834254144,0.011243523316062176,0.29972375690607733,0.8214420819810551,5.9156021143062825,0.0007817350340545906,0.0
deeplift,all,0.019,0.30881720430107396,0.34337637494021833,0.32518115941530246,0.266050751097154,0.09044368600682594,3.967576791808874,0.48249356113827985,0.6551478953292329,0.4658703071672355,0.13055954088952654,0.26791808873720135,0.3754184600669536,0.17969283276450512,0.503586800573888,0.05515358361774744,0.7728359636537542,0.03107508532423208,0.8708751793400287,0.7287612794097527,3.297858271810976,0.31794716401530443,0.0
