explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002119093028183936,0.019129603060736397,0.0038155196242834234,0.00045765358315834597,0.18600682593856654,32.21160409556314,0.02488900462434864,0.04650170648418836,0.0017064846416382253,0.00047824007651841227,0.00034129692832764505,0.00047824007651841227,0.0006825938566552901,0.001912960306073649,0.0007167235494880546,0.010043041606886656,0.0009556313993174062,0.026781444285031087,0.965417847535543,7.589874895522222,0.0005883269227572415,0.0
random,predicted,0.001,0.001908801696712618,0.01892081289418347,0.003467762649247066,0.0004559143302787787,0.1687041564792176,34.58435207823961,0.02813588204766937,0.0470660146694728,0.0024449877750611247,0.000700770847932726,0.0004889975550122249,0.000700770847932726,0.0009779951100244498,0.002803083391730904,0.000684596577017115,0.009810791871058164,0.0008801955990220049,0.025227750525578137,0.9653601674762461,7.610927920489872,0.0008429329504541406,0.0
random,not_predicted,0.001,0.002747833439019229,0.019578313253011754,0.0048192771062751365,0.00046143668032444415,0.22598870056497175,26.728813559322035,0.017386333064245956,0.04519774011254237,0.0,0.0,0.0,0.0,0.0,0.0,0.0007909604519774011,0.010542168674698794,0.0011299435028248588,0.030120481927710843,0.9655511308364045,7.54122694517324,0.0,0.0
laat,all,0.048,0.35541666666666516,0.4079387852702037,0.37987085281176663,0.3325119777673946,0.22525597269624573,4.09556313993174,0.5624794952833707,0.6205915813364097,0.5017064846416383,0.1406025824964132,0.2986348122866894,0.4184600669536107,0.2052901023890785,0.5753228120516499,0.05955631399317406,0.8345289335246293,0.03163822525597269,0.8866571018651362,0.5093490635890537,2.375998895276903,0.4270606031629571,0.0
laat,predicted,0.048,0.3565737051792811,0.5017519271198283,0.41688500727316097,0.3830828944365091,0.10024449877750612,4.909535452322738,0.6622960237225156,0.7253463732611396,0.5452322738386308,0.15627189908899788,0.3188264058679707,0.45690259285213736,0.21833740831295845,0.6257883672039243,0.06161369193154034,0.8829712683952348,0.03244498777506113,0.9299229152067274,0.4222654745784307,1.907704003483429,0.4659549586029738,0.0
laat,not_predicted,0.048,0.34948979591835844,0.20632530120481618,0.2594696969650238,0.2295336407866974,0.5141242937853108,2.214689265536723,0.331830003014386,0.3785310734425423,0.4011299435028249,0.10692771084337349,0.2519774011299435,0.3358433734939759,0.1751412429378531,0.46686746987951805,0.05480225988700565,0.7304216867469879,0.02977401129943503,0.7936746987951807,0.7105761139017365,3.4581040407205794,0.3371860756207716,0.0
attention_rollout,all,0.003,0.017384802317973635,0.26685796269727274,0.0326430326418842,0.0025350810077141212,0.0,54.77303754266212,0.28625591795236044,0.3415813424312234,0.0034129692832764505,0.0009564801530368245,0.004436860068259386,0.006217120994739359,0.005119453924914676,0.014347202295552367,0.010170648464163823,0.14251554280248685,0.013464163822525597,0.37733142037302725,0.7663310183324784,5.547446836008263,0.0029753060077521917,0.0
attention_rollout,predicted,0.003,0.01880395789805652,0.33426769446390797,0.035604986189929806,0.0028931484887184562,0.0,62.02200488997555,0.36156658473091474,0.42094539526889224,0.004889975550122249,0.001401541695865452,0.0053789731051344745,0.007708479327259986,0.006601466992665036,0.0189208128941836,0.011882640586797066,0.1702873160476524,0.014596577017114915,0.4183601962158374,0.7343979237865471,5.328959256108593,0.003991820193081292,0.0
attention_rollout,not_predicted,0.003,0.012035661218424944,0.12198795180722707,0.021909656476590766,0.0017655298395259844,0.0,38.0225988700565,0.11223296477479712,0.1581920903938983,0.0,0.0,0.0022598870056497176,0.0030120481927710845,0.001694915254237288,0.004518072289156626,0.0062146892655367235,0.08283132530120482,0.010847457627118645,0.2891566265060241,0.8401199204188396,6.052313616680384,0.0006264116473024632,0.0
deeplift,all,0.017,0.276950998185117,0.3648971783835468,0.31489888567400304,0.2629113991164459,0.07337883959044368,4.701365187713311,0.5216868905616998,0.6804607508466273,0.4726962457337884,0.1324725011956002,0.2641638225255973,0.3701578192252511,0.1764505119453925,0.49450023912003827,0.05515358361774744,0.7728359636537542,0.03068259385665529,0.8598756575801052,0.7335804916987977,3.3214041712268894,0.3227631441618313,0.0
deeplift,predicted,0.017,0.26896551724137807,0.40995094604064186,0.32481954469260416,0.28973788222606955,0.03178484107579462,5.3178484107579465,0.5841139402533541,0.7353300733425392,0.5232273838630807,0.14996496145760335,0.2748166259168704,0.39383321653819203,0.18386308068459659,0.52697967764541,0.057017114914425425,0.8170988086895585,0.03117359413202934,0.8934828311142257,0.7138258244661961,3.136176129288141,0.35901550519870157,0.0
