explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0051036682615629905,0.003528503693902301,0.004172371075419432,0.0004641204066204476,0.9291274068004916,2.5686194182712003,0.004710696240781712,0.007920251263065227,0.00040966816878328555,0.00011020498126515319,0.0013928717738631708,0.0018734846815076042,0.0011880376894715281,0.0031959444566894424,0.0010733306022122082,0.014436852545735067,0.0009668168783285539,0.026008375578576153,0.9654888175506693,7.66453063227193,0.0007841056305110843,0.0
random,predicted,0.002,0.005570291777188314,0.003624439074905068,0.0043914680002427415,0.00044806706312687934,0.9221741815935763,2.3285978999382335,0.004297185211306822,0.007617871113781483,0.0,0.0,0.0009882643607164916,0.001380738695201933,0.0011117974058060531,0.0031066620642043494,0.0011365040148239654,0.01587849499482223,0.0010376775787523163,0.028995512599240592,0.9655001507955296,7.694829246872345,0.00043754667833266855,0.0
random,not_predicted,0.002,0.004399999999999982,0.0033587786259541884,0.0038095238046138434,0.0004955297917049962,0.9428223844282239,3.0413625304136254,0.005525141930221914,0.008515815085072993,0.0012165450121654502,0.0003048780487804878,0.0021897810218978104,0.00274390243902439,0.001338199513381995,0.003353658536585366,0.0009489051094890511,0.011890243902439025,0.0008272506082725061,0.020731707317073172,0.9654664957460107,7.60485489378279,0.001466683420750567,0.0
laat,all,0.048,0.35774210253754496,0.3808578674605796,0.3689382610503346,0.32577455229119334,0.2290045063498566,3.9553461696026218,0.5353992608897212,0.6076744503560431,0.4588283490372798,0.12342957901697156,0.2920114707087259,0.39277055322900595,0.20180253994264646,0.5428697377121446,0.05958213846784105,0.801410623760194,0.032072920934043424,0.8627947983248843,0.5035921971841533,2.4588402854900018,0.3785330946456815,0.0
laat,predicted,0.048,0.3468705821873791,0.46582671729375136,0.39764272559363323,0.3671781109921063,0.11673872760963558,4.8060531192093885,0.6401648613405903,0.7082561251734127,0.5033971587399629,0.14066275457369692,0.3125386040765905,0.43665861235761133,0.21630636195182212,0.6044183638246462,0.062248301420630016,0.8696927856403176,0.03306361951822112,0.9238867794269935,0.41936745044721646,1.9901116100115117,0.42322343012572894,0.0
laat,not_predicted,0.048,0.402881536819635,0.23053435114503745,0.29326082734048453,0.25983714984834283,0.45012165450121655,2.2798053527980535,0.32905436170485886,0.4095701540916614,0.3710462287104623,0.09298780487804878,0.25158150851581507,0.3152439024390244,0.17323600973236009,0.43414634146341463,0.054330900243309,0.6807926829268293,0.030121654501216545,0.7548780487804878,0.6694801107694336,3.382041898141675,0.29051161880359294,0.0
attention_rollout,all,0.003,0.017378343909896895,0.2494211048627189,0.03249276382293048,0.003469965664289742,0.0,53.32322818517001,0.25994315573216376,0.3196777277040976,0.008603031544448997,0.0023143046065682168,0.005161818926669398,0.006942913819704651,0.004383449405981155,0.011791932995371391,0.009438754608766899,0.12695613841745648,0.013002867677181482,0.34979061053559624,0.7622245882984303,5.571324318199745,0.003814446712326885,0.0
attention_rollout,predicted,0.003,0.017826745339668944,0.29461511908871196,0.03361923800225242,0.0035250188505684585,0.0,59.14453366275479,0.3101912589332739,0.36524603664457206,0.008647313156269302,0.002416292716603383,0.005311920938851143,0.00742147048671039,0.0044471896232242125,0.012426648256817397,0.010315009264978381,0.14411460131170176,0.013563928350833847,0.37901277183293064,0.7329020222870174,5.418217468954388,0.004203985799182721,0.0
attention_rollout,not_predicted,0.003,0.016130438573546076,0.16946564885496132,0.029457035187627836,0.0033717570991839167,0.0,41.85766423357664,0.16097517631294553,0.2299270072970073,0.00851581508515815,0.002134146341463415,0.004866180048661801,0.006097560975609756,0.004257907542579075,0.010670731707317074,0.007712895377128954,0.09664634146341464,0.011897810218978103,0.29817073170731706,0.8199779147856293,5.872881482346014,0.003047215834444159,0.0
deeplift,all,0.021,0.3336115416716343,0.30852354173558244,0.32057745187401737,0.25544519535110244,0.11183941007783695,3.435886931585416,0.4421817570507999,0.6118735490860054,0.44530929946743136,0.11979281463522151,0.26579270790659565,0.3575049592241569,0.18238426874231872,0.49063257659246196,0.05703400245800901,0.7671368745867313,0.03215075788611225,0.8648886929689222,0.7231028340905509,3.317177103017755,0.3052614872013382,0.0
deeplift,predicted,0.021,0.3250962772785617,0.3496720745598889,0.33693663728088663,0.2702220966394766,0.06794317479925881,3.849289684990735,0.49809617440075654,0.6646592546775968,0.471278567016677,0.13168795305488437,0.27646695491043854,0.38626164998274076,0.1897467572575664,0.5302036589575423,0.057516985793699814,0.803589920607525,0.032007411982705375,0.8943734898170521,0.7043342920886743,3.1542197477416853,0.32962044055908923,0.0
deeplift,not_predicted,0.021,0.35823665893271295,0.23572519083969393,0.284346224672928,0.23239502279448,0.19829683698296838,2.621654501216545,0.33205348248926747,0.5079075425741002,0.39416058394160586,0.09878048780487805,0.24476885644768856,0.3067073170731707,0.1678832116788321,0.42073170731707316,0.05608272506082725,0.7027439024390244,0.0324330900243309,0.8128048780487804,0.7600690986903537,3.638135689625973,0.25728442456605977,0.0
gradient_x_input,all,0.018000000000000002,0.30661380777412467,0.34965266291763114,0.32672196176927293,0.26562638260016336,0.08275297009422368,4.236788201556739,0.48697526077302317,0.647480540755751,0.44817697664891437,0.12056424950407758,0.26939778779188855,0.3623539783998237,0.1844735764031135,0.4962530306369848,0.0577304383449406,0.7765042979942693,0.03234739860712823,0.8701785320696496,0.7294631903322224,3.328167134520394,0.3159021570421367,0.0
gradient_x_input,predicted,0.018000000000000002,0.29717720857292174,0.3924749741111488,0.3382418563092405,0.2815040089096177,0.042001235330450894,4.726374305126622,0.5426450351862099,0.6985793699747918,0.4762198888202594,0.1330686917500863,0.2807906114885732,0.3923023817742492,0.19122915379864114,0.5343458750431481,0.05825818406423718,0.8139454608215395,0.03219888820259419,0.8997238522609596,0.7106899960074797,3.166899763676094,0.3420049492938797,0.0
