explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.006221087892805861,0.004300363876943429,0.005085408783796169,0.0004641205966372874,0.9315854158131913,2.568209750102417,0.00528341884340893,0.009695479994442624,0.0,0.0,0.00040966816878328555,0.000551024906325766,0.0008603031544448997,0.0023143046065682168,0.0009504301515772225,0.01278377782675777,0.000987300286767718,0.026559400484901918,0.9654588245438775,7.661004140657284,0.0003352288490569493,0.0
random,predicted,0.002,0.006930471719204098,0.005153782211138811,0.005911517920355972,0.00045977661659445714,0.9256550883607556,2.7257769652650823,0.006197827495786904,0.0113751777370411,0.0,0.0,0.0002437538086532602,0.00033250207813798836,0.0008531383302864108,0.0023275145469659184,0.0009506398537477149,0.012967581047381545,0.0010176721511273613,0.02776392352452203,0.9654289747201501,7.6576576359689525,0.00033486400221102334,0.0
random,not_predicted,0.002,0.004454342984409775,0.0026195153896529056,0.003298969067501329,0.0004729208670525586,0.94375,2.245,0.00340773809521861,0.0062499999999375,0.0,0.0,0.00075,0.0009807126511932004,0.000875,0.002288329519450801,0.00095,0.012422360248447204,0.000925,0.02419091206276561,0.9655200539947982,7.667868658399223,0.00033597724114965493,0.0
laat,all,0.042,0.37952464020933235,0.3838350424523097,0.38166767172352345,0.33392564991173684,0.1384678410487505,3.757476444080295,0.543948935207534,0.6978014474875424,0.5174108971732896,0.13918889133788848,0.30864399836132733,0.41514216442583207,0.19938549774682507,0.5363676438175006,0.05688652191724703,0.7651531849239586,0.031470708725931995,0.8465946660789068,0.5088228228082546,2.5560984772869757,0.3999138158118131,0.0
laat,predicted,0.042,0.3729115310873728,0.4527015793848704,0.40895096492708777,0.3717013089922859,0.027422303473491772,4.449725776965265,0.6303528357471587,0.8029656713310178,0.5630712979890311,0.15361596009975062,0.3271176112126752,0.4462177888611804,0.21048141377209018,0.5742310889443059,0.05912248628884827,0.8064837905236908,0.032535039609993904,0.88761429758936,0.42703841010144494,2.1621593359819453,0.4350669515706268,0.0
laat,not_predicted,0.042,0.4053475935828855,0.2481990831696128,0.3078797725379361,0.26526574379902806,0.36625,2.3375,0.36671293422562884,0.48208333332861336,0.42375,0.11082052958483164,0.27075,0.35403726708074534,0.176625,0.4619156587119974,0.0523,0.6838836220987251,0.0292875,0.7659365805818895,0.6765830993730979,3.3641661408889187,0.3278059460865464,0.0
attention_rollout,all,0.003,0.015184097346061048,0.19153159113463428,0.02813752885297001,0.00326838680899281,0.0,46.86439983613273,0.18824803292364306,0.24969274887097398,0.009012699713232281,0.00242450958783337,0.005653420729209341,0.00760414370729557,0.0043015157722244984,0.011571523032841084,0.007480540761982794,0.10061714789508486,0.01140516181892667,0.30681066784218647,0.770047474514004,5.7262115040401405,0.003765576016735268,0.0
attention_rollout,predicted,0.003,0.01649679520857413,0.2349127182044884,0.0308286424912466,0.003428754499838644,0.0,52.19561243144424,0.2354946451102388,0.3008328255099651,0.009750152346130409,0.002660016625103907,0.005850091407678245,0.00798004987531172,0.004814137720901889,0.013133832086450541,0.008702010968921389,0.11870324189526185,0.012663010359536868,0.3454696591853699,0.746231915624224,5.514551299230502,0.0039188206556298975,0.0
attention_rollout,not_predicted,0.003,0.011272309779772461,0.10609037328094267,0.020379281062514895,0.003000009267799727,0.0,35.92875,0.09133341967588846,0.1447916666652434,0.0075,0.001961425302386401,0.00525,0.006864988558352402,0.00325,0.008499509643674403,0.004975,0.06505393919581563,0.008825,0.2307943772474665,0.8188991396866654,6.160379499155913,0.0034512329512026594,0.0
deeplift,all,0.021,0.3172103487064113,0.27985444922262626,0.2973637961285869,0.22910690015863605,0.11388775092175338,3.2777550184350677,0.41029588041474846,0.5691656424907401,0.4186808684965178,0.11262949085298656,0.251618189266694,0.33843949746528545,0.17099549365014338,0.4599955918007494,0.055731257681278165,0.7496142825655719,0.03151986890618599,0.8479171258540886,0.7314393484565247,3.4331506559414517,0.29776193770655157,0.0
