explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004207119741100317,0.0028669092512956197,0.0034100596712237927,0.012964069230037022,0.9324047521507579,2.5317492830807047,0.003458282124797761,0.006281578587948472,0.0020483408439164277,0.000551024906325766,0.0010651372388365424,0.0014326647564469914,0.0007783695206882425,0.0020938946440379105,0.0011306841458418682,0.01520828741459114,0.0010815239655878738,0.02909411505400044,0.965499807377243,7.638641777086169,0.00048288370719895833,0.0
random,predicted,0.002,0.004838709677419344,0.0034837425348374198,0.004050925921058451,0.014738252033605435,0.9252392344497608,2.5956937799043063,0.003653309409876114,0.006778309409821904,0.0017942583732057417,0.0004976775049767751,0.0008373205741626794,0.001161247511612475,0.0007177033492822966,0.0019907100199071004,0.0010885167464114833,0.015096217650962177,0.0010406698564593302,0.02886529528865295,0.965469929231439,7.661880225050146,0.00046725533290345163,0.0
random,not_predicted,0.002,0.0027173913043478113,0.0016441959881617835,0.0020487604952002716,0.0004887525831883882,0.9479843953185956,2.3927178153446036,0.0030342436063959324,0.0052015604680884266,0.002600780234070221,0.0006565988181221273,0.0015604681404421327,0.001969796454366382,0.0009102730819245773,0.002298095863427446,0.0012223667100130038,0.015430072225869994,0.0011703511053315994,0.02954694681549573,0.9655647700037513,7.588115528717154,0.0005168637355761847,0.0
laat,all,0.052000000000000005,0.40186263096623936,0.3806373359797107,0.3909621156300902,0.34578041035416174,0.21958213846784105,3.519049569848423,0.537458362231091,0.616004369787899,0.4875051208521098,0.1311439277055323,0.3048750512085211,0.410072735287635,0.20798852929127407,0.5595106898831828,0.06034412126177796,0.8116596870178532,0.03225317492830807,0.867643817500551,0.5050959818691295,2.3934907986825564,0.40732176905439865,0.0
laat,predicted,0.052000000000000005,0.3953977830784336,0.46748506967484993,0.4284302546510586,0.3901131344736081,0.09748803827751196,4.2625598086124405,0.6438520644446326,0.7219896331669939,0.5269138755980861,0.14615129396151294,0.32547846889952153,0.451393497013935,0.22129186602870812,0.6138022561380225,0.06270334928229665,0.869608493696085,0.03324162679425837,0.9220305242203053,0.4203973132528865,1.9365641482867795,0.45406352081638335,0.0
laat,not_predicted,0.052000000000000005,0.43335611756664094,0.20848405129891415,0.28152753107909384,0.26642441598988087,0.4850455136540962,1.9024707412223667,0.3061316130749904,0.38556566969707085,0.40182054616384916,0.10144451739986868,0.26007802340702213,0.3282994090610637,0.1790637191157347,0.4520682862770847,0.05521456436931079,0.6969796454366383,0.030104031209362808,0.7600131319763624,0.6892522548552916,3.386964608125651,0.3056934089165075,0.0
attention_rollout,all,0.003,0.01668742216687422,0.21424633366413035,0.030963156551438407,0.0031421334185156723,0.0,47.69971323228185,0.212774300714387,0.27181482998505424,0.0077836952068824255,0.0020938946440379105,0.005325686194182712,0.0071633237822349575,0.004465383039737813,0.012012342957901698,0.008643998361327326,0.1162662552347366,0.012302335108562065,0.330945558739255,0.7715144341813732,5.652009950152148,0.003513261037354441,0.0
attention_rollout,predicted,0.003,0.018121382314172728,0.26227604512276004,0.03390048566988551,0.0033128092628501044,0.0,52.18002392344498,0.25666567271316476,0.31339712918354967,0.008373205741626795,0.00232249502322495,0.005980861244019139,0.00829462508294625,0.005083732057416268,0.014100862641008627,0.009784688995215311,0.13570006635700066,0.01305622009569378,0.3621433311214333,0.7457842442770085,5.47877073664425,0.004269766694604639,0.0
attention_rollout,not_predicted,0.003,0.012401507365536139,0.11903978954291312,0.02246284632636027,0.002808781701787439,0.0,37.958387516254874,0.11734338526320828,0.18140442132460666,0.006501950585175552,0.0016414970453053185,0.0039011703511053317,0.004924491135915955,0.0031209362808842654,0.007879185817465528,0.006163849154746424,0.0778069599474721,0.010663198959687906,0.2692055154300722,0.8274583581346864,6.028675704359174,0.0018684268905113585,0.0
deeplift,all,0.018000000000000002,0.2840088572253776,0.3252839342816184,0.30324835525818056,0.2317420096539486,0.07210159770585825,4.255223269151987,0.47031783716814984,0.6227980335867932,0.42605489553461695,0.11461318051575932,0.254240065546907,0.3419660568657703,0.17435477263416632,0.46903240026449194,0.056419500204834085,0.7588715009918449,0.031581319131503485,0.8495702005730659,0.7333032089545114,3.399818297430141,0.3078722328488701,0.0
deeplift,predicted,0.018000000000000002,0.28451515910799263,0.3767418712674181,0.32419700213642444,0.2541800744963486,0.029904306220095694,4.773923444976076,0.5327876110770902,0.6835625996744945,0.465311004784689,0.12906436629064366,0.2716507177033493,0.3767418712674187,0.18528708133971292,0.5139349701393497,0.05778708133971292,0.8014266755142667,0.03172846889952153,0.8800597213005972,0.7146080183757996,3.2020387545217437,0.33835149515000174,0.0
deeplift,not_predicted,0.018000000000000002,0.2823284823284812,0.2232818151923702,0.24935732647321637,0.18768327663403647,0.16384915474642392,3.1274382314694407,0.33449278908525204,0.4906805374897362,0.34070221066319895,0.08601444517399869,0.2163849154746424,0.273145108338805,0.1505851755526658,0.38017071569271177,0.05344603381014304,0.6746552856204859,0.031261378413524055,0.7892317793827971,0.7739512696145973,3.8298409186822098,0.2416026274295046,0.0
gradient_x_input,all,0.019,0.3117620345140778,0.3027897232329912,0.30721038205015544,0.23786809622511665,0.10159770585825481,3.608357230643179,0.44275106701625283,0.5886590195218346,0.4362965997541991,0.11736830504738814,0.25710774272839,0.3458232312100507,0.17697664891437936,0.47608551906546176,0.0568455551003687,0.7646021600176328,0.03179024989758296,0.8551906546175887,0.7402863082076053,3.4343036404838787,0.3104595187028238,0.0
gradient_x_input,predicted,0.019,0.3122138531974593,0.3506967485069669,0.3303383076753039,0.25896540974800536,0.05502392344497608,4.0496411483253585,0.5026754840167865,0.6453847687338509,0.47129186602870815,0.13072329130723293,0.2742822966507177,0.38039150630391505,0.18696172248803827,0.5185799601857995,0.0580622009569378,0.805242203052422,0.031901913875598084,0.8848706038487061,0.7222074099044229,3.246476413239714,0.3391352246689577,0.0
gradient_x_input,not_predicted,0.019,0.3102601865488448,0.20782637290364944,0.24891689641110626,0.19708270336197908,0.20286085825747724,2.64889466840052,0.3124602669838829,0.465322930207802,0.3602080624187256,0.09093893630991465,0.21976592977893367,0.2774130006565988,0.1552665799739922,0.39198949441891007,0.05420026007802341,0.6841759684832567,0.03154746423927178,0.7964543663821405,0.779594393985136,3.842687416754677,0.2481112997491491,0.0
integrated_gradient,all,0.011,0.2633193863319384,0.31227257691035365,0.28571428570932156,0.20813902704361292,0.04055714870954527,4.405981155264236,0.47601821603355926,0.6203741635881693,0.41171650962720197,0.11075600617147895,0.2460467021712413,0.330945558739255,0.16898811962310528,0.4545955477187569,0.05564113068414584,0.7484020277716553,0.03136419500204834,0.8437293365660128,0.8593395557460616,3.812332305237765,0.31158394539481354,0.0
integrated_gradient,predicted,0.011,0.2674137272379979,0.34837425348374196,0.30257186081202997,0.2218281769621512,0.013157894736842105,4.69677033492823,0.5256176351338768,0.6652711323700267,0.4366028708133971,0.12110152621101526,0.2595693779904306,0.3599867285998673,0.17751196172248804,0.49236894492368943,0.056698564593301436,0.7863304578633046,0.03125,0.8667883211678832,0.8553835749906271,3.6647738655857904,0.33148053036820124,0.0
integrated_gradient,not_predicted,0.011,0.2522398345968289,0.2407102926668851,0.2463402322009585,0.17987247590350322,0.10013003901170352,3.773732119635891,0.3681765661821536,0.5227568270429606,0.3576072821846554,0.09028233749179251,0.21664499349804942,0.27347340774786605,0.1504551365409623,0.3798424162836507,0.05334200260078024,0.6733420879842417,0.031612483745123536,0.7980958634274459,0.8679408559061222,4.133161578447259,0.2683237502381111,0.0
