explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005372945638432355,0.003749035174771195,0.0044164447571250695,0.00046412050162884805,0.9344530929946743,2.592380172060631,0.005263260568431611,0.008603031544362965,0.0008193363375665711,0.00022040996253030638,0.0011470708725931996,0.0015428697377121445,0.0010651372388365424,0.0028653295128939827,0.0010897173289635396,0.014657262508265373,0.0010610405571487096,0.028543090147674675,0.9654782845294104,7.657225940449408,0.0003989236975669083,0.0
random,predicted,0.002,0.005835314458612479,0.004441519986839933,0.005043900611568702,0.0004559149926659102,0.9265232974910395,2.7640382317801673,0.005484439893011272,0.009557945041720431,0.0011947431302270011,0.0003290014805066623,0.0015531660692951015,0.002138509623293305,0.0012544802867383513,0.003454515545319954,0.0011708482676224612,0.01612107254482645,0.001081242532855436,0.029774633985852936,0.9654375603518931,7.676375211669205,0.0005326722833904241,0.0
random,not_predicted,0.002,0.004115226337448536,0.0023411371237458114,0.002984438281457239,0.00048174849892645646,0.9517601043024772,2.2177314211212518,0.004780530204225156,0.006518904823924381,0.0,0.0,0.0002607561929595828,0.000333889816360601,0.000651890482398957,0.001669449081803005,0.0009126466753585397,0.011686143572621035,0.001016949152542373,0.02604340567612688,0.9655671662414886,7.61543209426696,0.00010701348548272892,0.0
laat,all,0.056,0.438852888459947,0.3509758518028445,0.3900257321357305,0.3494506332616163,0.2535845964768538,2.97132322818517,0.5099586245596771,0.58712276388894,0.49405981155264234,0.13290720740577475,0.3120852109791069,0.4197707736389685,0.21024170421958213,0.5655719638527661,0.0602621876280213,0.8105576372052017,0.03247849242113888,0.8737050914701344,0.5170082599089785,2.413030190662705,0.4134714034067347,0.0
laat,predicted,0.056,0.4308042982741771,0.43526895871031346,0.433025120688887,0.39566160392811767,0.12544802867383512,3.6690561529271206,0.6205697802287513,0.6981282357559858,0.5388291517323776,0.1483796677085047,0.3365591397849462,0.4633985852936338,0.2250298685782557,0.6196742885342984,0.06299880525686977,0.8674124033558152,0.0334647550776583,0.921533146899161,0.4291565060277713,1.928427737869172,0.4598133875044343,0.0
laat,not_predicted,0.056,0.483348334833479,0.17959866220735726,0.2618873445461581,0.26458828789404093,0.5332464146023468,1.4485006518904824,0.26854653252573907,0.34485006518563555,0.3963494132985658,0.1015025041736227,0.2586701434159061,0.3312186978297162,0.17796610169491525,0.4557595993322204,0.054289439374185136,0.6951585976627713,0.030325945241199477,0.776627712854758,0.7087472898922129,3.470689259732293,0.31232866366807865,0.0
attention_rollout,all,0.003,0.01635097110699334,0.2101665012680558,0.03034138032451994,0.003390646124939946,0.0,47.75419909873003,0.21382497449886156,0.2746142291383745,0.0077836952068824255,0.0020938946440379105,0.0052437525604260545,0.007053118800969804,0.004383449405981155,0.011791932995371391,0.008971732896353952,0.12067445448534274,0.012376075378943056,0.33292924840202776,0.771378880080447,5.67166926975451,0.003995883874150589,0.0
attention_rollout,predicted,0.003,0.01747984821608999,0.25612765257443615,0.03272624089504468,0.003541025911131111,0.0,53.210274790919954,0.26297154764317393,0.3209876543178508,0.008363201911589008,0.002303010363546636,0.005495818399044205,0.007567034051653232,0.004958183990442055,0.013653561441026484,0.010203106332138591,0.1404836321763448,0.013189964157706093,0.3632176344793552,0.7435610814649036,5.478632249926117,0.004281178491255206,0.0
attention_rollout,not_predicted,0.003,0.012693678620789985,0.11672240802675546,0.022897257575976413,0.003100048583877916,0.0,35.84615384615385,0.10656113689315233,0.17340286831641458,0.00651890482398957,0.001669449081803005,0.00469361147327249,0.006010016694490818,0.0031290743155149934,0.008013355592654424,0.0062842242503259454,0.08046744574290485,0.010599739243807041,0.2714524207011686,0.8320920415959868,6.092978228284799,0.0033732200031817115,0.0
deeplift,all,0.016,0.27081864473168804,0.38118866468188295,0.31666208664898565,0.2503213792470634,0.04752150757886112,5.22941417451864,0.5229365853662195,0.67380172059985,0.4391642769356821,0.11813973991624421,0.26620237607537894,0.3580559841304827,0.18029496108152396,0.4850121225479392,0.05736173699303564,0.7715450738373375,0.03199918066366243,0.8608111086621115,0.7333833545326057,3.3334441454413435,0.30548581143306874,0.0
