explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0022115860703086315,0.022163413827323827,0.00402185004937348,0.00046412035911626195,0.27857435477263415,37.23269151986891,0.023623453617789895,0.05168646729433372,0.0012290045063498567,0.00033061494379545955,0.0009832036050798853,0.0013224597751818382,0.0013109381401065136,0.003526559400484902,0.0011142974190905366,0.014987877452060833,0.0010118803768947152,0.027220630372492838,0.9655073696337351,7.641276615941972,0.000664242473373566,0.0
random,predicted,0.001,0.002549504176181687,0.027107932812240103,0.004660671649821695,0.00045238138587146577,0.27403846153846156,38.421875,0.027358899947413952,0.05839342948662777,0.0018028846153846155,0.0004989190088142358,0.001201923076923077,0.0016630633627141194,0.0012620192307692308,0.0034924330616996507,0.001153846153846154,0.015965408282055546,0.0010396634615384614,0.028770996174954266,0.9655065151285764,7.646928273701756,0.000911149470919554,0.0
random,not_predicted,0.001,0.0014099662350191083,0.012434554973821949,0.0025327423582865525,0.0004890924070964475,0.2882882882882883,34.68597168597169,0.015623733292829236,0.03732303732267696,0.0,0.0,0.0005148005148005148,0.0006533812479581836,0.0014157014157014157,0.0035935968637700096,0.0010296010296010295,0.013067624959163672,0.0009523809523809524,0.024175106174452794,0.9655091996164684,7.6291731944332435,0.000135473819684346,0.0
laat,all,0.041,0.3551524219188327,0.41878928217002936,0.3843546020291375,0.33224011128263214,0.18721835313396148,4.380991396968455,0.5674547068378188,0.6411989621678345,0.45964768537484635,0.12364998897950187,0.302744776730848,0.407207405774741,0.20696435886931586,0.5567555653515539,0.060008193363375664,0.807141282785982,0.032363785333879555,0.8706193519947102,0.5130820129724227,2.4635711766268633,0.3833653665675087,0.0
laat,predicted,0.041,0.34926428652902897,0.5092300016630625,0.414343707708299,0.37781204884816744,0.07091346153846154,5.2686298076923075,0.6783925045916317,0.7461939102493181,0.5018028846153846,0.13886579078662897,0.3266826923076923,0.45202062198569765,0.22271634615384617,0.6163312822218526,0.06241586538461538,0.8636288042574423,0.03319711538461539,0.9186762015632796,0.4316935326574737,1.9993031831877741,0.43239387043069966,0.0
laat,not_predicted,0.041,0.3819408406850006,0.24083769633507773,0.295404374869829,0.24540789884466468,0.4362934362934363,2.48005148005148,0.32987363159670646,0.416344916340822,0.36936936936936937,0.09376020908199935,0.2514800514800515,0.3191767396275727,0.17323037323037324,0.4397255798758576,0.05485199485199485,0.6961777196994446,0.030579150579150578,0.7762169225743221,0.6873811522826868,3.4578336490627,0.27836738660824245,0.0
attention_rollout,all,0.002,0.015479748701100873,0.41459918403352036,0.029845178137713067,0.004133072813201876,0.0,99.5075788611225,0.43160890014889,0.48136009831568616,0.0077836952068824255,0.0020938946440379105,0.005817287996722655,0.007824553669825877,0.004342482589102826,0.011681728014106238,0.008783285538713641,0.11813973991624421,0.012613682916837362,0.33932113731540664,0.770907418508368,5.584487081178782,0.003935543289929311,0.0
attention_rollout,predicted,0.002,0.01551221506255446,0.47962747380675125,0.03005246677130587,0.004635596245532922,0.0,111.7295673076923,0.5023092689570651,0.548677884610075,0.009014423076923076,0.002494595044071179,0.006610576923076923,0.009146848494927657,0.004927884615384615,0.01363711957425578,0.010036057692307693,0.13886579078662897,0.01326923076923077,0.36720439048727754,0.7440680462463886,5.41416866628579,0.0050894726491303305,0.0
attention_rollout,not_predicted,0.002,0.015373815373815372,0.2866492146596849,0.02918249050473034,0.003071885865508833,0.0,73.33333333333333,0.280199101311305,0.33719433719102315,0.005148005148005148,0.0013067624959163672,0.004118404118404118,0.005227049983665469,0.003088803088803089,0.007840574975498203,0.006100386100386101,0.07742567788304476,0.01120978120978121,0.284547533485789,0.8283858167631087,5.949235913073169,0.0014643226287832383,0.0
deeplift,all,0.021,0.3283926618879841,0.29804829639430996,0.3124855491279594,0.24896101353475913,0.10651372388365424,3.3719786972552233,0.42949945604183193,0.5905708043094624,0.4334289225727161,0.11659687017853207,0.26063088897992626,0.3505620454044523,0.1789020893076608,0.48126515318492397,0.05686194182712003,0.7648225699801631,0.0317083162638263,0.8529865549922857,0.7262226337961798,3.3735459559972973,0.3018191913978013,0.0
deeplift,predicted,0.021,0.31989844493811437,0.3352735739231659,0.32740560291826654,0.2652077146899249,0.05709134615384615,3.7872596153846154,0.4807433008903519,0.6408754006348676,0.4609375,0.12755695992017296,0.27163461538461536,0.37585231997339097,0.18798076923076923,0.5202062198569766,0.058076923076923075,0.8035922168634625,0.031953125,0.8842507899550973,0.7072417801456218,3.189910676986972,0.32374720655726097,0.0
deeplift,not_predicted,0.021,0.35614307931570577,0.22480366492146522,0.2756268806371802,0.22023115735933196,0.21235521235521235,2.4826254826254828,0.31975716797498865,0.48283998283523577,0.3745173745173745,0.09506697157791572,0.23706563706563707,0.30088206468474354,0.15945945945945947,0.40476968311009476,0.05425997425997426,0.6886638353479255,0.031184041184041184,0.7915713819013395,0.7668714632357272,3.7668137864647124,0.2548588088684052,0.0
gradient_x_input,all,0.022,0.35826210826210775,0.277318337192634,0.3126359624539035,0.25380196244733094,0.14051618189266693,2.8758705448586643,0.4073156047648344,0.5605626109463682,0.4354772634166325,0.11714789508485783,0.26808684965178203,0.3605906986995812,0.1803359278984023,0.4851223275292043,0.057312576812781645,0.7708838439497465,0.031773863170831626,0.8547498346925281,0.7325013205436209,3.3946456759117316,0.31068480257089787,0.0
gradient_x_input,predicted,0.022,0.3483894853757861,0.31298852486279677,0.3297415681071469,0.26959828472546643,0.08233173076923077,3.246394230769231,0.45724075310084333,0.6099258814043823,0.4597355769230769,0.12722434724763013,0.27896634615384613,0.3859970064859471,0.19020432692307693,0.5263595542990188,0.05858173076923077,0.8105770829868618,0.031989182692307695,0.8852486279727257,0.7136807916763394,3.2168353496419693,0.3325960075080531,0.0
gradient_x_input,not_predicted,0.022,0.3912237330037059,0.20713350785340245,0.270860077017295,0.22605747813834617,0.2651222651222651,2.0823680823680824,0.3003973977749776,0.4548477048432336,0.3835263835263835,0.09735380594576935,0.24478764478764478,0.3106827834041163,0.1592020592020592,0.40411630186213654,0.05459459459459459,0.6929108134596537,0.03131274131274131,0.7948382881411303,0.7728068032143499,3.775438961513898,0.2637604203116619,0.0
