explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0020034785671825804,0.020068364759069337,0.0036432424841617425,0.0004641204066204476,0.2736583367472347,37.21507578861122,0.022476952656175726,0.0510719650411535,0.0008193363375665711,0.00022040996253030638,0.0009012699713232282,0.001212254793916685,0.0011880376894715281,0.0031959444566894424,0.0010733306022122082,0.014436852545735067,0.0011306841458418682,0.03041657482918228,0.9654647244305001,7.645237819923861,0.00044435670336983793,0.0
random,predicted,0.001,0.0018555642074918402,0.01928042692373899,0.003385322208530099,0.00045499618552001384,0.2692067457838851,37.70081199250468,0.022039724623931944,0.0488236518837676,0.0006246096189881324,0.00017214666896195557,0.0006246096189881324,0.000860733344809778,0.0011242973141786384,0.0030986400413152006,0.0010243597751405371,0.014116026854880358,0.001118051217988757,0.03081425374419005,0.965438555237476,7.675427046330224,0.00032373643584004524,0.0
random,not_predicted,0.001,0.002296361906636485,0.021472392638036745,0.004149008681536883,0.00048131948865562293,0.28214285714285714,36.28928571428571,0.02331028846524989,0.0553571428565997,0.0011904761904761906,0.00030627871362940275,0.0014285714285714286,0.0018376722817764165,0.0013095238095238095,0.0033690658499234303,0.0011666666666666668,0.015007656967840736,0.0011547619047619047,0.029709035222052066,0.9655146016662526,7.5876985919755455,0.0006742531894593592,0.0
laat,all,0.048,0.3782533256217463,0.3605689712206414,0.3691995032127964,0.32266936583972916,0.23883654240065547,3.5415813191315033,0.5157205024019692,0.5981838044460067,0.4682507169192954,0.1259642935860701,0.2964358869315854,0.3987216222173242,0.20180253994264646,0.5428697377121446,0.05889389594428513,0.7921534053339211,0.03195002048340844,0.8594886488869297,0.5243767463816552,2.514618292350193,0.37917403598455457,0.0
laat,predicted,0.048,0.37061651583710353,0.45119641934928484,0.40695598167348856,0.3703988113936443,0.10743285446595878,4.417239225484073,0.6349013550122383,0.716739537782088,0.5190505933791381,0.1430538819073851,0.3259212991880075,0.4491306593217421,0.21948782011242973,0.6049233947323119,0.06189881324172392,0.8529867447064899,0.03314803247970019,0.9135823721810983,0.4332906673686406,2.026176214286221,0.43184752299213336,0.0
laat,not_predicted,0.048,0.41258741258740994,0.19907975460122637,0.26857024621948555,0.2413516137779911,0.48928571428571427,1.8726190476190476,0.28856747260549204,0.372222222218547,0.37142857142857144,0.09555895865237365,0.24023809523809525,0.3090352220520674,0.1680952380952381,0.4324655436447167,0.05316666666666667,0.6839203675344564,0.029666666666666668,0.7632465543644716,0.6979824755481273,3.445565633993547,0.2787808780093953,0.0
attention_rollout,all,0.003,0.0165392848712752,0.2240599845627961,0.03080468134005736,0.0033601903450862732,0.0,50.33142154854568,0.22860552534145992,0.2867677181454978,0.007374027038099139,0.0019836896627727575,0.005079885292912741,0.006832708838439497,0.004342482589102826,0.011681728014106238,0.008455551003687013,0.11373154066563809,0.012142564522736583,0.32664756446991405,0.7812064000537606,5.634693870102769,0.00311491955844509,0.0
attention_rollout,predicted,0.003,0.017772420971895027,0.27922189705629147,0.03341780497240014,0.00369613496521137,0.0,57.00499687695191,0.2843125434003825,0.34009993753572615,0.008119925046845722,0.002237906696505423,0.005746408494690818,0.007918746772249958,0.0050593379138038725,0.013943880185918403,0.009306683322923172,0.1282492683766569,0.012673329169269207,0.3492855913238079,0.7515489761137922,5.453754942156288,0.0037974776504883035,0.0
attention_rollout,not_predicted,0.003,0.012977147559663223,0.12576687116564378,0.02352671142310489,0.0027593394452106335,0.0,37.61190476190476,0.1224306016362992,0.18511904761721726,0.005952380952380952,0.0015313935681470138,0.0038095238095238095,0.004900459418070444,0.002976190476190476,0.007656967840735069,0.006833333333333334,0.08790199081163859,0.01113095238095238,0.28637059724349156,0.8377320378250577,5.979554850629334,0.0018139963377770125,0.0
deeplift,all,0.019,0.31218592964824093,0.3288124379755207,0.32028355082471144,0.25846063299751226,0.08848832445718968,3.9131503482179433,0.46918116855243547,0.6232418407696421,0.44612863580499795,0.12001322459775182,0.2660385088078656,0.35783557416795236,0.18054076198279392,0.48567335243553006,0.057050389184760346,0.7673572845492617,0.031818926669397785,0.8559620894864448,0.7342956113504194,3.355118712959748,0.3172433343272313,0.0
