explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005740711210333271,0.003969566655640089,0.0046936114684388314,0.00046412035911626195,0.9344530929946743,2.5690290864399836,0.004956984842254247,0.007374027038025399,0.0012290045063498567,0.00033061494379545955,0.0009012699713232282,0.001212254793916685,0.0010241704219582138,0.00275512453162883,0.0009422367882015567,0.012673572845492616,0.0009750102417042196,0.02622878554110646,0.965470085122582,7.659393412220203,0.0005740899792294529,0.0
random,predicted,0.002,0.005544354838709664,0.0037105751391465613,0.004445791649232866,0.0004524551242202601,0.9291819291819292,2.4224664224664223,0.004770626199172319,0.00671550671543956,0.0018315018315018315,0.0005059875189745319,0.0006105006105006105,0.0008433125316242199,0.0007936507936507937,0.0021926125822229717,0.0009035409035409035,0.012481025468038455,0.000982905982905983,0.02715466351829988,0.965463212111541,7.682135619930478,0.0003889445082102103,0.0
random,not_predicted,0.002,0.006079027355623074,0.004458598726114636,0.00514422193155033,0.0004878709683834737,0.9452054794520548,2.86799501867995,0.005337128624780021,0.008717310087085928,0.0,0.0,0.0014943960149439602,0.0019077901430842607,0.0014943960149439602,0.0038155802861685214,0.001021170610211706,0.013036565977742448,0.0009589041095890411,0.02448330683624801,0.9654841050380052,7.613002707077702,0.0009517590720433003,0.0
laat,all,0.049,0.39554285714285675,0.38162972764362074,0.3884617543022014,0.34011349663951174,0.22818517001229005,3.5845964768537484,0.5315015318648473,0.60552369246997,0.47726341663252764,0.12838880317390347,0.3052027857435477,0.4105135552126956,0.2097501024170422,0.5642495040775843,0.060237607537894304,0.8102270222614062,0.03237197869725522,0.8708397619572404,0.521418291518353,2.4489541100137187,0.3915356222714335,0.0
laat,predicted,0.049,0.3842643805309729,0.46871310507674063,0.4223083352279334,0.3835033784218115,0.09829059829059829,4.415140415140415,0.6436886146920975,0.7137260887193263,0.5256410256410257,0.14521841794569068,0.32954822954822954,0.4552201045707539,0.22362637362637364,0.6178107606679035,0.0631013431013431,0.8716478326867937,0.03340659340659341,0.9229212346095463,0.4357616793818585,1.9699526588645335,0.44307634141285634,0.0
laat,not_predicted,0.049,0.44927536231883763,0.21719745222929868,0.2928295405709593,0.2663271673913655,0.4931506849315068,1.8904109589041096,0.30265664809020737,0.38480697384425905,0.37858032378580325,0.09666136724960255,0.2555417185554172,0.3262321144674086,0.18144458281444584,0.463275039745628,0.05439601494396015,0.6944356120826709,0.030261519302615194,0.7726550079491256,0.6961449797868182,3.426045488572081,0.2864002574474603,0.0
attention_rollout,all,0.003,0.017451281838201684,0.2315580549123385,0.03245649284281267,0.003619774391793802,0.0,49.297419090536664,0.23404441399585052,0.2914106240583315,0.0077836952068824255,0.0020938946440379105,0.0052437525604260545,0.007053118800969804,0.004670217124129455,0.012563367864227463,0.009905776321179845,0.1332378223495702,0.013535436296599755,0.3641172581000661,0.7806808914175255,5.599188828760304,0.004412699978755621,0.0
attention_rollout,predicted,0.003,0.01850958572181775,0.2782931354359921,0.03471053517217281,0.0038381963177008785,0.0,54.42185592185592,0.28398637356353423,0.33781033780705266,0.007936507936507936,0.0021926125822229717,0.005982905982905983,0.008264462809917356,0.005372405372405372,0.014842300556586271,0.011391941391941392,0.15736211840107944,0.01485958485958486,0.4105245403946703,0.7534520396860643,5.421794675670062,0.004951263494705107,0.0
attention_rollout,not_predicted,0.003,0.014426776096434979,0.14331210191082758,0.026214610274465318,0.0032177322764025003,0.0,38.84433374844334,0.13217027978431137,0.1967621419656725,0.007471980074719801,0.0019077901430842607,0.0037359900373599006,0.0047694753577106515,0.0032378580323785804,0.008267090620031796,0.006874221668742217,0.08775834658187599,0.010834371108343711,0.2766295707472178,0.8362236798809543,5.961046391352851,0.003314110888935874,0.0
deeplift,all,0.02,0.306778065427159,0.2874627853126031,0.2968065122053995,0.22826579221076843,0.1048750512085211,3.4813600983203603,0.418737511762592,0.583060221215179,0.41007783695206884,0.11031518624641834,0.2540761982793937,0.34174564690324005,0.17267513314215485,0.46451399603262067,0.05615731257681278,0.7553449415913599,0.031601802539942644,0.8501212254793916,0.7346233429328154,3.4475606617384438,0.28743032572872723,0.0
deeplift,predicted,0.02,0.30109402251466577,0.32029009951087817,0.3103955540976522,0.2383858962517612,0.06532356532356533,3.8504273504273505,0.46775128744247585,0.6294770044709737,0.44078144078144077,0.12177432956653736,0.26556776556776557,0.36684095125653565,0.18076923076923077,0.49940968122786306,0.05781440781440782,0.7986169674481363,0.03214896214896215,0.8881767583066285,0.7155329296477175,3.274389281378662,0.3073221506518016,0.0
deeplift,not_predicted,0.02,0.32314011866727377,0.2254777070063687,0.26561620708575956,0.2126301438658224,0.1855541718555417,2.7285180572851804,0.3187567339747345,0.48837691987895004,0.34744707347447074,0.08871224165341812,0.2306351183063512,0.2944356120826709,0.15616438356164383,0.3987281399046105,0.05277708592777086,0.6737678855325914,0.030485678704856786,0.7783783783783784,0.7735649331706617,3.8008043990103273,0.24685397551204494,0.0
gradient_x_input,all,0.018000000000000002,0.29859448204060357,0.3162421435659937,0.3071650422998126,0.2366883238775683,0.09340434248258911,3.9348627611634575,0.44845789361693406,0.6034412126119497,0.4301515772224498,0.11571523032841084,0.2584186808684965,0.34758651091029313,0.17611634575993446,0.47377121445889353,0.0568455551003687,0.7646021600176328,0.03165096272019664,0.8514436852545735,0.7401327571685318,3.4633152963994305,0.3032453997910775,0.0
gradient_x_input,predicted,0.018000000000000002,0.2907138873396538,0.35166132568729913,0.31829631325357444,0.244804161963715,0.05067155067155067,4.378510378510379,0.4999726674587436,0.6514041513979105,0.4548229548229548,0.12565356721200877,0.2702075702075702,0.3732501264968797,0.1835164835164835,0.506999494012481,0.05846153846153846,0.807556080283353,0.032167277167277165,0.8886827458256029,0.7210381414004309,3.296581422107624,0.32507567963147244,0.0
gradient_x_input,not_predicted,0.018000000000000002,0.321824907521577,0.24936305732483996,0.2809976673196802,0.22637518906906295,0.18057285180572852,3.0298879202988793,0.343375453326917,0.5056039850510481,0.37982565379825656,0.09697933227344992,0.23437110834371108,0.29920508744038155,0.1610211706102117,0.4111287758346582,0.053549190535491904,0.6836248012718601,0.030597758405977584,0.7812400635930048,0.7790829198436864,3.8034274833109856,0.2587148912249914,0.0
integrated_gradient,all,0.012,0.32368170770368776,0.33774396295071085,0.3305633498762883,0.2723432326853003,0.05407619827939369,3.876689881196231,0.503751490602366,0.6575856889189708,0.46251536255632936,0.12442142384835794,0.27496927488734124,0.3698479171258541,0.1869315854158132,0.502865329512894,0.057771405161818924,0.7770553229005951,0.03210569438754609,0.8636764381750055,0.8522368746847298,3.61048702953657,0.35100872230653674,0.0
integrated_gradient,predicted,0.012,0.326647144948755,0.3762860516107263,0.3497139274188037,0.2896891578186165,0.015873015873015872,4.16971916971917,0.5614270161288214,0.7095034594966828,0.49633699633699635,0.13712261764209815,0.2903540903540904,0.401079440040479,0.19627594627594627,0.5422499578343735,0.059023199023199024,0.8153145555742959,0.03236874236874237,0.8942486085343229,0.8461774499609019,3.4383894941202255,0.3860498887250403,0.0
integrated_gradient,not_predicted,0.012,0.31598936574249786,0.2649681528662412,0.28823835093908745,0.23927197924187266,0.1320049813200498,3.278953922789539,0.38610203753594785,0.5516811955113844,0.39352428393524286,0.10047694753577106,0.2435865504358655,0.3109697933227345,0.16787048567870486,0.42861685214626394,0.05521793275217933,0.7049284578696343,0.031569115815691155,0.8060413354531002,0.8645971956033226,3.961540283598803,0.27952997935073504,0.0
grad_attention,all,0.044,0.3893220805430691,0.46796780240379265,0.4250375563295434,0.38134428769649165,0.02007374027038099,4.465792707906596,0.63185170694998,0.7589785606919088,0.5374846374436706,0.14458893541988097,0.3360917656698075,0.4520608331496584,0.22417042195821385,0.6030416574829183,0.06250716919295371,0.8407538020718537,0.0336665301106104,0.9056645360370289,0.29277549165737293,2.2130944891685322,0.44173537622394127,0.0
grad_attention,predicted,0.044,0.3971878224974195,0.5193118569741938,0.4501132958067978,0.41469122610454534,0.0006105006105006105,4.732600732600733,0.6970364504800721,0.8128306878229934,0.5677655677655677,0.1568561308821049,0.35213675213675216,0.48642266824085006,0.2341880341880342,0.6469893742621016,0.06421245421245421,0.8869961207623546,0.034145299145299145,0.9433293978748524,0.24908635848668642,1.9089858622832552,0.4743813812468352,0.0
grad_attention,not_predicted,0.044,0.3699587170530315,0.3710191082802536,0.37048815391454093,0.3143424985407937,0.05977584059775841,3.9215442092154422,0.49888457133068886,0.6491282689849142,0.47571606475716066,0.12146263910969793,0.3033623910336239,0.3872813990461049,0.2037359900373599,0.5201907790143084,0.05902864259028642,0.753577106518283,0.03268991282689913,0.834658187599364,0.38189479443892277,2.833430642142485,0.3751424045832187,0.0
