explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0020008965766080975,0.020178630499503785,0.003640776697387622,0.01007945379792397,0.26546497337156905,37.467841048750515,0.021083699475763627,0.04782875870498967,0.0024580090126997134,0.0006612298875909191,0.001556739041376485,0.0020938946440379105,0.0013928717738631708,0.0037469693630152083,0.0011306841458418682,0.01520828741459114,0.0010651372388365424,0.02865329512893983,0.965466555093755,7.640672455690916,0.0010194450516490235,0.0
random,predicted,0.001,0.0017734179035324565,0.018997090535683693,0.003244001518150592,0.010065230911481407,0.2656441717791411,38.39938650306748,0.02126489617356981,0.04601226993821037,0.0018404907975460123,0.0005134348793428033,0.0015950920245398773,0.002224884477152148,0.0015950920245398773,0.004449768954304296,0.0011533742331288344,0.01608762621940784,0.0010797546012269938,0.030121512921444462,0.9654405772820712,7.655752656564393,0.0011433033569515577,0.0
random,not_predicted,0.001,0.0024941111265068578,0.02231866088034711,0.004486819964540577,0.0004922536427685087,0.2651048088779285,35.59556103575832,0.020719518689790672,0.05147965474672858,0.0036991368680641184,0.0009285051067780873,0.0014796547472256474,0.0018570102135561746,0.0009864364981504315,0.0024760136180748994,0.0010850801479654747,0.013618074899411947,0.0010357583230579531,0.025998142989786442,0.9655187669717384,7.610363297338545,0.0007705066575144599,0.0
laat,all,0.056,0.41289651586063386,0.35020399161980337,0.3789750014865911,0.33955902969501084,0.27980335927898403,3.1511675542810322,0.5120101831658418,0.581011880371313,0.48873412535845967,0.13147454264932776,0.3028267103646047,0.4073176107560062,0.20512085210979106,0.551796341194622,0.05953297828758705,0.800749393872603,0.03193773043834494,0.8591580339431343,0.51230868028886,2.4540606849510733,0.40140282930977733,0.0
laat,predicted,0.056,0.3984488608822097,0.42204347081978366,0.40990691488862047,0.38054042589459447,0.16012269938650306,3.7969325153374234,0.6110338102556296,0.6778629856786091,0.5331288343558283,0.14872497004963203,0.3239263803680982,0.45182269382166695,0.218159509202454,0.6085914769810029,0.06165644171779141,0.8600034228991956,0.03258895705521472,0.9091220263563238,0.42827568079538864,1.9995640628346336,0.4501585530957838,0.0
laat,not_predicted,0.056,0.4723885562208884,0.22008679479231177,0.300274899551594,0.2740997300513534,0.5203452527743526,1.8532675709001234,0.3129861237868604,0.3863542951051075,0.3995067817509248,0.10027855153203342,0.2604192355117139,0.3268337975858867,0.17891491985203453,0.44908696997833486,0.055265104808877925,0.6935933147632312,0.0306288532675709,0.7688022284122563,0.6812036114532969,3.3675372497473703,0.30341043748340174,0.0
attention_rollout,all,0.003,0.017586011279073645,0.23244018083581408,0.03269813940010529,0.003863503878557545,0.0,49.10610405571487,0.23828030069854544,0.3009012699683794,0.007374027038099139,0.0019836896627727575,0.005817287996722655,0.007824553669825877,0.0049979516591560835,0.013445007714348688,0.009995903318312167,0.1344500771434869,0.0131421548545678,0.3535375798986114,0.7737987725888282,5.601646256972816,0.0038947934791777267,0.0
attention_rollout,predicted,0.003,0.01844314131309647,0.2745165154886184,0.034564123559097285,0.0038847967374196226,0.0,53.355828220858896,0.28370610954710196,0.3473415132890441,0.007361963190184049,0.0020537395173712133,0.006134969325153374,0.008557247989046722,0.005705521472392638,0.015916481259626903,0.01143558282208589,0.15950710251583092,0.014061349693251533,0.39226424781790176,0.7466349848569614,5.426936521790569,0.004322338372206491,0.0
attention_rollout,not_predicted,0.003,0.015320080248039391,0.15623062616242978,0.027903886611151625,0.003836552079900573,0.0,40.56473489519112,0.14698058624337015,0.20756267981710508,0.007398273736128237,0.0018570102135561746,0.005178791615289766,0.0064995357474466105,0.0035758323057953146,0.00897554936552151,0.007102342786683107,0.08913649025069638,0.011294697903822442,0.283503559269576,0.8283943015690289,5.952789127930966,0.0030354862342493838,0.0
deeplift,all,0.018000000000000002,0.2690369284339776,0.32374021391553615,0.2938644780252695,0.21399448701946364,0.07292093404342483,4.470708725931995,0.46242842688797425,0.6104738495093238,0.40024580090127,0.10767026669605466,0.2467841048750512,0.3319374035706414,0.1720196640721016,0.46275071633237824,0.05564113068414584,0.7484020277716553,0.031384678410487504,0.8442803614723385,0.7302014299694054,3.4338554468377454,0.288493579821481,0.0
deeplift,predicted,0.018000000000000002,0.2669768611670017,0.36334074961492324,0.30779267850182174,0.23129673973287748,0.03067484662576687,4.8785276073619634,0.5205306648865167,0.6585889570488895,0.4343558282208589,0.1211706315249016,0.2591411042944785,0.3614581550573336,0.1796319018404908,0.5011124422385761,0.05663803680981595,0.7900051343487934,0.031552147239263806,0.8801985281533459,0.7132005675075797,3.2478267315217346,0.314849747788708,0.0
