explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005576800509878895,0.0038593009152056417,0.004561746492396008,0.023719831959449107,0.931175747644408,2.5710774272839,0.00478970367333548,0.008056807319325869,0.0008193363375665711,0.00022040996253030638,0.0013109381401065136,0.001763279700242451,0.0009422367882015567,0.002534714569098523,0.0009750102417042196,0.01311439277055323,0.0009995903318312167,0.026890015428697376,0.96551420702651,7.648548689052884,0.000591444210047476,0.0
random,predicted,0.002,0.007061790668348027,0.004586404586404579,0.005561072487777931,0.02902756564423562,0.9265671641791045,2.3671641791044777,0.0051144278606751106,0.007562189054653399,0.0011940298507462687,0.0003276003276003276,0.0015522388059701492,0.0021294021294021295,0.0008955223880597015,0.002457002457002457,0.001026865671641791,0.014086814086814087,0.000973134328358209,0.0266994266994267,0.9655108905336433,7.655982688905905,0.0007386715421035787,0.0
random,not_predicted,0.002,0.003028991778450874,0.002361673414304985,0.002654028431095569,0.00048113446442137086,0.9412532637075718,3.0169712793733683,0.004079634464727276,0.009138381200953002,0.0,0.0,0.000783289817232376,0.0010104412260020209,0.0010443864229765013,0.002694509936005389,0.0008616187989556136,0.01111485348602223,0.0010574412532637076,0.027281913102054564,0.9655214591486402,7.632292879974806,0.00026950454791435354,0.0
laat,all,0.046,0.34214842148421454,0.3680670415701838,0.3546347941517128,0.3002038683521072,0.2376075378943056,3.9967226546497336,0.5171534125606791,0.5792366516399314,0.44612863580499795,0.12001322459775182,0.2842277755018435,0.3823010800088164,0.1987300286767718,0.5346043641172581,0.05907414993854977,0.7945779149217544,0.03221630479311757,0.8666519726691646,0.5276291940589687,2.600002197996576,0.3680625803266582,0.0
laat,predicted,0.046,0.33292948873273526,0.45012285012284936,0.38275645935857694,0.3361057783943652,0.11761194029850747,4.927761194029851,0.6232646754987516,0.6760696517348451,0.49014925373134327,0.13447993447993448,0.30829850746268656,0.4229320229320229,0.2151641791044776,0.5903357903357903,0.062423880597014925,0.8563472563472564,0.03343283582089552,0.9172809172809173,0.4486096979131779,2.1351385838288777,0.41761981596340086,0.0
laat,not_predicted,0.046,0.39280958721704134,0.19905533063427733,0.2642185400761437,0.23185533454417784,0.5,1.9608355091383811,0.28512160391672176,0.36749347258121084,0.34986945169712796,0.09026608285618053,0.23159268929503918,0.2987537891545975,0.16279373368146213,0.42000673627484003,0.05174934725848564,0.6675648366453352,0.029556135770234988,0.762546311889525,0.7004198677459134,3.6165120592640623,0.25969656245257977,0.0
attention_rollout,all,0.003,0.01867906385105207,0.27202558165178053,0.034957702171077874,0.0035290858605619146,0.0,54.10610405571487,0.2808706345795869,0.3386590195242111,0.0077836952068824255,0.0020938946440379105,0.005489553461696026,0.007383733744765263,0.004875051208521098,0.01311439277055323,0.010970913560016386,0.14756446991404013,0.014084391642769357,0.3788847255895966,0.7706857977131026,5.545451204642665,0.004017741100046107,0.0
attention_rollout,predicted,0.003,0.01938938209877758,0.32268632268632214,0.036580723628778254,0.0035800641170978496,0.0,60.657910447761196,0.3391243896975922,0.3944278606926802,0.008955223880597015,0.002457002457002457,0.00573134328358209,0.007862407862407862,0.005432835820895522,0.014905814905814906,0.01235820895522388,0.16953316953316952,0.01501492537313433,0.411957411957412,0.7417771147227914,5.349776551782607,0.00495151140704092,0.0
attention_rollout,not_predicted,0.003,0.016310590397427056,0.16767881241565397,0.02972932555543516,0.003444974345710493,0.0,39.77937336814622,0.15348807606436654,0.216710182765483,0.005221932114882507,0.0013472549680026945,0.004960835509138381,0.006399461098012799,0.0036553524804177544,0.009430784776018861,0.00793733681462141,0.10239137756820478,0.012049608355091383,0.3108790838666218,0.8338999543825171,5.973329851562506,0.0019758804418002706,0.0
deeplift,all,0.02,0.3121454208637255,0.29727643621126887,0.3045295380047169,0.23800450717526775,0.10282671036460467,3.5383039737812374,0.4246834715694104,0.5834698893839521,0.4199098730028677,0.11296010579678202,0.2527652601392872,0.33998236720299757,0.17296190086030316,0.4652854309014767,0.056394920114707085,0.7585408860480494,0.03163457599344531,0.8510028653295129,0.7312241909152334,3.4302171202742566,0.28502828395904933,0.0
deeplift,predicted,0.02,0.3062281102482103,0.3294021294021289,0.3173926767626829,0.2515178820305258,0.060298507462686564,3.9205970149253733,0.47295847439539823,0.6321890547202924,0.4483582089552239,0.12301392301392301,0.2644776119402985,0.3628173628173628,0.18250746268656717,0.5007371007371008,0.05813731343283582,0.7975429975429975,0.03210149253731343,0.8807534807534807,0.712864085824548,3.249930755705047,0.3035523148649899,0.0
