explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0019265924490711852,0.019406770316462655,0.003505208020503477,0.00046412035911626195,0.2744776730848013,37.424416222859485,0.020310495161174308,0.047794619690918624,0.0012290045063498567,0.00033061494379545955,0.0008193363375665711,0.001102049812651532,0.0008193363375665711,0.002204099625303064,0.001015977058582548,0.013665417676878995,0.001044653830397378,0.02810227022261406,0.9654759903644778,7.653827379814049,0.0009983944787256233,0.0
random,predicted,0.001,0.0020054499249869875,0.02174634794156703,0.003672245113807257,0.00045722932388352175,0.27871825876662637,39.49334945586457,0.02278572028490541,0.04967754937476941,0.0012091898428053204,0.00033200531208499334,0.0007255139056831923,0.00099601593625498,0.0006650544135429262,0.0018260292164674634,0.0009068923821039903,0.01245019920318725,0.0009613059250302298,0.026394422310756973,0.9654365675974659,7.679955273483827,0.0011352584933591284,0.0
random,not_predicted,0.001,0.0017287080788290876,0.01477832512315266,0.003095336358009276,0.0004783838074072336,0.2655654383735705,33.07623888182973,0.015108433719431939,0.043837357051669315,0.0012706480304955528,0.0003278688524590164,0.0010165184243964421,0.0013114754098360656,0.0011435832274459975,0.0029508196721311475,0.0012452350698856417,0.016065573770491802,0.0012198221092757306,0.031475409836065574,0.9655588432954026,7.59891564394389,0.0007107539702074308,0.0
laat,all,0.051000000000000004,0.3838347227256248,0.3503142573602378,0.36630923555364026,0.3153653562533517,0.25030725112658747,3.3908234330192544,0.5048610950748275,0.5873958760014634,0.4674313805817288,0.12574388362353978,0.2944694797214256,0.39607670266696055,0.19897582957804177,0.535265594004849,0.05808275297009422,0.7812431121886709,0.0319827939369111,0.8603702887370509,0.520542192957121,2.5450379767027687,0.38273829803772574,0.0
laat,predicted,0.051000000000000004,0.37600574712643625,0.4344289508632131,0.40311152186809995,0.35753240233996,0.1275695284159613,4.207980652962515,0.6127435464745211,0.6935207577523581,0.507255139056832,0.1392762284196547,0.3217654171704958,0.44173306772908366,0.21662636033857316,0.5947875166002656,0.061511487303506654,0.8444555112881806,0.03337363966142685,0.9163346613545816,0.4372639010177133,2.0832829214244457,0.4288859389906104,0.0
laat,not_predicted,0.051000000000000004,0.42520880789673177,0.18390804597701088,0.2567629527697404,0.23583507670001203,0.5082592121982211,1.673443456162643,0.2781297423237561,0.3643583227410062,0.38373570520965694,0.09901639344262295,0.23710292249047013,0.3059016393442623,0.1618805590851334,0.41770491803278686,0.05087674714104193,0.6563934426229509,0.02905972045743329,0.7498360655737705,0.6955641686468037,3.515486339384277,0.2857520234048526,0.0
attention_rollout,all,0.003,0.016773900655927612,0.23629948175101972,0.03132422694227485,0.0036415992698709113,0.0,52.338385907414995,0.25121923989316647,0.31121125221599255,0.007374027038099139,0.0019836896627727575,0.005735354362965997,0.0077143486885607225,0.00426054895534617,0.011461318051575931,0.008750512085210979,0.1176989199911836,0.012449815649324047,0.33491293806480055,0.768728674465994,5.6010376581337855,0.0036094920897019123,0.0
attention_rollout,predicted,0.003,0.017897366588852028,0.2901726427622837,0.03371523357526635,0.003937411908842104,0.0,59.04957678355502,0.31193973950230053,0.3722289399399382,0.009068923821039904,0.00249003984063745,0.0065296251511487305,0.008964143426294821,0.005078597339782346,0.013944223107569721,0.009818621523579202,0.1347941567065073,0.013349455864570738,0.3665338645418327,0.7388986386457412,5.407761851949154,0.004550421933227046,0.0
attention_rollout,not_predicted,0.003,0.013127284812229972,0.12972085385878446,0.02384185905974637,0.003085428651033258,0.0,38.23379923761118,0.12360589001577427,0.18297331638955527,0.0038119440914866584,0.0009836065573770492,0.004066073697585769,0.005245901639344262,0.0025412960609911056,0.006557377049180328,0.00650571791613723,0.0839344262295082,0.010559085133418043,0.2724590163934426,0.8314210242076693,6.0072361123007285,0.0016319851504508684,0.0
deeplift,all,0.018000000000000002,0.2874452418678346,0.34005954349983425,0.3115466208658299,0.24341587661969422,0.06882425235559197,4.39532978287587,0.4783243181787,0.6439983613211343,0.42892257271609996,0.11538461538461539,0.25931995083981974,0.3487987657042098,0.17865628840639083,0.48060392329733304,0.056820975010241706,0.7642715450738373,0.031831216714461284,0.8562927044302402,0.7281171656940013,3.3721646402139918,0.30023481352127296,0.0
deeplift,predicted,0.018000000000000002,0.2802641232575198,0.3804780876494018,0.3227714406372776,0.2595319312707822,0.02720677146311971,4.944377267230955,0.5377710086358077,0.7006247480787609,0.4570737605804111,0.1254980079681275,0.2746070133010883,0.37699203187250996,0.1887545344619105,0.5182602921646746,0.058355501813784766,0.8011288180610889,0.03220677146311971,0.8842961487383798,0.7077791402742247,3.1821875858374122,0.32802832374943774,0.0
deeplift,not_predicted,0.018000000000000002,0.31046648373186864,0.26009852216748686,0.28305932808653195,0.21522036404697725,0.156289707750953,3.241423125794155,0.3533880716525804,0.5249894112612683,0.3697585768742058,0.09540983606557377,0.22719186785260484,0.29311475409836063,0.15743329097839898,0.4062295081967213,0.053595933926302415,0.6914754098360656,0.031041931385006355,0.8009836065573771,0.7708606142890592,3.771430266565785,0.24182253154238523,0.0
gradient_x_input,all,0.018000000000000002,0.3018624925698432,0.33597971110375974,0.3180086625217583,0.2544300253584035,0.07906595657517411,4.135190495698485,0.47363842264031775,0.6340980472422948,0.4383449405981155,0.1179193299537139,0.2666939778779189,0.3587172140180736,0.18140106513723883,0.4879876570420983,0.05728799672265465,0.770553229005951,0.031954117165096274,0.8595988538681948,0.7343372789835652,3.3849407427208194,0.30539914312187383,0.0
gradient_x_input,predicted,0.018000000000000002,0.2939727802981202,0.37649402390438186,0.3301550331124783,0.2713452480204992,0.03385731559854897,4.664449818621524,0.5331139436406054,0.6920596533589624,0.469770253929867,0.12898406374501992,0.2814993954050786,0.38645418326693226,0.19081015719467956,0.5239043824701195,0.058766626360338574,0.8067729083665338,0.0323639661426844,0.8886122177954847,0.7141834791752467,3.2000169842556287,0.3332742577532626,0.0
gradient_x_input,not_predicted,0.018000000000000002,0.32744850777637524,0.2558292282430205,0.28724188790067906,0.22479378568225666,0.17407878017789072,3.0228716645489198,0.34864158435000564,0.51228293095644,0.37229987293519695,0.0960655737704918,0.2355781448538755,0.30393442622950817,0.1616264294790343,0.41704918032786886,0.05418043202033037,0.6990163934426229,0.031092757306226175,0.8022950819672131,0.7766935494828772,3.773586100410051,0.2468153570985994,0.0
integrated_gradient,all,0.013000000000000001,0.2876055257099,0.33057668982247185,0.3075975991331761,0.24135106625085345,0.03727980335927898,4.270380991396968,0.4985764828956877,0.6518503345560762,0.44408029496108153,0.11946219969142605,0.26030315444489965,0.3501212254793917,0.1774682507169193,0.4774079788406436,0.05668168783285539,0.7623980603923297,0.03192134371159361,0.8587172140180737,0.8127651037475832,3.5555244845463196,0.3255698926733203,0.0
integrated_gradient,predicted,0.013000000000000001,0.29175946547884146,0.3696879150066395,0.326133118542334,0.259490575676671,0.007859733978234583,4.6148730350665055,0.5583031903023417,0.7024889157530785,0.48428053204353083,0.13296812749003983,0.2804111245465538,0.3849601593625498,0.18748488512696493,0.5147742363877822,0.057835550181378474,0.7939907038512616,0.032146311970979446,0.8826361221779548,0.805286131164232,3.4019696263545804,0.3571408478883695,0.0
integrated_gradient,not_predicted,0.013000000000000001,0.27624507345037524,0.2532019704433489,0.2642220699059064,0.2041623745979415,0.09911054637865312,3.546378653113088,0.3730517382316401,0.5454256670848673,0.3595933926302414,0.09278688524590165,0.21804320203303684,0.2813114754098361,0.15641677255400255,0.4036065573770492,0.0542566709021601,0.7,0.03144853875476493,0.8114754098360656,0.8284833002569385,3.878243335180547,0.25921873647803273,0.0
grad_attention,all,0.04,0.36989377321012146,0.4722681662807361,0.4148585819400561,0.3669077851635316,0.014748054076198279,4.743547726341664,0.6369549793921813,0.7640652737875896,0.5194592380172061,0.13973991624421425,0.32920934043424827,0.4428036147233855,0.21855796804588284,0.5879435750495923,0.062187628021302746,0.8364558078025127,0.033670626792298236,0.905774741018294,0.28921612290742377,2.2849188874646633,0.4281174614013242,0.0
grad_attention,predicted,0.04,0.3793799738686301,0.5302124833997335,0.4422903828795792,0.3996820441421387,0.0,5.090084643288996,0.7054899859183321,0.8164046755263248,0.5483675937122128,0.1505644090305445,0.3478839177750907,0.47758964143426297,0.2314993954050786,0.6356241699867198,0.0637968561064087,0.8758300132802125,0.034153567110036274,0.9377490039840638,0.2469456387568345,2.0033285052150966,0.45745273201141406,0.0
grad_attention,not_predicted,0.04,0.34462025316455586,0.3576354679802944,0.35100725221095547,0.2973139649630442,0.045743329097839895,4.015247776365946,0.4929182566548831,0.6540660736911879,0.45870393900889456,0.11836065573770492,0.2899618805590851,0.3740983606557377,0.19135959339263023,0.4937704918032787,0.05880559085133418,0.7586885245901639,0.0326556543837357,0.8426229508196721,0.37805396380332557,2.876723833132748,0.3664649358751634,0.0
atgrad_attention,all,0.036000000000000004,0.36479273140261176,0.35417355827544345,0.359404721937487,0.29955135007897793,0.18353133961491191,3.607128226136829,0.5116901875219028,0.6216714461226641,0.4780827529700942,0.12860921313643375,0.29471528062269564,0.396407317610756,0.19635395329782876,0.5282124752038793,0.05746005735354363,0.7728675336125193,0.03148709545268333,0.8470354860039674,0.6120487951440003,2.7617217725634977,0.38389891771651247,0.0
atgrad_attention,predicted,0.036000000000000004,0.3552284404943753,0.4246347941567058,0.3868431001840749,0.3287554319788847,0.08101571946795647,4.353688029020557,0.5979064433423259,0.7066203143826238,0.501813784764208,0.13778220451527223,0.3142684401451028,0.4314409030544489,0.20967351874244256,0.5756972111553785,0.0601813784764208,0.826195219123506,0.03258766626360338,0.8947543160690571,0.5633084160520145,2.433323575590921,0.4182155653693974,0.0
atgrad_attention,not_predicted,0.036000000000000004,0.4077306733167057,0.214778325123152,0.28135082813056195,0.24879207494065864,0.39898348157560354,2.0381194409148664,0.33049363462866244,0.4431385006309569,0.42820838627700125,0.11049180327868853,0.25362134688691235,0.32721311475409837,0.16836086404066072,0.4344262295081967,0.05174078780177891,0.6675409836065573,0.02917407878017789,0.7527868852459016,0.714484102663879,3.451900448284771,0.3117772719504747,0.0
