explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0057113187954309155,0.005260640841702509,0.0054767239183342725,0.00045765358315834597,0.9488054607508533,3.2866894197952217,0.008816837315082243,0.011092150170541808,0.0017064846416382253,0.00047824007651841227,0.00034129692832764505,0.00047824007651841227,0.0011945392491467576,0.003347680535628886,0.0009215017064846416,0.01291248206599713,0.0009385665529010238,0.026303204208512673,0.9653995580275853,7.642974831999958,0.0007872364238433892,0.0
random,predicted,0.002,0.004826254826254779,0.003531073446327659,0.004078303420894931,0.00045907073190657973,0.9455445544554455,2.5643564356435644,0.0066006600659639725,0.008663366336553218,0.0,0.0,0.0,0.0,0.0012376237623762376,0.0035310734463276836,0.0010396039603960397,0.014830508474576272,0.0009405940594059406,0.026836158192090395,0.9653594406756565,7.655763426561545,0.0003168000273239919,0.0
random,not_predicted,0.002,0.006741573033707789,0.008888888888888757,0.007667731624487239,0.00045470896605243234,0.9560439560439561,4.8901098901098905,0.013736263736201923,0.016483516483351647,0.005494505494505495,0.0014814814814814814,0.001098901098901099,0.0014814814814814814,0.001098901098901099,0.002962962962962963,0.0006593406593406593,0.008888888888888889,0.0009340659340659341,0.025185185185185185,0.9654886097318657,7.614586962753363,0.0018315018315018315,0.0
laat,all,0.05,0.35002085940759137,0.40124342419894593,0.37388591799858667,0.33449694011208936,0.20477815699658702,4.090443686006826,0.55236910889314,0.6422070534636328,0.4761092150170648,0.133428981348637,0.29692832764505117,0.41606886657101866,0.20699658703071672,0.580105212816834,0.05822525597269625,0.8158775705404113,0.031569965870307165,0.8847441415590627,0.4938851551800562,2.361122015951603,0.397503204900044,0.0
laat,predicted,0.05,0.34314214463840226,0.48587570621468584,0.4022215726347249,0.3789605196423158,0.09158415841584158,4.962871287128713,0.6508471039373454,0.7458745874515813,0.5222772277227723,0.14901129943502825,0.3202970297029703,0.4569209039548023,0.22252475247524753,0.6348870056497176,0.061237623762376237,0.873587570621469,0.0326980198019802,0.932909604519774,0.41440567497821656,1.9140746943128093,0.4472966840097309,0.0
laat,not_predicted,0.05,0.38520408163264325,0.22370370370370038,0.28303655107313463,0.24111109006479944,0.45604395604395603,2.1538461538461537,0.33376960341039813,0.4120879120837911,0.37362637362637363,0.10074074074074074,0.24505494505494504,0.33037037037037037,0.17252747252747253,0.4651851851851852,0.05153846153846154,0.6948148148148148,0.029065934065934065,0.7837037037037037,0.6703121332105136,3.353468817831124,0.28697262489832154,0.0
attention_rollout,all,0.003,0.017161694838563713,0.2539454806312757,0.03215064180070316,0.0029628560098725293,0.0,52.80034129692833,0.27229906517306757,0.3432878270728275,0.0017064846416382253,0.00047824007651841227,0.004436860068259386,0.006217120994739359,0.004266211604095563,0.011956001912960305,0.009351535836177474,0.13103778096604496,0.012645051194539248,0.35437589670014347,0.7588103597143541,5.547789986945928,0.0027463491235052056,0.0
attention_rollout,predicted,0.003,0.018357894736842097,0.30790960451977184,0.03464992450024926,0.003381416299797239,0.0,58.78712871287129,0.32956116353219356,0.3964521452106113,0.0024752475247524753,0.0007062146892655367,0.005445544554455445,0.007768361581920904,0.0049504950495049506,0.014124293785310734,0.010594059405940595,0.15112994350282485,0.013514851485148515,0.3855932203389831,0.7319628029548072,5.377344273473123,0.0037091230811918674,0.0
attention_rollout,not_predicted,0.003,0.013210958142122078,0.14074074074073867,0.02415458937041164,0.0021495206164998974,0.0,39.510989010989015,0.14518979189237038,0.22527472527247255,0.0,0.0,0.002197802197802198,0.002962962962962963,0.0027472527472527475,0.007407407407407408,0.006593406593406593,0.08888888888888889,0.010714285714285714,0.28888888888888886,0.8184060351586228,5.926142010259188,0.0006092025361128351,0.0
deeplift,all,0.02,0.3081105573176243,0.32520325203251876,0.31642624476000913,0.2476557237751597,0.08532423208191127,3.766211604095563,0.4605978610857097,0.6205915813363982,0.44197952218430037,0.12386417981826878,0.2546075085324232,0.3567670970827355,0.17474402730375427,0.48971783835485416,0.05372013651877133,0.7527498804399809,0.030324232081911262,0.8498326159732186,0.7258936472766978,3.358507901244731,0.31221202472139614,0.0
