explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002184336707511986,0.019607843137254808,0.003930779922456821,0.00045765358315834597,0.17406143344709898,32.03071672354949,0.024417412791847275,0.05119453924864334,0.0,0.0,0.00034129692832764505,0.00047824007651841227,0.00034129692832764505,0.0009564801530368245,0.0011604095563139932,0.016260162601626018,0.0010921501706484642,0.030607364897178385,0.9654116272970755,7.635937901298516,0.0,0.0
random,predicted,0.001,0.0015152663080536394,0.01454545454545444,0.0027446136939134396,0.00045346822391502037,0.1468354430379747,33.415189873417724,0.020196586114174093,0.043037974683126576,0.0,0.0,0.0005063291139240507,0.0007272727272727272,0.0005063291139240507,0.0014545454545454545,0.0011139240506329114,0.016,0.001139240506329114,0.03272727272727273,0.9653691863291632,7.648157310689812,0.0,0.0
random,not_predicted,0.001,0.003769520732364021,0.029329608938547077,0.006680451723765025,0.00046591166418960653,0.23036649214659685,29.167539267015705,0.033146347544103345,0.06806282722445027,0.0,0.0,0.0,0.0,0.0,0.0,0.001256544502617801,0.01675977653631285,0.000994764397905759,0.02653631284916201,0.9654993978851664,7.610667394965727,0.0,0.0
laat,all,0.05,0.39310031774852294,0.41415590626494303,0.40335351652970114,0.33972528215722514,0.19795221843003413,3.75938566552901,0.5667421907789821,0.6450511945330176,0.4812286689419795,0.13486370157819225,0.30716723549488056,0.430416068866571,0.2092150170648464,0.5863223338115734,0.05877133105802048,0.8235294117647058,0.03136518771331058,0.8790052606408417,0.5133657315579757,2.359814845857471,0.3933996581066918,0.0
laat,predicted,0.05,0.3924672489082948,0.5229090909090871,0.44839413781860976,0.39659787777999145,0.06329113924050633,4.637974683544304,0.6912082678181666,0.7696202531571856,0.529113924050633,0.152,0.3392405063291139,0.48727272727272725,0.22860759493670887,0.6567272727272727,0.0620253164556962,0.8909090909090909,0.03250632911392405,0.9338181818181818,0.4256948245946841,1.8655826568438687,0.44180527102887035,0.0
laat,not_predicted,0.05,0.39622641509432893,0.20530726256982954,0.2704691812282494,0.2287134518509993,0.47643979057591623,1.942408376963351,0.3093385236037053,0.38743455496994755,0.38219895287958117,0.10195530726256984,0.24083769633507854,0.32122905027932963,0.16910994764397905,0.4511173184357542,0.052041884816753925,0.6941340782122905,0.02900523560209424,0.7737430167597765,0.6946746752778714,3.381918063974606,0.2932938093932858,0.0
attention_rollout,all,0.003,0.01706654294803817,0.24629363940698112,0.03192115783806643,0.002606898257436247,0.0,51.49488054607509,0.25830954691742514,0.3196814561970772,0.0017064846416382253,0.00047824007651841227,0.004095563139931741,0.005738880918220947,0.004095563139931741,0.011477761836441894,0.009249146757679181,0.12960306073648972,0.012781569965870307,0.3582018173122908,0.7678371570808336,5.571926486617336,0.003113566681310153,0.0
attention_rollout,predicted,0.003,0.018200026124439404,0.30399999999999777,0.034343932297019666,0.0028344113466686064,0.0,58.14430379746835,0.3213963603186934,0.3805907172958411,0.002531645569620253,0.0007272727272727272,0.004556962025316456,0.006545454545454545,0.004810126582278481,0.013818181818181818,0.010531645569620253,0.15127272727272728,0.013696202531645569,0.39345454545454545,0.737953501558719,5.372058471711919,0.004338418262468895,0.0
attention_rollout,not_predicted,0.003,0.013455402968511564,0.13547486033519363,0.024479495266495052,0.0021704441619834185,0.0,37.7434554973822,0.1278420532341741,0.19371727748497378,0.0,0.0,0.0031413612565445027,0.004189944134078212,0.002617801047120419,0.006983240223463687,0.006596858638743455,0.08798882681564246,0.010890052356020943,0.2905027932960894,0.8296384342077195,5.985266098594509,0.0005804966574478324,0.0
deeplift,all,0.02,0.3179245283018853,0.3223338115734083,0.32011398717144135,0.25483585086864485,0.09044368600682594,3.6177474402730376,0.4621004351138112,0.6177474402670273,0.46757679180887374,0.13103778096604496,0.26313993174061434,0.36872309899569583,0.17542662116040955,0.4916307986609278,0.05477815699658703,0.7675753228120517,0.03037542662116041,0.8512673362027738,0.7305398707150241,3.339281578209577,0.3274391922685452,0.0
deeplift,predicted,0.02,0.3135910224438883,0.36581818181817916,0.33769721382517165,0.28044260708553254,0.04050632911392405,4.060759493670886,0.5214603996533526,0.6746835442972889,0.5063291139240507,0.14545454545454545,0.28405063291139243,0.408,0.18658227848101266,0.536,0.05762025316455696,0.8276363636363636,0.031367088607594934,0.901090909090909,0.7124525850951087,3.1389353638471227,0.3545939403721504,0.0
deeplift,not_predicted,0.02,0.3313953488372029,0.23882681564245475,0.27759740259252985,0.20402534844519518,0.193717277486911,2.701570680628272,0.3393402990241836,0.4999999999950195,0.387434554973822,0.10335195530726257,0.2198952879581152,0.29329608938547486,0.15235602094240838,0.4064245810055866,0.04890052356020942,0.6522346368715084,0.028324607329842932,0.755586592178771,0.7679455137509744,3.7536101367078474,0.2712814671328168,0.0
gradient_x_input,all,0.019,0.3193812556869867,0.3357245337159238,0.3273490324034884,0.2658137044867161,0.10580204778156997,3.750853242320819,0.4787458322838477,0.6382252559664726,0.47952218430034127,0.13438546150167385,0.2689419795221843,0.3768531802965088,0.18242320819112628,0.5112386417981827,0.05535836177474403,0.7757054041128647,0.03051194539249147,0.8550932568149211,0.7367334430181235,3.350107159309395,0.33535303211146805,0.0
gradient_x_input,predicted,0.019,0.31030375223347045,0.37890909090908814,0.34119187949733937,0.28989885396800563,0.05569620253164557,4.250632911392405,0.5310200558902121,0.6822784810060613,0.5164556962025316,0.14836363636363636,0.28810126582278484,0.4138181818181818,0.19443037974683544,0.5585454545454546,0.05827848101265823,0.8370909090909091,0.03149367088607595,0.9047272727272727,0.7185441329477323,3.153304204627557,0.3625025725577195,0.0
gradient_x_input,not_predicted,0.019,0.3487475915221513,0.25279329608938195,0.29311740890200505,0.2208801633387248,0.2094240837696335,2.717277486910995,0.37063945362147127,0.5471204188427158,0.4031413612565445,0.10754189944134078,0.2293193717277487,0.3058659217877095,0.15759162303664923,0.420391061452514,0.04931937172774869,0.6578212290502793,0.028481675392670158,0.7597765363128491,0.7743500790275715,3.7571080341749776,0.27920607673833026,0.0
integrated_gradient,all,0.013000000000000001,0.3155598642753257,0.3113342898134849,0.31343283581589426,0.25433357992119876,0.06655290102389079,3.5204778156996586,0.47291178673134976,0.6308304891861816,0.4283276450511945,0.12003825920612148,0.2689419795221843,0.3768531802965088,0.1848122866894198,0.5179340028694405,0.056006825938566554,0.7847919655667145,0.030802047781569968,0.8632233381157342,0.8484744806309448,3.6028354500409803,0.32571508050949954,0.0
integrated_gradient,predicted,0.013000000000000001,0.3231179213857407,0.35272727272727017,0.3372739916500838,0.2716784681433974,0.027848101265822784,3.8,0.5259989799197292,0.6839662447192243,0.4582278481012658,0.13163636363636363,0.2870886075949367,0.4123636363636364,0.19949367088607595,0.5730909090909091,0.05863291139240506,0.8421818181818181,0.031797468354430376,0.9134545454545454,0.8428221782541406,3.410679047235902,0.34827055682490493,0.0
integrated_gradient,not_predicted,0.013000000000000001,0.29537366548042177,0.23184357541899117,0.25978090766330014,0.21751807585672175,0.14659685863874344,2.9424083769633507,0.36312413589674275,0.5209424083717735,0.36649214659685864,0.09776536312849161,0.23141361256544501,0.308659217877095,0.1544502617801047,0.41201117318435754,0.050575916230366495,0.6745810055865922,0.0287434554973822,0.7667597765363129,0.8601637970646492,4.000226963695462,0.2790689383912529,0.0
grad_attention,all,0.061,0.4305150631681223,0.42372070779531124,0.42709086526373774,0.3861824247980469,0.03583617747440273,3.5119453924914676,0.5944801074885264,0.7362059158062849,0.5460750853242321,0.15303682448589193,0.33139931740614337,0.4643711142993783,0.22013651877133106,0.6169296987087518,0.06054607508532423,0.8483978957436633,0.032252559726962456,0.9038737446197992,0.2867266544591924,2.0994946139830537,0.4491385931434715,0.0
grad_attention,predicted,0.061,0.442601194426009,0.4850909090909056,0.46287300485274496,0.43069388722125956,0.002531645569620253,3.8151898734177214,0.6656757728870036,0.8054852320597813,0.5772151898734177,0.1658181818181818,0.3574683544303797,0.5134545454545455,0.23468354430379748,0.6741818181818182,0.06324050632911392,0.9083636363636364,0.0330379746835443,0.9490909090909091,0.24000033445271224,1.7793756774326766,0.4796936175456798,0.0
grad_attention,not_predicted,0.061,0.3974591651542578,0.3058659217877052,0.3456985003897124,0.2954340605426373,0.10471204188481675,2.884816753926702,0.4472429984183772,0.5929319371668552,0.4816753926701571,0.12849162011173185,0.2774869109947644,0.37011173184357543,0.19005235602094242,0.5069832402234636,0.0549738219895288,0.7332402234636871,0.0306282722513089,0.8170391061452514,0.38335961991761996,2.761520686953727,0.3859488829923077,0.0
atgrad_attention,all,0.035,0.3729111697449412,0.40554758488761167,0.38854524627221204,0.3244957493508286,0.14675767918088736,3.8805460750853245,0.5756777754823552,0.6806029579001247,0.49829351535836175,0.13964610234337638,0.31331058020477814,0.43902439024390244,0.1993174061433447,0.5585844093735055,0.056860068259385665,0.7967479674796748,0.030631399317406143,0.8584409373505499,0.6059539654537454,2.5721541727744754,0.3970991106178972,0.0
atgrad_attention,predicted,0.035,0.3656267104542947,0.48581818181817826,0.4172392254791695,0.3579718819504162,0.0379746835443038,4.625316455696202,0.6630765823448025,0.7793248945072989,0.5139240506329114,0.14763636363636365,0.3286075949367089,0.472,0.21316455696202533,0.6123636363636363,0.05934177215189874,0.8523636363636363,0.031721518987341775,0.9112727272727272,0.5552086489169716,2.225360083672077,0.4087990252922651,0.0
atgrad_attention,not_predicted,0.035,0.40268456375838024,0.2513966480446892,0.3095442820244969,0.2686884645866139,0.3717277486910995,2.3403141361256545,0.39493155186629897,0.4764397905711518,0.46596858638743455,0.12430167597765363,0.28167539267015707,0.3756983240223464,0.1706806282722513,0.4553072625698324,0.05172774869109947,0.6899441340782123,0.02837696335078534,0.7569832402234636,0.71089846823922,3.2893461371485464,0.3729029519981312,0.0
