explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0031088082901554242,0.0028694404591104597,0.0029843322506657973,0.0004576541841542634,0.9573378839590444,3.2935153583617747,0.003910693970404075,0.010238907849726963,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0005119453924914676,0.0014347202295552368,0.0011262798634812286,0.015781922525107604,0.0010068259385665529,0.028216164514586323,0.9654048085015096,7.671195530116392,0.00028771424035692404,0.0
random,predicted,0.002,0.002918287937743162,0.0021459227467811007,0.0024732069200956728,0.00045394533043518034,0.9552238805970149,2.557213930348259,0.002383913764501408,0.007462686567089552,0.0024875621890547263,0.000715307582260372,0.0009950248756218905,0.001430615164520744,0.0004975124378109452,0.001430615164520744,0.0010945273631840797,0.015736766809728183,0.0010199004975124377,0.029327610872675252,0.9653598266494694,7.66071447001381,0.0002261420171867933,0.0
random,not_predicted,0.002,0.0033259423503325574,0.0043290043290042666,0.00376175548097922,0.000465323651736463,0.9619565217391305,4.9021739130434785,0.00724637681156099,0.016304347825923913,0.0,0.0,0.0010869565217391304,0.001443001443001443,0.0005434782608695652,0.001443001443001443,0.0011956521739130434,0.015873015873015872,0.0009782608695652175,0.025974025974025976,0.965503084069554,7.694094367949204,0.0004222361627177532,0.0
laat,all,0.049,0.35544430538172567,0.4074605451936853,0.37967914438004824,0.3281271358878304,0.1962457337883959,4.090443686006826,0.561871902269602,0.6350967007902195,0.4726962457337884,0.1324725011956002,0.2938566552901024,0.4117647058823529,0.19982935153583617,0.5600191296030608,0.0579863481228669,0.8125298900047824,0.03136518771331058,0.8790052606408417,0.508422901527032,2.429959480156756,0.3940639652387188,0.0
laat,predicted,0.049,0.3568956994562513,0.5164520743919848,0.4220988015151878,0.3854181810799142,0.08208955223880597,5.032338308457711,0.6806585067739562,0.7541459369745238,0.5174129353233831,0.14878397711015737,0.3218905472636816,0.46280400572246067,0.21990049751243781,0.6323319027181689,0.06084577114427861,0.8748211731044349,0.03233830845771144,0.9298998569384835,0.42562683199817897,1.9452474543982592,0.4369522403117199,0.0
laat,not_predicted,0.049,0.3475935828876912,0.1875901875901849,0.24367385191671692,0.20721219958082263,0.44565217391304346,2.032608695652174,0.3023489946024801,0.3749999999962499,0.375,0.09956709956709957,0.2326086956521739,0.3088023088023088,0.1559782608695652,0.41414141414141414,0.05173913043478261,0.6868686868686869,0.029239130434782608,0.7763347763347763,0.689314314302026,3.48894988425956,0.3003624077422704,0.0
attention_rollout,all,0.003,0.01703019584725224,0.24868483978957318,0.03187739463481563,0.0032029494835715032,0.0,52.10580204778157,0.2590196729688399,0.32650739476356183,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.005119453924914676,0.014347202295552367,0.009726962457337883,0.13629842180774748,0.012406143344709897,0.3476805356288857,0.7651537367332807,5.582473743012035,0.0033708382160114727,0.0
attention_rollout,predicted,0.003,0.01824600204151071,0.3068669527896974,0.03444399839315971,0.003779423356830197,0.0,58.48756218905473,0.312933666663346,0.38142620231797814,0.0024875621890547263,0.000715307582260372,0.005970149253731343,0.008583690987124463,0.0057213930348258705,0.016452074391988557,0.01109452736318408,0.15951359084406294,0.013407960199004976,0.3855507868383405,0.7373899829237084,5.391500754382742,0.004637901325895987,0.0
attention_rollout,not_predicted,0.003,0.012959270863001976,0.1313131313131294,0.023590408293893004,0.0021371747279019123,0.0,38.16304347826087,0.14122931717975606,0.20652173912836957,0.0,0.0,0.002173913043478261,0.002886002886002886,0.0038043478260869567,0.010101010101010102,0.006739130434782609,0.08946608946608947,0.010217391304347826,0.2712842712842713,0.8258115032085417,5.999708207299951,0.0006025807694159564,0.0
deeplift,all,0.018000000000000002,0.2644691452663846,0.32998565279770287,0.29361702127165523,0.22963221160079905,0.06484641638225255,4.452218430034129,0.46805516250626966,0.6335324232020324,0.4249146757679181,0.11908177905308465,0.2515358361774744,0.35246293639406984,0.16911262798634813,0.47393591582974653,0.05276450511945392,0.7393591582974653,0.029658703071672354,0.8311812529890005,0.7264405315630242,3.413734141380707,0.2944793901185284,0.0
