explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004266666666666644,0.0038259206121472795,0.004034291472574065,0.00045765358315834597,0.9522184300341296,3.1996587030716723,0.0045506257110193874,0.0068259385664846415,0.0034129692832764505,0.0009564801530368245,0.0013651877133105802,0.001912960306073649,0.0008532423208191126,0.0023912003825920613,0.0011262798634812286,0.015781922525107604,0.0011433447098976109,0.03204208512673362,0.965416126634353,7.62140231363535,0.0007299433213662804,0.0
random,predicted,0.002,0.0025906735751295112,0.0021474588403722107,0.0023483365899556693,0.00045354079984208536,0.9477611940298507,2.8805970149253732,0.0029021558872187676,0.004975124378059702,0.004975124378109453,0.0014316392269148174,0.0014925373134328358,0.0021474588403722263,0.0007462686567164179,0.0021474588403722263,0.0009950248756218905,0.014316392269148175,0.0010945273631840797,0.031496062992125984,0.9653934793153337,7.653707870632988,0.0009331224064011738,0.0
random,not_predicted,0.002,0.006973500697349973,0.007204610951008542,0.007087172213286133,0.00046616288832912846,0.9619565217391305,3.8967391304347827,0.008152173913018567,0.010869565217282608,0.0,0.0,0.0010869565217391304,0.001440922190201729,0.0010869565217391304,0.002881844380403458,0.0014130434782608696,0.018731988472622477,0.00125,0.03314121037463977,0.96546560610308,7.550821694542685,0.0002860411899313501,0.0
laat,all,0.034,0.11161939615736471,0.17503586800573803,0.1363128491572554,0.06077718776525317,0.15187713310580206,5.59556313993174,0.15748408777360856,0.350113765639406,0.1348122866894198,0.03778096604495457,0.11194539249146758,0.1568627450980392,0.09266211604095563,0.25968436154949787,0.042627986348122864,0.5973218555714969,0.026569965870307168,0.7446197991391679,0.4967455204474758,4.898429628220177,0.07687800226004807,0.0
laat,predicted,0.034,0.10030165912518815,0.19040801717966935,0.13139046677740115,0.057920709302653216,0.04975124378109453,6.597014925373134,0.16938574830305408,0.37976782752540905,0.12686567164179105,0.03650680028632784,0.11492537313432835,0.16535433070866143,0.09353233830845771,0.2691481746599857,0.04417910447761194,0.635647816750179,0.0272636815920398,0.7845382963493199,0.4108630723429531,4.963638084899138,0.08088498873996978,0.0
laat,not_predicted,0.034,0.15948963317384116,0.14409221902017083,0.15140045419637316,0.0754242014863264,0.375,3.407608695652174,0.13148154683427657,0.285326086953682,0.15217391304347827,0.040345821325648415,0.10543478260869565,0.13976945244956773,0.0907608695652174,0.24063400576368876,0.03923913043478261,0.5201729106628242,0.025054347826086957,0.6642651296829971,0.6843799994584436,4.755963326128097,0.06812360788543653,0.0
attention_rollout,all,0.003,0.017583870434638896,0.2544237207077941,0.03289433005505728,0.0031912725993974485,0.0,51.629692832764505,0.26517593138615714,0.3265073947635703,0.005119453924914676,0.0014347202295552368,0.004436860068259386,0.006217120994739359,0.004948805460750853,0.013868962219033954,0.009795221843003413,0.13725490196078433,0.013054607508532424,0.36585365853658536,0.7622751939622128,5.538227776954027,0.0031796799873105813,0.0
attention_rollout,predicted,0.003,0.018524128976412025,0.30637079455976873,0.0349359235969983,0.003766226868206464,0.0,57.475124378109456,0.3218834855011804,0.3864013266960504,0.007462686567164179,0.0021474588403722263,0.004975124378109453,0.0071581961345740875,0.005970149253731343,0.01717967072297781,0.011293532338308458,0.1624910522548318,0.01400497512437811,0.4030064423765211,0.732868669758023,5.35191621743116,0.004240792446200042,0.0
attention_rollout,not_predicted,0.003,0.014545454545454525,0.14985590778097765,0.02651708311924369,0.0021315617697573058,0.0,38.858695652173914,0.14128225337398656,0.19565217391108694,0.0,0.0,0.003260869565217391,0.004322766570605188,0.002717391304347826,0.007204610951008645,0.006521739130434782,0.08645533141210375,0.010978260869565217,0.2910662824207493,0.826522056625714,5.94527803199855,0.0008613799412586067,0.0
deeplift,all,0.02,0.2826666666666654,0.3041606886657087,0.2930200414601055,0.21439809433071372,0.09556313993174062,3.839590443686007,0.4382629813276966,0.6045221842944557,0.3924914675767918,0.10999521759923482,0.23993174061433448,0.3362027737924438,0.1667235494880546,0.46724055475848875,0.05416382252559727,0.7589670014347202,0.03006825938566553,0.8426590148254424,0.7221116322179881,3.4010531521310954,0.2896556327364358,0.0
deeplift,predicted,0.02,0.2770737327188924,0.3443092340730111,0.3070539419037702,0.2329926937714311,0.05472636815920398,4.318407960199005,0.48635688868599725,0.6449004975062215,0.4253731343283582,0.1224051539012169,0.2527363184079602,0.36363636363636365,0.17512437810945275,0.5039370078740157,0.05601990049751244,0.8060128847530422,0.030771144278606964,0.8854688618468146,0.7031384563133748,3.2201848318596413,0.31418127302365745,0.0
deeplift,not_predicted,0.02,0.3015564202334572,0.2233429394812648,0.25662251655139817,0.1796971360780684,0.18478260869565216,2.7934782608695654,0.3331882489470613,0.5163043478209238,0.32065217391304346,0.08501440922190202,0.21195652173913043,0.28097982708933716,0.1483695652173913,0.39337175792507206,0.050108695652173914,0.6642651296829971,0.028532608695652172,0.7564841498559077,0.7635638969661109,3.796211112724165,0.23607244036978853,0.0
gradient_x_input,all,0.019,0.2796934865900371,0.31420373027259535,0.2959459459409615,0.2249921594443237,0.09726962457337884,4.008532423208191,0.4454796814838051,0.603668941973658,0.43856655290102387,0.12290769966523195,0.24641638225255974,0.3452893352462936,0.17116040955631398,0.4796747967479675,0.05467576791808874,0.7661406025824964,0.03,0.8407460545193687,0.7285319081381179,3.415751327746149,0.3015420196883577,0.0
gradient_x_input,predicted,0.019,0.2729269632070276,0.3557623478883296,0.30888750776388535,0.24860287865865283,0.04228855721393035,4.529850746268656,0.49436989903108913,0.6473880596952638,0.472636815920398,0.13600572655690765,0.26218905472636816,0.3772369362920544,0.1818407960199005,0.5232641374373658,0.05641791044776119,0.8117394416607016,0.030671641791044778,0.882605583392985,0.7099453432428716,3.2315280688700407,0.32902012395337227,0.0
gradient_x_input,not_predicted,0.019,0.30303030303029727,0.23054755043227335,0.2618657937757754,0.1787687638564627,0.21739130434782608,2.869565217391304,0.33866518445115207,0.5081521739079755,0.3641304347826087,0.09654178674351585,0.21195652173913043,0.28097982708933716,0.14782608695652175,0.3919308357348703,0.050869565217391305,0.6743515850144092,0.028532608695652172,0.7564841498559077,0.7691395118766451,3.8182390998559073,0.24150833537022792,0.0
integrated_gradient,all,0.011,0.3277511961722475,0.393113342898133,0.35746901499830114,0.3077852397025535,0.04607508532423208,4.279863481228669,0.5487932171133748,0.6898464163756018,0.4863481228668942,0.13629842180774748,0.295221843003413,0.4136776661884266,0.19197952218430034,0.5380200860832137,0.05733788395904437,0.8034433285509326,0.031177474402730377,0.8737446197991392,0.8619189996745641,3.6065588567890643,0.3797857289624474,0.0
integrated_gradient,predicted,0.011,0.330954994511524,0.4316392269148144,0.37465051257663196,0.3288720059484699,0.012437810945273632,4.532338308457711,0.6029314211181417,0.7431592039730229,0.527363184079602,0.15175375805297064,0.31492537313432833,0.4531138153185397,0.20348258706467662,0.5855404438081604,0.059203980099502486,0.8518253400143164,0.031766169154228856,0.9141016463851109,0.8581598301206512,3.4368831947801914,0.4171231059156826,0.0
integrated_gradient,not_predicted,0.011,0.319241982507284,0.3155619596541741,0.31739130434282165,0.2631121351383977,0.11956521739130435,3.7282608695652173,0.4305130105377424,0.5733695652116712,0.3967391304347826,0.10518731988472622,0.25217391304347825,0.33429394812680113,0.16684782608695653,0.4423631123919308,0.05326086956521739,0.7060518731988472,0.029891304347826088,0.792507204610951,0.8701319679390912,3.977263292264973,0.29821167714070523,0.0
grad_attention,all,0.03,0.16232895089884583,0.28933524629363805,0.20797524922193297,0.12135289244594943,0.013651877133105802,6.360068259385666,0.34333413078963115,0.5388225255920538,0.24744027303754265,0.06934481109516978,0.18361774744027304,0.25729316116690576,0.14453924914675767,0.4050693448110952,0.05464163822525597,0.765662362505978,0.03069965870307167,0.8603538976566236,0.3325799579885886,3.8722784041756397,0.12636860633089092,0.0
grad_attention,predicted,0.03,0.14199849737039766,0.27057981388689856,0.18625277161411,0.11338413507688509,0.0024875621890547263,6.621890547263682,0.31912371072649137,0.5279850746218185,0.24378109452736318,0.07015032211882606,0.1771144278606965,0.25483178239083754,0.1398009950248756,0.4022906227630637,0.05592039800995025,0.8045812455261274,0.031368159203980096,0.9026485325697924,0.2862688112145133,3.9653146648784223,0.1148045577128976,0.0
grad_attention,not_predicted,0.03,0.21314553990610127,0.3270893371757878,0.2581011938553673,0.1485202763272083,0.03804347826086957,5.788043478260869,0.39622863549279513,0.5624999999944157,0.2554347826086957,0.06772334293948126,0.19782608695652174,0.2622478386167147,0.15489130434782608,0.4106628242074928,0.051847826086956525,0.6873198847262247,0.029239130434782608,0.7752161383285303,0.43375974604933987,3.6690143998141242,0.15163353863759368,0.0
atgrad_attention,all,0.019,0.12319474835886188,0.2692491630798648,0.16904368712975595,0.08664343184865535,0.07167235494880546,7.798634812286689,0.3305490442417522,0.5096700796309973,0.10409556313993173,0.029172644667623145,0.1385665529010239,0.19416547106647536,0.11228668941979522,0.31468197034911527,0.04767918088737201,0.6681013868962219,0.02781569965870307,0.779531324725012,0.5958028309124624,4.06164222209909,0.07465420823620103,0.0
atgrad_attention,predicted,0.019,0.11882585379621756,0.3013600572655669,0.17044534412549753,0.08808809368257825,0.009950248756218905,8.813432835820896,0.36883343301048105,0.5551409618520321,0.09203980099502487,0.026485325697924122,0.14875621890547264,0.2140300644237652,0.11691542288557213,0.3364352183249821,0.05049751243781095,0.7265569076592698,0.02945273631840796,0.8475304223335719,0.5483739211051212,3.7369823540265235,0.07665907399174063,0.0
atgrad_attention,not_predicted,0.019,0.13826679649464324,0.20461095100864257,0.1650203370085496,0.08666129324519442,0.20652173913043478,5.581521739130435,0.24690597747529017,0.41032608695243195,0.13043478260869565,0.0345821325648415,0.11630434782608695,0.15417867435158503,0.10217391304347827,0.27089337175792505,0.04152173913043478,0.5504322766570605,0.02423913043478261,0.6426512968299711,0.6994246882089364,4.77095345560546,0.07027401240072864,0.0
