explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.006417112299465206,0.0057388809182209195,0.006059075985926919,0.00045765398382211555,0.9590443686006825,3.1911262798634814,0.010238907849766068,0.015358361774590441,0.0017064846416382253,0.00047824007651841227,0.0017064846416382253,0.0023912003825920613,0.0011945392491467576,0.003347680535628886,0.0010921501706484642,0.015303682448589193,0.0010580204778156996,0.02965088474414156,0.9654062344616244,7.624743013446737,0.0007029519190467637,0.0
random,predicted,0.002,0.007376185458377161,0.004905395935529047,0.005892255887458206,0.0004545894741670818,0.9584352078239609,2.3202933985330074,0.009576202118921318,0.012224938875183375,0.0,0.0,0.001466992665036675,0.002102312543798178,0.0012224938875305623,0.00350385423966363,0.0012224938875305623,0.01751927119831815,0.00117359413202934,0.03363700070077085,0.9653795899882747,7.636731788904955,0.00042036631922103544,0.0
random,not_predicted,0.002,0.0054288816503799625,0.007530120481927597,0.006309148260115602,0.0004643817777709325,0.96045197740113,5.203389830508475,0.011770244821040096,0.022598870056271186,0.005649717514124294,0.0015060240963855422,0.0022598870056497176,0.0030120481927710845,0.0011299435028248588,0.0030120481927710845,0.0007909604519774011,0.010542168674698794,0.0007909604519774011,0.02108433734939759,0.9654678027644498,7.597040136822943,0.0013559322033898306,0.0
laat,all,0.043000000000000003,0.3463687150837976,0.4447632711621213,0.38944723617598026,0.3336016363869626,0.18771331058020477,4.581911262798635,0.5957086807734815,0.6749146757614009,0.48464163822525597,0.1358201817312291,0.30170648464163824,0.42276422764227645,0.19982935153583617,0.5600191296030608,0.05767918088737201,0.8082257293161167,0.030733788395904436,0.8613103778096605,0.4925757279236504,2.4119460365167007,0.39436699061269215,0.0
laat,predicted,0.043000000000000003,0.34751455441110457,0.5437981779957916,0.4240437158422347,0.3822558448637759,0.07579462102689487,5.459657701711492,0.7013353191185827,0.7909535452246963,0.5354523227383863,0.153468815697267,0.3330073349633252,0.4772249474421864,0.22200488997555012,0.6362999299229152,0.06073349633251834,0.8703573931324456,0.03200488997555012,0.9173090399439383,0.4090509584284309,1.9709270492532878,0.44344746549815167,0.0
laat,not_predicted,0.043000000000000003,0.3407079646017624,0.23192771084337,0.27598566307761274,0.2276002426352552,0.4463276836158192,2.553672316384181,0.3516335673093773,0.4067796610128813,0.3672316384180791,0.09789156626506024,0.22937853107344633,0.3057228915662651,0.14858757062146893,0.3960843373493976,0.05062146892655367,0.6746987951807228,0.027796610169491524,0.7409638554216867,0.6855792913335078,3.431023809345718,0.2809550458208675,0.0
attention_rollout,all,0.003,0.01723350088125856,0.25251076040172044,0.032264963792381404,0.003128928162582166,0.0,52.28327645051195,0.266291766631676,0.33304891922311763,0.0017064846416382253,0.00047824007651841227,0.004095563139931741,0.005738880918220947,0.004266211604095563,0.011956001912960305,0.010068259385665529,0.1410808225729316,0.012986348122866894,0.3639406982305117,0.7594310895832577,5.570142035676192,0.0026892692029440563,0.0
attention_rollout,predicted,0.003,0.018781725888324864,0.3111422564821282,0.03542506083588319,0.0038385919891650144,0.0,57.79951100244499,0.32038379305938874,0.3891605541934155,0.0024449877750611247,0.000700770847932726,0.004889975550122249,0.00700770847932726,0.0053789731051344745,0.015416958654519973,0.011784841075794621,0.16888577435178698,0.014180929095354523,0.4064470918009811,0.7309635244692639,5.378345568146925,0.0036797968003733027,0.0
attention_rollout,not_predicted,0.003,0.012003429551300354,0.12650602409638365,0.021926389974924358,0.0016434055861143583,0.0,39.536723163841806,0.14129945697667876,0.20338983050644066,0.0,0.0,0.0022598870056497176,0.0030120481927710845,0.001694915254237288,0.004518072289156626,0.006101694915254237,0.08132530120481928,0.010225988700564972,0.27259036144578314,0.8252120733777403,6.013332743130826,0.00040042294673749146,0.0
deeplift,all,0.021,0.3339759036144562,0.3314203730272581,0.3326932309119452,0.26008213246559253,0.09215017064846416,3.5409556313993176,0.47085389486982787,0.646473265067673,0.45733788395904434,0.12816834050693449,0.26996587030716723,0.3782879005260641,0.18054607508532422,0.5059780009564802,0.05467576791808874,0.7661406025824964,0.030409556313993173,0.8522238163558106,0.726157270287339,3.303280964525606,0.3267797113131137,0.0
deeplift,predicted,0.021,0.33477188655980067,0.38051857042746756,0.35618235486546745,0.28776446939946826,0.039119804400977995,3.965770171149144,0.52778209972267,0.7184189078985486,0.4963325183374083,0.14225648213034336,0.29242053789731054,0.41906096706377016,0.19437652811735942,0.5571128241065172,0.05789731051344743,0.8297126839523475,0.031418092909535456,0.900490539593553,0.707310605236842,3.1065324068512608,0.3572872934241448,0.0
deeplift,not_predicted,0.021,0.33112582781456223,0.22590361445782792,0.2685765443103034,0.19984611082837028,0.21468926553672316,2.559322033898305,0.33930792998388215,0.4802259886957626,0.3672316384180791,0.09789156626506024,0.21807909604519773,0.29066265060240964,0.14858757062146893,0.3960843373493976,0.0472316384180791,0.6295180722891566,0.02807909604519774,0.7484939759036144,0.769706908737358,3.757914637343725,0.25628478993790627,0.0
gradient_x_input,all,0.02,0.33876377575467015,0.33811573409851586,0.3384394447053861,0.2701469918393645,0.10238907849829351,3.561433447098976,0.4801599306049807,0.6459044368537955,0.4812286689419795,0.13486370157819225,0.2808873720136519,0.3935915829746533,0.18310580204778157,0.5131516021042564,0.05518771331058021,0.7733142037302726,0.03039249146757679,0.8517455762792921,0.732187357680902,3.328092596522601,0.3320654256530547,0.0
gradient_x_input,predicted,0.02,0.3390139987827125,0.39032936229852566,0.3628664495064231,0.2980577455489224,0.0488997555012225,4.017114914425428,0.5403897956126976,0.7151589241984943,0.5256723716381418,0.1506657323055361,0.30317848410757947,0.43447792571829014,0.197799511002445,0.5669236159775753,0.05838630806845966,0.8367203924316748,0.0315158924205379,0.9032936229852838,0.7135640843553778,3.139476695439472,0.35919803019151986,0.0
gradient_x_input,not_predicted,0.02,0.3378378378378302,0.22590361445782792,0.27075812273887456,0.20779901593329542,0.22598870056497175,2.5084745762711864,0.3409847058131376,0.48587570620983045,0.3785310734463277,0.10090361445783133,0.22937853107344633,0.3057228915662651,0.14915254237288136,0.39759036144578314,0.04779661016949153,0.6370481927710844,0.027796610169491524,0.7409638554216867,0.7752207971732142,3.7639338594774028,0.2693691812675619,0.0
integrated_gradient,all,0.012,0.27205337286879067,0.3510282161645129,0.30653581122915713,0.23758553742502064,0.030716723549488054,4.604095563139932,0.522865558783825,0.6700796359434489,0.4351535836177474,0.12195121951219512,0.2627986348122867,0.3682448589191774,0.178839590443686,0.501195600191296,0.05515358361774744,0.7728359636537542,0.030733788395904436,0.8613103778096605,0.8330441509627042,3.5571793047200138,0.34136067748499593,0.0
integrated_gradient,predicted,0.012,0.2745002437835189,0.394533987386122,0.3237492811912488,0.2565717194554203,0.004889975550122249,5.014669926650367,0.5843536048267319,0.727791361036213,0.46454767726161367,0.13314646110721795,0.2787286063569682,0.3994393833216538,0.19193154034229828,0.5501051156271899,0.05784841075794621,0.8290119131044149,0.03168704156479218,0.9081990189208129,0.8250406812488237,3.3893365575711356,0.36568705460250756,0.0
integrated_gradient,not_predicted,0.012,0.2642967542503823,0.2575301204819238,0.2608695652123882,0.197279267728015,0.0903954802259887,3.6553672316384183,0.3807830117129274,0.5367231638364406,0.3672316384180791,0.09789156626506024,0.22598870056497175,0.30120481927710846,0.14858757062146893,0.3960843373493976,0.04892655367231638,0.6521084337349398,0.028531073446327684,0.7605421686746988,0.8515380442563605,3.9450193249679826,0.2851488795128927,0.0
grad_attention,all,0.049,0.39757085020242755,0.4696317551410786,0.43060732295052484,0.3836613192952615,0.017064846416382253,4.215017064846417,0.6286335539611113,0.7784414106864481,0.5494880546075085,0.15399330463892874,0.32798634812286687,0.45958871353419417,0.2150170648464164,0.6025824964131994,0.059726962457337884,0.8369201339072214,0.03196245733788396,0.8957436633189861,0.28677618081328604,2.2011177762741427,0.43435207977627976,0.0
grad_attention,predicted,0.049,0.41775599128540075,0.5374912403643971,0.47011952190742623,0.42950100432791527,0.0,4.488997555012225,0.6975057208368429,0.8512632436756445,0.58679706601467,0.16818500350385424,0.356479217603912,0.5108619481429573,0.23276283618581908,0.6671338472319551,0.06224938875305624,0.8920812894183602,0.03288508557457213,0.9425367904695164,0.2450305745755194,1.9216649739586331,0.4667672460828896,0.0
grad_attention,not_predicted,0.049,0.3391167192428969,0.3237951807228867,0.3312788905959221,0.279890871519912,0.05649717514124294,3.5819209039548023,0.4694882644008052,0.610169491519322,0.4632768361581921,0.12349397590361445,0.2621468926553672,0.3493975903614458,0.17401129943502824,0.463855421686747,0.05389830508474576,0.7183734939759037,0.029830508474576273,0.7951807228915663,0.383239191837278,2.8468589974438805,0.35944923785874616,0.0
atgrad_attention,all,0.037,0.36359509759418807,0.38307030129124636,0.37307871448033003,0.32345161988033794,0.17235494880546076,3.75938566552901,0.5352560740327641,0.6461888509607784,0.4863481228668942,0.13629842180774748,0.30204778156996587,0.4232424677187948,0.1960750853242321,0.5494978479196556,0.05699658703071672,0.7986609277857485,0.030273037542662116,0.8483978957436633,0.6046523528681038,2.622238728887945,0.3933298716223144,0.0
atgrad_attention,predicted,0.037,0.3631376851343919,0.4639103013314614,0.40738461537968707,0.35944090421698927,0.06601466992665037,4.45721271393643,0.612550835469051,0.7375713121363963,0.5256723716381418,0.1506657323055361,0.326161369193154,0.46741415557112825,0.21271393643031786,0.6096706377014717,0.059462102689486554,0.8521373510861948,0.031222493887530563,0.8948843728100911,0.5545048304733813,2.3009308554268286,0.42531768059779185,0.0
atgrad_attention,not_predicted,0.037,0.3657894736842009,0.20933734939758722,0.2662835248995795,0.2519013015407999,0.4180790960451977,2.146892655367232,0.35664840495117445,0.4350282485832203,0.3954802259887006,0.10542168674698796,0.24632768361581922,0.32831325301204817,0.1576271186440678,0.42018072289156627,0.05129943502824859,0.6837349397590361,0.02807909604519774,0.7484939759036144,0.7205299611135361,3.3646959054167387,0.31941453901796274,0.0
