explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.001974175648276597,0.017694882831181168,0.003552056831103412,0.0004576537834901431,0.19965870307167236,31.982935153583618,0.01983720678250756,0.045790671216844665,0.0017064846416382253,0.00047824007651841227,0.00034129692832764505,0.00047824007651841227,0.0005119453924914676,0.0014347202295552368,0.0010238907849829352,0.014347202295552367,0.0010921501706484642,0.030607364897178385,0.9654893573161305,7.637371077217863,0.00013126804935678657,0.0
random,predicted,0.001,0.001800633823105732,0.01700680272108832,0.0032564803942565263,0.00046117415567482325,0.18313253012048192,33.45542168674699,0.020863453815154243,0.04297188754978547,0.0024096385542168677,0.0006802721088435374,0.00048192771084337347,0.0006802721088435374,0.0007228915662650603,0.0020408163265306124,0.0009156626506024096,0.01292517006802721,0.0010120481927710842,0.02857142857142857,0.9655021255265639,7.6296314849963585,0.00018535681186283596,0.0
random,not_predicted,0.001,0.002470152326060102,0.01932367149758423,0.004380361377803909,0.0004495309242529462,0.23976608187134502,28.4093567251462,0.01734660725883286,0.0526315789468421,0.0,0.0,0.0,0.0,0.0,0.0,0.0012865497076023392,0.017713365539452495,0.0012865497076023392,0.03542673107890499,0.9654583701387623,7.656154298106311,0.0,0.0
laat,all,0.047,0.37515842839036595,0.424677187948348,0.3983849259707913,0.3522418278959476,0.2030716723549488,4.039249146757679,0.5821681115588828,0.6643913538047365,0.5,0.1401243424198948,0.31126279863481227,0.43615494978479197,0.21160409556313994,0.5930176948828312,0.05815699658703072,0.8149210903873745,0.03165529010238908,0.8871353419416547,0.5052412762987214,2.3338266278942483,0.4313729280594414,0.0
laat,predicted,0.047,0.3765401675702298,0.519727891156459,0.43669619890910055,0.3957955347762586,0.07710843373493977,4.889156626506024,0.6952888811282438,0.7815261044101818,0.5421686746987951,0.15306122448979592,0.3349397590361446,0.47278911564625853,0.22698795180722892,0.6408163265306123,0.060048192771084336,0.8476190476190476,0.03265060240963855,0.9217687074829932,0.42219964914949887,1.8952401384454731,0.4775858125653591,0.0
laat,not_predicted,0.047,0.36686390532543295,0.19967793880837037,0.25860271115288574,0.25691893122317716,0.5087719298245614,1.976608187134503,0.30763524973850415,0.3801169590605263,0.39766081871345027,0.10950080515297907,0.25380116959064325,0.3494363929146538,0.1742690058479532,0.47987117552334946,0.053567251461988305,0.7375201288244766,0.029239766081871343,0.8051529790660226,0.7067750497895249,3.3982324356208093,0.319218851626951,0.0
attention_rollout,all,0.003,0.017096291368701142,0.24581539933046273,0.0319691503906238,0.0030228704984428026,0.0,51.30546075085324,0.25173820301676886,0.3213879408386983,0.0034129692832764505,0.0009564801530368245,0.005119453924914676,0.007173601147776184,0.003924914675767918,0.010999521759923482,0.009522184300341296,0.133428981348637,0.013174061433447098,0.36920133907221425,0.7647899570309971,5.565176719883263,0.0030791106034647473,0.0
attention_rollout,predicted,0.003,0.01842138391171163,0.2986394557823109,0.03470218568326578,0.0036650067761138604,0.0,57.42409638554217,0.31500906054958233,0.3959839357390776,0.004819277108433735,0.0013605442176870747,0.006265060240963855,0.008843537414965987,0.004819277108433735,0.013605442176870748,0.01074698795180723,0.15170068027210884,0.014,0.3952380952380952,0.7375351949164582,5.379197222462645,0.004062325070936767,0.0
attention_rollout,not_predicted,0.003,0.012030798845043291,0.12077294685990143,0.021881838072750504,0.0016705770471320959,0.0,36.45614035087719,0.09818612186988238,0.14035087719157896,0.0,0.0,0.0023391812865497076,0.00322061191626409,0.0017543859649122807,0.004830917874396135,0.006549707602339181,0.09017713365539452,0.011169590643274854,0.3075684380032206,0.8309345551452285,6.016530470933301,0.0006929468373776819,0.0
deeplift,all,0.02,0.3142989786443811,0.32376853180296356,0.3189634864496521,0.25159696335213766,0.08532423208191127,3.675767918088737,0.47075641224239173,0.6406427758754375,0.4334470989761092,0.12147297943567671,0.2617747440273038,0.3668101386896222,0.17849829351535837,0.5002391200382592,0.054914675767918086,0.7694882831181253,0.030580204778156997,0.8570062171209948,0.7286890273490312,3.3425313198271263,0.31200449547753967,0.0
deeplift,predicted,0.02,0.3146603098927276,0.3591836734693853,0.3354510800458457,0.27176716792040667,0.04578313253012048,4.043373493975904,0.5257205010485508,0.6949799196719911,0.4674698795180723,0.13197278911564625,0.28,0.3952380952380952,0.1910843373493976,0.5394557823129251,0.057349397590361444,0.8095238095238095,0.031493975903614455,0.8891156462585034,0.7113511375029313,3.1477043204302144,0.3449797453961472,0.0
deeplift,not_predicted,0.02,0.31302521008402706,0.23993558776167084,0.271649954416231,0.20331123809971802,0.18128654970760233,2.783625730994152,0.3373640329759822,0.5087719298194736,0.3508771929824561,0.0966183574879227,0.21754385964912282,0.2995169082125604,0.147953216374269,0.4074074074074074,0.04900584795321637,0.6747181964573269,0.028362573099415204,0.7809983896940419,0.7707663623556483,3.81535707859741,0.2319768421662991,0.0
gradient_x_input,all,0.018000000000000002,0.3030053519967052,0.35198469631754975,0.32566371680918577,0.2602495149720499,0.07679180887372014,4.145051194539249,0.492881817174929,0.6616894197887774,0.4453924914675768,0.12482065997130559,0.26825938566552904,0.37589670014347204,0.1803754266211604,0.5054997608799617,0.05515358361774744,0.7728359636537542,0.030580204778156997,0.8570062171209948,0.7345720384667481,3.354543688644042,0.32145538578435645,0.0
gradient_x_input,predicted,0.018000000000000002,0.302374670184695,0.3897959183673443,0.34056463595347297,0.281153957083199,0.04096385542168675,4.566265060240964,0.5505790093407447,0.717469879511141,0.4819277108433735,0.1360544217687075,0.29012048192771084,0.4095238095238095,0.19397590361445782,0.5476190476190477,0.05783132530120482,0.8163265306122449,0.031397590361445786,0.8863945578231293,0.7174977047398668,3.1584053826243985,0.3544786640072898,0.0
