explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004171011470281522,0.0038259206121472795,0.003991020199549076,0.00045765358315834597,0.9488054607508533,3.273037542662116,0.005403868031831389,0.008532423208105802,0.0034129692832764505,0.0009564801530368245,0.0010238907849829352,0.0014347202295552368,0.0015358361774744026,0.00430416068866571,0.0010580204778156996,0.01482544237207078,0.0009556313993174062,0.026781444285031087,0.965421059302552,7.6886088192222735,0.002463273482712569,0.0
random,predicted,0.002,0.0024410089503661314,0.0021367521367521214,0.002278769459511246,0.00045706070899100595,0.9454094292803971,3.0496277915632755,0.0033085194375365315,0.004962779156277916,0.004962779156327543,0.0014245014245014246,0.0009925558312655087,0.0014245014245014246,0.0017369727047146402,0.004985754985754986,0.0011910669975186104,0.017094017094017096,0.0009925558312655087,0.02849002849002849,0.9653578628846934,7.676801798552685,0.0035818319128277055,0.0
random,not_predicted,0.002,0.007256894049346774,0.007278020378456954,0.00726744185546502,0.0004588700175532744,0.9562841530054644,3.7650273224043715,0.010018214936207498,0.016393442622786886,0.0,0.0,0.001092896174863388,0.001455604075691412,0.001092896174863388,0.002911208151382824,0.0007650273224043716,0.010189228529839884,0.0008743169398907104,0.023289665211062592,0.9655602295560871,7.714610072390822,0.0,0.0
laat,all,0.043000000000000003,0.34395695364238266,0.39741750358679867,0.36875970711727857,0.3130480540284474,0.19283276450511946,4.122866894197952,0.5442572501414276,0.6376564277526641,0.48293515358361777,0.13534194165471067,0.29965870307167236,0.419894787183166,0.19778156996587032,0.5542802486848398,0.05627986348122867,0.7886178861788617,0.031006825938566553,0.8689622190339551,0.5214079363925747,2.5384375725477484,0.3848084663650633,0.0
laat,predicted,0.043000000000000003,0.34198922097011103,0.4971509971509936,0.4052249637106983,0.36630773384876936,0.06699751861042183,5.064516129032258,0.6619335172646361,0.7634408602077446,0.5384615384615384,0.15455840455840456,0.3235732009925558,0.46438746438746437,0.21042183622828783,0.603988603988604,0.05870967741935484,0.8425925925925926,0.03218362282878412,0.9237891737891738,0.4364098583537729,2.0535248715905716,0.44018294462789354,0.0
laat,not_predicted,0.043000000000000003,0.3546666666666572,0.19359534206695497,0.25047080978827047,0.20414258255960357,0.46994535519125685,2.0491803278688523,0.28511224658594647,0.36065573770131143,0.36065573770491804,0.09606986899563319,0.24699453551912567,0.3289665211062591,0.16994535519125684,0.45269286754002913,0.05092896174863388,0.6783114992721979,0.02841530054644809,0.7569141193595342,0.7085894962266573,3.606305433125575,0.26286357707587976,0.0
attention_rollout,all,0.003,0.015867384784081007,0.2352941176470577,0.029729893043713256,0.0027342208344912806,0.0,52.91296928327645,0.2490976647533515,0.3134243458444529,0.0034129692832764505,0.0009564801530368245,0.004436860068259386,0.006217120994739359,0.004266211604095563,0.011956001912960305,0.008668941979522185,0.12147297943567671,0.011928327645051194,0.33428981348637016,0.759694885253406,5.637811517452484,0.0030175491084561534,0.0
attention_rollout,predicted,0.003,0.017175733987647,0.2891737891737871,0.03242552511674362,0.0030100920819704467,0.0,58.655086848635236,0.29799951220388776,0.3589743589708175,0.004962779156327543,0.0014245014245014246,0.004962779156327543,0.007122507122507123,0.004962779156327543,0.014245014245014245,0.010074441687344914,0.14458689458689458,0.012903225806451613,0.37037037037037035,0.7317421000639043,5.422764221250649,0.004112677210875359,0.0
attention_rollout,not_predicted,0.003,0.011670511602659776,0.1251819505094596,0.021350546175202493,0.0021759871734550137,0.0,40.26775956284153,0.1414067110781267,0.2131147540962295,0.0,0.0,0.003278688524590164,0.004366812227074236,0.00273224043715847,0.00727802037845706,0.005573770491803279,0.07423580786026202,0.009781420765027322,0.26055312954876275,0.821252111654331,6.111385617831387,0.0006058735605056611,0.0
deeplift,all,0.016,0.242463117382937,0.3615494978479179,0.2902668458389252,0.22650444329136854,0.040955631399317405,5.320819112627986,0.5063257703585942,0.6808873720070272,0.4232081911262799,0.11860353897656624,0.2522184300341297,0.3534194165471066,0.16911262798634813,0.47393591582974653,0.053651877133105805,0.7517934002869441,0.03022184300341297,0.846963175514108,0.7306925302981423,3.417669915977179,0.29359093195877795,0.0
