explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0051786639047125575,0.004782400765184099,0.004972650417683173,0.0004576537834901431,0.9505119453924915,3.295221843003413,0.00739476678039178,0.013651877132969283,0.0,0.0,0.0027303754266211604,0.003825920612147298,0.0017064846416382253,0.004782400765184123,0.0010921501706484642,0.015303682448589193,0.0010750853242320819,0.03012912482065997,0.9653795288961262,7.663551864468005,0.0006943603717917352,0.0
random,predicted,0.002,0.0038535645472061284,0.0028510334996436006,0.0032773453453780518,0.0004564474916209482,0.9451371571072319,2.5885286783042396,0.00498753117203519,0.0099750623440399,0.0,0.0,0.0029925187032418953,0.0042765502494654314,0.00199501246882793,0.005702066999287242,0.001197007481296758,0.017106200997861726,0.0010224438902743142,0.029223093371347115,0.9653314001124947,7.6635441400964766,0.000848450152626659,0.0
random,not_predicted,0.002,0.006718924972004404,0.008720930232558013,0.007590132822408446,0.0004601335724957766,0.9621621621621622,4.827027027027027,0.012612612612559308,0.021621621621405407,0.0,0.0,0.002162162162162162,0.0029069767441860465,0.001081081081081081,0.0029069767441860465,0.0008648648648648649,0.011627906976744186,0.0011891891891891893,0.03197674418604651,0.9654838512865925,7.663568607565208,0.00036036036036036037,0.0
laat,all,0.046,0.364569961489087,0.4074605451936853,0.3848238482334961,0.3418165748685185,0.1962457337883959,3.9880546075085324,0.556305407709976,0.6365187713249205,0.4948805460750853,0.13868962219033956,0.29590443686006823,0.4146341463414634,0.2006825938566553,0.5624103299856528,0.057542662116040956,0.806312769010043,0.03126279863481229,0.8761358201817312,0.5054036326680884,2.385450754265624,0.40268573030510924,0.0
laat,predicted,0.046,0.3668032786885227,0.5103349964362045,0.4268256333781418,0.39994368349116216,0.0773067331670823,4.867830423940149,0.6744352627106392,0.7581047381473649,0.5610972568578554,0.16037063435495366,0.32219451371571073,0.46044191019244474,0.21820448877805487,0.6236635780470421,0.06034912718204489,0.8624376336421953,0.032344139650872815,0.924447612259444,0.41492576032171474,1.9149018359175274,0.4607157736385039,0.0
laat,not_predicted,0.046,0.3532467532467441,0.1976744186046483,0.25349487417992334,0.22016473819556967,0.4540540540540541,2.081081081081081,0.30025096524907885,0.37297297296924314,0.35135135135135137,0.09447674418604651,0.23891891891891892,0.32122093023255816,0.1627027027027027,0.4375,0.05145945945945946,0.6918604651162791,0.02891891891891892,0.7776162790697675,0.7015205343486068,3.4053973286309582,0.2769016904311022,0.0
attention_rollout,all,0.003,0.017099095530468074,0.24772835963653636,0.03199011888099057,0.002775374274772263,0.0,51.696245733788395,0.2606794797907766,0.32622298065663297,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.004948805460750853,0.013868962219033954,0.00955631399317406,0.13390722142515543,0.012815699658703071,0.35915829746532757,0.7718260693919995,5.583721284499486,0.0032717759838434383,0.0
attention_rollout,predicted,0.003,0.018531961228062676,0.3093371347113307,0.034968979130349104,0.0032274469085431996,0.0,58.401496259351624,0.31933156895588316,0.3844555278432842,0.0024937655860349127,0.0007127583749109052,0.0059850374064837905,0.008553100498930863,0.005735660847880299,0.01639344262295082,0.01087281795511222,0.15538132573057734,0.014039900249376559,0.4012829650748396,0.741658194946635,5.390556757375246,0.004504702905136456,0.0
attention_rollout,not_predicted,0.003,0.0122181818181818,0.12209302325581217,0.022213407376370658,0.0017939088458638981,0.0,37.16216216216216,0.1335471135464106,0.199999999998,0.0,0.0,0.002162162162162162,0.0029069767441860465,0.003243243243243243,0.00872093023255814,0.006702702702702703,0.09011627906976744,0.010162162162162163,0.27325581395348836,0.8372169756222219,6.002418448698514,0.0005993235760677621,0.0
deeplift,all,0.019,0.2883461868037691,0.3218555714968899,0.3041807909554657,0.23125315392216098,0.09556313993174062,3.9829351535836177,0.4563800368167501,0.6191695108016911,0.4249146757679181,0.11908177905308465,0.24812286689419796,0.3476805356288857,0.17389078498293514,0.48732663797226206,0.052901023890784986,0.741272118603539,0.029266211604095562,0.820181731229077,0.7318763259734462,3.424496994689366,0.29908006104229773,0.0
deeplift,predicted,0.019,0.2902684563758373,0.3699215965787572,0.3252898777763305,0.25607106710096555,0.034912718204488775,4.458852867830424,0.5221066028703266,0.6729010806252393,0.4538653366583541,0.12972202423378476,0.2683291770573566,0.383464005702067,0.18703241895261846,0.5345687811831789,0.055511221945137156,0.7933000712758375,0.03032418952618454,0.8667141838916608,0.7130605535371297,3.227038837283168,0.32136835123818835,0.0
deeplift,not_predicted,0.019,0.2820512820512769,0.22383720930232232,0.2495948136093247,0.18048190980626339,0.22702702702702704,2.9513513513513514,0.31391326391143004,0.5027027026976756,0.3621621621621622,0.09738372093023256,0.20432432432432432,0.2747093023255814,0.14540540540540542,0.39098837209302323,0.04724324324324324,0.6351744186046512,0.026972972972972974,0.7252906976744186,0.7726607840651379,3.8525008926346924,0.2507686860771509,0.0
gradient_x_input,all,0.02,0.3150614754098344,0.2941176470588221,0.3042295325203569,0.24350561856752037,0.13822525597269625,3.3310580204778155,0.42322912203205065,0.5743742889591154,0.4249146757679181,0.11908177905308465,0.25324232081911263,0.3548541367766619,0.17679180887372015,0.4954567192730751,0.053208191126279863,0.7455762792922047,0.02947098976109215,0.825920612147298,0.7372408627912215,3.4299689529415445,0.30296975755655425,0.0
gradient_x_input,predicted,0.02,0.31554369579719604,0.3371347113328558,0.3259820813182286,0.2670778928221102,0.07231920199501247,3.7381546134663344,0.4818278977851161,0.6248960930945177,0.45885286783042395,0.13114754098360656,0.27281795511221946,0.38987883107626514,0.18952618453865336,0.5416963649322879,0.05576059850374065,0.796863863150392,0.030448877805486285,0.8702779757662152,0.7183769057001839,3.2391017615727704,0.3310680032047851,0.0
gradient_x_input,not_predicted,0.02,0.3134657836644522,0.2063953488372063,0.24890446975857322,0.19592518579881485,0.2810810810810811,2.4486486486486485,0.29621231621054095,0.46486486486021616,0.35135135135135137,0.09447674418604651,0.21081081081081082,0.28343023255813954,0.1491891891891892,0.4011627906976744,0.047675675675675676,0.6409883720930233,0.02735135135135135,0.7354651162790697,0.7781297643777404,3.8436864866652103,0.24206491158390275,0.0
integrated_gradient,all,0.009000000000000001,0.17494019138755929,0.27977044476326984,0.21527138913969918,0.14562498699408502,0.025597269624573378,5.706484641638225,0.4256579384752265,0.5668373151253191,0.29180887372013653,0.08177905308464849,0.19146757679180887,0.2682926829268293,0.13583617747440274,0.38067910090865614,0.049351535836177476,0.6915351506456241,0.028174061433447098,0.7895743663318986,0.8610594047898632,4.098628980467754,0.2230840651072376,0.0
integrated_gradient,predicted,0.009000000000000001,0.17767362590541042,0.29722024233784533,0.22239999999531568,0.14638054870331738,0.014962593516209476,5.85286783042394,0.46209903631675586,0.6064006649983216,0.30423940149625933,0.08695652173913043,0.2,0.285816108339273,0.1394014962593516,0.398431931575196,0.051571072319201994,0.736992159657876,0.029251870324189525,0.8360655737704918,0.8602615313557134,4.007890834185617,0.24131291475942268,0.0
integrated_gradient,not_predicted,0.009000000000000001,0.16850551654964727,0.24418604651162434,0.19940652818507676,0.14368037451577603,0.04864864864864865,5.389189189189189,0.34666939666737095,0.48108108107627023,0.2648648648648649,0.07122093023255814,0.17297297297297298,0.23255813953488372,0.1281081081081081,0.3444767441860465,0.04454054054054054,0.5988372093023255,0.025837837837837836,0.6947674418604651,0.86278884936875,4.295310043490115,0.18357180180709595,0.0
grad_attention,all,0.053,0.39620198532585066,0.43902439024390033,0.41651542649228895,0.3758793221584053,0.032423208191126277,3.953924914675768,0.6119985579420141,0.7568259385592165,0.5238907849829352,0.14681970349115256,0.32832764505119455,0.4600669536107126,0.2150170648464164,0.6025824964131994,0.05962457337883959,0.8354854136776662,0.032252559726962456,0.9038737446197992,0.28707335760095304,2.1910787899469377,0.4212403879884314,0.0
grad_attention,predicted,0.053,0.4126040428061807,0.4946543121881647,0.4499189627178905,0.422351386306858,0.0,4.194513715710723,0.6872831103462929,0.8279301745556441,0.5785536159600998,0.16535994297933002,0.35211970074812965,0.5032074126870991,0.228927680798005,0.654312188168211,0.061945137157107234,0.8852459016393442,0.03321695760598504,0.9493941553813258,0.2420241457775468,1.8910760815165446,0.4650990092671196,0.0
grad_attention,not_predicted,0.053,0.35275590551180547,0.32558139534883246,0.3386243386193415,0.275667562046771,0.10270270270270271,3.4324324324324325,0.4488142038116581,0.6027027026966891,0.40540540540540543,0.10901162790697674,0.27675675675675676,0.37209302325581395,0.18486486486486486,0.49709302325581395,0.05459459459459459,0.7340116279069767,0.03016216216216216,0.811046511627907,0.3847205680938497,2.8413549309230888,0.32617386294651796,0.0
atgrad_attention,all,0.037,0.38762687288545006,0.3835485413677648,0.38557692307192143,0.33167359897088566,0.16382252559726962,3.530716723549488,0.5528486066421922,0.6683731513018364,0.49658703071672355,0.13916786226685796,0.3027303754266212,0.42419894787183166,0.19948805460750854,0.5590626494500239,0.05689419795221843,0.7972262075561932,0.030870307167235496,0.8651362984218077,0.6167053968884659,2.575631545264233,0.3960011322531116,0.0
atgrad_attention,predicted,0.037,0.3827893175074161,0.4597291518175306,0.41774611398467626,0.37015784817230274,0.059850374064837904,4.201995012468828,0.6435947953365804,0.7697423108820601,0.5286783042394015,0.1511047754811119,0.32219451371571073,0.46044191019244474,0.21321695760598502,0.609408410548824,0.05905236907730673,0.8439059158945118,0.03189526184538653,0.9116179615110478,0.5653339886117766,2.2349930162860367,0.4305660675129971,0.0
atgrad_attention,not_predicted,0.037,0.408854166666656,0.22819767441860134,0.29291044775659064,0.2568267577256464,0.3891891891891892,2.075675675675676,0.35615011114786993,0.4486486486441621,0.42702702702702705,0.11482558139534883,0.26054054054054054,0.3502906976744186,0.16972972972972972,0.4563953488372093,0.052216216216216214,0.7020348837209303,0.028648648648648647,0.7703488372093024,0.7280563953692898,3.3139885729412955,0.32107929960871134,0.0
