explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004173187271778799,0.0038259206121472795,0.0039920159630732754,0.00045765358315834597,0.9522184300341296,3.2713310580204777,0.0049366162847192495,0.010238907849726963,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0008532423208191126,0.0023912003825920613,0.0009215017064846416,0.01291248206599713,0.0009556313993174062,0.026781444285031087,0.9654133947360346,7.667247623254948,0.001099734546833523,0.0
random,predicted,0.002,0.003926701570680577,0.002164502164502149,0.002790697669837058,0.0004520665901262884,0.9523809523809523,1.9147869674185463,0.002506265664152047,0.005012531328270677,0.002506265664160401,0.0007215007215007215,0.0015037593984962407,0.0021645021645021645,0.0012531328320802004,0.0036075036075036075,0.0009022556390977444,0.012987012987012988,0.0009273182957393484,0.026695526695526696,0.965376942567456,7.6505521835133665,0.001615148983570036,0.0
random,not_predicted,0.002,0.004336513443191636,0.007092198581560183,0.0053821313192949395,0.00046905001736482376,0.9518716577540107,6.165775401069519,0.010122230710421464,0.0213903743313369,0.0,0.0,0.0,0.0,0.0,0.0,0.0009625668449197861,0.01276595744680851,0.0010160427807486632,0.02695035460992908,0.9654911723577608,7.702870513398749,0.0,0.0
laat,all,0.04,0.40139534883720746,0.41272118603538777,0.4069794859652891,0.3519154061766846,0.1348122866894198,3.6689419795221845,0.5933958745996272,0.7394766780360932,0.5546075085324232,0.15542802486848398,0.3204778156996587,0.4490674318507891,0.20341296928327646,0.5700621712099474,0.05569965870307167,0.7804878048780488,0.030426621160409555,0.852702056432329,0.5022556147350006,2.3855430686867423,0.443326281107485,0.0
laat,predicted,0.04,0.3878348214285693,0.5014430014429978,0.4373820012537321,0.3957998490016579,0.02506265664160401,4.491228070175438,0.6826663624555711,0.8366750208775514,0.5714285714285714,0.1645021645021645,0.34135338345864663,0.49134199134199136,0.21428571428571427,0.6168831168831169,0.058095238095238096,0.8362193362193362,0.030977443609022555,0.8917748917748918,0.41873359527608256,2.002425539267685,0.4609311373305598,0.0
laat,not_predicted,0.04,0.4692737430167467,0.23829787234042216,0.31608654750258236,0.27524205950384123,0.3689839572192513,1.914438502673797,0.40292034168774693,0.5320855614920187,0.5187165775401069,0.1375886524822695,0.27593582887700535,0.3659574468085106,0.1802139037433155,0.47801418439716314,0.05058823529411765,0.6709219858156028,0.02925133689839572,0.775886524822695,0.6804656990350452,3.202997048570187,0.405762978257181,0.0
attention_rollout,all,0.003,0.014843380507148828,0.19512195121951126,0.027588072214522138,0.0024379384204453332,0.0,46.906143344709896,0.21762655480542045,0.2824232081883405,0.0017064846416382253,0.00047824007651841227,0.004095563139931741,0.005738880918220947,0.003924914675767918,0.010999521759923482,0.008668941979522185,0.12147297943567671,0.011552901023890784,0.3237685318029651,0.7795899848361967,5.622290637087941,0.0026527503950941897,0.0
attention_rollout,predicted,0.003,0.01631229079251331,0.24963924963924783,0.030623534096295063,0.0025606502812991552,0.0,53.16040100250627,0.2703273369612103,0.3358395989941855,0.002506265664160401,0.0007215007215007215,0.005012531328320802,0.007215007215007215,0.004260651629072682,0.012265512265512266,0.010075187969924812,0.14502164502164502,0.01255639097744361,0.36147186147186144,0.7536647697278345,5.439209092980068,0.0032600995666554294,0.0
attention_rollout,not_predicted,0.003,0.0098789037603569,0.08794326241134627,0.01776249820760974,0.002205766237554949,0.0,33.56149732620321,0.10517943138210416,0.16844919785929144,0.0,0.0,0.0021390374331550803,0.0028368794326241137,0.0032085561497326204,0.00851063829787234,0.005668449197860963,0.075177304964539,0.009411764705882352,0.24964539007092199,0.834906352901633,6.012929867564096,0.0013568556386613839,0.0
deeplift,all,0.016,0.2507194244604308,0.33333333333333176,0.286183535203475,0.2104226926498973,0.03924914675767918,4.744027303754266,0.4619122913464636,0.6191695108017089,0.3924914675767918,0.10999521759923482,0.23890784982935154,0.3347680535628886,0.16382252559726962,0.45911047345767575,0.05225255972696246,0.7321855571496891,0.029897610921501706,0.8378766140602583,0.7424865673499598,3.5284212088897147,0.26929036592389466,0.0
