explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0017980855677190745,0.016260162601625938,0.0032380952363020954,0.00045765358315834597,0.19965870307167236,32.267918088737204,0.020473752640889603,0.0398179749711642,0.0,0.0,0.0006825938566552901,0.0009564801530368245,0.0005119453924914676,0.0014347202295552368,0.0010580204778156996,0.01482544237207078,0.0010750853242320819,0.03012912482065997,0.9653849184881538,7.6565778055623595,0.00021414709228401258,0.0
random,predicted,0.001,0.0014986886474334946,0.014316392269148073,0.0027133360449537124,0.00045988953433633034,0.18686868686868688,33.69949494949495,0.019865319865212585,0.0412457912453844,0.0,0.0,0.00101010101010101,0.0014316392269148174,0.0007575757575757576,0.0021474588403722263,0.0011111111111111111,0.015748031496062992,0.0011616161616161617,0.0329277022190408,0.9653500875568859,7.667205464755642,0.00031689443454149336,0.0
random,not_predicted,0.001,0.0025161754133716705,0.020172910662823916,0.004474272928676762,0.0004532179782559793,0.22631578947368422,29.28421052631579,0.02174185463651118,0.03684210526278947,0.0,0.0,0.0,0.0,0.0,0.0,0.0009473684210526315,0.012968299711815562,0.0008947368421052632,0.024495677233429394,0.9654575134817432,7.634427526401628,0.0,0.0
laat,all,0.052000000000000005,0.4529598308668052,0.40985174557627735,0.4303288978107271,0.40421780092530535,0.15699658703071673,3.2286689419795223,0.5956921799249402,0.7039249146689606,0.5870307167235495,0.16451458632233382,0.3453924914675768,0.4839789574366332,0.2196245733788396,0.6154949784791965,0.05931740614334471,0.8311812529890005,0.03165529010238908,0.8871353419416547,0.4897064796649528,2.0688863368867194,0.4957504575862639,0.0
laat,predicted,0.052000000000000005,0.44015444015443733,0.4896206156048641,0.46357167061513976,0.4457269639295911,0.047979797979797977,3.9242424242424243,0.6900655286031281,0.8068181818104567,0.6237373737373737,0.17680744452397995,0.3661616161616162,0.5189692197566214,0.2313131313131313,0.6556907659269864,0.06156565656565657,0.8725841088045813,0.03272727272727273,0.9277022190408017,0.4099611478405348,1.7087387451934302,0.5202704301336615,0.0
laat,not_predicted,0.052000000000000005,0.5118343195266121,0.24927953890489554,0.3352713178250459,0.3258906435132499,0.38421052631578945,1.7789473684210526,0.39899825320619003,0.4894736842056315,0.5105263157894737,0.13976945244956773,0.3021052631578947,0.41354466858789624,0.19526315789473683,0.5345821325648416,0.05463157894736842,0.7478386167146974,0.02942105263157895,0.8054755043227666,0.6559125396779507,2.8195097385211527,0.44464567269800365,0.0
attention_rollout,all,0.002,0.015186634278403083,0.3916786226685778,0.02923955730024528,0.003131636589171625,0.0,92.02901023890784,0.39999176022871646,0.46530147894880447,0.0034129692832764505,0.0009564801530368245,0.005119453924914676,0.007173601147776184,0.00477815699658703,0.013390722142515544,0.008464163822525596,0.11860353897656624,0.012184300341296929,0.34146341463414637,0.7682360902139783,5.585131966129561,0.004970812184145739,0.0
attention_rollout,predicted,0.002,0.01519126204330821,0.4559770937723661,0.029402940293405344,0.0035333141700730117,0.0,105.88888888888889,0.4818571720062669,0.5382996632944115,0.0025252525252525255,0.0007158196134574087,0.005050505050505051,0.0071581961345740875,0.004545454545454545,0.012884753042233358,0.009393939393939394,0.13314244810307801,0.012702020202020202,0.3600572655690766,0.7415549589366424,5.420334482482783,0.003979370207440383,0.0
attention_rollout,not_predicted,0.002,0.015170459281487027,0.2622478386167109,0.02868174296642333,0.0024242131856302396,0.0,63.142105263157895,0.2293670072607693,0.31315789473375,0.005263157894736842,0.001440922190201729,0.005263157894736842,0.007204610951008645,0.005263157894736842,0.01440922190201729,0.006526315789473684,0.0893371757925072,0.011105263157894736,0.30403458213256485,0.8238451848762147,5.928604616256528,0.00703718598822638,0.0
deeplift,all,0.016,0.2795877659574459,0.4021999043519828,0.3298686016817656,0.2660035277763628,0.042662116040955635,5.1331058020477816,0.5532690882274262,0.7070534698452733,0.48976109215017066,0.13725490196078433,0.28020477815699657,0.39263510282161646,0.18464163822525598,0.517455762792922,0.0552901023890785,0.7747489239598279,0.031245733788395905,0.8756575801052128,0.7330490153295988,3.2487618883288305,0.34014882678903885,0.0
deeplift,predicted,0.016,0.2796571944068548,0.4438081603435902,0.34311012727804463,0.28672060792011783,0.015151515151515152,5.598484848484849,0.6078634293560806,0.7584175084102656,0.5303030303030303,0.15032211882605584,0.29797979797979796,0.42233357193987114,0.19545454545454546,0.5540443808160344,0.05757575757575758,0.816034359341446,0.03232323232323232,0.9162491052254832,0.7191751791644604,3.0777046818900717,0.3676161658321004,0.0
deeplift,not_predicted,0.016,0.2793931731984794,0.31844380403457756,0.297643097638115,0.22519174247289372,0.1,4.163157894736842,0.43948298776980943,0.5999999999940262,0.4052631578947368,0.11095100864553314,0.2431578947368421,0.33285302593659943,0.16210526315789472,0.4438040345821326,0.05052631578947368,0.69164265129683,0.029,0.7939481268011528,0.7619650107053608,3.6052811185906637,0.28290110962560555,0.0
gradient_x_input,all,0.016,0.29953588004284076,0.40124342419894593,0.34300899427147347,0.27430654399546694,0.04607508532423208,4.779863481228669,0.5532192541972258,0.6988054607440962,0.5051194539249146,0.14155906264945003,0.2880546075085324,0.4036346245815399,0.1861774744027304,0.5217599234815877,0.05590443686006826,0.7833572453371592,0.031399317406143344,0.8799617407938786,0.7402580927991453,3.283878969435101,0.34721953141089507,0.0
gradient_x_input,predicted,0.016,0.29927360774818257,0.4423765211166754,0.3570190641199674,0.29300656982757634,0.010101010101010102,5.2146464646464645,0.6044999332842909,0.7537878787806703,0.5429292929292929,0.15390121689334288,0.3055555555555556,0.4330708661417323,0.19545454545454546,0.5540443808160344,0.05808080808080808,0.82319255547602,0.032474747474747476,0.9205440229062276,0.7269345956980016,3.1282841961471655,0.3688990827121198,0.0
gradient_x_input,not_predicted,0.016,0.3002717391304307,0.31844380403457756,0.30909090908590914,0.23729575832525104,0.12105263157894737,3.873684210526316,0.44633952304734303,0.5842105263099736,0.4263157894736842,0.11671469740634005,0.25157894736842107,0.34438040345821325,0.1668421052631579,0.45677233429394815,0.05136842105263158,0.7031700288184438,0.029157894736842105,0.7982708933717579,0.7680270657046874,3.608171233761535,0.3020347823830796,0.0
integrated_gradient,all,0.012,0.2843478260869553,0.3127690100430401,0.2978820314229307,0.22209976620769808,0.051194539249146756,3.9249146757679183,0.47608861795852736,0.6129124004491273,0.4283276450511945,0.12003825920612148,0.26552901023890785,0.3720707795313247,0.17559726962457337,0.4921090387374462,0.05477815699658703,0.7675753228120517,0.03061433447098976,0.8579626972740315,0.8652875808935613,3.69122659061707,0.3306374028482488,0.0
integrated_gradient,predicted,0.012,0.27542126670540223,0.3392984967788093,0.3040410519514343,0.2240162129063631,0.017676767676767676,4.345959595959596,0.5134071070592326,0.6355218855158109,0.43434343434343436,0.1231209735146743,0.2777777777777778,0.3937007874015748,0.18232323232323233,0.5168217609162491,0.05656565656565657,0.8017179670722978,0.031464646464646466,0.8919112383679313,0.8591574560634955,3.5628674580205733,0.3444566327386362,0.0
integrated_gradient,not_predicted,0.012,0.31088082901553865,0.2593659942363075,0.28279654359283685,0.2225831104915029,0.12105263157894737,3.0473684210526315,0.39830903014863606,0.5657894736785657,0.41578947368421054,0.1138328530259366,0.24,0.3285302593659942,0.16157894736842104,0.4423631123919308,0.05105263157894737,0.6988472622478387,0.028842105263157895,0.7896253602305475,0.8780640515920141,3.958754045923451,0.3018352184451255,0.0
grad_attention,all,0.043000000000000003,0.4192355117139317,0.48780487804877815,0.4509283819578913,0.4093820848591621,0.010238907849829351,4.151877133105802,0.6690605872094115,0.8061717861127867,0.6040955631399317,0.16929698708751795,0.3477815699658703,0.48732663797226206,0.22389078498293516,0.6274509803921569,0.061160409556313994,0.8570062171209948,0.032713310580204776,0.9167862266857962,0.2512526980778595,1.961202068518006,0.484310147436182,0.0
grad_attention,predicted,0.043000000000000003,0.43211334120424777,0.5239799570508195,0.47363312843244204,0.43825190305336414,0.0,4.277777777777778,0.7165040662158281,0.8470117845036818,0.6313131313131313,0.17895490336435219,0.36363636363636365,0.5153901216893343,0.23434343434343435,0.6642806012884753,0.06343434343434344,0.8990694345025053,0.033535353535353536,0.9506084466714388,0.21477913726284711,1.7674532645195316,0.5027446624648877,0.0
grad_attention,not_predicted,0.043000000000000003,0.38971583220567807,0.414985590778092,0.4019539427723894,0.34985109901583794,0.031578947368421054,3.889473684210526,0.5701783888591959,0.7210526315717632,0.5473684210526316,0.14985590778097982,0.31473684210526315,0.430835734870317,0.20210526315789473,0.553314121037464,0.05642105263157895,0.7723342939481268,0.031,0.8487031700288185,0.3272712774607275,2.36501536527272,0.44588873716582694,0.0
atgrad_attention,all,0.034,0.4059687351965874,0.40985174557627735,0.4079009995190343,0.3601484171256186,0.09726962457337884,3.6023890784982937,0.5923675513869908,0.7278156996516824,0.5648464163822525,0.15829746532759445,0.3180887372013652,0.44571975131516023,0.20051194539249148,0.5619320899091343,0.0562457337883959,0.7881396461023433,0.030716723549488054,0.860832137733142,0.592915471726103,2.4401587164905885,0.45256862177165436,0.0
atgrad_attention,predicted,0.034,0.39608801955989975,0.46385110952039754,0.42729970325912314,0.3840348011005675,0.025252525252525252,4.1313131313131315,0.6523262126443179,0.7954545454469655,0.5883838383838383,0.16678596993557623,0.33181818181818185,0.47029348604151755,0.20833333333333334,0.5905511811023622,0.058383838383838385,0.8274874731567645,0.03159090909090909,0.8954903364352184,0.5533739549915418,2.174448925379072,0.4667263438228731,0.0
