explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004160166406656245,0.0038259206121472795,0.0039860488241068946,0.00045765358315834597,0.9539249146757679,3.281569965870307,0.004835039817949137,0.009385665528920648,0.0,0.0,0.00034129692832764505,0.00047824007651841227,0.0010238907849829352,0.0028694404591104736,0.0010238907849829352,0.014347202295552367,0.0010238907849829352,0.028694404591104734,0.9653678818992983,7.641847962406005,0.0004209447029780279,0.0
random,predicted,0.002,0.006925207756232591,0.0036023054755042966,0.0047393364883890916,0.00045249665354599915,0.9545454545454546,1.8232323232323233,0.005050505050472783,0.008838383838301767,0.0,0.0,0.000505050505050505,0.0007204610951008645,0.00101010101010101,0.002881844380403458,0.0008585858585858586,0.012247838616714697,0.0010606060606060607,0.03025936599423631,0.9654059548762681,7.626588706080371,0.00043127829051582716,0.0
random,not_predicted,0.002,0.0024979184013322023,0.004267425320056838,0.0031512604995437015,0.0004681884901553813,0.9526315789473684,6.321052631578947,0.004385964912268275,0.010526315789368421,0.0,0.0,0.0,0.0,0.0010526315789473684,0.002844950213371266,0.0013684210526315789,0.01849217638691323,0.0009473684210526315,0.025604551920341393,0.9652885297999295,7.673651465063644,0.000399407331057141,0.0
laat,all,0.047,0.45649948822927094,0.42659014825442165,0.4410383189072408,0.38749595163810396,0.14675767918088736,3.3344709897610922,0.5997151928430198,0.7181456200158499,0.5563139931740614,0.1559062649450024,0.3337883959044369,0.46771879483500717,0.2150170648464164,0.6025824964131994,0.0579863481228669,0.8125298900047824,0.03098976109215017,0.8684839789574367,0.4947433901369247,2.1997846890444896,0.489668219631591,0.0
laat,predicted,0.047,0.45128849780012287,0.5172910662824171,0.48204095333506697,0.4322519493480995,0.04292929292929293,4.017676767676767,0.7018262181100171,0.827861952854086,0.5909090909090909,0.1685878962536023,0.35505050505050506,0.5064841498559077,0.22803030303030303,0.6505763688760807,0.0595959595959596,0.8501440922190202,0.031641414141414144,0.9027377521613833,0.41563094849428067,1.7984005675596197,0.524029952330137,0.0
laat,not_predicted,0.047,0.4793388429751934,0.24751066856329662,0.3264540337666095,0.30226964612642915,0.3631578947368421,1.9105263157894736,0.3868943191286463,0.4894736842056315,0.4842105263157895,0.13086770981507823,0.2894736842105263,0.3911806543385491,0.18789473684210525,0.5078236130867709,0.05463157894736842,0.7382645803698435,0.029631578947368422,0.8008534850640113,0.6596303737710667,3.0363537001392698,0.41805113463883153,0.0
attention_rollout,all,0.003,0.01550308704796797,0.21855571496891335,0.028952453354903526,0.0032266568555629907,0.0,50.303754266211605,0.23366465256277563,0.31513083048609114,0.0,0.0,0.005119453924914676,0.007173601147776184,0.004436860068259386,0.012434241989478718,0.008498293515358362,0.11908177905308465,0.012184300341296929,0.34146341463414637,0.772024016682419,5.549663134345936,0.0035131510013574493,0.0
attention_rollout,predicted,0.003,0.016909074685464435,0.2730547550432257,0.031846063354922204,0.0034973034238426387,0.0,56.601010101010104,0.28857419936813933,0.3678451178415137,0.0,0.0,0.005555555555555556,0.00792507204610951,0.005303030303030303,0.015129682997118156,0.009494949494949495,0.13544668587896252,0.01255050505050505,0.3580691642651297,0.7449936233319054,5.3946488484668,0.004558016369610573,0.0
attention_rollout,not_predicted,0.003,0.011041902604756496,0.1109530583214778,0.02008497489213495,0.002728657475429147,0.0,37.17894736842105,0.11922159711580711,0.2052631578926842,0.0,0.0,0.004210526315789474,0.005689900426742532,0.002631578947368421,0.007112375533428165,0.006421052631578947,0.08677098150782361,0.011421052631578948,0.30867709815078237,0.8283610470340157,5.872745540704556,0.0013354316022614675,0.0
deeplift,all,0.019,0.3106929784304713,0.32376853180296356,0.31709601873036364,0.23626185307884728,0.07508532423208192,3.718430034129693,0.4620266418233669,0.6289817974910721,0.44197952218430037,0.12386417981826878,0.26075085324232083,0.36537541846006694,0.1779863481228669,0.49880439980870395,0.05416382252559727,0.7589670014347202,0.030477815699658704,0.8541367766618843,0.7389203620466799,3.372977016427371,0.3211072933379242,0.0
deeplift,predicted,0.019,0.31823821339950176,0.36959654178674084,0.3419999999950256,0.26278594460682725,0.04292929292929293,4.070707070707071,0.5119140364375703,0.6858164983099452,0.4722222222222222,0.13472622478386168,0.2813131313131313,0.40129682997118155,0.1904040404040404,0.5432276657060519,0.05621212121212121,0.8018731988472623,0.03111111111111111,0.8876080691642652,0.7244298556950419,3.2063041737327245,0.3362253740080266,0.0
deeplift,not_predicted,0.019,0.2892416225749508,0.23328591749644048,0.25826771653048636,0.18623325588600775,0.14210526315789473,2.9842105263157896,0.3580508088379747,0.5105263157843684,0.37894736842105264,0.10241820768136557,0.21789473684210525,0.29445234708392604,0.15210526315789474,0.41109530583214793,0.04989473684210526,0.6742532005689901,0.029157894736842105,0.7880512091038406,0.7691216279164091,3.7203583096225303,0.28959803046760557,0.0
