explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.00229946524064171,0.020564323290291626,0.004136405173507087,0.00045765358315834597,0.1689419795221843,31.911262798634812,0.025548877553861087,0.046928327644603245,0.0034129692832764505,0.0009564801530368245,0.0013651877133105802,0.001912960306073649,0.0011945392491467576,0.003347680535628886,0.0009897610921501705,0.013868962219033954,0.0011604095563139932,0.032520325203252036,0.9653859828801051,7.688569755711271,0.0005789361034946432,0.0
random,predicted,0.001,0.0017215407789972013,0.01731601731601719,0.003131728320922987,0.0004622298823281412,0.1446700507614213,35.38324873096447,0.022307366913825347,0.04187817258844543,0.0025380710659898475,0.0007215007215007215,0.0010152284263959391,0.001443001443001443,0.0010152284263959391,0.002886002886002886,0.0008121827411167512,0.011544011544011544,0.0011928934010152284,0.03391053391053391,0.9652819994335279,7.700940931231879,0.0004350872812581045,0.0
random,not_predicted,0.001,0.003992435385585198,0.026950354609928697,0.0069546120036089185,0.0004489159158202999,0.21875,24.786458333333332,0.032200727513101095,0.05729166666609375,0.005208333333333333,0.0014184397163120568,0.0020833333333333333,0.0028368794326241137,0.0015625,0.00425531914893617,0.0013541666666666667,0.018439716312056736,0.00109375,0.029787234042553193,0.9655993655777683,7.663183072611688,0.0008741258741258741,0.0
laat,all,0.043000000000000003,0.4479726428920349,0.4385461501673819,0.4432092798403343,0.38996017973663355,0.15017064846416384,3.493174061433447,0.620302772688184,0.7150170648395194,0.5494880546075085,0.15399330463892874,0.3320819112627986,0.4653275944524151,0.2143344709897611,0.6006695361071258,0.05863481228668942,0.8216164514586323,0.031621160409556315,0.8861788617886179,0.5047056067247983,2.1601769343888586,0.4828574178410137,0.0
laat,predicted,0.043000000000000003,0.4435096153846127,0.5324675324675286,0.4839344262245466,0.4376682236359385,0.048223350253807105,4.223350253807107,0.734388721820946,0.8324873096367217,0.5888324873096447,0.1673881673881674,0.3604060913705584,0.5122655122655123,0.23248730964467004,0.6608946608946609,0.06116751269035533,0.8694083694083694,0.03266497461928934,0.9285714285714286,0.4244577010008914,1.7294409620479227,0.5230051218073837,0.0
laat,not_predicted,0.043000000000000003,0.4673629242819721,0.2539007092198545,0.3290441176424907,0.2955724241314674,0.359375,1.9947916666666667,0.38618889790532823,0.47395833332859366,0.46875,0.1276595744680851,0.27395833333333336,0.3730496453900709,0.17708333333333334,0.48226950354609927,0.0534375,0.7276595744680852,0.029479166666666667,0.8028368794326242,0.6693809965957317,3.044083044296821,0.40047098366002537,0.0
attention_rollout,all,0.003,0.014947787517898922,0.20468675274987946,0.027860955603470433,0.0025587476073778686,0.0,48.8617747440273,0.22276273925047949,0.2974971558559935,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.0046075085324232086,0.01291248206599713,0.00832764505119454,0.11669057867049258,0.012013651877133106,0.3366810138689622,0.7747226360964077,5.5686749904033075,0.005032114396622415,0.0
attention_rollout,predicted,0.003,0.01631999999999999,0.25757575757575574,0.030695154979318646,0.003114310810613325,0.0,55.52030456852792,0.28132135419418963,0.35363790185777216,0.0,0.0,0.006091370558375634,0.008658008658008658,0.005583756345177665,0.015873015873015872,0.009593908629441624,0.13636363636363635,0.012868020304568527,0.3658008658008658,0.7485099265988769,5.389318409234178,0.0047663557737263945,0.0
attention_rollout,not_predicted,0.003,0.010506066883693385,0.1007092198581546,0.019027200855853087,0.0015341709599714962,0.0,35.197916666666664,0.10259558150140768,0.18229166666484375,0.005208333333333333,0.0014184397163120568,0.0020833333333333333,0.0028368794326241137,0.0026041666666666665,0.0070921985815602835,0.005729166666666666,0.07801418439716312,0.010260416666666666,0.2794326241134752,0.8285133003777988,5.936729641344123,0.005577473237356959,0.0
deeplift,all,0.019,0.30340557275541663,0.32807269249162924,0.3152573529361827,0.23902772151792345,0.07167235494880546,3.858361774744027,0.4885964291650772,0.6413538111428095,0.4232081911262799,0.11860353897656624,0.257679180887372,0.36107125777140125,0.17303754266211605,0.48493543758967,0.0541296928327645,0.7584887613582019,0.030204778156996587,0.8464849354375896,0.7340062537481912,3.3288138787871,0.3110070178301223,0.0
deeplift,predicted,0.019,0.3040421792618611,0.37445887445887177,0.33559650823947457,0.26004318866138626,0.03553299492385787,4.33248730964467,0.5546559968479435,0.716582064290911,0.4467005076142132,0.12698412698412698,0.27766497461928935,0.39466089466089466,0.1870558375634518,0.5317460317460317,0.056395939086294415,0.8015873015873016,0.03126903553299493,0.8888888888888888,0.7176559637896519,3.1241510988628605,0.3388210839765633,0.0
