explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0019137738557227144,0.017216642754662757,0.003444646443515622,0.00045765358315834597,0.1945392491467577,32.100682593856654,0.021330380843933718,0.04479522184256719,0.0017064846416382253,0.00047824007651841227,0.0010238907849829352,0.0014347202295552368,0.0017064846416382253,0.004782400765184123,0.0010921501706484642,0.015303682448589193,0.0011433447098976109,0.03204208512673362,0.9654084335503693,7.697876335428661,0.0010455724565568388,0.0
random,predicted,0.001,0.0015863423477866737,0.015217391304347716,0.0028731700625944383,0.00045318649215264574,0.18434343434343434,33.42929292929293,0.019068662818566028,0.04103535353496054,0.0,0.0,0.0,0.0,0.0017676767676767678,0.005072463768115942,0.0009090909090909091,0.013043478260869565,0.0010606060606060607,0.030434782608695653,0.965418505834272,7.728492097818814,0.00019619054025269342,0.0
random,not_predicted,0.001,0.0026915485375919564,0.021097046413501814,0.00477402927870605,0.0004665801316923997,0.21578947368421053,29.33157894736842,0.026044277359963217,0.0526315789468421,0.005263157894736842,0.0014064697609001407,0.003157894736842105,0.004219409282700422,0.0015789473684210526,0.004219409282700422,0.0014736842105263158,0.01969057665260197,0.0013157894736842105,0.035161744022503515,0.965387440790235,7.634066641183925,0.002815863187380215,0.0
laat,all,0.039,0.40808510638297696,0.45863223338115516,0.4318847106457694,0.3861656806839723,0.13993174061433447,4.010238907849829,0.6280348656805006,0.7286689419724887,0.5665529010238908,0.15877570540411287,0.3293515358361775,0.4615016738402678,0.21160409556313994,0.5930176948828312,0.05856655290102389,0.8206599713055954,0.031569965870307165,0.8847441415590627,0.4939685156163991,2.1756629498205164,0.47482325031398537,0.0
laat,predicted,0.039,0.39297124600638766,0.5347826086956483,0.4530386740282632,0.4210263183125604,0.047979797979797977,4.742424242424242,0.7137489719834705,0.8131313131235564,0.5909090909090909,0.16956521739130434,0.347979797979798,0.49927536231884057,0.22247474747474746,0.6384057971014493,0.060505050505050506,0.8681159420289855,0.03232323232323232,0.927536231884058,0.41254317580157895,1.810834769983063,0.4912794686150172,0.0
laat,not_predicted,0.039,0.46822033898304094,0.3108298171589267,0.3736263736215714,0.3337085338514018,0.33157894736842103,2.4842105263157896,0.4493886230701,0.552631578941842,0.5157894736842106,0.13783403656821377,0.2905263157894737,0.3881856540084388,0.18894736842105264,0.5049226441631505,0.05452631578947369,0.7285513361462729,0.03,0.8016877637130801,0.6636760659672871,2.936041682534367,0.4405250269076242,0.0
attention_rollout,all,0.003,0.01552180763686345,0.2214251554280238,0.0290100250614323,0.0027298923350499043,0.0,50.90273037542662,0.24382176886316267,0.3250853242288609,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.004095563139931741,0.011477761836441894,0.008634812286689419,0.1209947393591583,0.012116040955631398,0.3395504543280727,0.7634684836993109,5.555408184827634,0.0031475335134119576,0.0
attention_rollout,predicted,0.003,0.01611692497902591,0.26449275362318647,0.030382486368418216,0.0028008749127309837,0.0,57.18939393939394,0.2974449582387969,0.37752525252152147,0.0025252525252525255,0.0007246376811594203,0.005050505050505051,0.007246376811594203,0.004545454545454545,0.013043478260869565,0.009191919191919192,0.1318840579710145,0.01207070707070707,0.3463768115942029,0.7337026319088314,5.410278512699004,0.0038967262293199004,0.0
attention_rollout,not_predicted,0.003,0.013645224171539941,0.13783403656821183,0.02483212973356904,0.0025984269265570317,0.0,37.8,0.1320597531118408,0.21578947368205265,0.0,0.0,0.004210526315789474,0.005625879043600563,0.003157894736842105,0.008438818565400843,0.0074736842105263155,0.09985935302390998,0.012210526315789474,0.3263009845288326,0.8255067853257838,5.857888975158885,0.0015860581686775077,0.0
deeplift,all,0.016,0.25356679636835194,0.3739837398373966,0.30222222221740513,0.22375761684694492,0.03754266211604096,5.262798634812286,0.5253310540395136,0.690557451642905,0.4044368600682594,0.1133428981348637,0.25426621160409557,0.3562888570062171,0.17286689419795223,0.4844571975131516,0.05453924914675768,0.7642276422764228,0.030426621160409555,0.852702056432329,0.7311109789756539,3.4002304940161436,0.2989686154548327,0.0
deeplift,predicted,0.016,0.2467532467532457,0.41304347826086657,0.30894308942621024,0.23319607656522334,0.017676767676767676,5.833333333333333,0.5793665929994458,0.7365319865249302,0.4393939393939394,0.12608695652173912,0.26161616161616164,0.3753623188405797,0.1808080808080808,0.518840579710145,0.05606060606060606,0.8043478260869565,0.03095959595959596,0.8884057971014493,0.7138880801139456,3.23386857988692,0.32210899008070343,0.0
deeplift,not_predicted,0.016,0.27390180878552617,0.2981715893108256,0.28552188551689067,0.20843004501189036,0.07894736842105263,4.073684210526316,0.4127096149440767,0.5947368420993157,0.33157894736842103,0.08860759493670886,0.23894736842105263,0.31926863572433195,0.1563157894736842,0.4177215189873418,0.05136842105263158,0.6863572433192686,0.02931578947368421,0.7834036568213784,0.7670071260768981,3.7469637466223142,0.2507392030767021,0.0
gradient_x_input,all,0.018000000000000002,0.28321820398211994,0.33333333333333176,0.3062390158122549,0.21899665569486532,0.06655290102389079,4.199658703071672,0.474689102608583,0.6282707622237086,0.4112627986348123,0.11525585844093734,0.25358361774744026,0.3553323768531803,0.17252559726962458,0.4835007173601148,0.05447098976109215,0.763271162123386,0.030477815699658704,0.8541367766618843,0.7350306727168681,3.431610950207419,0.29492977151255495,0.0
gradient_x_input,predicted,0.018000000000000002,0.27355460385438823,0.3702898550724611,0.31465517240890406,0.22304207313624197,0.03282828282828283,4.717171717171717,0.5290024895106014,0.6771885521820535,0.43434343434343436,0.1246376811594203,0.26212121212121214,0.3760869565217391,0.18005050505050504,0.5166666666666667,0.05585858585858586,0.8014492753623188,0.030984848484848483,0.8891304347826087,0.7172119878669719,3.281220621172669,0.3109056399256472,0.0
gradient_x_input,not_predicted,0.018000000000000002,0.3136593591905512,0.26160337552742247,0.28527607361466845,0.21564567319987904,0.1368421052631579,3.1210526315789475,0.3614885699075341,0.5263157894684208,0.3631578947368421,0.0970464135021097,0.23578947368421052,0.3150492264416315,0.1568421052631579,0.4191279887482419,0.05157894736842105,0.6891701828410689,0.02942105263157895,0.7862165963431786,0.772168563246125,3.7450560570377394,0.26163269839895226,0.0
integrated_gradient,all,0.012,0.32011070110700957,0.3318986131037765,0.32589809814010456,0.2583379192487771,0.059726962457337884,3.6996587030716723,0.5058754669644809,0.6471843003350302,0.43856655290102387,0.12290769966523195,0.2737201365187713,0.3835485413677666,0.1848122866894198,0.5179340028694405,0.05614334470989761,0.7867049258727882,0.031177474402730377,0.8737446197991392,0.8612414716854052,3.688514055881383,0.34890101399055884,0.0
integrated_gradient,predicted,0.012,0.33333333333333115,0.3688405797101423,0.3501891984814225,0.277353670140559,0.025252525252525252,3.856060606060606,0.5593015850556904,0.7026515151447923,0.4621212121212121,0.13260869565217392,0.2873737373737374,0.41231884057971013,0.1952020202020202,0.5601449275362319,0.05853535353535354,0.8398550724637681,0.032095959595959594,0.9210144927536232,0.8589334721811385,3.5381086591996334,0.37238517942864036,0.0
integrated_gradient,not_predicted,0.012,0.28861154446177395,0.2601969057665224,0.2736686390482638,0.21909982233850162,0.13157894736842105,3.373684210526316,0.3945241892585919,0.5315789473631052,0.3894736842105263,0.10407876230661041,0.24526315789473685,0.32770745428973275,0.1631578947368421,0.4360056258790436,0.051157894736842104,0.6835443037974683,0.02926315789473684,0.7819971870604782,0.8660518285469293,4.001990566860187,0.2999550691827679,0.0
grad_attention,all,0.04,0.40688259109311575,0.480631276901002,0.4406928305146555,0.3958642799066748,0.015358361774744027,4.215017064846417,0.6618107338204686,0.8001990898670999,0.5563139931740614,0.1559062649450024,0.33549488054607507,0.4701099952175992,0.2197952218430034,0.615973218555715,0.06088737201365188,0.8531802965088474,0.03261092150170648,0.9139167862266858,0.2604309810092617,2.0567271446855977,0.45850032896868226,0.0
grad_attention,predicted,0.04,0.41149425287356084,0.5188405797101412,0.4589743589694226,0.42194439581303855,0.0,4.393939393939394,0.7037055817317247,0.8331228956149256,0.5732323232323232,0.1644927536231884,0.3484848484848485,0.5,0.2292929292929293,0.6579710144927536,0.06222222222222222,0.8927536231884058,0.03323232323232323,0.9536231884057971,0.21817567707403704,1.8474955644691227,0.4808935788685215,0.0
grad_attention,not_predicted,0.04,0.3958904109588987,0.4064697609001349,0.40111034003663304,0.3436149675039131,0.04736842105263158,3.8421052631578947,0.5744930508054293,0.7315789473611053,0.5210526315789473,0.13924050632911392,0.30842105263157893,0.4120956399437412,0.2,0.5344585091420534,0.058105263157894736,0.7763713080168776,0.031315789473684214,0.8368495077355836,0.3484999302637301,2.4928098066104614,0.4118280818090171,0.0
atgrad_attention,all,0.036000000000000004,0.38117283950617087,0.3543758967001418,0.36728624534816473,0.3210391343194136,0.15187713310580206,3.31740614334471,0.5278806541358958,0.6624004550561666,0.5119453924914675,0.14347202295552366,0.29283276450511947,0.4103299856527977,0.19129692832764505,0.5361071257771401,0.05443686006825939,0.7627929220468675,0.029744027303754268,0.8335724533715926,0.6133944715815185,2.660972639929464,0.40073073085424754,0.0
atgrad_attention,predicted,0.036000000000000004,0.3566296538210297,0.3956521739130406,0.3751288217057632,0.3379147145812379,0.06818181818181818,3.8661616161616164,0.5811734877039744,0.7175925925857415,0.5202020202020202,0.1492753623188406,0.29797979797979796,0.427536231884058,0.1967171717171717,0.5644927536231884,0.056666666666666664,0.8130434782608695,0.03058080808080808,0.8775362318840579,0.5708273025203433,2.4107276507775266,0.40754400856347134,0.0
atgrad_attention,not_predicted,0.036000000000000004,0.47215496368037596,0.2742616033755236,0.3469750889633168,0.30566216336213997,0.3263157894736842,2.1736842105263157,0.4168071694361113,0.5473684210471578,0.49473684210526314,0.13220815752461323,0.28210526315789475,0.3769338959212377,0.18,0.4810126582278481,0.04978947368421053,0.6652601969057665,0.028,0.7482419127988749,0.702113413414283,3.1825358804777113,0.3865304257339707,0.0
