explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0025124285026995228,0.022477283596365267,0.0045196653506291195,0.00045765358315834597,0.1962457337883959,31.923208191126278,0.029198186151936683,0.05588737201310899,0.0017064846416382253,0.00047824007651841227,0.0006825938566552901,0.0009564801530368245,0.0006825938566552901,0.001912960306073649,0.0009897610921501705,0.013868962219033954,0.0009215017064846416,0.02582496413199426,0.9654628159250258,7.6795067811493,0.00047307861420092546,0.0
random,predicted,0.001,0.0018806890844805524,0.018518518518518382,0.0034146008314887098,0.0004494094759486002,0.18112244897959184,33.910714285714285,0.02648100907011071,0.04464285714242985,0.0,0.0,0.0,0.0,0.00025510204081632655,0.0007407407407407407,0.000663265306122449,0.00962962962962963,0.0007653061224489796,0.022222222222222223,0.9653995958841035,7.706098385636582,0.0,0.0
random,not_predicted,0.001,0.004063538973032871,0.029689608636976658,0.007148659624202119,0.00047347758744957876,0.2268041237113402,27.90721649484536,0.03468856458531701,0.078608247421904,0.005154639175257732,0.001349527665317139,0.002061855670103093,0.002699055330634278,0.0015463917525773195,0.004048582995951417,0.0016494845360824743,0.021592442645074223,0.0012371134020618556,0.032388663967611336,0.9655905595128694,7.625775291669845,0.0014289900408337233,0.0
laat,all,0.045,0.4181478016838147,0.4275466284074585,0.42279498698956003,0.36227620998030285,0.14334470989761092,3.6484641638225255,0.6026480132459888,0.7263936291170241,0.5409556313993175,0.1516021042563367,0.3126279863481229,0.4380679100908656,0.20170648464163823,0.5652797704447633,0.055494880546075084,0.7776183644189383,0.03061433447098976,0.8579626972740315,0.4837925172740609,2.2554889756579612,0.4356696306011424,0.0
laat,predicted,0.045,0.40046430644224956,0.5111111111111073,0.4490725675186633,0.40071509118652,0.058673469387755105,4.395408163265306,0.6863846293972484,0.8052721088358958,0.548469387755102,0.15925925925925927,0.32602040816326533,0.47333333333333333,0.21045918367346939,0.6111111111111112,0.057091836734693875,0.8288888888888889,0.0313265306122449,0.9096296296296297,0.41174760160674573,1.9335375621978044,0.4515688717718177,0.0
laat,not_predicted,0.045,0.4915662650602291,0.2753036437246926,0.3529411764659797,0.30132383923107603,0.31443298969072164,2.1391752577319587,0.4334482527754024,0.5670103092727061,0.5257731958762887,0.13765182186234817,0.28556701030927834,0.3738191632928475,0.18402061855670104,0.4817813765182186,0.0522680412371134,0.6842105263157895,0.029175257731958764,0.7638326585695007,0.6293678107873989,2.90602997605168,0.4035433288542106,0.0
attention_rollout,all,0.003,0.015320055951508687,0.2199904351984686,0.028645265745894762,0.002805046854052919,0.0,51.23890784982935,0.24081787808199917,0.3088737201334641,0.0,0.0,0.004436860068259386,0.006217120994739359,0.004266211604095563,0.011956001912960305,0.008020477815699659,0.11238641798182687,0.011296928327645051,0.3165949306551889,0.7600370881789256,5.5639265701365845,0.0027399796185323807,0.0
attention_rollout,predicted,0.003,0.01638484729322322,0.27777777777777574,0.030944423813776597,0.0031392307420659397,0.0,58.38520408163265,0.3024691188897087,0.37627551020036354,0.0,0.0,0.004591836734693878,0.006666666666666667,0.004846938775510204,0.014074074074074074,0.008724489795918368,0.12666666666666668,0.011428571428571429,0.33185185185185184,0.731254406229567,5.4382873749764835,0.003301200981894651,0.0
attention_rollout,not_predicted,0.003,0.011906429471914818,0.11470985155195526,0.021573604059209796,0.002174725472472224,0.0,36.79896907216495,0.11624423686229746,0.1726804123694201,0.0,0.0,0.004123711340206186,0.005398110661268556,0.003092783505154639,0.008097165991902834,0.006597938144329897,0.08636977058029689,0.011030927835051546,0.28879892037786775,0.8181959094374232,5.817795459326068,0.0016059653173055234,0.0
deeplift,all,0.019,0.30588235294117516,0.3357245337159238,0.3201094391194964,0.2621005459969011,0.06484641638225255,3.916382252559727,0.48166343515885063,0.6568543799708854,0.44368600682593856,0.12434241989478718,0.26996587030716723,0.3782879005260641,0.18003412969283278,0.5045432807269249,0.0547098976109215,0.7666188426590148,0.030409556313993173,0.8522238163558106,0.7297288828217028,3.290841266510503,0.3047155906466756,0.0
