explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0042083114150446915,0.0038259206121472795,0.004008016027075434,0.00045765358315834597,0.9522184300341296,3.244027303754266,0.005119453924894055,0.008532423208105802,0.0,0.0,0.0013651877133105802,0.001912960306073649,0.0010238907849829352,0.0028694404591104736,0.0008191126279863481,0.011477761836441894,0.0007167235494880546,0.020086083213773313,0.965386286843751,7.731794138655984,0.00036627153634043966,0.0
random,predicted,0.002,0.0013661202185792163,0.0007082152974504199,0.0009328358163984793,0.0004611133208845767,0.9595959595959596,1.8484848484848484,0.0008417508417480359,0.0025252525252272727,0.0,0.0,0.0015151515151515152,0.002124645892351275,0.00101010101010101,0.0028328611898017,0.0008585858585858586,0.012039660056657223,0.0006818181818181819,0.019121813031161474,0.9653879973828525,7.74544393027818,0.0002614242656171377,0.0
random,not_predicted,0.002,0.005988023952095757,0.010309278350515313,0.007575757571109021,0.00045062264236091085,0.9368421052631579,6.152631578947369,0.014035087719240497,0.021052631578736842,0.0,0.0,0.0010526315789473684,0.0014727540500736377,0.0010526315789473684,0.0029455081001472753,0.0007368421052631579,0.010309278350515464,0.0007894736842105263,0.022091310751104567,0.96538272172015,7.703345099274987,0.0005847953216374269,0.0
laat,all,0.047,0.4569128787878766,0.4615016738402656,0.45919581250986824,0.4115713468459803,0.12116040955631399,3.6040955631399316,0.6460223839451792,0.7525597269551849,0.5887372013651877,0.1649928263988522,0.34744027303754266,0.4868483978957437,0.21945392491467577,0.6150167384026781,0.06075085324232082,0.8512673362027738,0.0324061433447099,0.9081779053084649,0.46911279589319793,2.019473827261435,0.5029911014789222,0.0
laat,predicted,0.047,0.44880046811000324,0.543201133144472,0.49150913168360355,0.44804338065425386,0.03787878787878788,4.315656565656566,0.7397643111615679,0.8459595959515108,0.6085858585858586,0.1706798866855524,0.37424242424242427,0.5247875354107648,0.2398989898989899,0.6728045325779037,0.06424242424242424,0.9008498583569405,0.03386363636363637,0.9497167138810199,0.39436123305371906,1.642955870373262,0.5255321404739559,0.0
laat,not_predicted,0.047,0.4913151364764146,0.29160530191457595,0.36598890942230566,0.33688208949078735,0.29473684210526313,2.1210526315789475,0.4506444724836529,0.5578947368365262,0.5473684210526316,0.15316642120765833,0.29157894736842105,0.40795287187039764,0.17684210526315788,0.4948453608247423,0.05347368421052632,0.748159057437408,0.02936842105263158,0.8217967599410898,0.6249107900217963,2.804216516354681,0.4560108307313782,0.0
attention_rollout,all,0.003,0.015906983379698973,0.21329507412721083,0.02960602741415519,0.0035967324799451735,0.0,47.846416382252556,0.21857655285445016,0.29977246871149216,0.0017064846416382253,0.00047824007651841227,0.0061433447098976105,0.00860832137733142,0.0046075085324232086,0.01291248206599713,0.008020477815699659,0.11238641798182687,0.012064846416382252,0.3381157340985175,0.7583537187844507,5.569554073548243,0.0034962329342835725,0.0
attention_rollout,predicted,0.003,0.01745527986151182,0.25708215297450243,0.03269092218901094,0.004176381270186166,0.0,52.515151515151516,0.2579309263955346,0.34006734006400113,0.0025252525252525255,0.000708215297450425,0.0065656565656565654,0.009206798866855524,0.005303030303030303,0.014872521246458924,0.009141414141414141,0.1281869688385269,0.012803030303030302,0.3590651558073654,0.7323743734336526,5.420781239660553,0.004532981048132563,0.0
attention_rollout,not_predicted,0.003,0.01146092239712785,0.12223858615611014,0.02095694987849813,0.0025399025565595087,0.0,38.11578947368421,0.13655375326355848,0.21578947368205265,0.0,0.0,0.005263157894736842,0.007363770250368188,0.003157894736842105,0.008836524300441826,0.00568421052631579,0.07952871870397643,0.010526315789473684,0.29455081001472755,0.8125001438313771,5.879627979966795,0.0013354316022614675,0.0
deeplift,all,0.017,0.2858181818181808,0.3758967001434702,0.32472629621488064,0.23898862189806602,0.05460750853242321,4.69283276450512,0.5254308570617281,0.6882821387874235,0.46245733788395904,0.12960306073648972,0.2737201365187713,0.3835485413677666,0.17935153583617747,0.5026303204208513,0.054744027303754265,0.7670970827355332,0.03069965870307167,0.8603538976566236,0.7306019033294047,3.2976584679466945,0.3332070076832751,0.0
deeplift,predicted,0.017,0.2905604719763997,0.41855524079319817,0.3430063842087418,0.26301617043422043,0.025252525252525252,5.136363636363637,0.5774572754652992,0.7344276094205875,0.49242424242424243,0.13810198300283286,0.29343434343434344,0.4114730878186969,0.19217171717171716,0.5389518413597734,0.05797979797979798,0.8130311614730878,0.032045454545454544,0.8987252124645893,0.717005199767893,3.1151967668510916,0.36060956104403263,0.0
deeplift,not_predicted,0.017,0.27234636871508,0.2871870397643551,0.2795698924681178,0.19264109136376786,0.11578947368421053,3.768421052631579,0.4169968481784951,0.5921052631519866,0.4,0.11192930780559647,0.2326315789473684,0.32547864506627394,0.15263157894736842,0.4270986745213549,0.048,0.6715758468335787,0.027894736842105264,0.780559646539028,0.7589402960155021,3.6779470660196365,0.2760943175208541,0.0
gradient_x_input,all,0.018000000000000002,0.3143955574540781,0.35198469631754975,0.33212996389393135,0.26034687224394903,0.07167235494880546,3.9948805460750854,0.5032606235221314,0.6635381114838952,0.4709897610921502,0.13199426111908177,0.2784982935153584,0.3902439024390244,0.1827645051194539,0.5121951219512195,0.055426621160409556,0.7766618842659014,0.031092150170648463,0.8713534194165471,0.7380585947803392,3.296837395683454,0.35411957438076275,0.0
gradient_x_input,predicted,0.018000000000000002,0.31865585168018357,0.38951841359773093,0.3505417463302932,0.2865232353868086,0.030303030303030304,4.358585858585859,0.5547729557166524,0.714225589218744,0.51010101010101,0.14305949008498584,0.3015151515151515,0.4228045325779037,0.19570707070707072,0.5488668555240793,0.05848484848484849,0.8201133144475921,0.032196969696969696,0.9029745042492918,0.7236724925070686,3.116202767527411,0.38010891673913916,0.0
gradient_x_input,not_predicted,0.018000000000000002,0.302439024390239,0.2739322533136926,0.28748068005683164,0.2081345832967514,0.15789473684210525,3.236842105263158,0.3958980785272349,0.5578947368365261,0.3894736842105263,0.10898379970544919,0.2305263157894737,0.3225331369661267,0.15578947368421053,0.43593519882179677,0.04905263157894737,0.6863033873343152,0.028789473684210528,0.8055964653902798,0.7680422605709457,3.6733179891034173,0.29995231346540985,0.0
integrated_gradient,all,0.012,0.31003430531732284,0.3457675753228104,0.3269274248197929,0.268770657523811,0.04948805460750853,3.9795221843003414,0.5250272859455433,0.6837315130764098,0.4778156996587031,0.13390722142515543,0.27986348122866894,0.39215686274509803,0.18327645051194538,0.5136298421807748,0.05730375426621161,0.8029650884744142,0.031092150170648463,0.8713534194165471,0.8503810305077268,3.5295732036767418,0.3747803964736128,0.0
