explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0046948356807511495,0.004304160688665689,0.004491017959081256,0.00045765398382211555,0.9505119453924915,3.2713310580204777,0.006825938566515216,0.011945392491348123,0.0,0.0,0.0013651877133105802,0.001912960306073649,0.0006825938566552901,0.001912960306073649,0.0006825938566552901,0.009564801530368245,0.0009215017064846416,0.02582496413199426,0.9654285846318681,7.68655616497255,0.0007163484979184638,0.0
random,predicted,0.002,0.002932551319648065,0.002063273727647854,0.0024222850173556414,0.00045187668676802817,0.9474940334128878,2.441527446300716,0.004375497215560196,0.007159904534534607,0.0,0.0,0.0019093078758949881,0.002751031636863824,0.0009546539379474941,0.002751031636863824,0.0007637231503579953,0.011004126547455296,0.0008591885441527447,0.024759284731774415,0.9653846239205971,7.696198160868123,0.0010018620997141283,0.0
random,not_predicted,0.002,0.00671140939597308,0.009419152276294985,0.0078380143648338,0.00047141116970653363,0.9580838323353293,5.3532934131736525,0.012974051896156854,0.02395209580814371,0.0,0.0,0.0,0.0,0.0,0.0,0.00047904191616766467,0.006279434850863423,0.0010778443113772455,0.0282574568288854,0.9655388812667337,7.662364570480066,0.0,0.0
laat,all,0.038,0.28809616130282945,0.3553323768531786,0.31820128479162707,0.2656186791057005,0.13310580204778158,4.401023890784983,0.510002618254671,0.6478953356023995,0.44197952218430037,0.12386417981826878,0.25051194539249144,0.3510282161645146,0.16791808873720138,0.47058823529411764,0.053651877133105805,0.7517934002869441,0.029982935153583617,0.8402678144428503,0.502177352004413,2.69829448046736,0.34165681373810186,0.0
laat,predicted,0.038,0.2783647220946244,0.41678129298486644,0.3337923437021642,0.2877423042744401,0.05489260143198091,5.195704057279237,0.5624762568345479,0.7128082736606589,0.45823389021479716,0.13204951856946354,0.2553699284009546,0.36795048143053644,0.1718377088305489,0.4951856946354883,0.05479713603818616,0.7895460797799174,0.030859188544152743,0.8892709766162311,0.43961193862530146,2.4484305486833464,0.34521682598078596,0.0
laat,not_predicted,0.038,0.340796019900489,0.21507064364206885,0.2637151106786001,0.2255419202968114,0.32934131736526945,2.407185628742515,0.378347201697974,0.48502994011491013,0.40119760479041916,0.10518053375196232,0.23832335329341317,0.31240188383045525,0.15808383233532936,0.41444270015698587,0.050778443113772456,0.6656200941915228,0.027784431137724552,0.728414442700157,0.6591528502430225,3.325198596739824,0.33272480697352314,0.0
attention_rollout,all,0.003,0.015698127925117,0.230989956958392,0.029398338353596905,0.002447249365081556,0.0,52.50511945392491,0.25170622892331396,0.3239476678011258,0.0,0.0,0.004436860068259386,0.006217120994739359,0.0037542662116040954,0.010521281683405069,0.00856655290102389,0.12003825920612148,0.01204778156996587,0.33763749402199905,0.7568397463608051,5.514258817662916,0.002421206248775769,0.0
attention_rollout,predicted,0.003,0.016468660385088072,0.2764786795048124,0.031085678934911622,0.0027395107173966557,0.0,58.25775656324582,0.30019913128339565,0.3743038981665625,0.0,0.0,0.005250596658711217,0.007565337001375516,0.00477326968973747,0.013755158184319119,0.00964200477326969,0.13892709766162312,0.012410501193317422,0.3576341127922971,0.7305770852145463,5.372017350314128,0.0032170692129118487,0.0
attention_rollout,not_predicted,0.003,0.012739855300408914,0.1271585557299823,0.02315939956946672,0.0017771199187831392,0.0,38.07185628742515,0.13003840803185163,0.1976047904171856,0.0,0.0,0.0023952095808383233,0.0031397174254317113,0.0011976047904191617,0.0031397174254317113,0.005868263473053892,0.07692307692307693,0.011137724550898204,0.29199372056514916,0.8227322913924369,5.871140104005087,0.0004244003686978203,0.0
deeplift,all,0.02,0.3093106535362565,0.3304638928742213,0.31953757224933926,0.2517973163141638,0.07508532423208192,3.8122866894197953,0.4955912309124027,0.665244596125525,0.4522184300341297,0.12673362027737925,0.2665529010238908,0.37350549976088,0.17918088737201365,0.5021520803443329,0.054505119453924916,0.7637494021999044,0.030921501706484642,0.866571018651363,0.7271811410792106,3.2521464521844106,0.32681439469236556,0.0
deeplift,predicted,0.02,0.30274202574146447,0.3720770288858296,0.3338475779031038,0.269764886480293,0.026252983293556086,4.26491646778043,0.545350737829475,0.7191726332468709,0.477326968973747,0.1375515818431912,0.28066825775656323,0.40440165061898214,0.1902147971360382,0.548143053645117,0.0562291169451074,0.8101788170563962,0.031121718377088305,0.8968363136176066,0.71063242088383,3.0772185878529683,0.3472501403358504,0.0
deeplift,not_predicted,0.02,0.3355704697986502,0.23547880690737463,0.2767527675228238,0.21239883518087233,0.19760479041916168,2.6766467065868262,0.370745521940826,0.5299401197552022,0.38922155688622756,0.10204081632653061,0.2311377245508982,0.3029827315541601,0.15149700598802396,0.39717425431711145,0.05017964071856287,0.6577708006279435,0.030419161676646708,0.7974882260596546,0.7687015827670219,3.6910373213752745,0.27554147598206524,0.0
gradient_x_input,all,0.021,0.33856619570905105,0.30942132950741125,0.3233383308295912,0.2601307880520719,0.09385665529010238,3.2610921501706485,0.471008414222211,0.6331058020416346,0.46245733788395904,0.12960306073648972,0.26996587030716723,0.3782879005260641,0.18225255972696247,0.5107604017216643,0.055767918088737205,0.7814442850310857,0.03083617747440273,0.8641798182687709,0.7366273683644119,3.2896093125827837,0.3310272112406091,0.0
gradient_x_input,predicted,0.021,0.3324520819563759,0.3459422283356235,0.3390630266212215,0.2791822174438194,0.03579952267303103,3.610978520286396,0.5178912376374211,0.6789976133586135,0.4892601431980907,0.14099037138927098,0.2844868735083532,0.40990371389270974,0.1947494033412888,0.5612104539202201,0.057088305489260145,0.8225584594222833,0.031121718377088305,0.8968363136176066,0.7208353941521592,3.1180623561368463,0.3490019762061037,0.0
gradient_x_input,not_predicted,0.021,0.36180904522612156,0.22605965463107966,0.27826086956047863,0.21821365268066378,0.23952095808383234,2.3832335329341316,0.3533802524798577,0.5179640718511302,0.39520958083832336,0.10361067503924647,0.23353293413173654,0.30612244897959184,0.15089820359281436,0.3956043956043956,0.052455089820359284,0.6875981161695447,0.030119760479041916,0.7896389324960753,0.7762491479747944,3.7200175446237904,0.2859288488421527,0.0
integrated_gradient,all,0.011,0.36073825503355506,0.3084648493543744,0.33255993812341245,0.2968347889970462,0.07167235494880546,3.051194539249147,0.47662306881293626,0.6200227531225515,0.4931740614334471,0.13821138211382114,0.2825938566552901,0.39598278335724535,0.18668941979522186,0.523194643711143,0.056518771331058024,0.7919655667144907,0.03107508532423208,0.8708751793400287,0.8884658572223748,3.7287933942547498,0.38080996577739495,0.0
integrated_gradient,predicted,0.011,0.367269984917041,0.33493810178816824,0.35035971222522394,0.3142880594100471,0.03341288782816229,3.164677804295943,0.517188334070527,0.6654733492378433,0.5298329355608592,0.15268225584594222,0.29880668257756565,0.4305364511691884,0.19522673031026253,0.562585969738652,0.05799522673031026,0.8356258596973866,0.03155131264916468,0.9092159559834938,0.8888945350682205,3.6184439387549356,0.41436595927419695,0.0
integrated_gradient,not_predicted,0.011,0.3419913419913346,0.24803767660910128,0.2875341219241479,0.2554070509783127,0.16766467065868262,2.7664670658682633,0.37484554699898087,0.5059880239470582,0.40119760479041916,0.10518053375196232,0.24191616766467067,0.31711145996860285,0.16526946107784432,0.43328100470957615,0.05281437125748503,0.6923076923076923,0.029880239520958085,0.783359497645212,0.8873903122079473,4.005658195778238,0.296618580896197,0.0
grad_attention,all,0.05,0.36665230504092905,0.4069823051171669,0.3857660924700798,0.3426162516225291,0.02218430034129693,3.960750853242321,0.5873570613083019,0.7418941979450431,0.5238907849829352,0.14681970349115256,0.2986348122866894,0.4184600669536107,0.20102389078498292,0.5633668101386896,0.059146757679180886,0.8287900526064084,0.03249146757679181,0.9105691056910569,0.28750464393686603,2.2465232505454296,0.417141398442226,0.0
grad_attention,predicted,0.05,0.37210648148147935,0.44222833562585667,0.40414833437592707,0.36475868867790007,0.002386634844868735,4.124105011933175,0.6185098612567775,0.7708830548852228,0.548926014319809,0.15818431911966988,0.3107398568019093,0.4477303988995873,0.2062052505966587,0.594222833562586,0.06109785202863962,0.8803301237964236,0.03298329355608592,0.9504814305364512,0.2537082705694896,2.0485893354475904,0.4353033903565764,0.0
grad_attention,not_predicted,0.05,0.3507588532883583,0.3265306122448928,0.33821138210882207,0.2880789049365433,0.0718562874251497,3.5508982035928143,0.5091952458687135,0.669161676640041,0.46107784431137727,0.12087912087912088,0.2682634730538922,0.3516483516483517,0.18802395209580838,0.49293563579277866,0.054251497005988025,0.7111459968602826,0.03125748502994012,0.8194662480376766,0.3722991375951341,2.743135887826833,0.3715732869924487,0.0
atgrad_attention,all,0.03,0.2322057787174058,0.31516021042563214,0.26739703793384373,0.18183925549819616,0.12116040955631399,4.843003412969283,0.46262852382443975,0.6296928327584159,0.3225255972696246,0.09038737446197992,0.210580204778157,0.2950741272118603,0.14846416382252559,0.41606886657101866,0.050511945392491465,0.7077953132472501,0.028822525597269624,0.8077474892395983,0.5977889824666951,3.1496561553501934,0.2323261539939682,0.0
atgrad_attention,predicted,0.03,0.2257240204429292,0.36451169188445415,0.27880063124198723,0.19767729209848758,0.04295942720763723,5.60381861575179,0.5149952242104358,0.6825775656259228,0.3198090692124105,0.0921595598349381,0.21575178997613365,0.3108665749656121,0.156563245823389,0.4511691884456671,0.05336515513126491,0.7689133425034388,0.0301909307875895,0.8700137551581844,0.5586748470172296,2.8587837898166124,0.235702946228919,0.0
atgrad_attention,not_predicted,0.03,0.2632653061224436,0.2025117739403422,0.22892635314503665,0.148308308805906,0.31736526946107785,2.934131736526946,0.33124141327514456,0.49700598801898194,0.32934131736526945,0.08634222919937205,0.19760479041916168,0.25902668759811615,0.1281437125748503,0.3359497645211931,0.043353293413173656,0.5682888540031397,0.025389221556886228,0.6656200941915228,0.6959256456602643,3.8794496952218713,0.22385384293741492,0.0
