explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002150190829436111,0.019129603060736397,0.0038658548353341826,0.00045765358315834597,0.1825938566552901,31.745733788395903,0.02230822363064099,0.04223549488013119,0.0,0.0,0.00034129692832764505,0.00047824007651841227,0.0008532423208191126,0.0023912003825920613,0.0009556313993174062,0.013390722142515544,0.0009385665529010238,0.026303204208512673,0.965439083800905,7.659392461344171,0.00018733279084879315,0.0
random,predicted,0.001,0.0016819012797074943,0.016323633782824584,0.003049588966749685,0.00045585870644834303,0.16169154228855723,34.017412935323385,0.019074271499548313,0.03917910447723103,0.0,0.0,0.0,0.0,0.0004975124378109452,0.0014194464158978,0.0008955223880597015,0.0127750177430802,0.0008208955223880597,0.0234208658623137,0.965399597004395,7.689837690644254,0.000046935135642542,0.0
random,not_predicted,0.001,0.0034496753246753176,0.024926686217008432,0.006060606058470245,0.00046140689864202265,0.22826086956521738,26.782608695652176,0.02937370600400652,0.048913043477771735,0.0,0.0,0.0010869565217391304,0.001466275659824047,0.0016304347826086956,0.004398826979472141,0.0010869565217391304,0.01466275659824047,0.0011956521739130434,0.03225806451612903,0.9655253538671932,7.5928762538516015,0.0004940711462450593,0.0
laat,all,0.048,0.4533468559837705,0.4275466284074585,0.44006891459012887,0.38617297377453597,0.13822525597269625,3.36518771331058,0.6028839784563236,0.7070534698453081,0.5477815699658704,0.15351506456241032,0.32832764505119455,0.4600669536107126,0.21348122866894198,0.5982783357245337,0.05815699658703072,0.8149210903873745,0.03107508532423208,0.8708751793400287,0.4820152980598449,2.1652781267640218,0.467663891296656,0.0
laat,predicted,0.048,0.44430616054760147,0.506742370475511,0.47347480105602635,0.42572080542529095,0.0472636815920398,3.9975124378109452,0.6997584332431266,0.8030679933588509,0.5845771144278606,0.16678495386799147,0.3502487562189055,0.49964513839602553,0.2263681592039801,0.6458481192334989,0.060497512437810944,0.8630234208658624,0.03221393034825871,0.9190915542938254,0.4045152474756319,1.7783700905846602,0.501415482950397,0.0
laat,not_predicted,0.048,0.49315068493149333,0.26392961876832455,0.34383954154272967,0.31322975351838817,0.33695652173913043,1.983695652173913,0.3912343544112426,0.49728260869072,0.4673913043478261,0.12609970674486803,0.28043478260869564,0.3782991202346041,0.18532608695652175,0.5,0.05304347826086957,0.7155425219941349,0.02858695652173913,0.7712609970674487,0.6513360607492664,3.0105880753732803,0.39392400083576556,0.0
attention_rollout,all,0.003,0.016988708514946625,0.23672883787661292,0.031702318430926725,0.0026128649006083127,0.0,49.72184300341297,0.25116561481619587,0.31854379976933356,0.0034129692832764505,0.0009564801530368245,0.004436860068259386,0.006217120994739359,0.004266211604095563,0.011956001912960305,0.01,0.1401243424198948,0.013122866894197952,0.367766618842659,0.7659742535800812,5.562560840515125,0.005079197045507735,0.0
attention_rollout,predicted,0.003,0.018222222222222213,0.2909865152590469,0.034296708351394034,0.002563009343022656,0.0,55.97014925373134,0.3122741133918393,0.3797678275252847,0.0024875621890547263,0.0007097232079489,0.004975124378109453,0.007097232079488999,0.004477611940298508,0.0127750177430802,0.010845771144278607,0.1547196593328602,0.013656716417910449,0.38963804116394607,0.7393116248853672,5.414161766645358,0.004224662265105211,0.0
attention_rollout,not_predicted,0.003,0.012806991110441444,0.12463343108504216,0.02322721683121062,0.002706175772784498,0.0,36.07065217391305,0.11765682988462696,0.18478260869383148,0.005434782608695652,0.001466275659824047,0.003260869565217391,0.004398826979472141,0.0038043478260869567,0.010263929618768328,0.008152173913043478,0.10997067448680352,0.011956521739130435,0.3225806451612903,0.8242263010544025,5.88678055625233,0.006946169772256729,0.0
deeplift,all,0.019,0.29590909090908957,0.3113342898134849,0.3034257748726527,0.22417416042472418,0.08020477815699659,3.7542662116040955,0.45499062465508366,0.6255688282078042,0.4044368600682594,0.1133428981348637,0.2546075085324232,0.3567670970827355,0.16928327645051194,0.47441415590626496,0.0537542662116041,0.7532281205164992,0.030341296928327644,0.850310856049737,0.7346041752538071,3.3908541060613673,0.2978626230509606,0.0
deeplift,predicted,0.019,0.29404690318700966,0.3470546486870096,0.3183593749950321,0.23600960989069708,0.03731343283582089,4.13681592039801,0.5035465087673262,0.6730928689818987,0.43532338308457713,0.1242015613910575,0.2656716417910448,0.37899219304471254,0.18059701492537314,0.5152590489709014,0.05552238805970149,0.7920511000709723,0.031368159203980096,0.8949609652235628,0.7191134967444158,3.2135401091008244,0.31960742728362196,0.0
deeplift,not_predicted,0.019,0.30167597765362564,0.23753665689149212,0.2657916324807103,0.20062093436684608,0.17391304347826086,2.9184782608695654,0.3489065734968149,0.5217391304296194,0.33695652173913043,0.09090909090909091,0.23043478260869565,0.31085043988269795,0.14456521739130435,0.39002932551319647,0.049891304347826085,0.6730205278592375,0.02809782608695652,0.7580645161290323,0.768447940258021,3.778246642899074,0.25035495293395077,0.0
gradient_x_input,all,0.017,0.27869496855345804,0.33907221425155265,0.3059331175786495,0.23166375563411298,0.07167235494880546,4.341296928327645,0.4845619350282958,0.641780432303218,0.4351535836177474,0.12195121951219512,0.26245733788395903,0.367766618842659,0.17064846416382254,0.4782400765184122,0.05447098976109215,0.763271162123386,0.03061433447098976,0.8579626972740315,0.7399171709246077,3.3972925797527114,0.31222075384868625,0.0
gradient_x_input,predicted,0.017,0.272490899635984,0.3718949609652209,0.3145258103192467,0.24349369513638838,0.022388059701492536,4.7835820895522385,0.5304636007962272,0.6917495853996412,0.4601990049751244,0.1312987934705465,0.2771144278606965,0.39531582682753724,0.18059701492537314,0.5152590489709014,0.056318407960199005,0.8034066713981547,0.03161691542288557,0.9020581973030518,0.7241618220428269,3.222933863161419,0.3327841022061621,0.0
gradient_x_input,not_predicted,0.017,0.29790660225442356,0.2712609970674447,0.2839600920901716,0.20825620856742177,0.1793478260869565,3.375,0.38427677394835874,0.532608695646902,0.3804347826086957,0.10263929618768329,0.23043478260869565,0.31085043988269795,0.14891304347826087,0.40175953079178883,0.050434782608695654,0.6803519061583577,0.02842391304347826,0.7668621700879765,0.7743391831554551,3.778228471435862,0.2672943079807227,0.0
integrated_gradient,all,0.01,0.26484194294525726,0.32855093256814766,0.2932764140825697,0.22920946129895933,0.034129692832764506,4.426621160409557,0.49265008786889386,0.6433447098913595,0.39419795221843,0.11047345767575323,0.24709897610921502,0.34624581539933047,0.1689419795221843,0.4734576757532281,0.05402730375426621,0.7570540411286466,0.03,0.8407460545193687,0.8650389330464755,3.849661048673994,0.3080734496421853,0.0
