explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002176567393958697,0.019607843137254808,0.003918195716855807,0.00045765358315834597,0.1689419795221843,32.14505119453925,0.01879662099363962,0.04820819112580952,0.0,0.0,0.0013651877133105802,0.001912960306073649,0.0018771331058020477,0.0052606408417025345,0.0014334470989761092,0.020086083213773313,0.0012627986348122866,0.03538976566236251,0.9654525165012808,7.619908883458826,0.0009826896014408562,0.0
random,predicted,0.001,0.0014594279042615284,0.014074595355383433,0.002644628097471076,0.00045869368171241875,0.15346534653465346,33.92079207920792,0.013941287672650219,0.035272277227387065,0.0,0.0,0.0014851485148514852,0.00211118930330753,0.0017326732673267327,0.0049261083743842365,0.0015346534653465347,0.021815622800844477,0.0012623762376237624,0.03589021815622801,0.9654101764417987,7.617435567098538,0.0010547611042660545,0.0
random,not_predicted,0.001,0.0040911747516072395,0.031343283582089085,0.0072376357036269155,0.00045546317886106336,0.2032967032967033,28.203296703296704,0.029574393860011688,0.07692307692230768,0.0,0.0,0.001098901098901099,0.0014925373134328358,0.002197802197802198,0.005970149253731343,0.0012087912087912088,0.016417910447761194,0.0012637362637362638,0.034328358208955224,0.9655465021278234,7.625399102192644,0.0008227067050596462,0.0
laat,all,0.036000000000000004,0.3852713178294559,0.4753706360592995,0.4256047955420451,0.38680313888287876,0.08532423208191127,4.402730375426621,0.6509296990767779,0.7895335608570355,0.5699658703071673,0.1597321855571497,0.3310580204778157,0.46389287422285985,0.21416382252559726,0.6001912960306074,0.05863481228668942,0.8216164514586323,0.031450511945392494,0.8813964610234337,0.4579502114434832,2.159408242038294,0.47437554471054444,0.0
laat,predicted,0.036000000000000004,0.3789976133651533,0.5587614356087223,0.4516496018154314,0.42801102772053956,0.007425742574257425,5.185643564356436,0.7408160420900649,0.8927392739189177,0.599009900990099,0.17030260380014076,0.35346534653465345,0.5024630541871922,0.22920792079207922,0.6516537649542575,0.061534653465346534,0.8747361013370866,0.032574257425742575,0.9261083743842364,0.3774853917522609,1.8231641132729113,0.49695448883200716,0.0
laat,not_predicted,0.036000000000000004,0.41237113402061004,0.2985074626865627,0.3463203463154686,0.30298493271762217,0.25824175824175827,2.6648351648351647,0.451401772827503,0.5604395604339559,0.5054945054945055,0.1373134328358209,0.2813186813186813,0.382089552238806,0.18076923076923077,0.491044776119403,0.0521978021978022,0.7089552238805971,0.028956043956043957,0.7865671641791044,0.6365644265822403,2.905796308088923,0.42425525116619855,0.0
attention_rollout,all,0.003,0.015915023201856143,0.20994739359158196,0.029587194606946123,0.0027406944445801653,0.0,47.0716723549488,0.22286552326965778,0.28299203640220943,0.0017064846416382253,0.00047824007651841227,0.00477815699658703,0.006695361071257772,0.0046075085324232086,0.01291248206599713,0.00825938566552901,0.11573409851745577,0.01204778156996587,0.33763749402199905,0.7700115365696832,5.586008924881142,0.0026881027746175775,0.0
attention_rollout,predicted,0.003,0.017569615457472997,0.2610837438423627,0.032923636685156465,0.003014121452279199,0.0,52.26732673267327,0.27475760281928263,0.3411716171583533,0.0024752475247524753,0.0007037297677691766,0.005445544554455445,0.007741027445460943,0.005693069306930693,0.01618578465869106,0.009059405940594059,0.12878254750175933,0.012995049504950494,0.3694581280788177,0.7468193605116148,5.407552254453369,0.003624637040478625,0.0
attention_rollout,not_predicted,0.003,0.010513296227581926,0.10149253731343132,0.01905295600838574,0.0021880983941282663,0.0,35.53846153846154,0.10767651152213892,0.1538461538446154,0.0,0.0,0.0032967032967032967,0.004477611940298508,0.002197802197802198,0.005970149253731343,0.006483516483516484,0.0880597014925373,0.009945054945054946,0.2701492537313433,0.8214930702370442,5.982143511984547,0.0006092025361128351,0.0
deeplift,all,0.02,0.32290615539858564,0.30607364897178235,0.31426466977157946,0.2610102917019279,0.09556313993174062,3.3822525597269624,0.44467526926727213,0.6018202502785847,0.4522184300341297,0.12673362027737925,0.26245733788395903,0.367766618842659,0.17747440273037543,0.49736967957914874,0.05505119453924915,0.7714012434241989,0.030563139931740615,0.8565279770444764,0.7378242044076143,3.354562335304918,0.31098935108222764,0.0
deeplift,predicted,0.02,0.32206759443339744,0.34201266713581746,0.33174061432947316,0.2800914767754006,0.0594059405940594,3.735148514851485,0.4904648947007959,0.6452145214459669,0.47029702970297027,0.13370865587614356,0.2811881188118812,0.39971850809289233,0.1896039603960396,0.5390570021111893,0.057673267326732676,0.8198451794510908,0.031584158415841584,0.8979591836734694,0.7229806761998622,3.172845770802482,0.3297688301081191,0.0
deeplift,not_predicted,0.02,0.32558139534883035,0.2298507462686533,0.26946631670555504,0.22016666960603087,0.17582417582417584,2.598901098901099,0.34303236445879093,0.5054945054894505,0.41208791208791207,0.11194029850746269,0.22087912087912087,0.3,0.15054945054945054,0.408955223880597,0.04923076923076923,0.6686567164179105,0.028296703296703297,0.7686567164179104,0.7707735747149326,3.757933170793842,0.2693030350027764,0.0
gradient_x_input,all,0.019,0.3294001966568322,0.32042085126733466,0.3248484848434842,0.2686014445137899,0.09044368600682594,3.47098976109215,0.4693459460495814,0.6222980659780216,0.4641638225255973,0.13008130081300814,0.26825938566552904,0.37589670014347204,0.1795221843003413,0.5031085604973696,0.055665529010238905,0.7800095648015304,0.030733788395904436,0.8613103778096605,0.7432577323719459,3.3685419772138485,0.3154920316642813,0.0
gradient_x_input,predicted,0.019,0.3246006389776337,0.3574947220267392,0.34025452109346876,0.28775042189571604,0.054455445544554455,3.873762376237624,0.5177866000854616,0.6699669966932196,0.48267326732673266,0.13722730471498945,0.2886138613861386,0.41027445460942996,0.19133663366336634,0.5439831104855736,0.05826732673267327,0.8282899366643209,0.03170792079207921,0.9014778325123153,0.7282041894815408,3.1929789289324946,0.33019489181515255,0.0
gradient_x_input,not_predicted,0.019,0.34541577825159175,0.2417910447761158,0.2844600526729382,0.22910094868053163,0.17032967032967034,2.576923076923077,0.36181834038751787,0.5164835164783516,0.4230769230769231,0.11492537313432835,0.2230769230769231,0.3029850746268657,0.1532967032967033,0.4164179104477612,0.04989010989010989,0.6776119402985075,0.02857142857142857,0.7761194029850746,0.7766732891176799,3.7582533591131186,0.2828549135271824,0.0
integrated_gradient,all,0.011,0.2800433056658236,0.3711142993782861,0.3192102015582392,0.26191871997207045,0.01877133105802048,4.728668941979522,0.5469433746916964,0.7121729237701204,0.44880546075085326,0.1257771401243424,0.2675767918088737,0.3749402199904352,0.17866894197952218,0.5007173601147776,0.05539249146757679,0.776183644189383,0.030750853242320818,0.8617886178861789,0.8388294861135718,3.586757929643367,0.32386472899355606,0.0
integrated_gradient,predicted,0.011,0.2855750487329421,0.4123856439127346,0.33746040886357653,0.2749926659084795,0.0049504950495049506,5.079207920792079,0.5933902696552252,0.7632013201247043,0.47277227722772275,0.13441238564391272,0.2886138613861386,0.41027445460942996,0.19381188118811882,0.5510204081632653,0.05831683168316832,0.82899366643209,0.03173267326732673,0.9021815622800844,0.8329624386048404,3.4238594419907895,0.3460231539761253,0.0
integrated_gradient,not_predicted,0.011,0.2642559109874789,0.2835820895522346,0.27357811374590224,0.2320042984323143,0.04945054945054945,3.9505494505494507,0.4438414759814458,0.5989010988951097,0.3956043956043956,0.10746268656716418,0.22087912087912087,0.3,0.14505494505494507,0.3940298507462687,0.0489010989010989,0.664179104477612,0.02857142857142857,0.7761194029850746,0.8518530421219646,3.9483567703666735,0.2746778955157651,0.0
grad_attention,all,0.058,0.42974408498309785,0.42563366810138487,0.42767900047553625,0.3891244369382691,0.010238907849829351,3.5341296928327646,0.623010403260744,0.795079635942245,0.5802047781569966,0.16260162601626016,0.3368600682593857,0.4720229555236729,0.21928327645051193,0.6145384983261597,0.06044368600682594,0.846963175514108,0.03220136518771331,0.9024390243902439,0.24082834096805447,2.1913921552775535,0.46311745504961493,0.0
grad_attention,predicted,0.058,0.4382838283828354,0.46727656579873,0.45231607628928,0.4211313190341782,0.0,3.75,0.6689405681418203,0.8351897689689058,0.6089108910891089,0.17311752287121746,0.3564356435643564,0.5066854327938072,0.23341584158415843,0.6636171710063336,0.06282178217821782,0.8930330752990852,0.03301980198019802,0.9387755102040817,0.20216020481310396,2.0050351109397067,0.4891502957306253,0.0
grad_attention,not_predicted,0.058,0.4064748201438776,0.3373134328358159,0.3686786296850862,0.3213030361009396,0.03296703296703297,3.0549450549450547,0.5210555317664862,0.7060439560369093,0.5164835164835165,0.14029850746268657,0.2934065934065934,0.39850746268656717,0.1879120879120879,0.5104477611940299,0.05516483516483516,0.7492537313432835,0.030384615384615385,0.8253731343283582,0.32666310474058197,2.605063836115411,0.4053302702412184,0.0
atgrad_attention,all,0.033,0.39719202898550543,0.41941654710664555,0.40800186089288504,0.35740404350034105,0.07167235494880546,3.7679180887372015,0.5996142201523808,0.7690557451575389,0.5494880546075085,0.15399330463892874,0.3204778156996587,0.4490674318507891,0.20631399317406143,0.5781922525107605,0.05638225255972696,0.790052606408417,0.03052901023890785,0.8555714968914395,0.586699252363013,2.489432469619218,0.4404730264981613,0.0
atgrad_attention,predicted,0.033,0.38602520045818794,0.47431386347642174,0.425639406373326,0.3834007708718842,0.009900990099009901,4.321782178217822,0.6584173698923791,0.8432343234243014,0.5742574257425742,0.16326530612244897,0.3425742574257426,0.48698099929627026,0.22252475247524753,0.6326530612244898,0.0594059405940594,0.844475721323012,0.03198019801980198,0.9092188599577762,0.5469475151341375,2.2207689775360095,0.4601837861557305,0.0
