explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005179720609009566,0.003638769434336748,0.004274611394116397,0.0004641205966372874,0.9324047521507579,2.609995903318312,0.0050740328904759395,0.007374027038025399,0.00040966816878328555,0.00011020498126515319,0.0009832036050798853,0.0013224597751818382,0.0010241704219582138,0.00275512453162883,0.0010651372388365424,0.014326647564469915,0.0010569438754608766,0.028432885166409523,0.9654899232413633,7.666405974527481,0.0005599145345020646,0.0
random,predicted,0.002,0.004858861638130484,0.0035169988276670516,0.004080443014656157,0.0004516316222916466,0.9285714285714286,2.616222760290557,0.004975210423123886,0.006658595641579904,0.0,0.0,0.0007263922518159806,0.0010048568079048736,0.0009685230024213075,0.002679618154412996,0.0010048426150121065,0.013900519176017418,0.0010048426150121065,0.027801038352034835,0.9654752920436642,7.683370391379499,0.0005839266829642793,0.0
random,not_predicted,0.002,0.005856515373352827,0.0038734667527436932,0.004662910428469764,0.0004902497583565571,0.9404309252217997,2.596958174904943,0.005280946345565413,0.008871989860494296,0.0012674271229404308,0.0003222687721559781,0.001520912547528517,0.0019336126329358686,0.0011406844106463879,0.0029004189494038026,0.001191381495564005,0.01514663229133097,0.0011660329531051966,0.029648727038349983,0.9655205578910454,7.630886054832259,0.000509638147607795,0.0
laat,all,0.064,0.33685276251084706,0.25680890947182683,0.2914346493099876,0.23775977445815938,0.3060221220811143,2.8324457189676364,0.4019034127465718,0.5080568073145041,0.4248258910282671,0.11428256557196385,0.2347398607128226,0.3157372713246639,0.15948381810733306,0.42902799206524134,0.0517574764440803,0.6961648666519726,0.02954117165096272,0.7946881199030196,0.506449841582671,3.050184891486733,0.31530450965069023,0.0
laat,predicted,0.064,0.31757935123822756,0.30497404119912863,0.311149081584066,0.26074661598440596,0.19128329297820823,3.470944309927361,0.4800364816203228,0.593926553666628,0.4570217917675545,0.12644448166136327,0.24418886198547216,0.33779936359068835,0.16343825665859565,0.4521855635571931,0.05335351089588378,0.7380673254061296,0.030562953995157384,0.8455870038519511,0.4242310217623238,2.6965454029594174,0.3466499735380995,0.0
laat,not_predicted,0.064,0.43050847457626756,0.163976759199483,0.2374941561437365,0.20800416933974392,0.5462610899873257,1.4955640050697085,0.2383092051680718,0.3282636248383207,0.3574144486692015,0.09087979374798583,0.2149556400506971,0.2732839187882694,0.1512040557667934,0.38446664518208185,0.04841571609632446,0.6155333548179182,0.027401774397972117,0.6967450854012246,0.6785987520303439,3.790631577224535,0.24967370313357978,0.0
attention_rollout,all,0.003,0.01786510508011058,0.26507884000441034,0.03347420160986732,0.0033429675362485825,0.0,55.126587464154035,0.2824894080804322,0.3460330465622331,0.0077836952068824255,0.0020938946440379105,0.005407619827939369,0.00727352876350011,0.004465383039737813,0.012012342957901698,0.010528471937730438,0.14161340092572183,0.013924621056943875,0.37458673132025566,0.7479524356250588,5.52904766685416,0.0032655050851345627,0.0
attention_rollout,predicted,0.003,0.0182149000268451,0.30681627868028755,0.03438825693478311,0.0035556810193397223,0.0,60.8819612590799,0.3342025937830702,0.39780064567811957,0.007869249394673124,0.0021771897504605595,0.0056900726392251815,0.007871378328588176,0.005024213075060533,0.013900519176017418,0.011912832929782083,0.16479651649639926,0.015078692493946732,0.4171830514151733,0.7201071655102388,5.339466615930509,0.0038406853661759476,0.0
attention_rollout,not_predicted,0.003,0.016829964398152233,0.18463524854744937,0.030848051771422826,0.0029729817736888517,0.0,43.07604562737642,0.1742128773063412,0.23764258554899553,0.0076045627376425855,0.0019336126329358686,0.004816223067173638,0.006123106670963584,0.0032953105196451204,0.00837898807605543,0.007629911280101394,0.0970029004189494,0.011508238276299113,0.2926200451176281,0.8062545727982937,5.925990500980738,0.0020611985904826404,0.0
deeplift,all,0.022,0.33789159622078524,0.2997022825008267,0.3176532460652566,0.25594922873063136,0.10979106923392053,3.295370749692749,0.43297144257053144,0.592004642900202,0.44039328144203194,0.11847035486003968,0.26866038508807866,0.36136213356843727,0.18316263826300697,0.4927264712364999,0.057025809094633347,0.7670266696054662,0.0317328963539533,0.8536477848798766,0.7237936328797815,3.3147360661919967,0.3162111144444347,0.0
deeplift,predicted,0.022,0.3360588716271458,0.3441634567074186,0.34006288266916856,0.2812000510633693,0.05447941888619855,3.7015738498789346,0.492537130650389,0.6605629539888278,0.4788135593220339,0.1324736225087925,0.28728813559322036,0.3974208675263775,0.19485472154963682,0.5391056774409647,0.058765133171912835,0.8129291575950427,0.03210048426150121,0.8881259420532575,0.7031310976538333,3.1072701071127704,0.3468984502412965,0.0
deeplift,not_predicted,0.022,0.34370139968895624,0.21400903808908905,0.26377561169210645,0.20798651541847576,0.2256020278833967,2.444866920152091,0.30825342392930877,0.44845796366267393,0.35994930291508237,0.09152433129229777,0.22965779467680608,0.29197550757331614,0.15868187579214196,0.40348050273928454,0.053384030418250954,0.6786980341604898,0.030963244613434728,0.7873026103770545,0.7670566343921601,3.749126135138615,0.25195828968345163,0.0
gradient_x_input,all,0.016,0.27121643456182176,0.38868673503142537,0.31949605727785557,0.26276571019885797,0.0565342072920934,5.324457189676362,0.5267082072646645,0.675576949331224,0.44367062679229824,0.1193519947101609,0.27095452683326504,0.36444787304386156,0.18521097910692338,0.4982367202997576,0.05736173699303564,0.7715450738373375,0.03188037689471528,0.857615164205422,0.7291859748899802,3.325159095632785,0.3224486719902027,0.0
gradient_x_input,predicted,0.016,0.27163904235727415,0.4446491374979058,0.3372499206050087,0.28869504866722395,0.019975786924939468,5.916464891041162,0.5956227776823917,0.7490920096781,0.48365617433414043,0.13381343158599898,0.2889830508474576,0.39976553341148885,0.19624697336561744,0.5429576285379334,0.05926150121065375,0.819795679115726,0.03229418886198547,0.8934851783620834,0.708462108238429,3.1176108497290342,0.3522466044820822,0.0
gradient_x_input,not_predicted,0.016,0.26993484331368206,0.2808263395739177,0.27527289985261855,0.21354246178604872,0.13307984790874525,4.084917617237009,0.3824155959464319,0.5216518800117828,0.35994930291508237,0.09152433129229777,0.2332065906210393,0.2964872703834998,0.1621039290240811,0.412181759587496,0.053384030418250954,0.6786980341604898,0.031013941698352344,0.7885916854656784,0.7725773915038745,3.7597214558773944,0.2600580706257098,0.0
integrated_gradient,all,0.014,0.3085180863477243,0.2915426177086776,0.2997902375368145,0.21264473625936636,0.06882425235559197,3.510856206472757,0.43927092625319286,0.5892393827609618,0.3605079885292913,0.09698038351333481,0.2643998361327325,0.3556314745426493,0.1804588283490373,0.4854529424729998,0.0557476444080295,0.7498346925281023,0.03162228594838181,0.8506722503857175,0.8244728341785479,3.6449304655431387,0.29056229439256476,0.0
integrated_gradient,predicted,0.014,0.3066562255285821,0.32791827164628984,0.3169310456408452,0.2207249274130027,0.024818401937046004,3.8650121065375305,0.4889930207452625,0.6428571428509983,0.37469733656174337,0.1036677273488528,0.2783292978208232,0.38502763356221736,0.18771186440677967,0.5193434935521688,0.056743341404358355,0.7849606431083571,0.03182203389830508,0.88042203985932,0.8139363423609141,3.501990207044022,0.30971757959167795,0.0
integrated_gradient,not_predicted,0.014,0.31395881006864845,0.22143318269851445,0.25970092749846085,0.20163099437474616,0.16096324461343473,2.7693282636248417,0.335163321562573,0.4769750739285912,0.33079847908745247,0.08411214953271028,0.23523447401774397,0.29906542056074764,0.1652724968314322,0.42023847889139543,0.05366286438529785,0.6822429906542056,0.031204055766793408,0.793425717048018,0.8465340312415783,3.9442172932244315,0.2504551573216711,0.0
grad_attention,all,0.059000000000000004,0.38872936109116973,0.358253390671518,0.3728696849666038,0.3270736528196432,0.031954117165096274,3.4240065546907004,0.5337003406869248,0.7106035777618568,0.5206882425235559,0.1400705311880097,0.29791069233920525,0.400705311880097,0.1961081523965588,0.5275512453162883,0.05834494059811553,0.7847696715891558,0.03249078246620238,0.8740357064139299,0.29682499006413343,2.5785282517570294,0.39981669134507214,0.0
grad_attention,predicted,0.059000000000000004,0.39042779872152045,0.3989281527382341,0.39463220675444327,0.3525385573467651,0.0018159806295399517,3.693099273607748,0.5884278960711637,0.7686138014454617,0.5562953995157385,0.15391056774409648,0.30920096852300244,0.4277340478981745,0.20223970944309927,0.5595377658683638,0.05972154963680387,0.8261597722324568,0.033141646489104115,0.9169318372131972,0.2515476268495859,2.3153729411640973,0.4268675227229725,0.0
grad_attention,not_predicted,0.059000000000000004,0.38413823659725127,0.27985797288573183,0.32380952380464595,0.27547636455988794,0.09505703422053231,2.8605830164765527,0.4191123540015472,0.5891423743077182,0.4461343472750317,0.11343860779890429,0.27427122940430926,0.34869481147276826,0.1832699619771863,0.4660006445375443,0.055462610899873255,0.70512407347728,0.031128010139416983,0.7914921044150822,0.3916262625995358,3.12952010612905,0.3431779417426748,0.0
