explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.005433914016301733,0.003749035174771195,0.004436904601719276,0.029035446624880255,0.9319950839819746,2.5632937320770175,0.0044844033475513675,0.007442305066158109,0.0020483408439164277,0.000551024906325766,0.0013109381401065136,0.001763279700242451,0.0010651372388365424,0.0028653295128939827,0.0010241704219582138,0.013775622658144148,0.0010118803768947152,0.027220630372492838,0.9654614785362641,7.629822688890257,0.0008879606690374606,0.0
random,predicted,0.002,0.006484794275491935,0.004883799259009759,0.005571565797212501,0.029023927400152756,0.9248940036341611,2.7086614173228347,0.005988434138008497,0.009186351705949088,0.0024227740763173833,0.0006736274840013472,0.0015748031496062992,0.0021892893230043785,0.0012719563900666262,0.003536544291007073,0.0010539067231980618,0.014651397777029302,0.0010236220472440946,0.02846076119905692,0.9654130918367883,7.650649448440909,0.0010917820352277703,0.0
random,not_predicted,0.002,0.002801120448179256,0.0015969338869370757,0.0020341741206799497,0.00048754874319557136,0.9468354430379747,2.259493670886076,0.0013411693791403295,0.003797468354392405,0.0012658227848101266,0.00031887755102040814,0.0007594936708860759,0.0009566326530612245,0.0006329113924050633,0.0015943877551020409,0.0009620253164556962,0.01211734693877551,0.0009873417721518987,0.024872448979591837,0.9655626006132693,7.586297397728073,0.0004619998138726489,0.0
laat,all,0.05,0.3641394576646372,0.3627742860293303,0.3634555899198782,0.31185319243171605,0.23269151986890618,3.7013519049569847,0.5194976134656619,0.6058992216246711,0.4707087259319951,0.12662552347366102,0.29029086439983615,0.3904562486224377,0.19504301515772224,0.5246859158033943,0.05666530110610406,0.7621776504297995,0.03110610405571487,0.8367864227463081,0.49807102518816065,2.553479958976566,0.37660919660847025,0.0
laat,predicted,0.05,0.3643850411772643,0.4545301448299083,0.4044960659373605,0.36406156305998855,0.11144760751059964,4.486371895820715,0.6344779797313963,0.7198667474189548,0.5239248940036342,0.14567194341529136,0.3190793458509994,0.4435836982148872,0.2132646880678377,0.5929605927921859,0.059769836462749845,0.8309195015156619,0.03235614778921866,0.8996295048837992,0.4125185341834313,2.037237802868382,0.42889591828140505,0.0
laat,not_predicted,0.05,0.3630221130221108,0.18875758543596236,0.2483715066145353,0.21134477527360518,0.4860759493670886,2.060759493670886,0.2792032024470199,0.36772151898370564,0.3594936708860759,0.09056122448979592,0.230126582278481,0.289859693877551,0.1569620253164557,0.39540816326530615,0.05017721518987342,0.6320153061224489,0.02849367088607595,0.7177933673469388,0.6768649019588039,3.632360718134302,0.2673365668844001,0.0
attention_rollout,all,0.003,0.01742714474700435,0.2512956224501045,0.032593927431175056,0.0036952176975052955,0.0,53.5735354362966,0.26529753739130557,0.3275638399530984,0.0077836952068824255,0.0020938946440379105,0.005735354362965997,0.0077143486885607225,0.004670217124129455,0.012563367864227463,0.009979516591560836,0.13422966718095658,0.01360098320360508,0.36588053780030855,0.7542442228373298,5.560397500022567,0.003683337363123501,0.0
attention_rollout,predicted,0.003,0.018124427247734443,0.299764230380599,0.03418212543580299,0.004113071410366055,0.0,59.485160508782556,0.3187611238118747,0.3789117706403593,0.009691096305269533,0.002694509936005389,0.0060569351907934586,0.008420343550016841,0.00514839491217444,0.01431458403502863,0.01143549364021805,0.15897608622431794,0.014627498485766202,0.4067025934658134,0.7261924974638604,5.362046910876391,0.004398625026719414,0.0
attention_rollout,not_predicted,0.003,0.015324140896109076,0.15937400191632015,0.027959881210928232,0.002936995793915511,0.0,41.21898734177215,0.15356540931490106,0.2202531645547848,0.0037974683544303796,0.0009566326530612245,0.005063291139240506,0.006377551020408163,0.003670886075949367,0.009247448979591837,0.006936708860759494,0.08737244897959184,0.011455696202531646,0.2885841836734694,0.8128687780165675,5.974925123668563,0.0021884766889502696,0.0
deeplift,all,0.019,0.3067744057126747,0.3600176425184691,0.3312702922028238,0.2701822140305366,0.06964358869315854,4.360098320360508,0.5035881876350016,0.6561518503282622,0.44448996312986483,0.1195724046726912,0.27587054485866447,0.37106017191977075,0.1866857845145432,0.5022040996253031,0.05813191315034822,0.7819043420762618,0.03232281851700123,0.8695173021820586,0.7199258389679375,3.2417098215683007,0.32121692593242074,0.0
