explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0022226378970764604,0.022273679567758276,0.004041940129612985,0.00046412035911626195,0.2728390004096682,37.23187218353134,0.024986958030961633,0.052403386589686116,0.0012290045063498567,0.00033061494379545955,0.0010651372388365424,0.0014326647564469914,0.0010241704219582138,0.00275512453162883,0.0011552642359688651,0.015538902358386598,0.0011183941007783696,0.03008595988538682,0.9655103257727379,7.634098503670374,0.00030809146877144183,0.0
random,predicted,0.001,0.00215251672879849,0.02286282306163018,0.003934594492845989,0.00045178524781947676,0.2757177033492823,38.3438995215311,0.0272063730842711,0.05362838915418627,0.0005980861244019139,0.0001656726308813784,0.0008373205741626794,0.0011597084161696488,0.0009569377990430622,0.0026507620941020544,0.0010526315789473684,0.0145791915175613,0.0011064593301435407,0.030649436713055003,0.9654947089192002,7.644856538657195,0.0003155936485072723,0.0
random,not_predicted,0.001,0.0023905572986702515,0.021101219914276225,0.0042945814442379715,0.0004907878171997407,0.2665799739921977,34.814044213263976,0.020161389800619073,0.049739921976104516,0.002600780234070221,0.0006583278472679394,0.0015604681404421327,0.0019749835418038184,0.0011703511053315994,0.0029624753127057276,0.001378413524057217,0.017445687952600396,0.0011443433029908973,0.028966425279789335,0.9655442807520808,7.610707821618405,0.0002917798374082318,0.0
laat,all,0.057,0.3940721649484531,0.3371926342485386,0.3634202864053929,0.31721728719262593,0.2601392871773863,3.179024989758296,0.5003403704062249,0.5932677864206264,0.5010241704219582,0.13478069208728236,0.297255223269152,0.39982367202997576,0.19696845555100367,0.5298655499228565,0.057410897173289635,0.7722063037249284,0.03165915608357231,0.8516640952171038,0.5010166690491279,2.5108474680818627,0.3958661363713162,0.0
laat,predicted,0.057,0.38661307775544845,0.4143472498343267,0.39999999999500535,0.36159138191868,0.14413875598086123,3.8690191387559807,0.6044340479994074,0.6899920255117555,0.5442583732057417,0.15076209410205435,0.32177033492822965,0.44565937707090786,0.2119019138755981,0.5869781312127237,0.05976076555023924,0.8277004638833665,0.03256578947368421,0.9020874751491054,0.4206756437430498,2.0615914245914935,0.4428611547468965,0.0
laat,not_predicted,0.057,0.4314484895429866,0.18364655456643528,0.2576318223824894,0.2320968572121767,0.5123537061118335,1.6788036410923277,0.2740144550150663,0.38296488946306073,0.4070221066319896,0.10302830809743252,0.24395318595578674,0.3087557603686636,0.1644993498049415,0.41639236339697167,0.052301690507152145,0.6619486504279131,0.029687906371911574,0.7514812376563529,0.6756983261515501,3.4876434430050063,0.29368711072246023,0.0
attention_rollout,all,0.003,0.016873786858243176,0.24059984562796316,0.031535893395315186,0.0037524468686839685,0.0,52.975419909873004,0.25053678951423747,0.3122354226379381,0.00819336337566571,0.002204099625303064,0.005653420729209341,0.00760414370729557,0.004383449405981155,0.011791932995371391,0.009078246620237608,0.12210711924178973,0.012867677181482998,0.34615384615384615,0.7578751255756019,5.556488756539524,0.0037517308988486327,0.0
attention_rollout,predicted,0.003,0.0176731087120671,0.2869449966865469,0.0332955266334059,0.003899356688988613,0.0,58.61363636363637,0.29769979029102284,0.35625996809859717,0.008971291866028708,0.002485089463220676,0.005861244019138756,0.008117958913187541,0.00472488038277512,0.013088137839628894,0.01013157894736842,0.1403247183565275,0.013552631578947368,0.37541418157720347,0.7298479734335246,5.402956450554234,0.00439408165026928,0.0
attention_rollout,not_predicted,0.003,0.01437194596148318,0.1483679525222547,0.02620545073214234,0.003463579561423631,0.0,40.71651495448634,0.14799252774728672,0.21651495448420352,0.006501950585175552,0.0016458196181698486,0.005201560468140442,0.0065832784726793945,0.0036410923276983093,0.009216589861751152,0.006788036410923277,0.0859117840684661,0.011378413524057216,0.2880184331797235,0.818813224901419,5.890306722218856,0.0023550983157857967,0.0
deeplift,all,0.021,0.33673017279574624,0.3352078509207186,0.33596728739070064,0.27591855031470996,0.0876689881196231,3.6984842277755017,0.48389062580654163,0.6490509354027282,0.46251536255632936,0.12442142384835794,0.2787382220401475,0.37491734626405115,0.188529291274068,0.5071633237822349,0.05792707906595657,0.7791492175446331,0.0322941417451864,0.8687458673132026,0.7196718478694715,3.2229882931253555,0.3245927038350905,0.0
deeplift,predicted,0.021,0.33362019506597773,0.3853545394300855,0.35762607625578796,0.2994559371737323,0.045454545454545456,4.169856459330144,0.5469528061032045,0.7074362041399584,0.4958133971291866,0.1373426110006627,0.2952153110047847,0.4088800530152419,0.19952153110047846,0.5526838966202783,0.05907894736842105,0.8182571239231279,0.03242224880382775,0.8981113320079522,0.6978967165748339,3.026712808791224,0.3522875176227001,0.0
deeplift,not_predicted,0.021,0.347276264591438,0.23541048466864414,0.2806052269552933,0.23143866513505734,0.17945383615084526,2.673602080624187,0.34677753678700923,0.5221066319844586,0.39011703511053314,0.09874917709019092,0.24291287386215865,0.3074391046741277,0.164629388816645,0.4167215273206057,0.05542262678803641,0.7014483212639895,0.03201560468140442,0.8104015799868335,0.7670164766401268,3.649740711599565,0.2643771919327716,0.0
gradient_x_input,all,0.019,0.3270180388995261,0.3578123277097802,0.3417228306605532,0.28415730624941843,0.0823433019254404,4.0651372388365425,0.5035949601089226,0.6608630342692089,0.4739860712822614,0.12750716332378223,0.28390004096681687,0.3818602600837558,0.1911102007374027,0.5141062376019396,0.058689061859893484,0.7893982808022922,0.03240475215075789,0.8717214018073617,0.7256007618250121,3.2375494182546922,0.3322279139838719,0.0
gradient_x_input,predicted,0.019,0.32289219524928175,0.40987408880052945,0.3612206161434127,0.3087579345895921,0.039473684210526314,4.582535885167464,0.5703514886722959,0.7204944178559539,0.5113636363636364,0.14165009940357853,0.3008373205741627,0.4166666666666667,0.20089712918660288,0.55649436713055,0.059772727272727276,0.8278661365142479,0.03251196172248804,0.9005964214711729,0.7037909433151938,3.0434000672648938,0.36070614390982064,0.0
gradient_x_input,not_predicted,0.019,0.3409995577178225,0.2542037586547964,0.29127313939820304,0.23815539322864054,0.1755526657997399,2.940182054616385,0.3584494259633307,0.53120936280362,0.39271781534460337,0.09940750493745885,0.247074122236671,0.3127057274522712,0.16983094928478543,0.4298880842659645,0.05633289986996099,0.7129690585911784,0.032171651495448636,0.8143515470704411,0.7730208093522116,3.659679086466582,0.27030905775996245,0.0
integrated_gradient,all,0.011,0.32768709578072036,0.35196824346675454,0.33939393938894546,0.2851095338935342,0.043015157722244984,3.990577632117984,0.5239245463808908,0.6822681960879345,0.4846374436706268,0.1303724928366762,0.2856206472757067,0.384174564690324,0.19262597296190087,0.5181838219087502,0.05851700122900451,0.787083976195724,0.03213027447767308,0.8643376680625964,0.8637717970780402,3.5855897308985445,0.37199560531593434,0.0
