explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002082168962531917,0.02095049068254491,0.003787878786234218,0.0004641204066204476,0.2736583367472347,37.38263006964359,0.024808571358607097,0.05100368701303376,0.00040966816878328555,0.00011020498126515319,0.0005735354362965998,0.0007714348688560723,0.0005735354362965998,0.0015428697377121445,0.0010405571487095452,0.013996032620674455,0.000934043424825891,0.025126735728454926,0.9654825315710679,7.633849539844955,0.0002197936234157271,0.0
random,predicted,0.001,0.0021486329118076395,0.02263303386316513,0.0039246820542306665,0.0004546225721520888,0.27638190954773867,38.29711055276382,0.02622177515380195,0.048523869346275776,0.0,0.0,0.00037688442211055275,0.0005183137525915688,0.000314070351758794,0.0008638562543192813,0.000979899497487437,0.013476157567380787,0.0008919597989949749,0.02453351762266759,0.9654809698440487,7.669305869786014,0.00010433042195628713,0.0
random,not_predicted,0.001,0.0019483521563965385,0.017982322462663767,0.003515776299520147,0.00048188007545586797,0.26855123674911663,35.667844522968196,0.022158606173742296,0.05565371024681317,0.001177856301531213,0.00030432136335970786,0.0009422850412249705,0.0012172854534388314,0.0010600706713780918,0.002738892270237371,0.001154299175500589,0.014911746804625686,0.0010129564193168434,0.026171637248934874,0.9654854600391649,7.567363700897766,0.00043630412603460635,0.0
laat,all,0.046,0.4247564469914036,0.40864483405006025,0.41654490277121814,0.36965420811811356,0.2011470708725932,3.5743547726341665,0.559359565146789,0.6430083299132837,0.5010241704219582,0.13478069208728236,0.3212617779598525,0.4321137315406656,0.21499385497746826,0.5783557416795239,0.060540761982793935,0.8143046065682169,0.032560426054895536,0.8759091910954375,0.5080191710157342,2.356399739728418,0.4205542357101912,0.0
laat,predicted,0.046,0.4106761565836293,0.49844505874222444,0.4503238897944684,0.4179021665410031,0.07035175879396985,4.4126884422110555,0.6749115949837552,0.7564907872625187,0.5402010050251256,0.14858327574291638,0.3403266331658292,0.4680373185901866,0.23059045226130653,0.6342432619212163,0.06369346733668342,0.8759502418797512,0.03386306532663316,0.9314098134070491,0.41145376057820515,1.8502747857545578,0.4691490321938423,0.0
laat,not_predicted,0.046,0.4829411764705854,0.2502285888448636,0.32965268018020427,0.2921389774267755,0.4464075382803298,2.0023557126030624,0.34268249624166536,0.4302120141300302,0.4275618374558304,0.11046865489957396,0.2855123674911661,0.3688374923919659,0.18574793875147233,0.47991479001825926,0.05462897526501767,0.7057212416311625,0.030117785630153122,0.7781497261107729,0.6890935331082507,3.305458546237707,0.3294318375924379,0.0
attention_rollout,all,0.003,0.01738555063893139,0.2317785863932074,0.03234493052326831,0.0035223899115761916,0.0,49.530929946743136,0.23247797076800392,0.2925713505365384,0.006964358869315854,0.0018734846815076042,0.005653420729209341,0.00760414370729557,0.004547316673494469,0.012232752920432003,0.008816058992216306,0.11858055984130483,0.012458009012699714,0.33513334802733086,0.7675908563011574,5.626226076333639,0.003626627148674474,0.0
attention_rollout,predicted,0.003,0.01865531488669087,0.28317208016585993,0.03500453841519989,0.0038341055860158305,0.0,55.186557788944725,0.28852159835521235,0.346524288103824,0.006909547738693468,0.0019004837595024188,0.00628140703517588,0.008638562543192813,0.0052763819095477385,0.014512785072563926,0.010326633165829146,0.14201796821008983,0.013592964824120602,0.3738769868693849,0.7393650840929968,5.438166442124299,0.004278271226816467,0.0
attention_rollout,not_predicted,0.003,0.014009924957637372,0.1411155135629377,0.025489278536164107,0.003018762153238812,0.0,38.92579505300353,0.12738791762449875,0.19140164899694057,0.007067137809187279,0.0018259281801582471,0.00447585394581861,0.005782105903834449,0.0031802120141342758,0.008216676810712111,0.005983510011778563,0.0772976262933658,0.01032979976442874,0.2668898356664638,0.820518334929416,5.978865578879305,0.002404698559272764,0.0
deeplift,all,0.02,0.3253598426012216,0.34645495644503216,0.33557620420305756,0.2699308448583468,0.07906595657517411,3.9561655059401883,0.4896093327481192,0.6459101461087559,0.44858664481769767,0.12067445448534274,0.27537894305612454,0.3703989420321799,0.18598934862761163,0.5003306149437955,0.05758295780417862,0.7745206083314966,0.03189266693977878,0.8579457791492175,0.7217746247978691,3.243219849869793,0.32908116785214064,0.0
