explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0022271470575328032,0.022383945308192724,0.004051208875091387,0.00046412035911626195,0.26751331421548546,37.34043424825891,0.02570330285041508,0.052300969547499944,0.0008193363375665711,0.00022040996253030638,0.0008193363375665711,0.001102049812651532,0.0010241704219582138,0.00275512453162883,0.0011388775092175338,0.015318492395856293,0.0011675542810323637,0.031408419660568655,0.9654725391748851,7.642969148075438,0.0004574707188139089,0.0
random,predicted,0.001,0.002229757978352766,0.024173241564545873,0.004082905666320585,0.00045601384040663774,0.2644728823887873,39.354661791590495,0.028248441753765056,0.05525086329421152,0.0006093845216331506,0.00016786973308712439,0.0007312614259597807,0.0010072183985227463,0.0009750152346130408,0.00268591572939399,0.0010968921389396709,0.015108275977841196,0.0010664229128580134,0.02937720329024677,0.9654327117571124,7.652679453590868,0.00041581138137710284,0.0
random,not_predicted,0.001,0.002220800240900364,0.01895886889460148,0.003975875196074197,0.0004804700949051936,0.27375,33.20875,0.020482586674918438,0.04624999999955782,0.00125,0.0003208213025344883,0.001,0.0012832852101379532,0.001125,0.0028873917228103944,0.001225,0.015720243824189926,0.001375,0.03529034327879371,0.9655542351655914,7.62305088388691,0.0005429244347311574,0.0
laat,all,0.045,0.3491276575460003,0.4037931414709446,0.3744759177780304,0.3270981876443082,0.2101597705858255,4.297009422367882,0.5580096022243464,0.6278164686543567,0.47685374846374434,0.12827859819263832,0.2980745596067186,0.4009257218426273,0.20409668168783285,0.5490412166629932,0.05995903318312167,0.806480052898391,0.03232691519868906,0.8696275071633238,0.5061570066985932,2.447674187060247,0.39312979067604836,0.0
laat,predicted,0.045,0.3342274052478131,0.4811146550276977,0.3944398568627643,0.3589309276007236,0.09872029250457039,5.225472273004265,0.6560557541675723,0.7202925045635328,0.5118829981718465,0.1410105757931845,0.31968312004875077,0.4403223098875273,0.21712370505789153,0.5981198589894242,0.06269347958561852,0.8635219070001678,0.03346130408287629,0.9217727043814,0.4261430644868852,2.018723910534952,0.4297147974747696,0.0
laat,not_predicted,0.045,0.41588296760710336,0.2557840616966573,0.3167528849932932,0.2772792209864125,0.43875,2.3925,0.35689243305080415,0.43812499999565935,0.405,0.1039461020211742,0.25375,0.3256336220725056,0.177375,0.4552454282964389,0.05435,0.6974655117099775,0.03,0.7699711260827719,0.6702856056603592,3.3275584417827586,0.3180847954801713,0.0
attention_rollout,all,0.003,0.018417531076199534,0.2625427279744181,0.03442044698752789,0.003531853072719191,0.0,52.96149119213437,0.2649859790376481,0.3265055305170811,0.006964358869315854,0.0018734846815076042,0.005489553461696026,0.007383733744765263,0.004588283490372798,0.012342957901697156,0.009807455960671856,0.13191536257438835,0.013465792707906595,0.3622437734185585,0.7594327940227428,5.540866280608719,0.0037654788342979676,0.0
attention_rollout,predicted,0.003,0.01914207837162785,0.31005539701191825,0.03605802080986849,0.003638766587555025,0.0,58.79890310786106,0.3141809706198237,0.3744667885399131,0.006703229737964655,0.0018465670639583682,0.005362583790371724,0.007386268255833473,0.005057891529555149,0.013933187846231324,0.011066422912858014,0.15242571764310894,0.01441803778184034,0.3971797884841363,0.7320707520833603,5.381588762620157,0.004345626329534261,0.0
attention_rollout,not_predicted,0.003,0.01628545288197621,0.17159383033418968,0.029747646369092377,0.0033401617100198137,0.0,40.9875,0.16407475255471027,0.22812499999774688,0.0075,0.0019249278152069298,0.00575,0.007378889958293231,0.003625,0.00930381777350016,0.007225,0.09271735643246712,0.0115125,0.29547641963426374,0.8155591825509013,5.867584289382754,0.002575451284694521,0.0
deeplift,all,0.021,0.33206560494414034,0.30808247877384465,0.3196247783511241,0.25780946538724436,0.10241704219582139,3.4469479721425644,0.4466622535236062,0.613409804718919,0.43219991806636626,0.1162662552347366,0.2660385088078656,0.35783557416795236,0.18213846784104876,0.4899713467048711,0.05706677591151168,0.7675776945117919,0.03180663662433429,0.8556314745426493,0.7293227887812546,3.3184004045969266,0.3103944305033463,0.0
deeplift,predicted,0.021,0.3264166001596164,0.3432936041631688,0.33464244803951254,0.27609223076505357,0.0578915295551493,3.817794028031688,0.49491050741691534,0.6610806418786983,0.46617915904936014,0.12842034581165016,0.27787934186471663,0.3827429914386436,0.19037172455819623,0.5244250461641766,0.05858622790981109,0.806949806949807,0.03224253503960999,0.8881987577639752,0.7102324548269822,3.140613475410241,0.3392974931799801,0.0
deeplift,not_predicted,0.021,0.3485342019543958,0.24068123393316118,0.2847367420594128,0.22482851628202036,0.19375,2.68625,0.34769302272495617,0.5156249999949218,0.3625,0.0930381777350016,0.24175,0.3102341995508502,0.16525,0.42412576195059354,0.05395,0.6923323708694258,0.0309125,0.7933910811677896,0.7684818363049561,3.683085843091115,0.25110702318790123,0.0
gradient_x_input,all,0.02,0.3280922431865825,0.3106185908038369,0.3191163976160739,0.2541777529581829,0.1048750512085211,3.51741089717329,0.4492026160507954,0.607811006412273,0.4301515772224498,0.11571523032841084,0.2666939778779189,0.3587172140180736,0.18258910282671037,0.49118360149878776,0.05724702990577632,0.7700022040996253,0.03190905366653011,0.8583865990742782,0.7341831212923821,3.3454660133243808,0.31366648562303456,0.0
