explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004657886283327972,0.00319770647259896,0.0037920889131197893,0.00046412050162884805,0.9336337566571078,2.550594018844736,0.003974756637580213,0.007374027038025399,0.0008193363375665711,0.00022040996253030638,0.0010651372388365424,0.0014326647564469914,0.001106104055714871,0.002975534494159136,0.0010979106923392052,0.014767467489530527,0.001077427283900041,0.028983910072735288,0.9654930585798717,7.63855939309671,0.0007202239841332322,0.0
random,predicted,0.002,0.006342494714587721,0.004140786749482394,0.005010438408581701,0.0004520328140259316,0.9306683322923173,2.363522798251093,0.004863032033525597,0.008744534665746408,0.0012492192379762648,0.0003450655624568668,0.0008744534665833854,0.0012077294685990338,0.0009993753903810119,0.0027605244996549345,0.0010118675827607746,0.013975155279503106,0.000961898813241724,0.026570048309178744,0.965495449348644,7.680429940981767,0.0008876898858322995,0.0
random,not_predicted,0.002,0.0020475020475020393,0.0015276504735716422,0.0017497812724460422,0.00048719088385922905,0.9392857142857143,2.907142857142857,0.00228174603173669,0.0047619047618571424,0.0,0.0,0.0014285714285714286,0.0018303843807199512,0.0013095238095238095,0.003355704697986577,0.0012619047619047618,0.016168395363026236,0.0012976190476190477,0.033251982916412445,0.9654885018884376,7.558756122663404,0.00040104195006155795,0.0
laat,all,0.043000000000000003,0.3539242017308263,0.3923255044657621,0.3721368057684675,0.32313672604886867,0.20893076607947564,4.118394100778369,0.5498538936745293,0.634644271467375,0.4866857845145432,0.13092351774300198,0.2993035641130684,0.40257879656160456,0.19782875870544858,0.5321798545294247,0.05816468660385088,0.7823451620013224,0.03190086030315444,0.8581661891117478,0.5095221270728214,2.520541829682864,0.39115953179300605,0.0
laat,predicted,0.043000000000000003,0.34221616261774873,0.4763630089717038,0.3982977495623582,0.3636768798438459,0.0886945658963148,5.039350405996252,0.6593507119756581,0.7424526337635321,0.5340412242348532,0.14751552795031056,0.3226733291692692,0.44565217391304346,0.21517801374141163,0.594375431331953,0.061336664584634604,0.8471359558316081,0.03316677076826983,0.9161490683229814,0.42475126285696824,2.028215110530889,0.4410152256406193,0.0
laat,not_predicted,0.043000000000000003,0.40151133501259245,0.24350748548731976,0.3031570939473719,0.25844334035764405,0.4380952380952381,2.363095238095238,0.3411581721267828,0.4291666666624375,0.3964285714285714,0.1015863331299573,0.25476190476190474,0.326418547895058,0.16476190476190475,0.4222086638194021,0.05211904761904762,0.6677852348993288,0.029488095238095237,0.7556436851738865,0.6710913575604175,3.4588931122570448,0.29613695340011464,0.0
attention_rollout,all,0.003,0.017068129422052627,0.23674054471275752,0.03184066320995126,0.0036040569296013807,0.0,51.532158951249485,0.2439377163095132,0.30786562883762764,0.008603031544448997,0.0023143046065682168,0.0052437525604260545,0.007053118800969804,0.004383449405981155,0.011791932995371391,0.009553461696026219,0.12849900815516863,0.012929127406800491,0.34780692087282344,0.7691191663113711,5.568430454067224,0.0039028459524032585,0.0
attention_rollout,predicted,0.003,0.018286698798333802,0.2893374741200823,0.03439929437233052,0.003609395220218853,0.0,57.280449718925674,0.29436055183947446,0.35196752029637995,0.008744534665833853,0.0024154589371980675,0.005371642723297939,0.007418909592822636,0.004809494066208619,0.013285024154589372,0.010730793254216116,0.1482056590752243,0.013760149906308557,0.3800897170462388,0.7412065198263136,5.396704230389738,0.004725868434233096,0.0
attention_rollout,not_predicted,0.003,0.013789461330829712,0.14359914451573436,0.025162620123143582,0.0036015880230310577,0.0,40.576190476190476,0.1478341928768132,0.22380952380731547,0.008333333333333333,0.0021354484441732766,0.005,0.006406345332519829,0.0035714285714285713,0.009151921903599756,0.007309523809523809,0.09365466748017083,0.011345238095238096,0.2907260524710189,0.8223193413382486,5.89573245895729,0.0023342042935823428,0.0
deeplift,all,0.022,0.3411448328851321,0.2937479325173666,0.31567721293494927,0.2510853910440091,0.10856206472757067,3.199098730028677,0.4275432143237743,0.5803632391040593,0.42851290454731666,0.11527441040335024,0.26734944694797214,0.35959885386819485,0.1819336337566571,0.4894203217985453,0.05762392462105694,0.7750716332378224,0.032113887750921756,0.8638968481375359,0.7275155766814853,3.329755444831721,0.3133755557905699,0.0
