explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.0019229923959386398,0.01929650457602821,0.003497446862141209,0.0004641204066204476,0.2732486685784515,37.281442031954114,0.021239587750189286,0.048818790112877174,0.0008193363375665711,0.00022040996253030638,0.0008193363375665711,0.001102049812651532,0.0009012699713232282,0.00242450958783337,0.0009012699713232282,0.012122547939166851,0.0009832036050798853,0.026449195503636766,0.9654651486732596,7.665316830642124,0.0004923829061769164,0.0
random,predicted,0.001,0.0019609718767935715,0.020996927278934756,0.003586947010773195,0.0004538128803529848,0.2758194186765615,38.79035250463822,0.023303682704501758,0.048804370232479174,0.0012368583797155227,0.0003414134516899966,0.0008658008658008658,0.001194947080914988,0.0010513296227581941,0.002902014339364971,0.0010018552875695733,0.013827244793444863,0.0010080395794681508,0.02782519631273472,0.965443258304752,7.649692040139094,0.0005119636721157535,0.0
random,not_predicted,0.001,0.001838755304101838,0.016194331983805616,0.00330253088000788,0.00048418344143898385,0.2682038834951456,34.320388349514566,0.017189051899311535,0.048847087378172775,0.0,0.0,0.0007281553398058253,0.0009328358208955224,0.0006067961165048543,0.001554726368159204,0.0007038834951456311,0.009017412935323384,0.0009344660194174758,0.02394278606965174,0.9655081058648574,7.69597858579188,0.0004539580293284943,0.0
laat,all,0.047,0.33905228758169903,0.36608225824236373,0.352049202052162,0.3013176405444868,0.21179844326095862,4.011470708725932,0.5226556004963505,0.6236173699243847,0.48258910282671036,0.12982146793035046,0.2848013109381401,0.38307251487767247,0.1866448176976649,0.5020938946440379,0.05520688242523556,0.7425611637646021,0.03067185579680459,0.8251046947322019,0.5023840813145942,2.6676785398179708,0.3886952264029238,0.0
laat,predicted,0.047,0.32742453436095015,0.43513144417889993,0.3736714798748911,0.33809372206783644,0.10636982065553494,4.8144712430426715,0.6177806550590209,0.7147495361713331,0.5250463821892394,0.14493001024240354,0.3074829931972789,0.4243769204506658,0.1995052566481138,0.5506998975759645,0.05783549783549784,0.798224650051212,0.03178726035868893,0.8774325708432912,0.4220732087445601,2.2346680938896513,0.4356424584206178,0.0
laat,not_predicted,0.047,0.3841554559043329,0.24011211460604098,0.29551552318422636,0.24044932356567356,0.4186893203883495,2.4356796116504853,0.3359842252198479,0.444781553393662,0.39927184466019416,0.10230099502487562,0.24029126213592233,0.30783582089552236,0.16140776699029127,0.4135572139303483,0.050048543689320386,0.6411691542288557,0.028483009708737864,0.7297885572139303,0.6599844222681681,3.5174089901408974,0.29656698104781337,0.0
attention_rollout,all,0.003,0.018123859426521612,0.25515492336531015,0.03384376873788373,0.003331252744378758,0.0,52.305202785743546,0.2614566680786936,0.32213573671676454,0.006964358869315854,0.0018734846815076042,0.005489553461696026,0.007383733744765263,0.004670217124129455,0.012563367864227463,0.010233510856206473,0.13764602160017633,0.013473986071282262,0.3624641833810888,0.7553756274735853,5.545137202231715,0.0034064992151893844,0.0
attention_rollout,predicted,0.003,0.018326951081387193,0.2900307272106516,0.03447541166451713,0.003335898920141116,0.0,57.33147804576376,0.30704635802481245,0.3675530818352054,0.004947433518862091,0.0013656538067599864,0.005442176870748299,0.0075110959371799246,0.005318491032776747,0.014680778422669852,0.011255411255411256,0.15534312051894844,0.01401360544217687,0.38682144076476616,0.7281314934530891,5.399584383156391,0.0030722972322664195,0.0
attention_rollout,not_predicted,0.003,0.017585496969003772,0.19152911865462413,0.03221328863476364,0.003343064278194085,0.0,42.44174757281554,0.17199243428879785,0.23300970873555218,0.010922330097087379,0.002798507462686567,0.00558252427184466,0.007151741293532339,0.0033980582524271844,0.008706467661691543,0.008228155339805825,0.10541044776119403,0.01241504854368932,0.3180970149253731,0.808838934161865,5.830766945489968,0.004062330048182629,0.0
deeplift,all,0.02,0.330516632794951,0.34072113794244097,0.3355413182706008,0.27619622489726786,0.08398197460057354,3.8299877099549366,0.4829659772723982,0.648129182022987,0.44448996312986483,0.1195724046726912,0.27505120852109793,0.36995812210711926,0.188529291274068,0.5071633237822349,0.057836952068824256,0.7779369627507163,0.0319705038918476,0.8600396737932554,0.7246806790990907,3.245332772564745,0.32521549418564116,0.0
deeplift,predicted,0.02,0.3247887727337816,0.38716285421645547,0.3532435168550955,0.2957594393685462,0.0383426097711812,4.318491032776747,0.5471434460667175,0.7138218923865193,0.4774273345701917,0.1317855923523387,0.2923933209647495,0.40355069989757597,0.19851576994434136,0.5479685899624446,0.05940630797773655,0.8199044042335268,0.03226963512677798,0.8907476954592011,0.7028184846070706,3.0425132490368876,0.35388470375835746,0.0
deeplift,not_predicted,0.02,0.34742180896026903,0.25599501712861955,0.29478214093110083,0.24316814880785442,0.17354368932038836,2.871359223300971,0.35702548329131284,0.5192152103508614,0.37985436893203883,0.09732587064676616,0.24101941747572816,0.3087686567164179,0.16893203883495145,0.43283582089552236,0.05475728155339806,0.7014925373134329,0.03138349514563107,0.8041044776119403,0.7675825826107371,3.643341473468318,0.2689556496721918,0.0
gradient_x_input,all,0.02,0.3441295546558701,0.33741316572940755,0.34073826623852776,0.28153101587159823,0.0909463334698894,3.642769356820975,0.47735829902372967,0.6316741772436827,0.4580090126997132,0.12320916905444126,0.28185170012290045,0.37910513555212694,0.1902498975829578,0.5117919329953714,0.05848422777550184,0.7866431562706634,0.03225317492830807,0.867643817500551,0.7313393898474706,3.2686891918422494,0.3420370948433098,0.0
