explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002307971293233248,0.02315580549123385,0.004197565410412558,0.014749783515750351,0.2777550184350676,37.27529700942237,0.02551897811216307,0.05916291137455316,0.0016386726751331422,0.00044081992506061276,0.0012290045063498567,0.0016530747189772979,0.001106104055714871,0.002975534494159136,0.001048750512085211,0.014106237601939608,0.0011183941007783696,0.03008595988538682,0.9654909191578611,7.649937375761139,0.0006460445787338813,0.0
random,predicted,0.001,0.00240046480337594,0.025954703256736607,0.0043944970804481506,0.01607803513313933,0.2702863961813842,39.023866348448685,0.02714839357129613,0.062450278440138646,0.0005966587112171838,0.00016531658125309968,0.0010739856801909309,0.001487849231277897,0.0010739856801909309,0.002975698462555794,0.0011097852028639618,0.015374442056538271,0.0011276849642004774,0.03124483385683584,0.9654458629087338,7.670094178211475,0.0005699250566163379,0.0
random,not_predicted,0.001,0.002071526284932577,0.017549668874172128,0.003705645864218728,0.0004878655558840285,0.29411764705882354,33.44444444444444,0.02194917378601012,0.051960784313218135,0.00392156862745098,0.0009917355371900827,0.001568627450980392,0.0019834710743801653,0.001176470588235294,0.0029752066115702478,0.0009150326797385621,0.011570247933884297,0.0010980392156862745,0.027768595041322314,0.9655896306265375,7.605776851700008,0.0008128110088894403,0.0
laat,all,0.047,0.38077832724145305,0.3905612526188109,0.38560775134223246,0.3437973597405001,0.21343711593609177,3.8107333060221222,0.548344988845984,0.6297965314701361,0.48504711183941007,0.13048269781794136,0.3075788611224908,0.4137094996693851,0.2067595247849242,0.5562045404452282,0.05936911102007374,0.7985452942473,0.031884473576403116,0.8577253691866873,0.5155197061859638,2.433584158023716,0.40424886911437324,0.0
laat,predicted,0.047,0.36898053278688475,0.47627707059017943,0.4158187197756963,0.3893979631842784,0.09427207637231504,4.658711217183771,0.6593427338227033,0.736774065227691,0.5363961813842482,0.1486196065465366,0.3305489260143198,0.45792693007108615,0.2230310262529833,0.6179533807240867,0.062494033412887826,0.8657629360224831,0.033042959427207634,0.915523226979666,0.4288082893758558,1.9407992780265775,0.4557038205410081,0.0
laat,not_predicted,0.047,0.44243641231592745,0.21887417218542973,0.29286663712450234,0.2623173355845397,0.4745098039215686,1.9529411764705882,0.30516561553751187,0.3954248365973759,0.37254901960784315,0.09421487603305785,0.2572549019607843,0.3252892561983471,0.1711111111111111,0.43272727272727274,0.05252287581699346,0.6641322314049587,0.02934640522875817,0.7421487603305785,0.7054913853673248,3.5132017513246367,0.2915188055966739,0.0
attention_rollout,all,0.003,0.01732148712084256,0.238835593781012,0.03230039667027711,0.0036274240131984564,0.0,51.22777550184351,0.2499763142558393,0.3127475078489067,0.00819336337566571,0.002204099625303064,0.005489553461696026,0.007383733744765263,0.004383449405981155,0.011791932995371391,0.009840229414174518,0.13235618249944897,0.013412535845964768,0.3608111086621115,0.7682799487143395,5.556638896215739,0.004074501270957614,0.0
attention_rollout,predicted,0.003,0.01838794843919863,0.2936022483055046,0.03460841436450055,0.0038295682140857784,0.0,57.62828162291169,0.30864759513797707,0.36570206841328984,0.007756563245823389,0.002149115556290296,0.0059665871121718375,0.008265829062654984,0.00477326968973747,0.013225326500247974,0.011288782816229116,0.1563894858654323,0.014468973747016707,0.4008927095387667,0.7399320393024212,5.373631036711114,0.004319748048361022,0.0
attention_rollout,not_predicted,0.003,0.013702480500316206,0.1291390728476817,0.02477606251017704,0.0032583727723186173,0.0,37.20522875816994,0.12143635770882905,0.19673202614183985,0.009150326797385621,0.0023140495867768596,0.0044444444444444444,0.005619834710743801,0.0035294117647058825,0.008925619834710744,0.006666666666666667,0.08429752066115702,0.011098039215686275,0.2806611570247934,0.8303859567854179,5.957581605404957,0.0035372024488293627,0.0
deeplift,all,0.023,0.3541095890410954,0.2850369390230453,0.3158409188050037,0.26063800746575083,0.12044244162228594,2.990577632117984,0.423267349915393,0.5852792571294039,0.4338385907414994,0.11670707515979722,0.26751331421548546,0.35981926383072516,0.18279393691110202,0.4917346264051135,0.0577550184350676,0.7768349129380648,0.032113887750921756,0.8638968481375359,0.7305981093801766,3.2952727241494078,0.31042505239719737,0.0
