explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004935519821684438,0.003418237953467854,0.004039087943047676,0.014749783515750351,0.9324047521507579,2.5731257681278166,0.004480501745942548,0.008056807319325869,0.0008193363375665711,0.00022040996253030638,0.000737402703809914,0.0009918448313863788,0.0008603031544448997,0.0023143046065682168,0.0010897173289635396,0.014657262508265373,0.0010897173289635396,0.029314525016530747,0.965489661297673,7.638358599789727,0.0003128872914172592,0.0
random,predicted,0.002,0.006072382803011887,0.004115226337448553,0.0049058084724215726,0.015159614452592951,0.9277611940298508,2.457910447761194,0.00593603411510468,0.008756218905387728,0.0,0.0,0.0004776119402985075,0.0006584362139917696,0.0007164179104477612,0.0019753086419753087,0.000955223880597015,0.01316872427983539,0.0010208955223880596,0.028148148148148148,0.9654951836281147,7.66892297289928,0.00024316512674721629,0.0
random,not_predicted,0.002,0.002772643253234738,0.0020040080160320575,0.002326483128126745,0.0004865575871944007,0.9425587467362925,2.825065274151436,0.0012977122964039434,0.006527415143537859,0.0026109660574412533,0.0006668889629876625,0.0013054830287206266,0.0016672224074691564,0.001174934725848564,0.0030010003334444814,0.0013838120104438642,0.017672557519173057,0.0012402088772845953,0.03167722574191397,0.9654775857056498,7.571523971906571,0.00046534763844378933,0.0
laat,all,0.055,0.4128856624319414,0.3511963832837134,0.37955073585870375,0.3326198515945018,0.27611634575993443,3.1601802539942647,0.5092194387434706,0.5816605216385546,0.4932404752150758,0.13268679744324444,0.3104465383039738,0.41756667401366543,0.20557148709545267,0.5530085959885387,0.05966407210159771,0.8025126735728455,0.03229823842687423,0.8688560722944677,0.5127532736821135,2.454886901184164,0.40469764894448895,0.0
laat,predicted,0.055,0.40358190520302545,0.43028806584362067,0.41650732950424596,0.3759742113151775,0.15701492537313433,3.866865671641791,0.6162970719122448,0.6852736318342757,0.5373134328358209,0.14814814814814814,0.336,0.4632098765432099,0.22202985074626866,0.6121810699588477,0.06260298507462686,0.8630452674897119,0.03346865671641791,0.9227983539094651,0.427549103733772,1.967081244743262,0.45319277624694687,0.0
laat,not_predicted,0.055,0.46160064672594614,0.1907147628590508,0.2699125502203942,0.2536128805028841,0.5365535248041775,1.614882506527415,0.2750744837073132,0.35509138380848565,0.3968668407310705,0.10136712237412471,0.2545691906005222,0.32510836945648547,0.1695822454308094,0.43314438146048684,0.053237597911227154,0.679893297765922,0.029738903394255875,0.7595865288429476,0.6990678750704585,3.5215637608950123,0.29865412644890543,0.0
attention_rollout,all,0.003,0.017898802626496714,0.2554857205866135,0.03345389441037326,0.0034185423586578427,0.0,53.031544448996314,0.26123606442082953,0.3230233510824631,0.0077836952068824255,0.0020938946440379105,0.005161818926669398,0.006942913819704651,0.004711183941007784,0.012673572845492616,0.009995903318312167,0.1344500771434869,0.013195411716509627,0.3549702446550584,0.7542554192608921,5.564820466199538,0.004082903601386701,0.0
attention_rollout,predicted,0.003,0.018695374768333314,0.30386831275720116,0.035223629979063704,0.003237974572927627,0.0,58.94985074626866,0.3146375944814074,0.3716417910411507,0.007761194029850746,0.002139917695473251,0.005014925373134328,0.006913580246913581,0.0049552238805970145,0.013662551440329218,0.011247761194029851,0.15506172839506172,0.014029850746268656,0.3868312757201646,0.726028697975313,5.380262320328268,0.004716851354578771,0.0
attention_rollout,not_predicted,0.003,0.015337523201667258,0.1573146292585165,0.02795003411997267,0.003817171442837722,0.0,40.090078328981726,0.14446378915781663,0.21671018276548953,0.007832898172323759,0.0020006668889629878,0.005483028720626632,0.007002334111370457,0.004177545691906005,0.0106702234078026,0.007258485639686684,0.09269756585528509,0.011370757180156657,0.29043014338112705,0.8159783411320994,5.968390824338413,0.0026966601462996035,0.0
deeplift,all,0.021,0.3223472668810286,0.30951593339949246,0.3158013163025902,0.24301505587494365,0.08930766079475624,3.5673904137648504,0.4544258526948081,0.6039532978229312,0.42564522736583366,0.11450297553449416,0.26374436706267923,0.3547498346925281,0.17984432609586234,0.4837998677540225,0.057484637443670626,0.7731981485563147,0.03225317492830807,0.867643817500551,0.7224326753415288,3.302218055956718,0.3110876395058309,0.0
deeplift,predicted,0.021,0.3213275785087062,0.35539094650205705,0.3375019540359689,0.2655390089486745,0.04298507462686567,4.0113432835820895,0.5218658765372564,0.6728855721328586,0.46805970149253734,0.12905349794238682,0.2813134328358209,0.38781893004115225,0.18913432835820895,0.5214814814814814,0.05885373134328358,0.811358024691358,0.03245373134328358,0.8948148148148148,0.7006901097433994,3.0898707346194336,0.3448899294767803,0.0
deeplift,not_predicted,0.021,0.32579185520361825,0.2164328657314622,0.2600842865695551,0.1989871970750876,0.1906005221932115,2.5966057441253265,0.3069558266685667,0.45322019146636683,0.3328981723237598,0.08502834278092697,0.22532637075718015,0.2877625875291764,0.15953002610966058,0.40746915638546183,0.05449086161879896,0.6958986328776259,0.031814621409921674,0.8126042014004669,0.7699767972434435,3.7665545614919025,0.23717271039180982,0.0
gradient_x_input,all,0.02,0.327227215837979,0.3171242694894693,0.3220965393611113,0.25246771428556714,0.10569438754608768,3.6005735354362964,0.45764323614002234,0.6074013382434951,0.4387546087668988,0.11802953493497906,0.26849651782056533,0.36114172360590696,0.18279393691110202,0.4917346264051135,0.05810733306022122,0.7815737271324664,0.03244162228594838,0.872713246638748,0.7296095673037969,3.323419599029495,0.32020260224875435,0.0
gradient_x_input,predicted,0.02,0.3233779608650871,0.3618106995884768,0.3415164698520693,0.27324702677743296,0.056716417910447764,4.057910447761194,0.5228695878909065,0.6746268656651803,0.47880597014925375,0.1320164609053498,0.2852537313432836,0.39325102880658436,0.1925373134328358,0.5308641975308642,0.059450746268656714,0.8195884773662552,0.03258507462686567,0.8984362139917695,0.7081587182861108,3.1206163172382264,0.35260585028966535,0.0
gradient_x_input,not_predicted,0.02,0.3403614457831308,0.2264529058116225,0.2719614921732995,0.21322921313345866,0.21279373368146215,2.6005221932114884,0.31501381161948583,0.46040034812427477,0.35117493472584854,0.08969656552184062,0.2318537859007833,0.2960986995665222,0.16148825065274153,0.4124708236078693,0.05516971279373368,0.7045681893964655,0.03212793733681462,0.8206068689563187,0.7765157972053952,3.7668863052963024,0.24934693584075712,0.0
integrated_gradient,all,0.017,0.38829935772130636,0.30664902414819684,0.34267759225678995,0.28895669064300405,0.07578861122490782,2.934043424825891,0.4775304365085789,0.6177454595051646,0.4875051208521098,0.1311439277055323,0.28504711183941006,0.3834031298214679,0.19123310118803769,0.514436852545735,0.058934862761163456,0.7927044302402468,0.03240475215075789,0.8717214018073617,0.817562961245265,3.379385749942716,0.37874899901349973,0.0
integrated_gradient,predicted,0.017,0.39158279963403403,0.35226337448559614,0.3708838821440601,0.31857559426229154,0.023283582089552238,3.262686567164179,0.5460563465550302,0.678457711436277,0.5283582089552239,0.145679012345679,0.303044776119403,0.4177777777777778,0.20023880597014926,0.5520987654320988,0.05992835820895522,0.8261728395061728,0.03258507462686567,0.8984362139917695,0.8064110013601048,3.177385322108955,0.4200660394171337,0.0
integrated_gradient,not_predicted,0.017,0.37772539776075204,0.2140948563794248,0.2732892773349675,0.2267441959732531,0.1906005221932115,2.215404699738903,0.32768592041483785,0.4849869451649381,0.3981723237597911,0.10170056685561854,0.24569190600522192,0.31377125708569525,0.17154046997389033,0.4381460486828943,0.05676240208877285,0.7249083027675892,0.032010443864229764,0.8176058686228743,0.8419487743100735,3.8210968682476123,0.2884016848149528,0.0
grad_attention,all,0.047,0.4091224590976694,0.4549564450325279,0.43082384879944097,0.3891695134645423,0.025399426464563703,4.1315034821794345,0.6217682831383435,0.757442305058987,0.5350266284309709,0.14392770553229006,0.3380581728799672,0.45470575270002206,0.22519459238017206,0.605796782014547,0.06309709135600164,0.8486885607229446,0.033981974600573533,0.9141503195944457,0.28760583620909175,2.1556357675391307,0.451550337727103,0.0
grad_attention,predicted,0.047,0.4161700975081251,0.5058436213991762,0.45664611040443814,0.4238074419909929,0.0011940298507462687,4.408358208955224,0.6907646414340013,0.8161194029773333,0.5719402985074626,0.1576954732510288,0.35797014925373133,0.49349794238683126,0.2364776119402985,0.6520164609053498,0.0645731343283582,0.8902057613168725,0.03445373134328358,0.9499588477366255,0.24081230475183477,1.8493910835476624,0.4910476348922477,0.0
grad_attention,not_predicted,0.047,0.38985560903368977,0.35170340681362605,0.3697980684761357,0.31433207316730916,0.0783289817232376,3.5261096605744124,0.4708950453508415,0.629134029584796,0.45430809399477806,0.11603867955985328,0.2945169712793734,0.3761253751250417,0.20052219321148826,0.5121707235745249,0.059869451697127936,0.7645881960653551,0.032950391644908615,0.8416138712904302,0.38992850617110936,2.8252961404969765,0.3651822270853047,0.0
atgrad_attention,all,0.032,0.362824675324675,0.3943102877935821,0.3779128137334495,0.3183118982112355,0.1642769356820975,4.037689471528062,0.5499007799002441,0.6539669534281296,0.5141335518230233,0.13830725148776724,0.3100368701351905,0.4170156491073396,0.20110610405571486,0.540996253030637,0.05831216714461286,0.7843288516640953,0.03179024989758296,0.8551906546175887,0.6097333730491435,2.6898656985805727,0.40241559016334294,0.0
atgrad_attention,predicted,0.032,0.3510372406898271,0.4623868312757194,0.3990907153463753,0.3473934763518846,0.0662686567164179,4.777313432835821,0.6341095313846845,0.7393034825800533,0.5480597014925374,0.1511111111111111,0.328,0.4521810699588477,0.21265671641791045,0.5863374485596707,0.060370149253731346,0.8322633744855967,0.03255522388059701,0.8976131687242799,0.5582971631910232,2.3350368639957617,0.43683558195931166,0.0
atgrad_attention,not_predicted,0.032,0.41370010787486294,0.256179024716098,0.3164191419094666,0.27206700149512425,0.3785900783289817,2.4203655352480418,0.36576284421298877,0.4673629242773825,0.43994778067885115,0.11237079026342114,0.27075718015665795,0.345781927309103,0.1758485639686684,0.4491497165721907,0.05381201044386423,0.6872290763587863,0.030117493472584855,0.7692564188062687,0.7222081139268869,3.4657642598463134,0.32714994230662287,0.0
