explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004462151394422304,0.0030874407321645134,0.003649635031662131,0.0004641204066204476,0.9278984022941418,2.570667759115117,0.005033066073589747,0.007374027038025399,0.0008193363375665711,0.00022040996253030638,0.0010651372388365424,0.0014326647564469914,0.0010651372388365424,0.0028653295128939827,0.0009832036050798853,0.013224597751818383,0.0009954936501433839,0.026779810447432224,0.9654858700022375,7.654108141840089,0.00039963178324324046,0.0
random,predicted,0.002,0.005084745762711852,0.003496503496503491,0.004143646404011049,0.0004537858478353138,0.9251207729468599,2.493961352657005,0.005621693121654384,0.007850241545815217,0.0012077294685990338,0.000333000333000333,0.0012077294685990338,0.001665001665001665,0.001147342995169082,0.0031635031635031635,0.0010265700483091788,0.014152514152514152,0.0010265700483091788,0.028305028305028304,0.965467011238588,7.674731773880068,0.0004368313073732508,0.0
random,not_predicted,0.002,0.0032634032634032482,0.002285341168788762,0.0026881720381660935,0.0004858149335355035,0.9337579617834395,2.732484076433121,0.0037913254473540266,0.006369426751528662,0.0,0.0,0.0007643312101910828,0.0009778357235984355,0.0008917197452229299,0.0022816166883963492,0.0008917197452229299,0.011408083441981747,0.0009299363057324841,0.02379400260756193,0.9655256535851721,7.610601473485686,0.00032115737310400844,0.0
laat,all,0.051000000000000004,0.3786796536796533,0.38581982578012974,0.38221639630282683,0.32964500338610747,0.2290045063498566,3.7853338795575584,0.5436789335596065,0.6105079885234379,0.48217943465792706,0.1297112629490853,0.30512085210979106,0.4104033502314305,0.20893076607947564,0.5620454044522812,0.060237607537894304,0.8102270222614062,0.032560426054895536,0.8759091910954375,0.5023963055415803,2.427362188952037,0.39475014410174797,0.0
laat,predicted,0.051000000000000004,0.36935166994106045,0.46953046953046873,0.41345942379098016,0.3698836757139518,0.11594202898550725,4.6105072463768115,0.6510218285338563,0.7112016908145015,0.5283816425120773,0.1456876456876457,0.33115942028985507,0.4565434565434565,0.2272342995169082,0.6265401265401266,0.0633695652173913,0.8736263736263736,0.03372584541062802,0.9299034299034299,0.4207561787969841,1.9630117626973151,0.4443821240904773,0.0
laat,not_predicted,0.051000000000000004,0.42305295950155497,0.22167809337250988,0.2909168808866605,0.25422167899452053,0.467515923566879,2.0445859872611467,0.31723328505341847,0.39808917197057003,0.38471337579617837,0.0984354628422425,0.25019108280254776,0.3200782268578879,0.17031847133757963,0.43578878748370276,0.05363057324840764,0.6861147327249022,0.030101910828025477,0.7702086049543677,0.6746205729161678,3.4069345531276034,0.2900487952338041,0.0
attention_rollout,all,0.003,0.01787176093459517,0.257580769654868,0.03342443016662412,0.0035188943007362205,0.0,53.54731667349447,0.2668854704517125,0.32752970093902395,0.0077836952068824255,0.0020938946440379105,0.005571487095452683,0.007493938726030417,0.004465383039737813,0.012012342957901698,0.009422367882015567,0.12673572845492617,0.013293732077017615,0.3576151642054221,0.7648297124341278,5.542895055828234,0.0037599109952011498,0.0
attention_rollout,predicted,0.003,0.018817314386338505,0.3060273060273055,0.03545456298959161,0.0037806297350368194,0.0,58.98309178743961,0.31763450649359165,0.3753019323634798,0.010265700483091788,0.0028305028305028305,0.006159420289855073,0.008491508491508492,0.005193236714975845,0.01431901431901432,0.011038647342995169,0.1521811521811522,0.014541062801932366,0.40093240093240096,0.7378939781128735,5.365760798322945,0.004802061440919338,0.0
attention_rollout,not_predicted,0.003,0.015075833257651437,0.16258570029382904,0.02759308510482984,0.003006125664474305,0.0,42.08025477707007,0.15982763136209227,0.22675159235443948,0.0025477707006369425,0.000651890482398957,0.004331210191082803,0.005541069100391135,0.002929936305732484,0.007496740547588005,0.006012738853503185,0.07692307692307693,0.010662420382165605,0.2728161668839635,0.8216521022889011,5.916569362106909,0.0015614382078007417,0.0
deeplift,all,0.021,0.3357289527720736,0.32451207409857724,0.33002523128179667,0.2661754128277749,0.08971732896353954,3.591151167554281,0.46382476941443135,0.6256657107682378,0.4522736583367472,0.12166629931672912,0.27349446947972145,0.36786422746308134,0.18455551003687012,0.4964734405995151,0.057206063088897995,0.7694511791932995,0.032146661204424415,0.864778487987657,0.7202146796618029,3.260487840777652,0.32477287648105985,0.0
deeplift,predicted,0.021,0.3294434470377015,0.36663336663336604,0.347044917252697,0.2831934209134743,0.0464975845410628,4.036231884057971,0.520498119854162,0.6856380837293472,0.4776570048309179,0.1317016317016317,0.2893719806763285,0.3989343989343989,0.19553140096618357,0.5391275391275391,0.058949275362318844,0.8126873126873126,0.03246980676328502,0.8952713952713953,0.6988027585455684,3.064809634512531,0.34589245202065527,0.0
