explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.003,0.0056561085972850035,0.0023912003825920496,0.003361344533638123,0.00045765358315834597,0.9778156996587031,1.5085324232081911,0.003270762229793207,0.0068259385664846415,0.0017064846416382253,0.00047824007651841227,0.00034129692832764505,0.00047824007651841227,0.0008532423208191126,0.0023912003825920613,0.0011262798634812286,0.015781922525107604,0.0010409556313993175,0.029172644667623145,0.965405350068298,7.686082583172875,0.0002899908541346004,0.0
random,predicted,0.003,0.002564102564102498,0.0007204610951008594,0.0011248593891512312,0.0004628305086667313,0.9820971867007673,0.9974424552429667,0.0008525149190082409,0.002557544757007673,0.0025575447570332483,0.0007204610951008645,0.0005115089514066496,0.0007204610951008645,0.0007672634271099745,0.002161383285302594,0.0009207161125319693,0.012968299711815562,0.0009462915601023018,0.026657060518731988,0.9653490152310303,7.673833602020255,0.0002841716396703609,0.0
random,not_predicted,0.003,0.00809716599190267,0.005689900426742451,0.006683375099580055,0.0004477649966242405,0.9692307692307692,2.533333333333333,0.008119658119623575,0.015384615384461538,0.0,0.0,0.0,0.0,0.0010256410256410256,0.002844950213371266,0.0015384615384615385,0.021337126600284494,0.0012307692307692308,0.034139402560455195,0.9655183086394347,7.7106433607660785,0.00030165912518853697,0.0
laat,all,0.049,0.417065737919023,0.45815399330463674,0.4366453965310163,0.39304166098780596,0.16040955631399317,3.919795221843003,0.6263678419571933,0.7207053469782518,0.5631399317406144,0.15781922525107603,0.3324232081911263,0.46580583452893354,0.21382252559726964,0.5992348158775705,0.0578839590443686,0.8110951697752271,0.030648464163822525,0.8589191774270684,0.45730628942575985,2.270721469651582,0.47197608955342235,0.0
laat,predicted,0.049,0.41086956521738904,0.5446685878962497,0.46840148698394274,0.4409730102204826,0.03836317135549872,4.705882352941177,0.7445684572559119,0.8435635123533967,0.6061381074168798,0.1707492795389049,0.3621483375959079,0.5100864553314121,0.23375959079283887,0.6585014409221902,0.06194373401534527,0.872478386167147,0.032531969309462914,0.9164265129682997,0.3665413915038705,1.7602045609288264,0.5224387953679398,0.0
laat,not_predicted,0.049,0.44201312910283497,0.2873399715504938,0.3482758620641844,0.2979452717747012,0.40512820512820513,2.3435897435897437,0.38936045435822386,0.47435897435424346,0.47692307692307695,0.13229018492176386,0.27282051282051284,0.3783783783783784,0.17384615384615384,0.4822190611664296,0.04974358974358974,0.689900426742532,0.026871794871794873,0.7453769559032717,0.639301546284523,3.294373322526441,0.37079189481764624,0.0
attention_rollout,all,0.003,0.016711879165410757,0.23864179818268658,0.031236306728041195,0.0028184611243002697,0.0,50.95392491467577,0.23955167414949333,0.30716723549183444,0.0017064846416382253,0.00047824007651841227,0.0034129692832764505,0.004782400765184123,0.003924914675767918,0.010999521759923482,0.009078498293515359,0.12721186035389764,0.01257679180887372,0.35246293639406984,0.7699454326081849,5.5822362976538225,0.0028609618476095494,0.0
attention_rollout,predicted,0.003,0.018209833309987385,0.28097982708933517,0.03420302565112602,0.0034659805958431895,0.0,54.77493606138108,0.27963872586499106,0.3427109974390665,0.0025575447570332483,0.0007204610951008645,0.004092071611253197,0.005763688760806916,0.004859335038363171,0.013688760806916427,0.009923273657289003,0.13976945244956773,0.013452685421994884,0.37896253602305474,0.7478594379464175,5.414360032080822,0.0038537730222887347,0.0
attention_rollout,not_predicted,0.003,0.012911632314617375,0.15504978662873178,0.023838162929143834,0.0015867419826896664,0.0,43.292307692307695,0.15917199609431587,0.2358974358950769,0.0,0.0,0.0020512820512820513,0.002844950213371266,0.0020512820512820513,0.005689900426742532,0.0073846153846153844,0.10241820768136557,0.01082051282051282,0.30014224751066854,0.8142306834428058,5.918849732725839,0.0008702481588938496,0.0
deeplift,all,0.02,0.3133561643835603,0.35007173601147606,0.33069798960423,0.25729394085613405,0.06143344709897611,3.986348122866894,0.49738830329399814,0.6562855517570021,0.4539249146757679,0.12721186035389764,0.2696245733788396,0.37780966044954567,0.18088737201365188,0.506934481109517,0.05532423208191126,0.7752271640363463,0.030170648464163823,0.8455284552845529,0.7218948862213189,3.281138163109482,0.3238344712231517,0.0
