explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.002158428663932656,0.019129603060736397,0.003879164038327116,0.00045765358315834597,0.1945392491467577,31.62457337883959,0.024103302366807577,0.04863481228623294,0.0,0.0,0.0006825938566552901,0.0009564801530368245,0.0017064846416382253,0.004782400765184123,0.0010921501706484642,0.015303682448589193,0.0010750853242320819,0.03012912482065997,0.965471732748607,7.629297557467689,0.00042174110492718565,0.0
random,predicted,0.001,0.0018579072532699155,0.01806358381502877,0.003369272235505486,0.0004466830235276695,0.17574257425742573,33.306930693069305,0.025029065406364473,0.04826732673222154,0.0,0.0,0.0004950495049504951,0.000722543352601156,0.0014851485148514852,0.004335260115606936,0.0009405940594059406,0.013728323699421965,0.0010148514851485149,0.029624277456647398,0.9654477226674419,7.651671193392598,0.0004624936546950628,0.0
random,not_predicted,0.001,0.002955082742316779,0.021216407355020915,0.005187618880786544,0.00048076792305536516,0.23626373626373626,27.89010989010989,0.022048311883395576,0.04945054945008241,0.0,0.0,0.001098901098901099,0.0014144271570014145,0.002197802197802198,0.005657708628005658,0.0014285714285714286,0.018387553041018388,0.0012087912087912088,0.031117397454031116,0.9655250298518526,7.579633002997012,0.0003312794010468429,0.0
laat,all,0.061,0.3795148247978416,0.3366810138689606,0.356817029898716,0.30957418343497284,0.257679180887372,3.1655290102389078,0.5008124530917891,0.6072241183103778,0.5051194539249146,0.14155906264945003,0.2880546075085324,0.4036346245815399,0.1901023890784983,0.5327594452415112,0.05395904436860068,0.7560975609756098,0.029522184300341297,0.8273553323768532,0.48984594804138987,2.5779195643164003,0.4058167553572162,0.0
laat,predicted,0.061,0.36734693877550784,0.4161849710982629,0.39024390243404117,0.35267855689661887,0.12623762376237624,3.881188118811881,0.5906590762062239,0.7087458745806284,0.5495049504950495,0.16040462427745664,0.3094059405940594,0.4515895953757225,0.2042079207920792,0.5960982658959537,0.05613861386138614,0.819364161849711,0.03037128712871287,0.8865606936416185,0.40189783311302274,2.1612926789133318,0.44986457975991573,0.0
laat,not_predicted,0.061,0.4459930313588695,0.18104667609617847,0.25754527162566615,0.2351725280138297,0.5494505494505495,1.5769230769230769,0.3013726962883183,0.3818681318643269,0.4065934065934066,0.10466760961810467,0.24065934065934066,0.30975954738330974,0.15879120879120878,0.4087694483734088,0.04912087912087912,0.6322489391796322,0.027637362637362637,0.7114568599717115,0.6850714339263367,3.5027396835627718,0.30804026602375145,0.0
attention_rollout,all,0.003,0.016419324281654556,0.24868483978957318,0.030804774738922708,0.0025886029848768764,0.0,54.044368600682596,0.2641641208607114,0.3304891922606816,0.0017064846416382253,0.00047824007651841227,0.004095563139931741,0.005738880918220947,0.004095563139931741,0.011477761836441894,0.00870307167235495,0.12195121951219512,0.012081911262798634,0.3385939741750359,0.7572905846310909,5.537597244493635,0.002633136188305563,0.0
attention_rollout,predicted,0.003,0.017427385892116176,0.30346820809248337,0.03296185841994281,0.0027322062958049327,0.0,59.65346534653465,0.3139157253621037,0.3692244224386063,0.0024752475247524753,0.000722543352601156,0.0039603960396039604,0.005780346820809248,0.004207920792079208,0.012283236994219654,0.009653465346534653,0.14089595375722544,0.01254950495049505,0.3663294797687861,0.7284238785852896,5.382768014885985,0.0034458983781547616,0.0
attention_rollout,not_predicted,0.003,0.013210039630118874,0.14144271570013944,0.024163344205275744,0.00228649413995986,0.0,41.59340659340659,0.15372649328619242,0.24450549450309061,0.0,0.0,0.004395604395604396,0.005657708628005658,0.0038461538461538464,0.009900990099009901,0.006593406593406593,0.08486562942008487,0.011043956043956044,0.2842998585572843,0.8213683277217713,5.881284105820503,0.0008289827558930549,0.0
deeplift,all,0.021,0.3040961709706131,0.326637972262074,0.31496426100491964,0.2434692231200485,0.06484641638225255,3.832764505119454,0.4566351476520728,0.6292662115979923,0.44880546075085326,0.1257771401243424,0.26313993174061434,0.36872309899569583,0.17627986348122868,0.49402199904351984,0.054914675767918086,0.7694882831181253,0.03069965870307167,0.8603538976566236,0.718089465923392,3.281939241053905,0.3099504767317246,0.0
deeplift,predicted,0.021,0.3066588785046711,0.3793352601156042,0.3391472868167594,0.2720543565710565,0.019801980198019802,4.237623762376238,0.5271199269620609,0.6980198019734818,0.47277227722772275,0.13800578034682082,0.2806930693069307,0.4096820809248555,0.18861386138613861,0.5505780346820809,0.05599009900990099,0.8171965317919075,0.03051980198019802,0.8908959537572254,0.6991576694608739,3.0896519025018696,0.33870746975402544,0.0
