explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.004199475065616776,0.0038259206121472795,0.004004003999014816,0.0004576541841542634,0.9419795221843004,3.250853242320819,0.0036567528034989944,0.010238907849726963,0.0034129692832764505,0.0009564801530368245,0.0027303754266211604,0.003825920612147298,0.0020477815699658703,0.005738880918220947,0.0014675767918088736,0.020564323290291727,0.001279863481228669,0.035868005738880916,0.9654681646785267,7.645341888147676,0.0011277196782115474,0.0
random,predicted,0.002,0.00294406280667318,0.0021961932650073047,0.002515723265546071,0.00045082151164478894,0.9390862944162437,2.5862944162436547,0.001692047377322335,0.005076142131928934,0.0025380710659898475,0.0007320644216691069,0.0020304568527918783,0.0029282576866764276,0.0015228426395939086,0.004392386530014641,0.0011675126903553299,0.01683748169838946,0.0010152284263959391,0.029282576866764276,0.965442218698305,7.638633030271826,0.001020355842690868,0.0
random,not_predicted,0.002,0.005643340857787746,0.0068965517241378355,0.006207324638128694,0.00047110716030898783,0.9479166666666666,4.614583333333333,0.007688492063465682,0.020833333333125,0.005208333333333333,0.001379310344827586,0.004166666666666667,0.005517241379310344,0.003125,0.008275862068965517,0.0020833333333333333,0.027586206896551724,0.0018229166666666667,0.04827586206896552,0.9655214079921062,7.659109023580407,0.0013480392156862747,0.0
laat,all,0.051000000000000004,0.3648305084745747,0.411764705882351,0.3868793529494088,0.3386180748249564,0.2150170648464164,4.027303754266212,0.5683620655003491,0.6439135381052541,0.5187713310580204,0.14538498326159732,0.3068259385665529,0.4299378287900526,0.20597269624573378,0.5772357723577236,0.05767918088737201,0.8082257293161167,0.03119453924914676,0.8742228598756576,0.4852856058270223,2.3546525374076728,0.4194013745089911,0.0
laat,predicted,0.051000000000000004,0.36257309941520277,0.4992679355783272,0.42008007390950575,0.38478832451775835,0.10152284263959391,4.774111675126903,0.673036924999994,0.7495769881484743,0.5634517766497462,0.16251830161054173,0.33401015228426395,0.4816983894582723,0.22258883248730965,0.6420204978038068,0.06096446700507614,0.8792093704245973,0.03251269035532995,0.9377745241581259,0.403595530675354,1.9137251703917144,0.4635998297042007,0.0
laat,not_predicted,0.051000000000000004,0.37369519832984605,0.24689655172413452,0.2973421926862337,0.25432438144338454,0.4479166666666667,2.4947916666666665,0.3535605309021192,0.4270833333290624,0.4270833333333333,0.11310344827586206,0.25104166666666666,0.33241379310344826,0.171875,0.45517241379310347,0.0509375,0.6744827586206896,0.028489583333333332,0.7544827586206897,0.6529204475445081,3.259472238471673,0.3287024612438216,0.0
attention_rollout,all,0.003,0.017741783001922282,0.2692491630798648,0.033289971616626196,0.003834266034152231,0.0,54.1518771331058,0.2712675123497661,0.3296359499398583,0.0017064846416382253,0.00047824007651841227,0.005460750853242321,0.007651841224294596,0.004948805460750853,0.013868962219033954,0.009283276450511945,0.13008130081300814,0.01273037542662116,0.3567670970827355,0.7591772949790868,5.522426021696865,0.003207576904361528,0.0
attention_rollout,predicted,0.003,0.017955918645221676,0.30893118594436086,0.0339391989695263,0.004003246680086863,0.0,59.6497461928934,0.3155797882304708,0.37351945854115975,0.0025380710659898475,0.0007320644216691069,0.005076142131979695,0.007320644216691069,0.00532994923857868,0.015373352855051245,0.009949238578680204,0.14348462664714495,0.013071065989847716,0.37701317715959004,0.7308790008083609,5.366018854516681,0.003859045042587656,0.0
attention_rollout,not_predicted,0.003,0.01713036083100472,0.19448275862068698,0.03148727110168303,0.003487180600848505,0.0,42.869791666666664,0.18033502955290337,0.23958333333093748,0.0,0.0,0.00625,0.008275862068965517,0.004166666666666667,0.011034482758620689,0.007916666666666667,0.10482758620689656,0.01203125,0.31862068965517243,0.8172477528085977,5.843386562681201,0.001870709995709996,0.0
deeplift,all,0.019,0.30867143993635515,0.3711142993782861,0.33702497285063243,0.27856638088985286,0.059726962457337884,4.290102389078498,0.5194075572671009,0.6874288964666001,0.47440273037542663,0.13295074127211862,0.2812286689419795,0.39406982305117166,0.18430034129692832,0.5164992826398852,0.05559726962457338,0.7790530846484935,0.03097269624573379,0.8680057388809183,0.7221455034365554,3.1856019153942152,0.3367699230840899,0.0
