explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.001,0.001966411564625849,0.017694882831181168,0.003539484381420698,0.00045765358315834597,0.19283276450511946,32.10921501706485,0.022133512107793265,0.04180887371973123,0.0,0.0,0.0010238907849829352,0.0014347202295552368,0.0013651877133105802,0.003825920612147298,0.0009556313993174062,0.013390722142515544,0.0009897610921501705,0.02773792443806791,0.9654321090438568,7.6321276619131275,0.00043111190946649904,0.0
random,predicted,0.001,0.0018389113644722312,0.017301038062283617,0.0033244680833694525,0.0004561332401495707,0.16747572815533981,32.99757281553398,0.022876213592090706,0.044902912620928395,0.0,0.0,0.0004854368932038835,0.0006920415224913495,0.0012135922330097086,0.0034602076124567475,0.0008737864077669903,0.01245674740484429,0.0008737864077669903,0.02491349480968858,0.9654206052820903,7.626002828492139,0.00048543689320388353,0.0
random,not_predicted,0.001,0.002298410266232518,0.018575851393188566,0.004090676664138828,0.0004610913160659561,0.25287356321839083,30.00574712643678,0.020374931581755667,0.034482758620344826,0.0,0.0,0.0022988505747126436,0.0030959752321981426,0.0017241379310344827,0.0046439628482972135,0.0011494252873563218,0.015479876160990712,0.001264367816091954,0.034055727554179564,0.9654593478360857,7.646630141047878,0.0003024803387779794,0.0
laat,all,0.046,0.3589642997253811,0.4375896700143451,0.394396551719185,0.34662888329078,0.20477815699658702,4.349829351535837,0.5933186835882392,0.6649601820186025,0.5546075085324232,0.15542802486848398,0.3194539249146758,0.44763271162123386,0.2098976109215017,0.5882352941176471,0.058054607508532426,0.8134863701578192,0.031450511945392494,0.8813964610234337,0.493676270312149,2.321768470274707,0.4610287899558964,0.0
laat,predicted,0.046,0.3533971728226158,0.5363321799307922,0.4260582737720095,0.39260057729889175,0.08009708737864078,5.322815533980583,0.7059001273766244,0.778317152096095,0.5922330097087378,0.16885813148788928,0.34271844660194173,0.4885813148788927,0.22305825242718447,0.6359861591695501,0.06111650485436893,0.871280276816609,0.03274271844660194,0.9335640138408304,0.4092605986158238,1.8647194910577742,0.49200273607858974,0.0
laat,not_predicted,0.046,0.3932584269662811,0.21671826625386661,0.2794411177598843,0.24753667391449022,0.5,2.045977011494253,0.3267465293306833,0.39655172413396544,0.46551724137931033,0.12538699690402477,0.26436781609195403,0.3560371517027864,0.17873563218390803,0.48142414860681115,0.05080459770114942,0.6842105263157895,0.02839080459770115,0.7647058823529411,0.6935570561678154,3.4039763980757187,0.3876881818952662,0.0
attention_rollout,all,0.003,0.016629242734875843,0.2443806791009075,0.03113954905426093,0.0031991935749972715,0.0,52.43856655290102,0.25063495946471925,0.30915813424042143,0.0034129692832764505,0.0009564801530368245,0.005802047781569966,0.008130081300813009,0.005119453924914676,0.014347202295552367,0.009658703071672355,0.13534194165471067,0.012440273037542662,0.3486370157819225,0.7595278312437734,5.563946795799346,0.005019629950127439,0.0
attention_rollout,predicted,0.003,0.017685022211046845,0.29204152249134746,0.033350456394386906,0.003529219400386874,0.0,57.91747572815534,0.3051072376905712,0.3656957928766734,0.0024271844660194173,0.0006920415224913495,0.006796116504854369,0.009688581314878892,0.005825242718446602,0.01660899653979239,0.011067961165048544,0.15778546712802768,0.013592233009708738,0.3875432525951557,0.7310567272198534,5.388954059030808,0.004443272546607144,0.0
attention_rollout,not_predicted,0.003,0.012960535896315694,0.1377708978328152,0.02369226673608285,0.002427823183467419,0.0,39.46551724137931,0.1216546225161503,0.1752873563201006,0.005747126436781609,0.0015479876160990713,0.0034482758620689655,0.0046439628482972135,0.0034482758620689655,0.009287925696594427,0.00632183908045977,0.08513931888544891,0.00971264367816092,0.26160990712074306,0.8269421695073085,5.978297413894968,0.006384338284899633,0.0
deeplift,all,0.02,0.30652173913043346,0.337159253945479,0.32111136414896113,0.251894251829695,0.06996587030716724,3.9249146757679183,0.4751039963042207,0.6504550625647495,0.44197952218430037,0.12386417981826878,0.26825938566552904,0.37589670014347204,0.18242320819112628,0.5112386417981827,0.055085324232081914,0.7718794835007173,0.03052901023890785,0.8555714968914395,0.7208654402706565,3.279788115104363,0.30811719924007364,0.0
deeplift,predicted,0.02,0.30577136514983183,0.3813148788927309,0.3393902063393762,0.26819140436750105,0.03155339805825243,4.37378640776699,0.5297156120546783,0.7079288025821254,0.4684466019417476,0.13356401384083044,0.28446601941747574,0.4055363321799308,0.19271844660194173,0.5494809688581315,0.057378640776699026,0.8179930795847751,0.031504854368932037,0.8982698961937716,0.7003980162209137,3.0917534573754386,0.33385021113288016,0.0
deeplift,not_predicted,0.02,0.30923694779115846,0.23839009287925328,0.2692307692258482,0.21763234758555966,0.16091954022988506,2.8620689655172415,0.34579373372267747,0.5143678160868247,0.3793103448275862,0.1021671826625387,0.22988505747126436,0.30959752321981426,0.15804597701149425,0.42569659442724456,0.0496551724137931,0.6687306501547987,0.0282183908045977,0.760061919504644,0.7693285362964845,3.7250196035199776,0.24718615958584209,0.0
gradient_x_input,all,0.021,0.3409999999999983,0.3261597321855556,0.3334148129991563,0.25679984528914446,0.10409556313993173,3.4129692832764507,0.4665667712994544,0.6393629123942076,0.4641638225255973,0.13008130081300814,0.2733788395904437,0.3830703012912482,0.18242320819112628,0.5112386417981827,0.05552901023890785,0.7780966044954567,0.030546075085324233,0.8560497369679579,0.7261508118245921,3.2939531171479732,0.33171351575978464,0.0
gradient_x_input,predicted,0.021,0.3386378103119011,0.36816608996539535,0.35278514588360055,0.27259278352925054,0.055825242718446605,3.813106796116505,0.5226294942889659,0.6994336569511364,0.49514563106796117,0.1411764705882353,0.28932038834951457,0.4124567474048443,0.19174757281553398,0.5467128027681661,0.05757281553398058,0.8207612456747405,0.03140776699029126,0.8955017301038062,0.7054714635231089,3.1093546277566366,0.35667585849480044,0.0
gradient_x_input,not_predicted,0.021,0.3496503496503415,0.2321981424148571,0.2790697674370591,0.22486773800343143,0.21839080459770116,2.4655172413793105,0.33382055364612856,0.49712643677665225,0.39080459770114945,0.10526315789473684,0.23563218390804597,0.3173374613003096,0.16034482758620688,0.43188854489164086,0.05068965517241379,0.6826625386996904,0.028505747126436783,0.7678018575851393,0.7751157055039661,3.7310483908791845,0.2726072789389428,0.0
integrated_gradient,all,0.017,0.37016875340228433,0.32520325203251876,0.34623217922108834,0.2886497198908001,0.06484641638225255,3.13481228668942,0.49686914336775767,0.6240045506196435,0.49146757679180886,0.13773314203730272,0.2819112627986348,0.3950263032042085,0.18907849829351536,0.5298900047824008,0.05658703071672355,0.7929220468675275,0.03081911262798635,0.8637015781922525,0.80979464091199,3.3526825499294834,0.37058637701503633,0.0
integrated_gradient,predicted,0.017,0.3658023826208804,0.3612456747404819,0.36350974929861884,0.3111274167766428,0.012135922330097087,3.4635922330097086,0.5463624293687601,0.6763754045242139,0.5242718446601942,0.14948096885813147,0.29854368932038833,0.42560553633217996,0.19781553398058252,0.5640138408304498,0.05859223300970874,0.8352941176470589,0.03177184466019418,0.9058823529411765,0.7985665524919914,3.1692930397505648,0.3877704814367069,0.0
integrated_gradient,not_predicted,0.017,0.38536585365852716,0.24458204334364947,0.29924242423766834,0.23830391760963904,0.1896551724137931,2.3563218390804597,0.37967814433090125,0.49999999999502864,0.41379310344827586,0.11145510835913312,0.2425287356321839,0.326625386996904,0.16839080459770114,0.4535603715170279,0.051839080459770114,0.6981424148606811,0.0285632183908046,0.7693498452012384,0.8363806893547456,3.7869151832266925,0.32989757803958675,0.0
grad_attention,all,0.054,0.4295548416704891,0.4476327116212317,0.4384074941401991,0.40025763514846896,0.025597269624573378,3.718430034129693,0.6188982471795663,0.765927189981199,0.5733788395904437,0.1606886657101865,0.3341296928327645,0.4681970349115256,0.22098976109215018,0.6193208990913438,0.06061433447098976,0.8493543758967002,0.03245733788395905,0.9096126255380201,0.2815533849754583,2.072223335438255,0.46290680138210194,0.0
grad_attention,predicted,0.054,0.43917274939172485,0.4996539792387509,0.4674651990885756,0.4363714813637758,0.0024271844660194173,3.9902912621359223,0.683150297648679,0.8236245954613474,0.5970873786407767,0.17024221453287197,0.3533980582524272,0.5038062283737024,0.2313106796116505,0.6595155709342561,0.06266990291262135,0.8934256055363322,0.03325242718446602,0.9480968858131488,0.23771230402150753,1.7975576649182168,0.49007532515862895,0.0
grad_attention,not_predicted,0.054,0.39999999999999253,0.3312693498451961,0.3624047417393225,0.312528854888678,0.08045977011494253,3.074712643678161,0.4667612081377597,0.6293103448213074,0.5172413793103449,0.1393188854489164,0.2885057471264368,0.38854489164086686,0.19655172413793104,0.5294117647058824,0.05574712643678161,0.7507739938080495,0.03057471264367816,0.8235294117647058,0.38536100194688216,2.722581130002943,0.3985767335894052,0.0
atgrad_attention,all,0.043000000000000003,0.38723404255318944,0.34815877570540243,0.3666582724704593,0.30924516880839786,0.20136518771331058,3.2081911262798637,0.5178168342812376,0.6154721274115548,0.4761092150170648,0.133428981348637,0.3027303754266212,0.42419894787183166,0.19982935153583617,0.5600191296030608,0.05658703071672355,0.7929220468675275,0.03030716723549488,0.8493543758967002,0.6067244051056547,2.6502348250575674,0.3855579652570956,0.0
atgrad_attention,predicted,0.043000000000000003,0.3724619289340078,0.4062283737024193,0.38861304203406677,0.3316551400752916,0.09223300970873786,3.825242718446602,0.5919749883306118,0.6982200647182066,0.4854368932038835,0.1384083044982699,0.3092233009708738,0.4408304498269896,0.2070388349514563,0.5903114186851212,0.05888349514563107,0.8394463667820069,0.031213592233009707,0.8899653979238754,0.5591586995360901,2.355875866491843,0.3932874114759804,0.0
atgrad_attention,not_predicted,0.043000000000000003,0.46381578947366897,0.21826625386996565,0.29684210525879967,0.27848455463614324,0.45977011494252873,1.7471264367816093,0.34222396377352376,0.419540229880862,0.4540229885057471,0.12229102167182662,0.28735632183908044,0.38699690402476783,0.18275862068965518,0.49226006191950467,0.051149425287356325,0.6888544891640866,0.028160919540229885,0.7585139318885449,0.719351248178417,3.347222703960317,0.3672560581181271,0.0
