explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.002,0.0036325895173845166,0.00334768053562887,0.0034843205524996016,0.00045765358315834597,0.9505119453924915,3.28839590443686,0.00554607508529188,0.010238907849726963,0.0,0.0,0.0,0.0,0.0008532423208191126,0.0023912003825920613,0.0006825938566552901,0.009564801530368245,0.0007849829351535836,0.021999043519846963,0.9654046388022813,7.634653198305615,0.00010639280784618958,0.0
random,predicted,0.002,0.0028735632183907772,0.0022288261515601617,0.0025104602461258384,0.0004498560861584663,0.948849104859335,2.670076726342711,0.004262574595024154,0.005115089514015346,0.0,0.0,0.0,0.0,0.0010230179028132991,0.0029717682020802376,0.0008184143222506394,0.01188707280832095,0.0008439897698209719,0.02451708766716196,0.9653240540395183,7.65451617440422,0.00015945315958533786,0.0
random,not_predicted,0.002,0.004530011325028261,0.005369127516778451,0.00491400490904078,0.00047244893429471303,0.9538461538461539,4.528205128205128,0.008119658119623575,0.020512820512615385,0.0,0.0,0.0,0.0,0.0005128205128205128,0.0013422818791946308,0.00041025641025641023,0.005369127516778523,0.0006666666666666666,0.0174496644295302,0.9655662215830016,7.594825384692515,0.0,0.0
laat,all,0.048,0.36627906976744024,0.3916786226685778,0.37855327015908985,0.33133502863875525,0.2030716723549488,3.8156996587030716,0.5508579280944114,0.6578498293451892,0.5238907849829352,0.14681970349115256,0.3023890784982935,0.42372070779531323,0.19761092150170648,0.5538020086083214,0.054982935153583615,0.7704447632711621,0.03015358361774744,0.8450502152080345,0.48665735281462885,2.473718876239597,0.42306094047392484,0.0
laat,predicted,0.048,0.3521358159912357,0.4777117384843947,0.4054224464011649,0.37432412760466777,0.06905370843989769,4.670076726342711,0.6529589939717236,0.7647058823456351,0.5703324808184144,0.16567607726597325,0.3207161125319693,0.4658246656760773,0.21048593350383632,0.611441307578009,0.056112531969309466,0.8150074294205052,0.030664961636828643,0.8907875185735513,0.3953987552701348,2.04664327335654,0.4624976385917902,0.0
laat,not_predicted,0.048,0.42926829268291633,0.23624161073825187,0.30476190475732007,0.2625099146362079,0.4717948717948718,2.1025641025641026,0.3461322011301598,0.4435897435853204,0.4307692307692308,0.11275167785234899,0.26564102564102565,0.3476510067114094,0.1717948717948718,0.44966442953020136,0.052717948717948715,0.6899328859060403,0.029128205128205128,0.7624161073825504,0.6696425407115376,3.330060213302548,0.34398530476066635,0.0
attention_rollout,all,0.003,0.016358574958556187,0.2501195600191284,0.030708707649602093,0.0030514744729344917,0.0,54.5580204778157,0.26427027655561763,0.3393060295757333,0.0034129692832764505,0.0009564801530368245,0.005460750853242321,0.007651841224294596,0.004266211604095563,0.011956001912960305,0.009078498293515359,0.12721186035389764,0.012525597269624574,0.3510282161645146,0.7643333769173095,5.539141423941905,0.0030999316561048447,0.0
attention_rollout,predicted,0.003,0.01660555485312091,0.29271916790490127,0.031428229568640546,0.003065380196879135,0.0,60.68286445012788,0.31567445768044033,0.39087809036276144,0.005115089514066497,0.0014858841010401188,0.005626598465473146,0.008172362555720654,0.004347826086956522,0.01263001485884101,0.010025575447570333,0.14561664190193166,0.013043478260869565,0.3789004457652303,0.7346035684237737,5.394018827112759,0.0038448104594288467,0.0
attention_rollout,not_predicted,0.003,0.01564774381368266,0.17315436241610505,0.028701746577632033,0.003019786466924348,0.0,42.276923076923076,0.16119830312071673,0.2358974358950769,0.0,0.0,0.005128205128205128,0.006711409395973154,0.0041025641025641026,0.010738255033557046,0.0071794871794871795,0.09395973154362416,0.011487179487179488,0.3006711409395973,0.8239454544607582,5.830130836045472,0.0016063541581577438,0.0
deeplift,all,0.021,0.3283917340521099,0.3495934959349577,0.33866110724540865,0.2815826828524963,0.09215017064846416,3.7986348122866893,0.4920086289297688,0.6615472127353368,0.48976109215017066,0.13725490196078433,0.27508532423208193,0.38546150167384025,0.18583617747440273,0.5208034433285509,0.05621160409556314,0.787661406025825,0.031228668941979523,0.8751793400286944,0.7195527749804672,3.183846372438397,0.33019021830821826,0.0
deeplift,predicted,0.021,0.32626619552414415,0.41158989598810986,0.36399474375327734,0.3104856326186982,0.028132992327365727,4.342710997442455,0.5713604632048334,0.7408354646135226,0.5421994884910486,0.1575037147102526,0.29360613810741687,0.4264487369985141,0.19769820971867008,0.5742942050520059,0.057391304347826085,0.8335809806835067,0.031176470588235295,0.9056463595839525,0.697713851600738,2.981345958593046,0.3657857147696222,0.0
