explainability_method,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero
random,all,0.003,0.004634994206257188,0.0019129603060736397,0.0027081922775160426,0.036171720429133754,0.9726962457337884,1.4726962457337884,0.003981797497128366,0.0068259385664846415,0.0,0.0,0.0010238907849829352,0.0014347202295552368,0.0008532423208191126,0.0023912003825920613,0.0010238907849829352,0.014347202295552367,0.0010750853242320819,0.03012912482065997,0.9654167159652811,7.627167663804482,0.0004415593703273985,0.0
random,predicted,0.003,0.005181347150258933,0.0014094432699083763,0.002216066478632067,0.03891743189690034,0.9729064039408867,0.9507389162561576,0.0036945812807573893,0.0049261083743349756,0.0,0.0,0.001477832512315271,0.0021141649048625794,0.0007389162561576355,0.0021141649048625794,0.0012315270935960591,0.017618040873854827,0.001206896551724138,0.03453136011275546,0.965376573844716,7.620943052996368,0.0006373246084035851,0.0
random,not_predicted,0.003,0.004192872117400331,0.002976190476190432,0.003481288071732289,0.00046072144041266796,0.9722222222222222,2.65,0.004629629629609567,0.011111111111,0.0,0.0,0.0,0.0,0.0011111111111111111,0.002976190476190476,0.0005555555555555556,0.00744047619047619,0.0007777777777777777,0.020833333333333332,0.9655072587483335,7.641207619293891,0.0,0.0
laat,all,0.047,0.34549098196392647,0.4122429459588694,0.37592673353188844,0.32093831502099557,0.1962457337883959,4.257679180887372,0.5739882320906275,0.661262798628406,0.5170648464163823,0.1449067431850789,0.2976109215017065,0.4170253467240555,0.19726962457337885,0.5528455284552846,0.055767918088737205,0.7814442850310857,0.03039249146757679,0.8517455762792921,0.5008296233460323,2.4682264723907408,0.4081024957020475,0.0
laat,predicted,0.047,0.33018867924528145,0.49330514446793167,0.3955919751294126,0.35473088276077874,0.08866995073891626,5.221674876847291,0.6690974597339223,0.7499999999927975,0.5615763546798029,0.160676532769556,0.31477832512315274,0.4503171247357294,0.2123152709359606,0.6074700493305144,0.05832512315270936,0.8343904157857647,0.03169950738916256,0.9069767441860465,0.42055853420197553,2.0120385150646602,0.4506678357220759,0.0
laat,not_predicted,0.047,0.43199999999998845,0.241071428571425,0.3094555873879466,0.2615484655199316,0.4388888888888889,2.0833333333333335,0.35946408529519625,0.46111111110649994,0.4166666666666667,0.11160714285714286,0.2588888888888889,0.34672619047619047,0.16333333333333333,0.4375,0.05,0.6696428571428571,0.027444444444444445,0.7351190476190477,0.6818855244154047,3.497183753915121,0.3120940065457609,0.0
attention_rollout,all,0.003,0.01634231536926147,0.2505978000956468,0.030683648073802947,0.003059301356693732,0.0,54.71672354948805,0.2701275071141507,0.3253697383358097,0.0034129692832764505,0.0009564801530368245,0.005119453924914676,0.007173601147776184,0.0046075085324232086,0.01291248206599713,0.00931740614334471,0.13055954088952654,0.012440273037542662,0.3486370157819225,0.7501995202400483,5.528837157047829,0.003075135634623286,0.0
attention_rollout,predicted,0.003,0.01722867899819937,0.2966878083157132,0.032566234769799925,0.003742702413932219,0.0,60.1871921182266,0.32039246330944493,0.36124794745129174,0.0049261083743842365,0.0014094432699083862,0.005911330049261084,0.008456659619450317,0.0049261083743842365,0.014094432699083862,0.010541871921182265,0.15081042988019733,0.01332512315270936,0.38125440451021847,0.721973226486044,5.348791867710624,0.003668655044452714,0.0
attention_rollout,not_predicted,0.003,0.013502884111169358,0.15327380952380723,0.0248192771069455,0.0016173793449948991,0.0,42.37777777777778,0.156752105918098,0.24444444444199998,0.0,0.0,0.0033333333333333335,0.004464285714285714,0.0038888888888888888,0.010416666666666666,0.006555555555555556,0.08779761904761904,0.010444444444444444,0.27976190476190477,0.8138654939296357,5.934939309663966,0.001736419632452464,0.0
deeplift,all,0.02,0.3117053923717654,0.3400286944045895,0.3252516010929037,0.2616939149491802,0.08361774744027303,3.8924914675767917,0.49189844569240193,0.656996587024331,0.41638225255972694,0.11669057867049258,0.26791808873720135,0.3754184600669536,0.1841296928327645,0.5160210425633668,0.05546075085324232,0.7771401243424199,0.030563139931740615,0.8565279770444764,0.7276757327998424,3.2598688590721094,0.3069728729837274,0.0
